SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.072	0.198	0.066	0.013	0.063	-0.059	0.005	0.152	0.049	0.161	0.066	0.024	0.021	0.063	0.022	0.015	-0.073	0.188	-0.060	0.063	0.012	0.072	0.028	0.003	0.185	0.066	0.132	0.123	-0.005	-0.062	0.183	0.091	0.194	0.073	0.064	0.059	0.140	0.065	-0.001	0.194	0.194	0.194	0.140	0.194	0.140	0.075	0.140	0.073	0.140	0.140	0.140	0.140	0.140	0.194	0.140	0.140	0.140	0.073	0.076	0.140	0.194	0.140	0.255	0.194	-0.114	-0.169	-0.189	-0.080	-0.105	-0.044	-0.073	-0.172	-0.074	-0.181	0.013	-0.105	-0.099	-0.105	-0.095	-0.081	-0.014	-0.177	-0.035	-0.189	-0.082	-0.211	-0.103	-0.065	-0.181	-0.105	-0.137	-0.126	-0.052	-0.029	-0.169	-0.141	0.059	0.135	-0.109	2016_7_16_18_00_52
FLQS21YXGRX2____	0.065	-0.022	-0.003	0.048	-0.022	0.058	0.076	-0.058	-0.060	-0.011	-0.022	-0.022	-0.080	-0.125	-0.022	0.076	-0.022	-0.001	0.063	-0.011	-0.022	0.128	0.001	-0.003	0.005	-0.058	-0.072	-0.138	0.059	-0.022	0.003	-0.022	0.026	0.063	0.087	0.007	0.026	0.079	0.026	0.000	0.131	0.026	0.026	0.063	-0.046	0.007	0.026	-0.046	-0.046	0.026	0.132	0.000	0.145	0.083	-0.046	0.026	0.074	0.131	0.026	0.026	0.142	0.000	0.026	0.000	-0.259	-0.129	-0.222	-0.228	-0.333	-0.251	-0.267	-0.095	-0.195	-0.210	-0.325	-0.347	-0.164	-0.160	-0.092	-0.277	-0.110	-0.214	-0.255	-0.154	-0.132	-0.285	-0.219	-0.207	-0.225	-0.197	-0.174	-0.144	-0.254	-0.207	-0.217	-0.193	-0.007	0.039	-0.211	2016_7_16_18_00_55
FLQS22TQGRX2____	-0.066	-0.059	-0.006	0.125	0.006	0.001	-0.001	0.013	0.004	-0.052	0.031	0.001	0.131	0.122	-0.121	-0.006	0.126	0.016	-0.006	0.019	-0.104	0.067	0.004	0.064	-0.104	-0.006	-0.048	0.128	0.123	-0.006	0.006	-0.001	-0.086	-0.076	-0.033	0.065	0.042	-0.042	-0.042	0.052	-0.086	-0.086	0.042	-0.042	-0.033	-0.134	-0.086	-0.076	-0.076	-0.033	-0.076	-0.033	-0.086	-0.147	-0.076	-0.042	-0.042	-0.042	-0.086	0.063	0.062	-0.042	0.053	-0.042	0.305	0.300	0.268	0.197	0.336	0.349	0.271	0.252	0.274	0.278	0.215	0.268	0.176	0.206	0.331	0.271	0.185	0.229	0.358	0.221	0.297	0.232	0.261	0.223	0.318	0.291	0.285	0.195	0.198	0.364	0.254	0.138	0.013	-0.040	0.261	2016_7_16_18_01_40
FLQS22XEGRX2____	-0.151	0.047	-0.022	-0.016	-0.016	-0.078	-0.092	-0.081	-0.008	0.067	-0.146	-0.077	0.055	-0.006	-0.105	-0.075	-0.007	-0.016	0.087	-0.022	0.052	-0.022	0.040	0.045	-0.022	-0.016	0.065	-0.013	0.050	-0.123	-0.006	-0.007	-0.130	-0.196	-0.052	-0.065	-0.130	-0.065	-0.130	-0.131	-0.065	-0.065	-0.065	-0.141	-0.053	-0.052	-0.052	-0.202	-0.053	-0.065	-0.052	0.047	-0.065	-0.065	-0.065	-0.185	-0.065	-0.065	-0.052	-0.131	-0.130	-0.053	-0.065	-0.052	0.090	-0.018	0.060	0.014	-0.109	0.029	0.062	0.041	-0.001	-0.056	0.080	0.040	-0.034	-0.003	0.087	0.041	-0.001	-0.129	-0.043	0.127	-0.026	0.108	-0.028	-0.018	0.027	-0.088	-0.042	0.008	-0.023	0.051	-0.003	-0.010	-0.020	-0.085	0.007	2016_7_16_18_01_44
FLQS29JFGRX5____	0.068	-0.014	0.178	0.047	-0.079	0.056	0.181	-0.068	0.047	-0.074	-0.047	0.190	0.056	0.047	0.056	0.053	0.071	0.160	0.056	0.071	0.046	0.047	-0.017	0.068	0.047	0.177	0.113	-0.001	0.056	-0.042	0.179	0.056	-0.000	-0.018	0.118	-0.000	-0.018	-0.019	0.062	-0.021	-0.000	0.108	0.107	-0.000	-0.104	-0.000	0.035	0.035	0.133	0.035	-0.000	-0.000	-0.000	0.035	-0.000	-0.000	-0.000	0.035	0.035	0.035	0.035	-0.000	0.053	-0.018	0.227	0.268	0.163	0.238	0.301	0.315	0.163	0.287	0.227	0.284	0.272	0.147	0.227	0.238	0.227	0.233	0.210	0.184	0.139	0.209	0.238	0.330	0.271	0.210	0.240	0.160	0.192	0.252	0.088	0.265	0.165	0.227	0.056	0.021	0.225	2016_7_16_18_01_46
FLQS30C7GRWV____	-0.076	-0.064	-0.192	-0.068	-0.076	-0.011	0.018	-0.076	0.001	-0.076	-0.007	-0.068	-0.128	-0.204	-0.068	-0.191	-0.076	-0.196	0.008	0.021	-0.076	-0.072	-0.127	-0.131	-0.076	0.001	-0.127	-0.076	-0.190	-0.064	-0.187	-0.189	0.084	0.152	0.060	0.084	0.070	0.084	0.112	0.084	0.084	0.070	0.132	0.131	-0.060	0.060	0.084	0.084	0.084	0.070	0.084	0.131	0.001	-0.063	0.188	-0.058	0.084	0.070	0.070	0.214	0.112	0.084	-0.006	-0.008	-0.064	0.029	0.098	0.045	-0.066	0.020	-0.030	0.045	-0.007	0.178	0.006	0.036	0.072	0.119	0.036	0.088	0.114	0.110	-0.016	-0.040	0.045	0.045	0.062	0.073	0.145	0.005	0.062	0.045	0.095	0.029	0.098	0.099	-0.089	0.074	0.049	2016_7_16_18_01_49
FLQS30CWGRWV____	0.136	0.030	-0.063	-0.035	0.030	0.109	0.044	-0.006	-0.081	0.064	-0.004	0.030	0.030	0.030	-0.037	-0.009	0.091	-0.004	-0.004	-0.017	-0.006	-0.004	0.102	0.041	-0.035	-0.025	0.143	0.143	-0.010	-0.064	-0.025	-0.014	-0.009	0.183	0.056	-0.009	0.109	0.056	-0.009	-0.009	0.056	0.056	0.109	0.056	0.056	-0.021	-0.009	0.137	0.056	0.189	0.056	0.056	0.119	0.109	0.121	-0.010	0.056	0.056	0.137	0.056	0.183	0.181	0.056	0.056	0.058	0.205	0.166	0.180	0.019	0.084	0.126	0.148	0.190	0.102	0.237	0.027	0.148	0.236	0.185	0.147	0.117	0.142	0.142	0.160	0.145	0.142	0.092	0.128	0.199	0.165	0.043	0.048	0.145	0.171	0.175	0.151	0.018	0.072	0.138	2016_7_16_18_01_52
FLQS30KBGRWV____	0.070	0.070	-0.005	0.060	0.155	0.182	0.128	0.107	0.120	0.070	0.163	0.070	0.121	0.070	-0.023	0.070	0.195	0.070	0.117	-0.006	0.070	0.052	-0.021	0.162	0.048	0.128	0.070	-0.008	-0.007	-0.057	0.183	0.198	0.117	0.069	0.189	0.049	0.003	0.077	0.069	0.003	0.072	0.077	0.072	-0.046	0.049	0.049	0.049	-0.046	0.128	0.033	0.003	0.049	0.177	-0.061	0.033	0.049	0.069	0.077	0.003	0.189	0.033	0.192	0.069	0.196	-0.018	-0.086	-0.049	-0.086	-0.096	-0.136	-0.120	-0.078	-0.106	-0.094	-0.113	0.024	-0.116	0.029	-0.027	-0.157	-0.144	-0.217	-0.102	-0.044	-0.019	-0.068	-0.021	-0.119	-0.054	-0.122	-0.078	-0.049	-0.034	-0.025	-0.136	-0.148	0.082	0.065	-0.082	2016_7_16_18_01_54
FLQS30KVGRWV____	-0.132	-0.046	-0.254	-0.076	-0.020	-0.132	-0.198	-0.199	-0.255	-0.126	-0.081	-0.132	-0.059	-0.189	-0.269	-0.071	-0.201	-0.200	-0.132	-0.132	-0.243	-0.195	-0.132	-0.132	-0.200	-0.132	-0.194	-0.022	-0.014	-0.194	-0.132	-0.249	0.132	0.059	-0.072	0.196	0.059	0.059	0.059	0.006	0.006	0.059	-0.049	0.059	0.059	0.129	0.059	0.141	0.006	0.059	0.059	0.059	0.110	0.183	0.006	-0.069	0.059	0.006	0.001	0.198	0.059	0.059	0.190	-0.064	-0.099	-0.038	0.088	-0.009	-0.022	-0.063	0.067	0.069	0.085	0.011	0.004	0.035	-0.031	0.049	0.112	-0.009	0.074	0.069	-0.068	0.090	0.076	0.050	0.153	0.135	0.066	-0.077	0.057	-0.034	-0.054	0.046	0.134	0.085	-0.148	0.059	0.033	2016_7_16_18_01_57
FLQS312SGRWV____	-0.008	0.083	0.103	-0.008	0.010	0.010	-0.073	0.005	0.103	-0.135	-0.008	0.005	-0.013	-0.068	-0.011	0.010	-0.011	0.049	-0.011	0.010	0.114	-0.008	0.052	-0.013	0.005	0.005	0.005	0.052	0.122	-0.011	-0.132	-0.091	-0.124	-0.055	-0.124	-0.055	-0.124	-0.047	-0.055	-0.124	-0.124	-0.004	-0.055	-0.124	-0.202	-0.127	-0.124	-0.055	-0.124	-0.124	-0.012	-0.179	-0.055	-0.055	0.013	-0.124	-0.055	-0.137	-0.124	0.016	-0.055	0.007	0.056	-0.124	-0.019	-0.075	-0.060	-0.109	-0.050	-0.140	0.007	0.078	-0.054	0.041	0.044	0.116	-0.011	0.014	-0.084	0.078	-0.019	-0.044	0.066	-0.140	-0.070	-0.011	-0.050	0.081	-0.039	-0.113	-0.019	-0.049	-0.085	-0.019	0.038	0.041	0.004	-0.081	-0.020	2016_7_16_18_02_00
