SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.017	0.013	0.005	0.006	-0.066	0.010	-0.000	0.000	-0.048	0.067	0.142	0.059	0.013	0.091	0.010	0.006	0.017	0.017	0.134	0.003	0.017	0.006	0.057	0.124	0.017	-0.055	-0.052	-0.055	-0.052	0.017	0.017	0.005	0.007	-0.083	0.006	0.135	0.002	0.008	0.072	0.071	0.008	0.067	-0.003	0.003	0.003	0.145	0.020	0.011	-0.005	0.007	-0.060	0.001	0.005	0.005	0.007	0.005	0.065	0.010	0.008	0.010	0.009	-0.004	0.066	0.005	-0.179	-0.069	-0.073	0.049	-0.041	-0.076	-0.076	-0.078	-0.050	-0.106	-0.132	-0.096	-0.076	-0.124	0.016	-0.076	-0.084	0.009	-0.123	-0.072	-0.078	-0.074	-0.096	-0.126	-0.084	-0.047	-0.049	-0.047	-0.048	-0.084	-0.156	-0.073	0.017	0.019	-0.076	2016_7_16_17_57_03
FLQS21YXGRX2____	0.052	0.062	0.044	0.051	0.122	-0.007	0.062	-0.002	0.115	-0.004	0.006	0.062	0.117	0.047	0.008	0.111	-0.044	0.116	0.062	0.013	0.164	0.105	0.153	0.106	0.111	0.172	-0.049	0.172	-0.002	0.179	-0.069	0.150	-0.051	-0.047	0.008	-0.045	-0.049	0.010	-0.057	-0.104	0.063	-0.049	-0.050	0.010	-0.048	-0.053	-0.104	-0.050	0.008	-0.053	0.065	0.013	-0.049	0.003	-0.052	-0.047	0.008	-0.002	-0.049	-0.002	0.008	0.003	-0.103	-0.010	-0.238	-0.165	-0.241	-0.239	-0.269	-0.217	-0.335	-0.210	-0.276	-0.214	-0.218	-0.248	-0.267	-0.236	-0.213	-0.264	-0.201	-0.266	-0.182	-0.227	-0.287	-0.266	-0.282	-0.262	-0.269	-0.295	-0.194	-0.295	-0.219	-0.299	-0.180	-0.285	0.068	-0.027	-0.246	2016_7_16_17_57_05
FLQS22TQGRX2____	0.004	0.014	0.027	0.027	-0.105	0.014	-0.099	0.114	0.120	-0.119	0.027	-0.111	-0.120	0.018	0.086	-0.056	-0.089	0.062	0.018	0.000	0.014	-0.037	0.014	0.113	-0.038	0.018	0.004	0.027	0.111	0.071	0.068	0.027	-0.011	0.052	0.109	0.167	0.051	0.105	-0.009	0.051	-0.062	-0.067	0.043	0.053	-0.013	0.051	-0.009	-0.006	0.051	0.048	0.113	0.043	0.063	0.046	0.043	-0.008	-0.071	0.161	-0.008	0.161	-0.066	0.043	0.049	0.047	0.258	0.249	0.122	0.376	0.301	0.164	0.304	0.205	0.213	0.318	0.247	0.304	0.313	0.247	0.223	0.285	0.294	0.228	0.349	0.271	0.249	0.271	0.186	0.210	0.283	0.149	0.331	0.149	0.217	0.207	0.224	0.243	0.007	0.038	0.250	2016_7_16_17_57_08
FLQS22XEGRX2____	0.037	0.045	-0.060	0.055	-0.020	0.035	0.035	0.148	0.045	0.035	0.035	0.161	0.035	0.035	0.092	0.035	0.099	0.037	0.045	0.048	0.045	0.035	0.045	0.048	0.106	-0.077	0.055	-0.077	-0.054	0.048	0.105	0.115	-0.060	0.117	0.112	-0.070	-0.058	0.052	0.099	-0.010	-0.007	0.001	0.108	-0.068	0.001	-0.070	-0.004	0.001	-0.001	-0.066	-0.001	-0.090	0.062	-0.032	0.052	-0.062	-0.003	0.001	-0.060	0.001	-0.004	0.001	-0.001	0.052	-0.015	-0.022	0.013	-0.022	0.011	-0.019	0.072	-0.067	0.046	0.094	-0.019	-0.068	-0.015	-0.013	-0.044	0.122	-0.047	0.084	-0.022	-0.078	-0.022	-0.013	-0.019	-0.019	-0.050	0.011	-0.021	0.011	0.020	-0.097	-0.049	-0.076	0.043	-0.000	-0.010	2016_7_16_17_57_11
FLQS29JFGRX5____	0.127	0.127	0.127	0.240	0.127	0.127	0.121	0.056	0.127	0.173	0.056	0.249	0.118	0.236	0.175	0.127	0.244	0.127	0.127	0.127	0.127	0.127	0.127	0.127	0.173	0.118	0.054	0.118	0.118	0.127	0.127	0.194	-0.072	-0.084	-0.013	0.046	0.038	-0.063	0.047	0.046	-0.013	-0.013	0.060	0.042	0.145	0.133	-0.020	-0.056	0.041	-0.083	-0.016	0.044	0.047	0.099	-0.057	0.050	0.047	0.058	-0.014	0.058	-0.012	0.044	-0.012	0.042	0.196	0.128	0.121	0.144	0.196	0.100	0.196	0.225	0.198	0.179	0.225	0.141	0.279	0.138	0.178	0.292	0.143	0.129	0.095	0.254	0.276	0.074	0.265	0.275	0.173	0.202	0.230	0.202	0.202	0.301	0.257	0.164	0.140	0.018	0.193	2016_7_16_17_57_14
FLQS30C7GRWV____	-0.202	-0.129	0.008	-0.202	-0.065	-0.127	-0.132	-0.190	-0.003	-0.132	-0.251	-0.243	-0.076	-0.132	-0.231	-0.258	-0.132	-0.132	-0.190	-0.129	-0.013	-0.132	-0.001	-0.010	-0.127	-0.132	-0.190	-0.258	-0.132	-0.073	-0.132	0.001	-0.002	-0.002	-0.003	-0.004	-0.003	0.065	0.008	0.004	-0.004	-0.001	-0.096	-0.028	-0.001	-0.064	0.004	-0.001	-0.056	-0.065	0.004	0.100	-0.001	-0.003	-0.002	-0.004	-0.003	-0.071	-0.003	-0.000	0.001	-0.059	-0.004	0.058	0.096	0.064	0.005	0.097	0.037	0.058	0.177	0.071	0.010	0.064	0.126	0.117	0.041	0.071	0.108	0.120	0.180	-0.037	0.185	0.143	0.013	0.071	0.009	0.013	-0.015	-0.038	0.091	0.121	0.071	0.045	0.179	0.002	-0.130	-0.007	0.072	2016_7_16_17_57_17
FLQS30CWGRWV____	0.029	0.053	0.047	-0.017	-0.017	-0.017	-0.047	0.071	0.090	-0.017	-0.017	-0.017	-0.017	-0.017	0.137	-0.126	0.101	-0.068	-0.017	-0.047	-0.047	-0.017	-0.047	0.029	0.112	-0.017	-0.123	-0.017	-0.061	-0.047	0.114	-0.047	-0.009	0.036	-0.007	0.063	-0.002	0.097	-0.008	0.036	0.113	0.166	0.044	0.046	0.112	0.036	0.045	0.116	0.053	-0.005	0.056	0.058	0.000	0.118	-0.058	-0.005	0.054	0.059	0.057	0.059	-0.001	0.059	-0.067	0.062	0.077	0.135	0.127	0.215	0.228	0.232	0.022	0.129	0.097	0.224	0.149	0.149	0.068	0.059	0.083	0.192	0.098	0.178	0.238	0.269	0.266	0.214	0.259	0.135	0.093	0.149	0.195	0.149	0.174	0.284	0.103	0.162	-0.003	0.043	0.161	2016_7_16_17_57_33
FLQS30KBGRWV____	0.109	0.171	0.109	0.170	0.156	0.244	0.109	0.215	0.109	0.109	0.109	0.109	-0.008	0.103	0.152	0.103	0.080	0.103	0.080	0.052	-0.017	0.080	0.103	0.227	0.055	0.222	0.109	0.222	0.228	0.109	-0.005	0.049	-0.062	-0.060	-0.000	-0.056	0.003	0.061	0.067	0.003	0.006	0.004	-0.007	0.055	0.005	0.074	0.061	0.005	0.075	-0.102	0.005	0.004	0.005	0.009	-0.051	-0.001	0.059	-0.033	0.119	-0.033	0.058	0.064	-0.050	0.063	-0.169	-0.115	-0.181	-0.115	-0.114	-0.157	-0.022	-0.140	-0.093	0.011	-0.093	-0.193	-0.042	-0.091	-0.118	-0.091	-0.080	-0.091	-0.080	-0.068	-0.038	0.053	0.047	-0.144	-0.075	-0.139	-0.027	-0.139	-0.151	0.031	-0.038	-0.072	0.117	0.011	-0.086	2016_7_16_17_57_37
FLQS30KVGRWV____	-0.138	-0.152	-0.197	-0.142	-0.207	-0.148	-0.148	-0.191	-0.302	-0.152	-0.160	-0.249	-0.160	-0.152	-0.197	-0.140	-0.134	-0.254	-0.262	-0.200	-0.090	-0.206	-0.100	-0.035	-0.160	-0.034	-0.142	-0.034	-0.254	-0.199	-0.191	-0.160	-0.005	-0.057	-0.002	-0.007	-0.058	-0.123	-0.055	-0.055	-0.004	-0.005	-0.052	-0.054	-0.055	-0.046	-0.058	-0.056	-0.003	-0.113	-0.055	-0.064	-0.009	-0.002	-0.000	-0.062	-0.009	-0.118	-0.003	-0.118	-0.003	-0.059	-0.004	-0.110	0.023	0.034	0.049	0.025	0.058	-0.043	0.032	0.047	0.095	-0.052	0.159	0.077	0.168	0.148	0.054	0.029	0.022	0.084	0.082	0.056	0.002	0.053	0.007	-0.017	-0.045	-0.012	-0.057	-0.012	0.074	0.054	0.047	0.043	-0.165	-0.044	0.040	2016_7_16_17_57_41
FLQS312SGRWV____	0.110	0.139	0.064	0.122	0.128	0.139	0.235	0.116	0.064	0.128	0.064	-0.010	0.231	0.110	-0.004	0.007	0.054	0.139	0.110	0.054	0.139	0.180	0.139	-0.011	0.173	0.122	0.116	0.128	0.139	0.128	0.116	0.122	0.132	-0.002	0.004	0.065	-0.058	0.105	0.003	-0.004	0.003	-0.001	0.014	-0.058	-0.067	-0.000	-0.002	0.063	0.082	-0.062	0.008	0.006	-0.003	0.071	-0.001	-0.000	0.006	0.056	0.000	0.056	0.002	0.008	0.063	-0.125	-0.083	-0.164	-0.052	-0.083	0.038	-0.094	-0.127	-0.151	-0.052	-0.079	-0.052	-0.014	-0.119	-0.072	-0.022	-0.033	-0.033	-0.152	-0.072	-0.033	-0.174	-0.109	-0.210	-0.019	-0.100	-0.161	-0.136	-0.161	0.026	-0.080	-0.080	-0.079	0.109	0.011	-0.085	2016_7_16_17_57_45
