SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS3087GRWV____	-0.410	-0.365	-0.361	-0.360	-0.369	-0.397	-0.387	-0.311	-0.363	-0.360	-0.361	-0.400	-0.363	-0.391	-0.363	-0.401	-0.363	-0.363	-0.361	-0.401	-0.359	-0.360	-0.361	-0.405	-0.367	-0.364	-0.362	-0.361	-0.348	-0.387	-0.359	-0.387	-0.034	-0.081	-0.072	-0.028	-0.035	-0.031	-0.071	-0.077	-0.042	-0.072	-0.042	-0.070	-0.043	-0.035	-0.042	-0.041	-0.042	-0.042	-0.044	-0.068	-0.044	-0.047	-0.042	-0.066	-0.006	-0.043	-0.008	-0.042	-0.033	-0.070	-0.042	-0.070	0.264	0.254	0.252	0.246	0.250	0.259	0.261	0.236	0.249	0.252	0.248	0.265	0.248	0.258	0.249	0.262	0.249	0.249	0.249	0.266	0.248	0.249	0.248	0.267	0.245	0.250	0.244	0.248	0.242	0.261	0.248	0.261	-0.371	-0.048	0.252	2016_7_16_17_54_02
FLQS2AVTGRX5____	0.011	0.012	0.014	0.013	0.018	0.019	0.019	0.010	0.017	0.015	0.016	0.012	0.017	0.016	0.017	0.011	0.017	0.017	0.012	0.011	0.025	0.016	0.016	0.015	0.018	0.017	0.016	0.016	0.017	0.005	0.014	0.005	0.045	0.049	0.009	0.042	0.013	0.011	0.011	0.045	0.011	0.010	0.037	0.044	-0.024	-0.020	0.011	0.039	0.011	0.011	0.042	0.041	-0.013	0.041	0.037	0.010	0.010	0.016	0.014	0.037	0.044	0.037	0.044	0.037	-0.080	-0.081	-0.077	-0.081	-0.078	-0.079	-0.079	-0.081	-0.078	-0.078	-0.081	-0.080	-0.074	-0.073	-0.078	-0.080	-0.078	-0.078	-0.081	-0.080	-0.078	-0.082	-0.081	-0.077	-0.078	-0.079	-0.078	-0.081	-0.082	-0.077	-0.082	-0.077	0.015	0.023	-0.079	2016_7_16_17_53_00
FLQS21YXGRX2____	0.013	0.017	0.051	0.053	0.049	0.049	0.056	0.050	0.054	0.059	0.061	0.056	0.054	0.061	0.054	0.056	0.054	0.054	0.096	0.054	0.064	0.057	0.061	0.055	0.059	0.057	0.061	0.061	0.058	0.059	0.054	0.059	-0.003	0.005	-0.010	-0.010	-0.009	0.041	-0.018	-0.008	-0.010	-0.037	-0.036	-0.010	-0.008	-0.038	-0.010	-0.043	-0.010	-0.010	-0.045	-0.011	-0.038	-0.008	-0.036	-0.007	-0.038	-0.039	-0.039	-0.036	-0.006	-0.046	-0.009	-0.046	-0.224	-0.227	-0.237	-0.238	-0.235	-0.243	-0.238	-0.237	-0.237	-0.235	-0.237	-0.238	-0.237	-0.236	-0.237	-0.233	-0.237	-0.237	-0.247	-0.238	-0.237	-0.238	-0.237	-0.238	-0.235	-0.235	-0.236	-0.237	-0.240	-0.235	-0.238	-0.235	0.055	-0.020	-0.237	2016_7_16_17_53_04
FLQS22TQGRX2____	0.054	0.007	0.011	0.003	0.035	0.015	0.013	0.012	0.064	0.019	0.055	0.013	0.012	0.016	0.064	0.012	0.064	0.064	0.012	0.006	0.068	0.014	0.055	0.053	0.006	0.009	0.011	0.055	0.022	0.012	-0.033	0.012	0.038	0.079	0.042	0.042	-0.030	0.001	0.042	0.042	0.014	0.014	-0.021	0.044	0.042	0.007	0.014	0.043	0.014	0.014	0.043	0.073	0.042	0.046	-0.021	0.074	0.072	0.073	0.045	-0.021	-0.023	0.042	0.077	0.042	0.235	0.246	0.250	0.252	0.252	0.254	0.249	0.249	0.235	0.251	0.243	0.249	0.250	0.253	0.235	0.249	0.235	0.235	0.250	0.246	0.230	0.248	0.243	0.231	0.248	0.246	0.250	0.243	0.255	0.250	0.260	0.250	0.026	0.031	0.246	2016_7_16_17_53_09
FLQS22XEGRX2____	0.003	0.042	0.010	0.042	0.045	0.045	0.016	0.039	0.038	0.044	0.039	0.042	0.045	0.033	0.038	0.044	0.038	0.038	0.045	0.042	0.010	0.044	0.039	0.045	0.036	0.002	0.048	0.039	0.045	0.021	0.044	0.021	0.002	-0.002	-0.029	-0.003	-0.001	0.000	-0.019	-0.002	0.027	-0.002	0.024	-0.003	-0.005	0.027	0.027	0.024	0.027	0.027	-0.004	0.025	0.005	0.002	0.024	-0.000	0.027	0.037	-0.008	0.024	0.001	-0.022	0.000	-0.022	-0.005	-0.018	-0.003	-0.018	-0.019	-0.019	-0.007	-0.017	-0.020	-0.018	-0.021	-0.018	-0.019	-0.018	-0.020	-0.022	-0.020	-0.020	-0.019	-0.022	-0.008	-0.019	-0.021	-0.018	-0.019	-0.009	-0.019	-0.021	-0.019	-0.008	-0.019	-0.008	0.035	0.006	-0.017	2016_7_16_17_53_12
FLQS29JFGRX5____	0.059	0.064	0.054	0.068	0.072	0.072	0.065	0.063	0.068	0.036	0.064	0.065	0.062	0.069	0.068	0.062	0.068	0.068	0.062	0.066	0.064	0.062	0.064	0.100	0.063	0.059	0.059	0.064	0.066	0.062	0.061	0.062	0.077	0.047	0.077	0.012	0.013	0.016	0.048	0.047	0.017	0.026	0.047	0.048	0.046	0.015	0.017	0.046	0.017	0.017	0.047	0.016	0.050	0.016	0.047	0.045	0.047	0.048	0.042	0.047	0.010	0.046	0.046	0.046	0.222	0.224	0.223	0.228	0.226	0.226	0.224	0.225	0.227	0.237	0.224	0.223	0.225	0.227	0.227	0.225	0.227	0.227	0.224	0.227	0.224	0.229	0.224	0.211	0.224	0.225	0.226	0.224	0.228	0.225	0.225	0.225	0.064	0.037	0.225	2016_7_16_17_53_16
FLQS30C7GRWV____	-0.187	-0.145	-0.187	-0.180	-0.191	-0.177	-0.143	-0.188	-0.143	-0.179	-0.149	-0.179	-0.143	-0.180	-0.143	-0.144	-0.143	-0.143	-0.145	-0.141	-0.181	-0.145	-0.149	-0.146	-0.180	-0.184	-0.179	-0.149	-0.179	-0.191	-0.137	-0.191	-0.019	-0.020	-0.015	-0.046	-0.015	-0.049	-0.053	-0.016	-0.051	-0.048	-0.024	-0.047	-0.049	-0.048	-0.051	-0.050	-0.051	-0.051	-0.022	-0.050	-0.049	-0.019	-0.024	-0.048	-0.045	-0.046	-0.044	-0.024	-0.045	-0.019	-0.080	-0.019	0.076	0.062	0.076	0.077	0.077	0.076	0.066	0.076	0.065	0.077	0.063	0.077	0.065	0.077	0.065	0.065	0.065	0.065	0.062	0.064	0.078	0.061	0.063	0.066	0.077	0.078	0.077	0.063	0.077	0.078	0.067	0.078	-0.164	-0.039	0.071	2016_7_16_17_53_21
FLQS30CWGRWV____	-0.004	-0.004	-0.008	-0.002	-0.013	0.008	0.031	-0.007	-0.006	0.000	-0.003	-0.001	-0.004	-0.009	-0.006	-0.005	-0.006	-0.006	-0.005	-0.007	-0.010	-0.005	-0.003	0.032	-0.003	-0.005	-0.004	-0.003	-0.002	-0.011	-0.007	-0.011	0.013	0.010	0.048	0.008	0.045	0.010	0.042	0.048	0.089	0.014	0.013	0.012	0.010	0.010	0.089	-0.027	0.089	0.089	0.012	0.042	0.016	0.013	0.013	0.038	0.010	0.092	0.052	0.013	-0.036	0.046	0.041	0.046	0.147	0.147	0.143	0.147	0.146	0.143	0.130	0.143	0.137	0.145	0.146	0.146	0.147	0.149	0.137	0.152	0.137	0.137	0.147	0.143	0.148	0.147	0.146	0.130	0.146	0.136	0.141	0.146	0.152	0.144	0.143	0.144	-0.003	0.032	0.144	2016_7_16_17_53_26
FLQS30KBGRWV____	0.022	-0.021	-0.058	-0.059	-0.057	-0.097	-0.022	-0.021	-0.056	-0.060	-0.062	-0.020	-0.060	-0.022	-0.056	-0.064	-0.056	-0.056	-0.063	0.015	-0.023	-0.068	-0.062	-0.060	-0.054	-0.022	-0.008	-0.062	-0.023	-0.023	-0.063	-0.023	-0.001	0.002	-0.025	0.048	0.009	-0.036	0.005	0.006	-0.023	0.008	0.009	0.004	-0.026	0.004	-0.023	-0.021	-0.023	-0.023	-0.023	0.025	0.006	0.048	0.009	-0.029	-0.025	0.002	-0.040	0.009	-0.041	0.005	0.007	0.005	-0.052	-0.038	-0.022	-0.031	-0.026	-0.006	-0.038	-0.038	-0.022	-0.025	-0.024	-0.038	-0.020	-0.038	-0.022	-0.020	-0.022	-0.022	-0.020	-0.054	-0.038	-0.028	-0.024	-0.020	-0.023	-0.038	-0.037	-0.024	-0.032	-0.038	-0.024	-0.038	-0.043	-0.005	-0.030	2016_7_16_17_53_34
FLQS30KVGRWV____	-0.257	-0.255	-0.264	-0.255	-0.256	-0.255	-0.267	-0.257	-0.257	-0.257	-0.256	-0.255	-0.256	-0.246	-0.257	-0.258	-0.257	-0.257	-0.255	-0.257	-0.257	-0.255	-0.256	-0.257	-0.249	-0.256	-0.263	-0.256	-0.255	-0.257	-0.256	-0.257	-0.073	-0.071	-0.043	-0.102	-0.072	-0.072	-0.046	-0.073	-0.074	-0.073	-0.070	-0.073	-0.073	-0.101	-0.074	-0.071	-0.074	-0.074	-0.099	-0.071	-0.073	-0.073	-0.070	-0.073	-0.102	-0.071	-0.036	-0.070	-0.073	-0.073	-0.073	-0.073	0.062	0.061	0.061	0.066	0.062	0.061	0.062	0.063	0.062	0.062	0.062	0.062	0.063	0.062	0.062	0.062	0.062	0.062	0.065	0.062	0.063	0.062	0.062	0.063	0.064	0.062	0.060	0.062	0.062	0.062	0.062	0.062	-0.256	-0.073	0.062	2016_7_16_17_53_38
