SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.047	0.012	0.057	0.057	0.057	0.057	0.053	0.054	0.014	0.057	0.014	0.057	0.013	0.012	0.056	0.013	0.053	0.012	0.055	0.055	0.056	0.013	0.014	0.057	0.056	0.057	0.053	0.053	0.056	0.057	0.051	0.012	0.042	0.006	0.006	0.006	0.006	0.005	0.005	0.005	0.005	0.006	0.007	0.006	0.005	0.007	0.005	0.005	0.007	0.005	0.042	0.042	0.005	0.005	0.005	0.006	0.005	0.006	0.005	0.004	0.005	0.006	0.006	0.006	-0.093	-0.075	-0.092	-0.092	-0.092	-0.093	-0.091	-0.092	-0.076	-0.092	-0.077	-0.092	-0.076	-0.076	-0.092	-0.076	-0.091	-0.076	-0.096	-0.096	-0.093	-0.076	-0.076	-0.093	-0.093	-0.092	-0.092	-0.091	-0.093	-0.093	-0.091	-0.076	0.042	0.009	-0.087	2016_7_16_17_37_50
FLQS21YXGRX2____	0.049	0.014	0.014	0.014	0.014	0.050	0.053	0.051	0.093	0.014	0.015	0.014	0.091	0.014	0.054	0.092	0.014	0.013	0.053	0.053	0.014	0.092	0.014	0.014	0.014	0.014	0.014	0.055	0.014	0.015	0.017	0.012	-0.007	-0.008	-0.009	-0.009	-0.009	-0.007	-0.045	-0.011	-0.015	-0.009	-0.011	-0.009	-0.010	-0.042	-0.045	-0.010	-0.012	-0.044	-0.010	-0.010	-0.010	-0.010	-0.009	-0.042	-0.010	-0.010	-0.042	-0.044	-0.010	-0.009	-0.008	-0.042	-0.238	-0.224	-0.225	-0.225	-0.225	-0.238	-0.236	-0.239	-0.254	-0.225	-0.225	-0.225	-0.254	-0.221	-0.236	-0.254	-0.225	-0.221	-0.239	-0.239	-0.224	-0.254	-0.224	-0.221	-0.224	-0.224	-0.221	-0.237	-0.224	-0.225	-0.226	-0.221	0.034	-0.018	-0.231	2016_7_16_17_37_54
FLQS22TQGRX2____	0.045	0.051	0.052	0.052	0.052	0.015	0.015	0.015	0.015	0.052	0.015	0.052	0.016	0.015	0.017	0.015	0.014	0.014	0.015	0.015	0.017	0.015	0.014	0.015	0.017	0.016	0.014	0.015	0.017	0.017	0.014	0.052	0.042	0.045	0.046	0.046	0.046	0.044	0.042	0.007	0.011	0.046	0.044	0.046	0.044	0.011	0.007	0.008	0.044	0.045	0.043	0.043	0.044	0.008	0.044	0.045	0.044	0.045	0.007	0.043	0.044	0.048	0.043	0.009	0.238	0.235	0.235	0.235	0.235	0.249	0.250	0.253	0.253	0.235	0.249	0.235	0.249	0.252	0.252	0.253	0.250	0.250	0.250	0.250	0.248	0.253	0.250	0.249	0.248	0.249	0.253	0.250	0.248	0.249	0.249	0.238	0.024	0.035	0.247	2016_7_16_17_37_57
FLQS22XEGRX2____	0.005	0.005	0.005	0.005	0.005	0.036	0.035	0.007	0.003	0.005	0.004	0.005	0.004	0.006	0.036	0.003	0.003	0.005	0.001	0.001	0.006	0.003	0.004	0.005	0.006	0.006	0.006	0.003	0.006	0.005	0.005	0.005	0.002	-0.001	-0.001	-0.001	-0.001	0.002	-0.000	0.000	0.000	-0.001	0.001	-0.001	-0.002	0.001	-0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.001	-0.001	0.001	0.000	0.001	-0.000	0.001	0.000	-0.000	0.001	-0.001	-0.005	-0.006	-0.005	-0.005	-0.005	-0.017	-0.017	-0.006	-0.005	-0.005	-0.005	-0.005	-0.005	-0.006	-0.017	-0.004	-0.004	-0.005	-0.004	-0.004	-0.005	-0.004	-0.004	-0.005	-0.005	-0.006	-0.006	-0.005	-0.005	-0.005	-0.005	-0.005	0.007	0.000	-0.006	2016_7_16_17_38_00
FLQS29JFGRX5____	0.063	0.097	0.062	0.062	0.062	0.062	0.064	0.065	0.061	0.062	0.063	0.062	0.061	0.066	0.063	0.062	0.065	0.061	0.063	0.063	0.023	0.062	0.063	0.099	0.023	0.062	0.066	0.063	0.023	0.098	0.095	0.061	0.043	0.042	0.044	0.044	0.044	0.045	0.014	0.043	0.045	0.044	0.014	0.044	0.047	0.042	0.047	0.046	0.013	0.045	0.046	0.046	0.017	0.046	0.014	0.038	0.017	0.043	0.043	0.047	0.017	0.039	0.041	0.043	0.224	0.212	0.224	0.224	0.224	0.224	0.228	0.224	0.225	0.224	0.227	0.224	0.224	0.224	0.224	0.225	0.227	0.225	0.224	0.224	0.242	0.225	0.228	0.212	0.242	0.225	0.224	0.224	0.242	0.211	0.212	0.225	0.063	0.038	0.225	2016_7_16_17_38_04
FLQS30C7GRWV____	-0.178	-0.181	-0.184	-0.184	-0.184	-0.141	-0.183	-0.141	-0.143	-0.184	-0.181	-0.184	-0.142	-0.141	-0.183	-0.144	-0.180	-0.183	-0.183	-0.183	-0.180	-0.144	-0.143	-0.142	-0.180	-0.180	-0.140	-0.184	-0.180	-0.181	-0.178	-0.184	-0.008	-0.038	-0.049	-0.049	-0.049	-0.009	-0.008	-0.012	-0.009	-0.049	-0.038	-0.049	-0.008	-0.011	-0.009	-0.008	-0.039	-0.011	-0.011	-0.011	-0.039	-0.008	-0.010	-0.042	-0.039	-0.038	-0.010	-0.008	-0.039	-0.041	-0.042	-0.010	0.077	0.080	0.084	0.084	0.084	0.063	0.079	0.063	0.064	0.084	0.081	0.084	0.064	0.063	0.079	0.063	0.081	0.079	0.079	0.079	0.081	0.063	0.064	0.067	0.081	0.081	0.063	0.079	0.081	0.081	0.080	0.080	-0.169	-0.025	0.075	2016_7_16_17_38_08
FLQS30CWGRWV____	0.032	0.032	0.037	0.037	0.037	0.036	-0.003	-0.004	-0.007	0.037	-0.017	0.037	-0.006	-0.004	-0.004	0.035	-0.017	0.034	-0.005	-0.005	0.037	0.035	-0.003	0.038	0.037	0.036	-0.008	0.036	0.037	0.032	0.053	0.036	0.041	0.037	0.011	0.011	0.011	0.040	0.042	0.043	0.006	0.011	0.059	0.011	0.006	0.042	0.004	0.038	0.059	0.040	0.005	0.005	0.043	0.038	0.043	0.011	0.043	0.043	0.005	0.039	0.043	0.040	0.059	0.041	0.130	0.131	0.132	0.132	0.132	0.130	0.144	0.145	0.149	0.132	0.148	0.132	0.149	0.144	0.149	0.130	0.148	0.131	0.149	0.149	0.129	0.130	0.144	0.131	0.129	0.129	0.149	0.129	0.129	0.131	0.121	0.129	0.020	0.030	0.136	2016_7_16_17_38_11
FLQS30KBGRWV____	-0.012	-0.014	-0.014	-0.014	-0.014	-0.013	-0.014	-0.012	0.027	-0.014	0.028	-0.014	-0.014	-0.014	-0.014	-0.014	-0.017	-0.013	-0.015	-0.015	-0.013	-0.014	-0.015	-0.016	-0.013	-0.014	-0.014	-0.016	-0.013	-0.013	0.024	-0.013	-0.003	-0.003	-0.039	-0.039	-0.039	-0.004	-0.006	-0.039	-0.007	-0.039	-0.033	-0.039	-0.043	-0.001	-0.007	-0.042	-0.005	-0.041	-0.007	-0.007	-0.039	-0.042	-0.041	-0.002	-0.039	-0.003	-0.003	-0.006	-0.039	-0.003	-0.005	-0.040	-0.040	-0.039	-0.036	-0.036	-0.036	-0.040	-0.039	-0.037	-0.055	-0.036	-0.053	-0.036	-0.036	-0.040	-0.039	-0.035	-0.038	-0.036	-0.039	-0.039	-0.036	-0.035	-0.036	-0.039	-0.036	-0.039	-0.039	-0.039	-0.036	-0.040	-0.054	-0.036	-0.010	-0.022	-0.039	2016_7_16_17_38_15
FLQS30KVGRWV____	-0.251	-0.214	-0.216	-0.216	-0.216	-0.255	-0.253	-0.256	-0.216	-0.216	-0.215	-0.216	-0.255	-0.214	-0.215	-0.216	-0.254	-0.254	-0.213	-0.213	-0.254	-0.216	-0.214	-0.254	-0.254	-0.254	-0.214	-0.216	-0.254	-0.254	-0.252	-0.214	-0.060	-0.061	-0.059	-0.059	-0.059	-0.058	-0.058	-0.055	-0.061	-0.059	-0.062	-0.059	-0.055	-0.028	-0.025	-0.055	-0.057	-0.058	-0.024	-0.024	-0.060	-0.055	-0.057	-0.061	-0.060	-0.059	-0.027	-0.026	-0.060	-0.059	-0.053	-0.061	0.065	0.050	0.052	0.052	0.052	0.066	0.066	0.066	0.052	0.052	0.051	0.052	0.065	0.048	0.048	0.051	0.066	0.065	0.046	0.046	0.066	0.051	0.051	0.065	0.066	0.065	0.047	0.047	0.066	0.066	0.065	0.051	-0.232	-0.052	0.057	2016_7_16_17_38_18
FLQS312SGRWV____	-0.050	-0.018	-0.019	-0.019	-0.019	-0.018	-0.018	-0.017	-0.095	-0.019	-0.018	-0.019	-0.056	-0.055	-0.018	-0.094	-0.019	-0.057	-0.017	-0.017	-0.020	-0.094	-0.017	-0.021	-0.020	-0.018	-0.056	-0.016	-0.020	-0.019	-0.020	-0.018	-0.042	-0.005	-0.005	-0.005	-0.005	-0.006	-0.009	-0.007	-0.001	-0.005	-0.003	-0.005	-0.005	-0.011	-0.004	-0.001	-0.010	-0.040	-0.004	-0.004	-0.009	-0.001	-0.006	-0.009	-0.009	-0.009	-0.002	-0.005	-0.009	-0.004	-0.007	0.027	-0.000	-0.017	-0.016	-0.016	-0.016	-0.017	-0.016	-0.017	0.013	-0.016	-0.017	-0.016	-0.002	-0.002	-0.017	0.013	-0.015	0.002	-0.017	-0.017	-0.015	0.013	-0.016	-0.015	-0.015	-0.016	-0.002	-0.017	-0.015	-0.016	-0.016	-0.020	-0.031	-0.007	-0.011	2016_7_16_17_38_21
