SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.065	0.019	0.052	0.009	0.009	0.065	0.012	0.014	0.016	0.021	0.017	0.017	0.008	0.013	0.011	0.013	0.016	0.012	0.017	0.015	0.021	0.053	0.013	0.019	0.054	0.017	0.011	0.058	0.063	0.065	0.017	0.008	0.113	0.067	-0.060	-0.060	-0.060	0.071	0.004	0.002	0.075	0.014	0.062	0.062	-0.060	0.003	-0.058	0.003	0.075	-0.058	0.056	0.001	0.014	-0.049	0.000	0.067	0.076	0.062	0.004	0.012	0.072	0.113	0.063	-0.060	-0.104	-0.082	-0.088	-0.070	-0.070	-0.101	-0.075	-0.076	-0.082	-0.080	-0.081	-0.081	-0.070	-0.076	-0.071	-0.076	-0.082	-0.071	-0.081	-0.076	-0.080	-0.089	-0.075	-0.083	-0.097	-0.081	-0.076	-0.094	-0.101	-0.104	-0.082	-0.070	0.026	0.020	-0.082	2016_7_16_17_35_26
FLQS21YXGRX2____	0.054	0.014	0.045	0.005	0.005	0.062	0.015	0.010	0.052	0.045	0.057	0.057	0.012	0.060	0.014	0.060	0.052	0.008	0.007	0.054	0.045	0.053	0.019	0.108	0.009	0.057	0.001	0.019	0.054	0.071	0.019	0.012	0.004	0.015	0.018	-0.058	-0.058	0.016	0.007	-0.056	0.012	-0.134	0.053	0.053	0.011	0.004	0.047	0.004	0.012	-0.057	-0.054	0.014	-0.134	-0.047	0.091	0.084	0.004	0.053	-0.057	-0.087	-0.049	0.067	0.089	0.011	-0.257	-0.226	-0.308	-0.218	-0.218	-0.246	-0.226	-0.221	-0.241	-0.229	-0.246	-0.246	-0.225	-0.244	-0.228	-0.244	-0.241	-0.219	-0.219	-0.242	-0.229	-0.238	-0.234	-0.268	-0.213	-0.246	-0.216	-0.228	-0.238	-0.253	-0.233	-0.225	0.036	-0.004	-0.237	2016_7_16_17_35_29
FLQS22TQGRX2____	0.011	0.011	0.011	0.011	0.011	0.011	0.010	0.012	0.013	0.012	0.012	0.012	0.010	0.017	0.046	0.017	0.013	0.044	0.047	0.011	0.012	0.011	0.012	0.011	0.015	0.012	0.011	0.010	0.011	0.011	0.012	0.010	0.040	0.041	0.040	0.041	0.041	0.085	0.042	0.042	0.088	0.089	0.041	0.041	0.040	0.004	0.048	0.004	0.088	0.045	0.044	0.008	0.089	0.040	0.043	0.007	0.006	0.041	0.041	0.040	0.072	0.043	0.042	0.040	0.252	0.252	0.252	0.252	0.252	0.250	0.252	0.252	0.249	0.248	0.251	0.251	0.253	0.252	0.238	0.252	0.249	0.239	0.237	0.254	0.248	0.252	0.251	0.255	0.253	0.251	0.253	0.252	0.251	0.252	0.252	0.253	0.015	0.044	0.250	2016_7_16_17_35_34
FLQS22XEGRX2____	0.032	0.034	0.036	-0.006	-0.006	-0.004	-0.005	-0.000	0.083	-0.002	0.032	0.032	-0.005	0.081	-0.004	0.081	0.083	-0.002	-0.007	-0.004	-0.002	-0.005	0.083	-0.003	0.033	0.032	-0.005	-0.003	-0.006	-0.003	-0.002	-0.005	-0.000	-0.047	-0.053	-0.052	-0.052	0.003	-0.048	0.005	0.054	0.007	-0.044	-0.044	0.001	-0.071	-0.048	-0.071	0.054	-0.048	-0.041	-0.045	0.007	0.050	-0.077	-0.049	0.003	-0.044	0.002	-0.056	0.003	0.044	0.002	0.001	-0.016	-0.014	-0.014	0.003	0.003	-0.002	0.002	-0.004	-0.040	-0.003	-0.013	-0.013	-0.001	-0.031	0.001	-0.031	-0.040	0.001	0.003	0.001	-0.003	-0.005	-0.031	0.001	-0.017	-0.013	-0.002	0.001	-0.001	-0.005	-0.003	-0.001	0.018	-0.020	-0.009	2016_7_16_17_35_37
FLQS29JFGRX5____	0.018	-0.019	0.101	0.058	0.058	0.059	0.055	0.056	0.061	0.062	0.060	0.060	0.057	0.062	0.062	0.062	0.061	0.060	0.134	0.062	0.062	0.059	0.055	0.097	0.061	0.060	0.059	0.060	0.057	0.056	0.095	0.057	0.087	-0.015	0.056	0.047	0.047	0.048	0.011	-0.004	0.112	0.159	0.044	0.044	-0.042	0.112	0.043	0.112	0.112	0.043	0.058	0.091	0.159	0.045	0.000	0.053	0.046	0.044	0.046	0.046	0.007	0.000	0.055	-0.042	0.240	0.262	0.209	0.226	0.226	0.226	0.230	0.231	0.221	0.217	0.226	0.226	0.233	0.221	0.226	0.221	0.221	0.226	0.195	0.222	0.217	0.227	0.231	0.211	0.225	0.226	0.226	0.226	0.229	0.231	0.211	0.233	0.061	0.051	0.225	2016_7_16_17_35_41
FLQS30C7GRWV____	-0.129	-0.131	-0.164	-0.204	-0.204	-0.132	-0.130	-0.133	-0.132	-0.133	-0.134	-0.134	-0.131	-0.133	-0.132	-0.133	-0.132	-0.133	-0.171	-0.133	-0.133	-0.131	-0.129	-0.134	-0.135	-0.134	-0.132	-0.128	-0.133	-0.132	-0.130	-0.131	-0.001	-0.003	-0.012	-0.057	-0.057	-0.002	0.041	-0.001	0.001	0.000	-0.001	-0.001	-0.003	0.001	-0.002	0.001	0.001	-0.001	-0.055	-0.002	0.000	-0.002	-0.003	-0.002	-0.047	-0.001	-0.002	-0.001	-0.004	-0.004	-0.004	-0.003	0.060	0.061	0.075	0.093	0.093	0.061	0.057	0.061	0.061	0.061	0.062	0.062	0.061	0.062	0.061	0.062	0.061	0.062	0.080	0.061	0.061	0.061	0.060	0.062	0.065	0.062	0.061	0.059	0.062	0.061	0.061	0.061	-0.139	-0.007	0.064	2016_7_16_17_35_44
FLQS30CWGRWV____	0.079	0.005	0.079	0.007	0.007	0.033	0.038	0.036	0.038	0.038	0.038	0.038	0.038	0.035	0.037	0.035	0.038	0.005	0.038	0.037	0.038	0.037	0.037	0.038	0.035	0.038	0.036	0.039	0.037	0.037	0.005	0.038	0.086	0.000	0.003	0.039	0.039	-0.025	0.040	0.008	0.046	0.043	0.051	0.051	0.046	-0.024	0.051	-0.024	0.046	0.046	0.046	0.051	0.043	0.046	0.045	0.048	0.041	0.051	0.006	0.041	0.005	0.006	0.043	0.046	0.110	0.145	0.115	0.142	0.142	0.135	0.129	0.132	0.129	0.129	0.129	0.129	0.129	0.135	0.129	0.135	0.129	0.142	0.129	0.129	0.129	0.129	0.129	0.128	0.130	0.129	0.132	0.128	0.132	0.132	0.142	0.129	0.035	0.033	0.131	2016_7_16_17_35_48
FLQS30KBGRWV____	-0.005	-0.085	0.033	-0.006	-0.006	-0.008	-0.006	-0.004	-0.042	-0.040	-0.003	-0.003	0.031	-0.003	-0.003	-0.003	-0.042	-0.040	-0.039	-0.002	-0.040	-0.005	-0.041	-0.004	-0.005	-0.003	-0.006	-0.045	-0.008	-0.007	-0.003	0.031	-0.004	-0.039	0.037	-0.003	-0.003	-0.002	-0.006	-0.035	0.049	-0.005	-0.006	-0.006	-0.036	-0.000	-0.001	-0.000	0.049	-0.012	-0.009	-0.005	-0.005	-0.004	-0.041	0.036	-0.040	-0.006	-0.005	-0.006	-0.042	-0.005	-0.031	-0.036	-0.043	-0.008	-0.061	-0.042	-0.042	-0.042	-0.042	-0.042	-0.031	-0.028	-0.044	-0.044	-0.056	-0.044	-0.044	-0.044	-0.031	-0.028	-0.029	-0.044	-0.028	-0.043	-0.026	-0.046	-0.040	-0.044	-0.042	-0.027	-0.039	-0.042	-0.042	-0.056	-0.013	-0.007	-0.040	2016_7_16_17_35_52
FLQS30KVGRWV____	-0.247	-0.247	-0.353	-0.250	-0.250	-0.249	-0.210	-0.284	-0.284	-0.259	-0.286	-0.286	-0.250	-0.251	-0.250	-0.251	-0.284	-0.250	-0.249	-0.286	-0.259	-0.212	-0.285	-0.249	-0.251	-0.286	-0.210	-0.246	-0.209	-0.215	-0.287	-0.250	-0.062	0.004	-0.111	-0.067	-0.067	0.010	0.006	0.025	0.017	0.003	0.035	0.035	-0.061	0.012	-0.056	0.012	0.017	0.012	-0.062	0.034	0.003	-0.058	-0.041	0.011	0.053	0.035	0.006	-0.065	0.005	-0.055	-0.036	-0.061	0.066	0.062	0.112	0.067	0.067	0.061	0.046	0.075	0.075	0.066	0.074	0.074	0.066	0.062	0.067	0.062	0.075	0.061	0.066	0.075	0.066	0.051	0.079	0.062	0.060	0.074	0.046	0.065	0.046	0.052	0.080	0.066	-0.257	-0.015	0.066	2016_7_16_17_35_54
FLQS312SGRWV____	-0.012	-0.012	-0.011	-0.018	-0.018	-0.014	-0.012	-0.017	0.029	0.028	-0.019	-0.019	-0.012	-0.054	-0.055	-0.054	0.029	-0.014	-0.009	-0.017	0.028	-0.013	-0.010	-0.018	-0.015	-0.019	-0.015	-0.008	-0.016	-0.015	-0.056	-0.012	0.002	-0.009	-0.003	-0.041	-0.041	-0.003	-0.007	-0.003	0.108	0.109	-0.040	-0.040	0.048	-0.004	-0.006	-0.004	0.108	0.061	0.106	0.000	0.109	0.047	0.097	-0.004	0.036	-0.040	-0.000	0.078	-0.003	-0.002	-0.008	0.048	-0.018	-0.019	-0.019	-0.015	-0.015	-0.018	-0.019	-0.017	-0.043	-0.043	-0.014	-0.014	-0.022	-0.002	-0.001	-0.002	-0.043	-0.023	-0.027	-0.017	-0.043	-0.022	-0.026	-0.017	-0.020	-0.014	-0.018	-0.026	-0.018	-0.018	-0.000	-0.022	-0.014	0.022	-0.020	2016_7_16_17_35_57
