SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	-0.021	0.017	0.050	-0.020	0.010	0.017	0.017	0.017	0.017	0.015	0.054	0.019	-0.020	0.017	0.014	0.049	0.047	0.017	0.015	0.019	0.053	0.050	0.018	0.009	0.011	0.018	0.052	0.013	0.051	0.014	0.019	0.050	0.015	0.015	0.010	-0.033	0.011	0.013	0.012	0.012	0.013	0.009	0.049	0.013	-0.033	0.010	0.010	0.011	0.049	0.044	0.012	0.012	0.012	0.010	0.011	0.011	0.050	0.010	0.014	0.010	0.009	0.010	0.013	0.056	-0.066	-0.078	-0.090	-0.058	-0.076	-0.079	-0.078	-0.079	-0.079	-0.078	-0.098	-0.079	-0.058	-0.078	-0.077	-0.090	-0.096	-0.085	-0.078	-0.080	-0.091	-0.089	-0.079	-0.076	-0.083	-0.079	-0.092	-0.077	-0.091	-0.077	-0.080	-0.098	0.022	0.015	-0.081	2016_7_16_17_28_16
FLQS21YXGRX2____	0.019	0.058	0.053	0.051	0.052	0.018	0.053	0.020	0.020	0.056	0.052	0.015	0.051	0.053	0.049	0.055	0.053	0.020	0.016	0.054	0.052	0.053	0.055	0.017	0.020	0.056	0.020	0.052	0.057	0.016	0.053	0.018	-0.040	-0.040	0.001	-0.041	0.004	-0.036	-0.042	-0.037	-0.002	-0.002	-0.045	-0.037	-0.041	0.003	-0.042	-0.039	-0.043	-0.038	-0.038	-0.001	-0.074	-0.041	-0.041	-0.037	-0.042	-0.041	-0.040	0.003	-0.041	-0.043	-0.003	-0.043	-0.219	-0.233	-0.239	-0.230	-0.239	-0.220	-0.231	-0.221	-0.227	-0.239	-0.230	-0.219	-0.230	-0.238	-0.230	-0.232	-0.231	-0.220	-0.219	-0.239	-0.225	-0.232	-0.232	-0.219	-0.219	-0.232	-0.220	-0.238	-0.233	-0.218	-0.237	-0.219	0.040	-0.031	-0.229	2016_7_16_17_28_19
FLQS22TQGRX2____	0.016	0.015	0.017	0.016	0.016	0.015	0.016	0.052	0.016	0.016	0.016	0.012	0.016	0.016	0.046	0.015	0.014	0.017	0.011	0.016	0.015	0.015	0.016	0.012	0.014	0.016	0.015	0.052	0.013	0.014	0.014	0.012	0.002	0.047	0.005	0.046	0.044	0.045	0.047	0.044	0.044	0.046	0.045	0.012	0.046	0.045	0.048	0.047	0.045	0.046	0.042	0.048	0.014	0.045	0.047	0.043	0.045	0.045	0.012	0.048	0.044	0.045	0.045	0.043	0.253	0.246	0.252	0.245	0.246	0.246	0.246	0.234	0.246	0.245	0.246	0.253	0.245	0.246	0.235	0.246	0.247	0.245	0.248	0.245	0.252	0.246	0.246	0.248	0.247	0.245	0.252	0.232	0.247	0.247	0.246	0.247	0.018	0.040	0.246	2016_7_16_17_28_22
FLQS22XEGRX2____	0.044	0.041	0.041	0.038	0.042	0.044	0.041	0.043	0.044	0.045	0.042	0.040	0.038	0.040	0.042	0.042	0.012	0.044	0.042	0.042	0.041	0.041	0.041	0.042	0.040	0.041	0.043	0.007	0.041	0.040	0.043	0.010	-0.000	-0.005	0.036	-0.045	0.000	-0.001	-0.008	-0.003	-0.003	-0.003	-0.000	-0.004	-0.045	0.035	0.000	-0.046	-0.033	-0.035	-0.044	-0.002	-0.033	-0.002	-0.006	-0.001	0.002	-0.008	-0.036	0.042	-0.002	0.043	-0.042	-0.004	-0.018	-0.017	-0.024	-0.009	-0.018	-0.019	-0.016	-0.017	-0.018	-0.019	-0.018	-0.016	-0.009	-0.023	-0.018	-0.010	-0.002	-0.013	-0.010	-0.017	-0.011	-0.017	-0.017	-0.018	-0.017	-0.016	-0.012	-0.013	-0.018	-0.025	-0.010	-0.006	0.039	-0.008	-0.015	2016_7_16_17_28_25
FLQS29JFGRX5____	0.063	0.062	0.062	0.099	0.062	0.061	0.098	0.061	0.062	0.064	0.063	0.062	0.099	0.061	0.064	0.065	0.067	0.063	0.100	0.062	0.062	0.065	0.065	0.063	0.062	0.064	0.063	0.063	0.061	0.062	0.061	0.063	0.050	0.051	0.050	0.049	0.009	0.049	0.049	0.050	0.050	0.047	0.050	0.049	0.049	0.051	0.008	0.088	0.006	0.048	0.088	0.047	0.049	0.051	0.093	0.047	0.050	0.051	0.047	0.008	0.048	0.009	0.089	0.091	0.222	0.222	0.222	0.210	0.230	0.223	0.210	0.223	0.223	0.223	0.222	0.223	0.210	0.222	0.229	0.215	0.229	0.223	0.202	0.224	0.222	0.221	0.214	0.223	0.223	0.222	0.223	0.230	0.224	0.230	0.216	0.215	0.067	0.049	0.221	2016_7_16_17_28_29
FLQS30C7GRWV____	-0.143	-0.143	-0.148	-0.146	-0.143	-0.103	-0.143	-0.141	-0.142	-0.146	-0.181	-0.181	-0.146	-0.175	-0.147	-0.143	-0.104	-0.143	-0.143	-0.143	-0.148	-0.149	-0.143	-0.181	-0.143	-0.145	-0.143	-0.147	-0.180	-0.145	-0.145	-0.144	-0.062	-0.020	-0.023	-0.022	-0.060	-0.060	-0.064	-0.059	-0.058	-0.022	-0.060	-0.056	-0.022	-0.064	-0.021	-0.019	-0.024	-0.057	-0.020	-0.061	-0.058	-0.065	-0.020	-0.059	-0.064	-0.064	-0.057	-0.060	-0.063	-0.062	-0.023	-0.062	0.068	0.061	0.064	0.062	0.068	0.054	0.068	0.068	0.067	0.063	0.082	0.082	0.062	0.081	0.063	0.061	0.048	0.068	0.062	0.068	0.070	0.071	0.062	0.082	0.069	0.069	0.068	0.070	0.082	0.069	0.063	0.069	-0.147	-0.047	0.068	2016_7_16_17_28_36
FLQS30CWGRWV____	-0.004	0.028	-0.003	-0.004	-0.005	0.026	0.030	0.029	-0.005	-0.007	-0.011	-0.006	-0.004	-0.005	0.029	0.029	-0.004	-0.003	-0.008	-0.005	-0.004	-0.004	-0.005	-0.000	-0.008	-0.006	-0.007	-0.008	0.028	-0.010	-0.008	-0.005	0.008	0.009	0.008	0.046	0.048	0.008	0.006	0.007	0.014	0.009	0.044	0.043	0.046	0.003	0.047	0.006	0.005	0.041	0.007	0.008	-0.023	0.005	0.007	0.005	0.045	0.009	0.013	0.046	0.046	0.006	0.002	0.047	0.147	0.135	0.146	0.140	0.140	0.137	0.136	0.136	0.147	0.148	0.143	0.142	0.140	0.148	0.129	0.136	0.147	0.141	0.148	0.147	0.152	0.147	0.147	0.147	0.142	0.148	0.147	0.141	0.130	0.149	0.150	0.141	0.002	0.019	0.143	2016_7_16_17_28_39
FLQS30KBGRWV____	-0.017	-0.018	-0.018	-0.022	-0.022	-0.020	-0.053	-0.055	-0.021	-0.021	-0.058	-0.020	-0.022	-0.019	-0.056	-0.021	-0.019	-0.019	-0.057	-0.020	-0.023	-0.020	-0.021	-0.021	-0.022	-0.021	-0.021	-0.021	-0.056	-0.019	-0.019	-0.022	-0.042	0.003	-0.003	0.002	0.002	-0.036	0.001	-0.001	-0.001	0.002	0.002	-0.001	0.002	0.002	0.001	-0.001	0.001	-0.032	0.003	0.002	-0.033	0.042	-0.001	-0.001	-0.036	-0.000	-0.001	0.003	0.001	0.002	-0.037	0.002	-0.032	-0.040	-0.039	-0.038	-0.038	-0.032	-0.026	-0.025	-0.037	-0.039	-0.026	-0.038	-0.038	-0.039	-0.026	-0.038	-0.039	-0.033	-0.026	-0.039	-0.031	-0.046	-0.037	-0.038	-0.031	-0.038	-0.037	-0.038	-0.026	-0.039	-0.032	-0.038	-0.027	-0.005	-0.035	2016_7_16_17_28_43
FLQS30KVGRWV____	-0.215	-0.216	-0.215	-0.212	-0.248	-0.212	-0.215	-0.215	-0.217	-0.282	-0.244	-0.248	-0.212	-0.249	-0.249	-0.214	-0.247	-0.215	-0.213	-0.249	-0.248	-0.214	-0.214	-0.213	-0.249	-0.215	-0.216	-0.252	-0.250	-0.248	-0.250	-0.247	-0.117	-0.079	-0.117	-0.077	-0.118	-0.080	-0.077	-0.081	-0.080	-0.114	-0.116	-0.081	-0.077	-0.123	-0.117	-0.077	-0.117	-0.080	-0.077	-0.078	-0.112	-0.080	-0.077	-0.078	-0.116	-0.078	-0.078	-0.119	-0.075	-0.079	-0.077	-0.077	0.058	0.052	0.057	0.050	0.070	0.050	0.051	0.052	0.052	0.081	0.068	0.063	0.050	0.071	0.069	0.051	0.069	0.051	0.050	0.063	0.069	0.051	0.051	0.051	0.069	0.051	0.052	0.071	0.063	0.063	0.063	0.062	-0.231	-0.092	0.059	2016_7_16_17_28_46
FLQS312SGRWV____	-0.014	-0.013	-0.014	-0.052	-0.016	-0.052	-0.052	-0.052	-0.050	-0.015	-0.014	-0.016	-0.052	-0.014	-0.052	-0.050	-0.013	-0.015	-0.050	-0.019	-0.016	-0.015	-0.051	-0.013	-0.052	-0.052	-0.014	-0.016	-0.057	-0.013	-0.016	-0.016	-0.008	-0.012	-0.008	-0.046	-0.006	-0.007	-0.045	-0.009	-0.013	-0.014	-0.044	-0.007	-0.046	-0.008	-0.047	-0.007	-0.008	-0.008	-0.006	-0.011	-0.009	-0.008	-0.047	-0.007	-0.047	-0.006	-0.040	-0.007	-0.047	-0.008	-0.009	-0.007	-0.017	-0.017	-0.018	0.002	-0.018	-0.005	0.002	-0.004	-0.005	-0.015	-0.011	-0.017	0.002	-0.018	0.003	-0.005	-0.018	-0.018	-0.005	-0.016	-0.017	-0.018	0.002	-0.018	0.002	-0.005	-0.012	-0.017	0.004	-0.018	-0.016	-0.017	-0.030	-0.019	-0.010	2016_7_16_17_28_50
