SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.014	0.015	0.013	0.012	0.014	0.013	0.014	0.011	0.014	0.014	0.013	0.015	-0.005	0.014	-0.002	0.011	0.014	0.013	0.013	0.013	0.014	0.016	0.012	0.013	0.017	0.016	0.017	0.014	0.015	0.016	0.015	0.014	0.012	0.023	0.050	0.016	0.014	0.011	0.017	0.017	0.023	0.013	0.014	0.016	0.014	0.014	0.026	0.011	0.016	0.015	0.017	0.021	0.014	0.015	0.014	0.009	0.009	0.013	0.007	0.009	0.009	0.014	0.013	0.013	-0.077	-0.079	-0.082	-0.077	-0.077	-0.077	-0.078	-0.077	-0.079	-0.077	-0.077	-0.079	-0.071	-0.078	-0.074	-0.076	-0.077	-0.077	-0.077	-0.078	-0.077	-0.078	-0.076	-0.076	-0.078	-0.078	-0.077	-0.077	-0.077	-0.077	-0.078	-0.077	0.013	0.016	-0.077	2016_7_16_17_23_48
FLQS21YXGRX2____	0.056	0.019	0.055	0.018	0.019	0.056	0.020	0.057	0.055	0.056	0.056	0.021	0.054	0.056	0.055	0.055	0.020	0.057	0.056	0.054	0.091	0.055	0.056	0.091	0.016	0.056	0.090	0.055	0.054	0.054	0.019	0.019	-0.042	-0.042	-0.045	-0.043	-0.043	-0.005	-0.042	-0.008	-0.039	-0.043	-0.041	-0.040	-0.041	-0.007	-0.036	-0.010	-0.043	-0.039	-0.039	-0.008	0.005	-0.037	-0.009	0.009	-0.069	-0.038	-0.005	-0.038	-0.005	-0.010	-0.058	-0.071	-0.232	-0.220	-0.231	-0.220	-0.220	-0.237	-0.220	-0.237	-0.232	-0.231	-0.232	-0.221	-0.232	-0.237	-0.233	-0.236	-0.220	-0.233	-0.232	-0.237	-0.250	-0.232	-0.237	-0.251	-0.215	-0.233	-0.248	-0.232	-0.237	-0.236	-0.217	-0.216	0.049	-0.031	-0.231	2016_7_16_17_23_56
FLQS22TQGRX2____	0.014	0.015	0.017	0.015	0.016	0.016	0.015	0.017	0.014	0.013	0.016	0.014	0.018	0.013	0.016	0.016	0.014	0.016	0.017	0.016	0.015	0.014	0.015	0.015	0.016	0.018	0.014	0.017	0.016	0.016	0.017	0.014	0.011	0.014	0.008	0.014	0.011	0.008	0.016	0.013	0.012	0.012	0.044	0.014	0.005	0.012	0.014	0.042	0.014	0.045	0.009	0.011	0.014	0.013	0.014	0.002	0.007	0.041	0.003	0.043	0.002	0.010	0.006	0.003	0.253	0.253	0.253	0.253	0.253	0.253	0.252	0.252	0.253	0.253	0.247	0.252	0.253	0.253	0.252	0.248	0.253	0.247	0.252	0.252	0.252	0.253	0.252	0.254	0.253	0.247	0.255	0.247	0.254	0.253	0.253	0.255	0.015	0.015	0.252	2016_7_16_17_23_59
FLQS22XEGRX2____	0.043	0.046	0.044	0.046	0.046	0.044	-0.004	0.047	0.045	0.044	0.043	0.044	0.046	0.044	0.047	0.044	0.046	0.045	0.045	-0.007	0.046	-0.003	0.046	-0.006	-0.003	0.045	-0.004	-0.006	0.044	0.046	-0.007	0.009	0.001	0.002	-0.001	-0.000	-0.001	0.002	-0.054	0.001	0.003	-0.000	0.001	0.002	-0.000	0.003	0.002	0.001	0.003	0.001	0.002	-0.052	-0.001	-0.055	-0.001	-0.057	-0.090	0.003	-0.076	-0.061	0.006	-0.001	-0.045	-0.005	-0.017	-0.019	-0.018	-0.018	-0.018	-0.018	0.006	-0.019	-0.019	-0.018	-0.017	-0.018	-0.019	-0.018	-0.018	-0.018	-0.018	-0.018	-0.019	0.006	-0.018	0.006	-0.018	0.008	0.012	-0.018	0.010	0.008	-0.019	-0.018	0.006	-0.005	0.031	-0.015	-0.011	2016_7_16_17_24_02
FLQS29JFGRX5____	0.104	0.059	0.107	0.075	0.073	0.059	0.053	0.115	0.059	0.059	0.059	0.059	0.105	0.059	0.046	0.059	0.059	0.048	0.047	0.059	0.106	0.054	0.052	0.059	0.059	0.047	0.057	0.112	0.060	0.059	0.053	0.059	0.051	0.050	0.043	0.093	0.098	0.050	0.004	0.087	0.050	-0.020	0.120	0.050	0.046	0.050	0.004	0.050	0.050	0.002	0.002	0.050	0.049	0.004	0.005	0.050	-0.020	0.014	0.008	0.020	0.003	0.007	0.025	0.050	0.212	0.226	0.212	0.214	0.214	0.226	0.235	0.202	0.226	0.237	0.216	0.226	0.211	0.226	0.238	0.226	0.226	0.237	0.237	0.226	0.211	0.235	0.236	0.227	0.237	0.235	0.234	0.213	0.233	0.232	0.232	0.226	0.067	0.036	0.226	2016_7_16_17_24_15
FLQS30C7GRWV____	-0.181	-0.182	-0.183	-0.183	-0.181	-0.181	-0.181	-0.183	-0.183	-0.184	-0.181	-0.182	-0.183	-0.182	-0.185	-0.180	-0.182	-0.181	-0.183	-0.183	-0.184	-0.183	-0.183	-0.186	-0.186	-0.186	-0.186	-0.187	-0.186	-0.182	-0.184	-0.182	-0.064	-0.062	-0.071	-0.062	-0.062	-0.069	-0.060	-0.061	-0.061	-0.097	-0.030	-0.064	-0.063	-0.066	-0.063	-0.066	-0.067	-0.065	-0.062	-0.060	-0.059	-0.069	-0.063	-0.094	-0.058	-0.060	-0.062	-0.056	-0.058	-0.057	-0.057	-0.060	0.077	0.077	0.079	0.077	0.076	0.078	0.076	0.077	0.077	0.082	0.071	0.077	0.078	0.078	0.078	0.077	0.078	0.077	0.077	0.076	0.077	0.078	0.077	0.083	0.078	0.078	0.078	0.078	0.078	0.076	0.077	0.076	-0.183	-0.063	0.077	2016_7_16_17_24_18
FLQS30CWGRWV____	0.027	0.026	0.029	0.027	0.027	0.029	0.027	0.028	0.027	0.031	0.028	0.029	0.032	0.028	0.028	-0.005	0.027	0.027	0.029	0.028	0.028	-0.008	0.027	0.029	0.031	0.031	0.030	0.029	0.031	-0.002	0.028	0.029	0.056	0.054	0.053	0.055	0.056	0.055	0.052	0.057	0.056	0.087	0.054	0.056	0.050	0.056	0.056	0.049	0.053	0.052	0.059	0.057	0.054	0.047	0.053	0.047	0.089	0.050	0.046	0.046	0.046	0.047	0.052	0.051	0.129	0.130	0.130	0.129	0.130	0.129	0.131	0.129	0.129	0.124	0.130	0.129	0.129	0.130	0.129	0.142	0.130	0.130	0.129	0.129	0.129	0.142	0.131	0.131	0.124	0.130	0.131	0.130	0.130	0.141	0.130	0.130	0.025	0.055	0.130	2016_7_16_17_24_21
FLQS30KBGRWV____	-0.029	-0.030	-0.030	-0.028	-0.029	-0.027	-0.029	-0.029	-0.029	-0.028	-0.028	-0.026	-0.028	-0.028	-0.029	-0.029	-0.028	-0.029	-0.028	-0.029	-0.028	-0.029	-0.028	-0.030	-0.027	-0.031	-0.030	-0.029	-0.029	-0.027	-0.031	-0.028	0.003	0.007	0.007	0.003	0.003	0.002	-0.001	0.003	0.002	0.002	0.002	0.003	0.003	0.002	0.005	0.002	0.002	0.003	0.002	0.005	0.003	0.002	0.001	0.006	0.003	0.001	0.007	0.006	0.008	0.003	0.001	0.008	-0.036	-0.037	-0.036	-0.037	-0.037	-0.036	-0.035	-0.037	-0.036	-0.036	-0.037	-0.037	-0.036	-0.037	-0.037	-0.036	-0.036	-0.037	-0.037	-0.036	-0.036	-0.036	-0.036	-0.036	-0.037	-0.035	-0.036	-0.037	-0.037	-0.037	-0.036	-0.037	-0.029	0.003	-0.036	2016_7_16_17_24_24
FLQS30KVGRWV____	-0.261	-0.262	-0.262	-0.263	-0.263	-0.262	-0.263	-0.264	-0.263	-0.264	-0.260	-0.254	-0.263	-0.260	-0.265	-0.262	-0.260	-0.263	-0.263	-0.264	-0.262	-0.262	-0.264	-0.265	-0.263	-0.264	-0.262	-0.265	-0.265	-0.264	-0.265	-0.261	-0.118	-0.115	-0.117	-0.118	-0.116	-0.118	-0.115	-0.116	-0.113	-0.119	-0.117	-0.066	-0.112	-0.120	-0.114	-0.118	-0.085	-0.117	-0.117	-0.114	-0.115	-0.115	-0.119	-0.123	-0.081	-0.120	-0.119	-0.119	-0.120	-0.120	-0.121	-0.118	0.065	0.065	0.066	0.066	0.066	0.066	0.066	0.066	0.065	0.066	0.065	0.056	0.065	0.065	0.066	0.066	0.060	0.066	0.067	0.065	0.065	0.065	0.067	0.067	0.060	0.066	0.066	0.067	0.066	0.067	0.068	0.065	-0.263	-0.114	0.065	2016_7_16_17_24_28
FLQS312SGRWV____	-0.019	-0.018	-0.019	-0.017	-0.017	-0.018	-0.018	-0.018	-0.019	-0.019	-0.018	-0.019	-0.019	-0.019	-0.018	-0.019	-0.018	-0.018	-0.018	-0.017	-0.016	-0.017	-0.017	-0.014	-0.018	-0.017	-0.017	-0.016	-0.017	-0.019	-0.017	-0.017	-0.005	-0.003	-0.009	-0.007	-0.006	-0.008	-0.004	-0.010	-0.005	-0.005	-0.006	-0.005	-0.006	-0.006	-0.010	-0.007	-0.007	-0.009	-0.009	-0.007	-0.005	-0.005	-0.008	-0.004	-0.012	-0.003	-0.008	-0.005	-0.009	-0.010	-0.003	-0.008	-0.017	-0.017	-0.016	-0.017	-0.017	-0.017	-0.017	-0.016	-0.016	-0.017	-0.017	-0.017	-0.016	-0.017	-0.016	-0.017	-0.017	-0.017	-0.017	-0.017	-0.017	-0.018	-0.017	-0.018	-0.016	-0.018	-0.017	-0.018	-0.017	-0.016	-0.018	-0.017	-0.018	-0.007	-0.017	2016_7_16_17_24_31
