SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS3087GRWV____	-0.280	-0.265	-0.272	-0.210	-0.324	-0.209	-0.221	-0.230	-0.280	-0.218	-0.220	-0.219	-0.280	-0.217	-0.285	-0.235	-0.222	-0.231	-0.216	-0.236	-0.210	-0.280	-0.228	-0.231	-0.280	-0.280	-0.286	-0.227	-0.271	-0.232	-0.214	-0.232	-0.140	-0.135	-0.134	-0.070	-0.201	-0.068	-0.079	-0.077	-0.140	-0.075	-0.074	-0.135	-0.140	-0.112	-0.198	-0.107	-0.135	-0.075	-0.076	-0.110	-0.210	-0.140	-0.102	-0.099	-0.140	-0.140	-0.200	-0.075	-0.131	-0.101	-0.072	-0.103	0.597	0.602	0.600	0.610	0.593	0.610	0.607	0.603	0.597	0.607	0.606	0.619	0.598	0.616	0.607	0.608	0.618	0.603	0.609	0.608	0.637	0.598	0.609	0.608	0.597	0.598	0.607	0.604	0.599	0.607	0.608	0.609	-0.245	-0.119	0.606	2016_7_16_17_35_04
FLQS2044GRWY____	0.056	0.058	0.027	0.057	0.060	0.060	0.056	0.025	0.023	0.049	0.051	0.055	0.055	0.058	0.061	0.053	0.059	0.060	0.022	0.055	0.053	0.059	0.051	0.051	0.056	0.061	0.056	0.059	0.023	0.050	0.051	0.053	-0.002	0.001	0.002	0.000	0.001	0.001	0.032	0.002	-0.002	0.027	0.028	0.031	0.034	-0.004	0.001	-0.002	-0.002	-0.001	-0.001	-0.000	-0.004	0.001	0.034	0.033	0.031	-0.000	0.032	-0.000	0.000	0.031	-0.001	0.034	-0.653	-0.653	-0.665	-0.652	-0.652	-0.652	-0.660	-0.665	-0.665	-0.661	-0.660	-0.660	-0.660	-0.652	-0.652	-0.654	-0.651	-0.651	-0.666	-0.653	-0.654	-0.652	-0.662	-0.662	-0.660	-0.652	-0.660	-0.652	-0.665	-0.661	-0.655	-0.662	0.051	0.010	-0.657	2016_7_16_17_35_09
FLQS312SGRWV____	-0.002	0.002	0.003	-0.000	0.059	0.065	-0.052	0.000	-0.035	-0.004	-0.001	0.027	0.054	0.002	0.056	-0.057	-0.000	-0.000	0.021	-0.002	-0.035	0.000	-0.003	-0.004	0.052	0.001	0.019	0.008	-0.001	0.002	0.000	0.001	-0.015	-0.044	-0.045	-0.000	0.014	0.018	-0.058	0.000	-0.045	-0.014	-0.016	0.012	0.009	-0.012	0.011	-0.133	-0.047	0.000	0.010	-0.042	-0.043	-0.000	-0.047	-0.008	0.011	-0.013	0.014	-0.048	-0.013	-0.044	-0.070	-0.046	0.002	0.009	0.010	-0.000	0.019	0.021	-0.008	-0.000	-0.005	0.001	0.003	0.008	0.018	0.003	0.019	0.005	0.009	-0.000	0.006	0.007	-0.004	-0.000	0.009	0.001	0.017	0.003	0.005	0.012	0.002	0.009	0.014	0.009	0.006	-0.022	0.006	2016_7_16_17_35_13
FLQS30KVGRWV____	0.116	0.115	0.118	0.090	0.081	0.071	0.090	0.070	0.119	0.085	0.086	0.084	0.082	0.082	0.085	0.083	0.084	0.079	0.073	0.118	0.087	0.092	0.090	0.117	0.086	0.087	0.140	0.084	0.086	0.117	0.087	0.089	-0.087	-0.090	-0.087	-0.118	-0.123	-0.140	-0.117	-0.140	-0.084	-0.116	-0.118	-0.118	-0.064	-0.121	-0.119	-0.089	-0.124	-0.125	-0.134	-0.088	-0.116	-0.118	-0.118	-0.127	-0.116	-0.118	-0.070	-0.122	-0.121	-0.091	-0.082	-0.118	0.734	0.735	0.736	0.731	0.728	0.728	0.730	0.728	0.735	0.729	0.730	0.729	0.717	0.729	0.730	0.722	0.730	0.729	0.727	0.735	0.729	0.731	0.731	0.743	0.729	0.730	0.740	0.730	0.730	0.736	0.722	0.730	0.093	-0.110	0.730	2016_7_16_17_35_18
FLQS30KBGRWV____	-0.070	-0.071	-0.072	-0.055	-0.060	-0.137	-0.015	-0.070	-0.070	-0.070	-0.140	-0.134	-0.124	-0.128	-0.128	-0.070	-0.014	-0.070	0.000	-0.075	-0.133	-0.070	-0.075	-0.076	-0.056	-0.127	-0.129	-0.075	-0.077	-0.079	-0.008	-0.104	0.140	0.068	0.067	0.010	0.005	0.001	0.127	0.070	0.070	0.070	0.070	0.009	0.009	0.009	0.007	0.140	0.131	0.070	0.070	0.066	0.005	0.070	0.038	0.068	0.010	0.010	0.006	0.067	0.068	0.066	0.138	0.036	-0.054	-0.040	-0.040	-0.023	-0.023	-0.051	-0.031	-0.040	-0.040	-0.040	-0.066	-0.052	-0.048	-0.050	-0.050	-0.054	-0.032	-0.040	-0.014	-0.041	-0.051	-0.040	-0.035	-0.042	-0.023	-0.050	-0.049	-0.042	-0.042	-0.042	-0.030	-0.046	-0.081	0.056	-0.041	2016_7_16_17_35_23
FLQS30CWGRWV____	0.045	0.014	0.017	-0.000	0.012	0.015	0.069	0.070	0.066	0.005	0.078	0.017	0.070	0.017	-0.056	0.079	0.014	0.068	0.070	0.016	0.012	0.014	0.017	0.016	0.012	0.070	0.015	0.015	0.047	0.017	0.070	0.013	-0.022	-0.049	-0.052	-0.070	-0.065	-0.054	0.007	-0.000	0.003	-0.034	0.016	-0.051	0.000	-0.052	-0.130	0.016	-0.054	0.009	0.006	-0.053	-0.060	-0.054	-0.049	-0.052	-0.052	-0.000	-0.055	-0.062	-0.020	-0.053	0.000	-0.051	0.021	0.014	0.017	0.014	0.017	0.016	0.024	0.027	0.024	0.009	0.026	0.016	0.026	0.017	0.005	0.026	0.016	0.024	0.025	0.016	0.016	0.016	0.016	0.016	0.015	0.026	0.016	0.018	0.021	0.016	0.026	0.015	0.031	-0.035	0.019	2016_7_16_17_35_28
FLQS30C7GRWV____	0.048	0.011	0.010	0.043	0.009	0.014	0.010	0.080	0.015	0.009	0.009	0.009	0.041	0.048	0.041	0.004	0.043	0.041	0.044	0.011	0.007	0.038	0.015	0.008	0.006	0.038	0.046	0.039	0.011	0.014	0.039	0.044	-0.064	-0.060	-0.062	-0.065	-0.065	-0.062	-0.065	-0.032	-0.030	-0.031	-0.033	-0.029	-0.033	-0.066	-0.029	-0.033	-0.030	-0.031	-0.028	-0.059	-0.032	-0.033	-0.063	-0.082	-0.064	-0.033	-0.063	-0.031	-0.059	-0.060	-0.035	-0.030	0.031	0.016	0.016	0.029	0.016	0.017	0.016	0.037	0.011	0.009	0.010	0.009	0.021	0.030	0.020	0.008	0.022	0.021	0.023	0.015	0.009	0.021	0.017	0.019	0.014	0.021	0.030	0.020	0.016	0.017	0.022	0.022	0.026	-0.047	0.019	2016_7_16_17_35_33
FLQS29JFGRX5____	-0.045	-0.015	-0.018	-0.045	-0.014	-0.018	-0.068	-0.056	-0.046	-0.015	-0.006	-0.016	-0.015	-0.015	-0.015	-0.079	-0.014	-0.015	-0.014	-0.016	-0.006	-0.015	-0.017	-0.017	0.000	-0.075	-0.012	-0.016	-0.017	-0.015	-0.070	-0.015	0.037	0.067	0.065	0.036	0.066	0.065	0.005	0.083	0.038	0.065	0.067	0.067	0.130	0.066	0.065	-0.007	0.065	0.065	0.065	0.062	0.067	0.065	0.064	0.064	0.070	0.004	0.065	0.065	0.064	0.065	0.000	0.065	-0.024	-0.019	-0.020	-0.024	-0.018	-0.020	-0.027	-0.038	-0.025	-0.019	-0.015	-0.019	-0.031	-0.019	-0.019	-0.028	-0.019	-0.018	-0.019	-0.017	-0.015	-0.019	-0.019	-0.019	-0.014	-0.029	-0.017	-0.019	-0.019	-0.019	-0.026	-0.019	-0.026	0.057	-0.021	2016_7_16_17_35_38
FLQS22XEGRX2____	-0.052	-0.022	-0.058	-0.021	-0.105	-0.054	-0.057	-0.104	-0.050	-0.053	-0.053	-0.054	-0.088	-0.055	-0.059	-0.052	-0.056	-0.058	-0.055	-0.056	-0.048	-0.020	-0.054	-0.053	-0.020	-0.018	-0.052	-0.059	-0.029	-0.052	-0.020	-0.052	-0.027	0.033	0.001	0.001	-0.001	0.001	0.000	0.002	-0.026	0.004	0.003	0.002	-0.028	0.002	0.001	0.002	0.000	0.000	0.001	0.004	-0.026	-0.001	0.035	0.002	-0.000	0.001	0.001	0.001	0.028	0.001	-0.003	0.001	0.660	0.659	0.652	0.667	0.636	0.654	0.653	0.635	0.661	0.654	0.654	0.654	0.647	0.653	0.652	0.654	0.653	0.652	0.654	0.653	0.662	0.666	0.647	0.654	0.667	0.667	0.655	0.652	0.658	0.655	0.667	0.654	-0.051	0.001	0.655	2016_7_16_17_35_44
FLQS22TQGRX2____	-0.036	-0.010	0.020	-0.009	-0.007	-0.007	0.032	-0.003	0.024	-0.005	-0.006	-0.002	-0.007	-0.004	-0.003	-0.005	-0.003	-0.004	-0.004	-0.009	-0.005	-0.007	-0.006	-0.006	-0.006	-0.007	-0.003	-0.007	-0.004	-0.004	-0.003	-0.011	-0.035	-0.040	-0.008	-0.006	-0.005	-0.006	-0.007	-0.004	-0.009	-0.007	-0.010	-0.003	-0.004	-0.005	-0.041	-0.008	-0.003	-0.004	-0.004	-0.004	-0.005	-0.007	-0.003	-0.005	-0.007	-0.005	-0.004	-0.005	-0.005	-0.004	-0.035	-0.039	-0.006	0.004	0.009	-0.002	-0.002	-0.001	0.013	-0.001	0.011	-0.000	-0.000	-0.000	-0.001	-0.001	0.007	-0.000	-0.000	-0.001	-0.000	-0.002	-0.000	-0.001	-0.001	-0.001	-0.001	-0.001	-0.000	-0.002	-0.001	-0.001	0.006	0.004	-0.004	-0.011	0.001	2016_7_16_17_35_49
