SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-8.866	-8.723	-8.871	-8.825	-8.826	-8.862	-8.795	-8.341	-8.870	-8.745	-8.813	-8.827	-8.912	-8.941	-8.380	-8.570	-8.622	-8.701	-8.934	-8.762	-8.859	-8.978	-8.729	-8.302	-8.568	-8.869	-8.834	-8.856	-8.834	-9.137	-8.883	-8.848	117.785	117.740	118.507	117.935	117.637	117.616	117.716	117.947	117.721	117.888	117.793	117.614	118.069	118.093	117.534	117.865	117.361	117.625	117.547	117.287	117.682	118.089	117.458	117.578	117.646	117.569	117.511	117.516	117.788	117.816	117.759	117.748	94.336	94.269	94.313	94.311	94.322	94.341	94.304	94.077	94.341	94.274	94.310	94.324	94.348	94.361	94.110	94.190	94.233	94.262	94.378	94.304	94.337	94.379	94.282	94.070	94.197	94.346	94.331	94.341	94.321	94.466	94.346	94.329	2016_7_15_8_30_09
F2LS3GSUHFM5____	-8.951	-8.938	-9.160	-9.037	-9.206	-8.754	-9.009	-9.033	-8.848	-9.009	-8.824	-8.905	-9.079	-9.228	-8.915	-8.626	-8.947	-8.837	-8.956	-8.707	-9.136	-9.010	-8.758	-8.651	-8.900	-9.146	-9.285	-8.877	-9.237	-9.522	-9.037	-9.007	117.655	117.670	117.927	117.675	117.806	117.498	117.646	117.521	117.348	118.363	117.997	117.800	117.368	117.699	117.846	117.528	117.535	117.813	117.482	117.490	117.615	117.631	117.654	117.264	117.376	117.429	118.091	117.578	117.524	117.677	117.886	117.373	94.375	94.368	94.466	94.416	94.492	94.285	94.403	94.419	94.336	94.377	94.301	94.347	94.447	94.507	94.351	94.222	94.377	94.314	94.383	94.263	94.466	94.404	94.281	94.243	94.360	94.478	94.520	94.342	94.518	94.650	94.408	94.412	2016_7_15_8_30_13
F2LS3GZKHFM5____	-8.734	-8.710	-8.756	-8.951	-8.748	-8.736	-8.905	-8.600	-8.668	-8.752	-8.587	-8.749	-8.508	-8.897	-8.622	-8.372	-8.484	-8.703	-8.732	-8.543	-8.976	-9.060	-8.611	-8.436	-8.628	-8.608	-8.696	-8.649	-8.955	-9.011	-8.618	-8.913	117.430	117.791	117.931	117.652	117.806	117.407	117.809	117.784	118.196	117.350	117.803	117.847	117.932	117.297	118.293	117.788	117.326	117.267	117.445	117.934	117.529	117.343	117.104	117.163	117.752	117.683	117.223	117.765	117.619	117.471	117.824	117.465	94.345	94.320	94.337	94.442	94.338	94.346	94.414	94.267	94.285	94.356	94.260	94.337	94.217	94.428	94.260	94.157	94.227	94.335	94.343	94.234	94.458	94.506	94.296	94.209	94.282	94.274	94.333	94.291	94.445	94.477	94.274	94.430	2016_7_15_8_30_17
F2LS3HTSHFM5____	-8.642	-8.504	-8.485	-8.666	-8.544	-8.643	-8.633	-8.310	-8.461	-8.518	-8.513	-8.526	-8.637	-8.651	-8.411	-8.427	-8.333	-8.513	-8.643	-8.474	-8.606	-8.640	-8.709	-8.298	-8.424	-8.518	-8.607	-8.434	-8.739	-8.856	-8.457	-8.559	117.732	117.803	117.876	117.861	117.764	118.224	118.100	118.287	117.797	118.225	118.012	118.069	117.804	118.438	118.123	117.988	117.677	117.312	118.003	117.810	118.634	118.032	117.512	117.384	117.823	118.099	117.842	118.038	117.841	117.884	118.721	117.958	94.301	94.232	94.220	94.308	94.252	94.284	94.283	94.121	94.211	94.223	94.228	94.233	94.296	94.280	94.176	94.188	94.153	94.253	94.292	94.217	94.252	94.289	94.341	94.146	94.192	94.228	94.280	94.190	94.344	94.399	94.177	94.253	2016_7_15_8_30_20
F2LS3J5VHFM5____	-8.904	-8.491	-8.796	-8.855	-8.806	-8.845	-8.828	-8.596	-8.721	-8.785	-8.532	-8.795	-8.499	-8.858	-8.546	-8.675	-8.455	-8.881	-9.084	-8.751	-8.607	-8.743	-8.716	-8.475	-8.360	-8.662	-8.999	-8.703	-8.999	-8.986	-8.740	-8.827	117.083	117.529	117.580	117.639	116.949	116.681	117.138	117.033	117.245	117.275	117.453	117.175	117.451	117.613	117.497	117.419	117.049	116.670	116.963	116.329	117.729	117.770	116.898	116.826	117.343	117.209	117.137	117.142	117.085	117.458	117.069	116.993	94.412	94.195	94.341	94.368	94.369	94.398	94.373	94.264	94.317	94.347	94.218	94.355	94.202	94.370	94.223	94.288	94.194	94.416	94.504	94.365	94.244	94.309	94.327	94.212	94.138	94.290	94.456	94.312	94.458	94.438	94.333	94.377	2016_7_15_8_30_24
F2LS3JECHFM5____	-8.971	-8.569	-8.544	-8.729	-8.543	-8.651	-8.711	-8.370	-8.261	-8.471	-8.510	-8.922	-8.427	-8.801	-8.378	-8.556	-8.230	-8.601	-8.632	-8.291	-8.822	-8.788	-8.774	-8.473	-8.565	-8.534	-8.606	-8.570	-8.865	-9.051	-8.469	-8.771	117.744	118.153	118.297	118.411	118.182	118.108	117.931	118.016	118.014	117.914	118.016	117.750	118.982	118.316	117.681	117.811	117.876	118.498	118.682	117.386	118.363	117.784	117.654	117.658	117.593	118.178	118.056	118.187	118.375	118.281	118.724	117.833	94.404	94.195	94.178	94.263	94.182	94.236	94.272	94.104	94.052	94.156	94.172	94.380	94.098	94.301	94.120	94.201	94.041	94.199	94.207	94.087	94.310	94.314	94.312	94.166	94.213	94.177	94.217	94.195	94.330	94.423	94.128	94.304	2016_7_15_8_30_28
F2LS3JHAHFM5____	-8.984	-8.650	-8.822	-8.862	-9.114	-9.106	-9.033	-8.719	-8.752	-9.011	-8.987	-8.886	-8.988	-9.009	-8.713	-8.639	-8.597	-8.997	-9.103	-8.619	-9.111	-8.645	-8.728	-8.428	-8.688	-8.795	-9.145	-8.788	-9.073	-9.067	-8.885	-8.717	117.528	117.552	117.558	118.274	117.436	117.409	117.903	118.215	117.475	117.393	117.539	117.541	117.496	117.708	117.400	117.588	117.883	118.415	117.592	117.372	117.424	118.059	117.527	117.324	117.511	117.976	117.430	117.581	117.775	117.954	117.640	117.437	94.225	94.062	94.146	94.139	94.292	94.289	94.235	94.072	94.115	94.243	94.226	94.177	94.228	94.230	94.098	94.056	94.025	94.199	94.280	94.054	94.290	94.042	94.101	93.963	94.082	94.117	94.307	94.128	94.259	94.250	94.173	94.099	2016_7_15_8_30_32
F2LS3JJ8HFM5____	-8.992	-8.571	-9.142	-8.883	-8.831	-8.759	-8.787	-9.022	-8.949	-9.014	-8.541	-8.829	-9.079	-9.090	-8.774	-8.515	-8.557	-8.820	-9.130	-8.565	-9.109	-9.201	-8.737	-8.692	-8.645	-8.537	-9.177	-8.981	-9.172	-9.402	-9.144	-8.983	118.560	118.927	118.369	118.442	118.399	117.925	118.618	118.099	118.233	118.266	118.646	118.248	118.000	118.601	118.362	118.310	118.194	118.657	118.232	118.009	118.589	118.262	118.362	117.827	118.474	118.677	117.811	118.599	117.914	118.066	118.328	118.260	94.198	93.982	94.276	94.149	94.126	94.108	94.097	94.229	94.189	94.219	93.978	94.130	94.260	94.243	94.100	93.977	94.001	94.111	94.276	94.011	94.252	94.309	94.082	94.079	94.034	93.975	94.315	94.191	94.308	94.413	94.279	94.204	2016_7_15_8_30_35
F2LS3JTDHFM5____	-8.897	-8.909	-8.812	-8.985	-8.927	-8.713	-8.744	-8.631	-8.657	-8.796	-8.848	-8.941	-8.677	-8.996	-8.626	-8.537	-8.615	-8.985	-9.048	-8.886	-8.877	-9.123	-8.793	-8.645	-8.573	-8.652	-9.013	-8.858	-9.082	-9.177	-8.883	-9.035	118.761	118.085	118.844	118.826	118.581	118.519	119.418	118.770	118.555	118.181	118.822	118.216	118.648	118.592	118.141	117.808	117.775	116.516	118.071	117.702	114.829	117.910	118.062	117.546	118.111	118.789	118.118	117.608	117.941	118.836	118.050	117.897	94.309	94.339	94.266	94.349	94.330	94.230	94.213	94.181	94.201	94.282	94.284	94.350	94.208	94.363	94.201	94.170	94.209	94.435	94.407	94.342	94.445	94.449	94.284	94.231	94.176	94.191	94.388	94.332	94.428	94.441	94.328	94.407	2016_7_15_8_30_46
F2LS3KP7HFM5____	-8.909	-8.902	-8.878	-9.065	-8.927	-9.099	-8.700	-8.734	-8.318	-8.661	-8.870	-8.741	-9.026	-9.115	-8.574	-8.765	-8.463	-8.739	-9.098	-8.808	-9.097	-9.114	-8.725	-8.595	-8.674	-8.540	-9.086	-8.841	-9.121	-9.185	-8.876	-9.034	118.052	117.672	117.811	117.551	117.757	117.300	118.042	117.598	117.811	117.904	117.676	117.879	117.807	117.761	117.523	117.396	117.880	118.085	117.418	117.536	117.684	117.697	117.527	117.388	117.970	117.769	117.190	117.701	117.711	117.635	117.386	117.441	94.246	94.256	94.239	94.339	94.265	94.365	94.145	94.177	93.969	94.131	94.241	94.171	94.311	94.356	94.102	94.200	94.036	94.162	94.360	94.215	94.350	94.358	94.175	94.118	94.135	94.078	94.363	94.226	94.360	94.395	94.254	94.329	2016_7_15_8_30_50
