SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-66.967	-66.861	-66.791	-66.896	-66.931	-66.969	-66.862	-66.895	-66.827	-66.931	-66.966	-66.862	-66.755	-66.967	-66.895	-66.966	-66.860	-66.895	-66.859	-66.828	-66.861	-66.897	-66.895	-66.792	-66.863	-66.788	-66.759	-66.758	-66.724	-66.687	-66.793	-66.759	144.164	144.172	144.172	144.238	144.239	144.196	144.204	144.273	144.170	144.203	144.162	144.097	144.240	144.201	144.207	144.166	144.206	144.170	144.238	144.239	144.306	144.202	144.273	144.396	144.506	144.413	144.464	144.430	144.434	144.400	144.384	144.520	114.947	114.912	114.889	114.913	114.924	114.943	114.907	114.907	114.901	114.930	114.947	114.923	114.867	114.942	114.917	114.947	114.906	114.923	114.901	114.891	114.891	114.919	114.907	114.855	114.862	114.851	114.834	114.839	114.827	114.820	114.857	114.826	2016_7_15_9_30_13
F2LS3GSUHFM5____	-67.404	-67.301	-67.263	-67.375	-67.413	-67.407	-67.342	-67.329	-67.299	-67.368	-67.404	-67.302	-67.185	-67.402	-67.328	-67.404	-67.301	-67.331	-67.331	-67.306	-67.336	-67.377	-67.375	-67.263	-67.298	-67.214	-67.229	-67.223	-67.198	-67.120	-67.224	-67.233	144.083	144.089	144.077	144.142	144.141	144.111	144.104	144.177	144.075	144.149	144.080	144.019	144.158	144.123	144.108	144.081	144.152	144.116	144.136	144.140	144.208	144.110	144.178	144.250	144.385	144.322	144.353	144.295	144.322	144.292	144.262	144.433	115.095	115.061	115.050	115.077	115.089	115.092	115.072	115.056	115.062	115.073	115.096	115.071	115.012	115.088	115.066	115.095	115.051	115.066	115.063	115.055	115.054	115.082	115.071	115.024	115.015	114.997	114.997	115.004	114.991	114.970	115.009	114.986	2016_7_15_9_30_16
F2LS3GZKHFM5____	-67.365	-67.230	-67.155	-67.264	-67.332	-67.369	-67.264	-67.260	-67.198	-67.331	-67.333	-67.262	-67.118	-67.333	-67.257	-67.368	-67.230	-67.262	-67.255	-67.197	-67.227	-67.301	-67.266	-67.156	-67.228	-67.148	-67.124	-67.122	-67.092	-67.089	-67.190	-67.124	144.145	144.156	144.145	144.225	144.216	144.143	144.182	144.243	144.155	144.179	144.152	144.044	144.216	144.187	144.176	144.110	144.186	144.152	144.211	144.211	144.280	144.145	144.258	144.341	144.475	144.371	144.424	144.378	144.392	144.322	144.285	144.503	115.140	115.094	115.071	115.094	115.118	115.141	115.101	115.090	115.083	115.123	115.128	115.121	115.048	115.122	115.100	115.146	115.089	115.105	115.093	115.074	115.074	115.119	115.090	115.041	115.045	115.034	115.018	115.025	115.013	115.022	115.061	115.006	2016_7_15_9_30_18
F2LS3HTSHFM5____	-67.392	-67.289	-67.213	-67.324	-67.359	-67.395	-67.290	-67.322	-67.254	-67.357	-67.391	-67.287	-67.178	-67.392	-67.319	-67.393	-67.288	-67.321	-67.283	-67.252	-67.286	-67.325	-67.325	-67.216	-67.293	-67.211	-67.188	-67.182	-67.153	-67.118	-67.215	-67.192	144.100	144.108	144.101	144.175	144.172	144.130	144.139	144.193	144.102	144.169	144.099	144.037	144.174	144.136	144.127	144.099	144.140	144.107	144.164	144.156	144.233	144.135	144.208	144.270	144.420	144.331	144.363	144.312	144.336	144.321	144.275	144.444	115.167	115.132	115.108	115.133	115.145	115.163	115.128	115.130	115.122	115.145	115.167	115.142	115.086	115.161	115.139	115.168	115.127	115.143	115.122	115.113	115.112	115.140	115.129	115.084	115.086	115.073	115.060	115.066	115.053	115.044	115.083	115.049	2016_7_15_9_30_21
F2LS3J5VHFM5____	-67.023	-66.921	-66.880	-66.955	-66.991	-67.024	-66.954	-66.957	-66.885	-66.987	-67.023	-66.921	-66.815	-67.022	-66.956	-67.023	-66.921	-66.953	-66.952	-66.921	-66.922	-66.989	-66.955	-66.850	-66.955	-66.843	-66.815	-66.814	-66.780	-66.743	-66.849	-66.812	144.141	144.141	144.140	144.209	144.209	144.173	144.162	144.260	144.138	144.176	144.141	144.074	144.224	144.178	144.191	144.142	144.179	144.144	144.206	144.205	144.296	144.167	144.247	144.392	144.452	144.406	144.459	144.430	144.425	144.393	144.385	144.503	115.000	114.967	114.954	114.968	114.980	114.996	114.975	114.961	114.956	114.984	115.001	114.978	114.920	114.995	114.971	115.000	114.961	114.977	114.967	114.957	114.944	114.986	114.962	114.906	114.931	114.902	114.884	114.888	114.878	114.871	114.907	114.877	2016_7_15_9_30_23
F2LS3JECHFM5____	-67.172	-67.069	-66.991	-67.103	-67.140	-67.174	-67.069	-67.099	-67.033	-67.136	-67.172	-67.067	-66.955	-67.171	-67.097	-67.172	-67.067	-67.100	-67.060	-67.032	-67.067	-67.106	-67.103	-66.994	-67.072	-66.984	-66.961	-66.957	-66.929	-66.895	-66.995	-66.965	144.096	144.105	144.102	144.172	144.172	144.126	144.165	144.197	144.097	144.135	144.097	144.031	144.178	144.137	144.127	144.098	144.136	144.102	144.164	144.197	144.229	144.130	144.208	144.288	144.430	144.336	144.428	144.332	144.353	144.332	144.287	144.459	115.040	115.005	114.980	115.006	115.018	115.036	114.996	115.001	114.995	115.023	115.040	115.016	114.957	115.034	115.011	115.040	115.000	115.016	114.993	114.979	114.986	115.014	115.001	114.953	114.957	114.942	114.921	114.934	114.922	114.914	114.953	114.918	2016_7_15_9_30_26
F2LS3JHAHFM5____	-67.094	-66.992	-66.956	-67.027	-67.064	-67.097	-67.030	-67.026	-66.955	-67.096	-67.094	-66.995	-66.883	-67.093	-67.025	-67.094	-66.992	-67.025	-66.994	-66.963	-66.994	-67.067	-67.026	-66.919	-66.992	-66.948	-66.885	-66.882	-66.855	-66.816	-66.955	-66.885	144.185	144.212	144.185	144.281	144.286	144.216	144.209	144.296	144.208	144.221	144.186	144.147	144.297	144.223	144.222	144.219	144.251	144.188	144.286	144.292	144.329	144.210	144.282	144.431	144.543	144.436	144.516	144.473	144.513	144.476	144.387	144.583	114.808	114.771	114.763	114.771	114.783	114.804	114.783	114.769	114.759	114.803	114.808	114.781	114.722	114.802	114.780	114.803	114.765	114.785	114.760	114.749	114.753	114.795	114.771	114.714	114.720	114.722	114.689	114.695	114.680	114.673	114.732	114.679	2016_7_15_9_30_30
F2LS3JJ8HFM5____	-67.515	-67.412	-67.336	-67.447	-67.484	-67.517	-67.413	-67.443	-67.378	-67.481	-67.515	-67.412	-67.302	-67.517	-67.442	-67.517	-67.411	-67.447	-67.404	-67.376	-67.409	-67.448	-67.446	-67.337	-67.414	-67.330	-67.307	-67.303	-67.273	-67.237	-67.339	-67.309	144.041	144.040	144.035	144.110	144.112	144.069	144.075	144.135	144.038	144.075	144.038	143.969	144.111	144.074	144.064	144.036	144.076	144.041	144.097	144.097	144.170	144.070	144.144	144.225	144.359	144.269	144.312	144.267	144.282	144.261	144.219	144.383	114.974	114.940	114.916	114.941	114.953	114.970	114.935	114.936	114.929	114.957	114.974	114.951	114.893	114.969	114.946	114.975	114.934	114.951	114.929	114.920	114.919	114.947	114.936	114.888	114.892	114.879	114.865	114.870	114.858	114.849	114.889	114.854	2016_7_15_9_30_33
F2LS3JTDHFM5____	-67.554	-67.417	-67.378	-67.487	-67.525	-67.523	-67.455	-67.485	-67.417	-67.521	-67.517	-67.415	-67.340	-67.516	-67.483	-67.520	-67.452	-67.450	-67.412	-67.421	-67.455	-67.492	-67.487	-67.383	-67.457	-67.372	-67.349	-67.344	-67.317	-67.281	-67.382	-67.353	144.000	144.006	144.008	144.070	144.073	144.038	144.025	144.102	143.993	144.037	144.004	143.940	144.087	144.044	144.029	144.008	144.009	144.006	144.070	144.066	144.134	144.030	144.109	144.190	144.285	144.252	144.289	144.239	144.252	144.225	144.193	144.332	115.157	115.112	115.099	115.125	115.137	115.142	115.121	115.119	115.114	115.141	115.145	115.121	115.074	115.138	115.130	115.145	115.123	115.123	115.100	115.104	115.105	115.133	115.119	115.073	115.082	115.060	115.046	115.052	115.042	115.034	115.072	115.041	2016_7_15_9_30_36
F2LS3KP7HFM5____	-67.305	-67.134	-67.057	-67.170	-67.270	-67.235	-67.136	-67.165	-67.100	-67.203	-67.237	-67.132	-67.024	-67.235	-67.162	-67.238	-67.134	-67.167	-67.128	-67.099	-67.132	-67.171	-67.170	-67.062	-67.200	-67.058	-67.032	-67.028	-66.997	-66.962	-67.063	-67.025	144.171	144.209	144.215	144.283	144.241	144.206	144.242	144.306	144.173	144.249	144.206	144.102	144.289	144.206	144.235	144.171	144.207	144.211	144.274	144.272	144.341	144.244	144.316	144.402	144.486	144.439	144.448	144.392	144.417	144.395	144.399	144.521	114.955	114.893	114.867	114.894	114.933	114.927	114.889	114.889	114.888	114.910	114.927	114.909	114.845	114.927	114.899	114.933	114.894	114.904	114.882	114.872	114.873	114.900	114.889	114.841	114.873	114.833	114.824	114.831	114.817	114.809	114.841	114.810	2016_7_15_9_30_39
