SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-11.715	-11.640	-11.849	-11.391	-11.631	-11.598	-11.276	-11.658	-11.649	-11.511	-11.747	-11.610	-11.683	-11.427	-11.797	-11.503	-11.571	-11.736	-11.518	-11.340	-11.533	-11.732	-11.895	-11.508	-11.410	-11.706	-11.810	-11.426	-11.736	-11.500	-11.298	-11.905	-117.070	-117.105	-116.755	-118.022	-117.760	-117.876	-118.089	-116.826	-117.231	-118.393	-117.238	-117.547	-116.707	-118.093	-117.733	-117.784	-118.194	-117.748	-117.448	-117.635	-117.760	-118.202	-117.366	-117.324	-118.460	-117.726	-117.367	-118.349	-118.124	-118.439	-117.658	-117.201	264.623	264.661	264.542	264.824	264.696	264.718	264.882	264.639	264.662	264.784	264.615	264.696	264.621	264.810	264.615	264.759	264.746	264.645	264.736	264.831	264.744	264.669	264.550	264.735	264.836	264.658	264.591	264.822	264.663	264.791	264.852	264.537	2016_7_15_9_32_44
F2LS3GSUHFM5____	-11.780	-11.703	-11.832	-11.338	-11.635	-11.333	-11.219	-11.847	-11.588	-11.786	-11.749	-11.814	-11.815	-11.288	-11.413	-11.558	-11.717	-11.748	-11.714	-11.365	-11.731	-11.747	-11.638	-11.447	-11.738	-11.718	-11.625	-11.298	-11.269	-11.761	-11.291	-11.712	-117.196	-117.306	-117.285	-116.699	-117.764	-117.762	-117.969	-117.368	-117.167	-117.146	-117.372	-117.081	-117.242	-118.157	-117.473	-118.185	-117.616	-117.502	-117.580	-117.822	-118.032	-117.683	-117.896	-117.920	-118.061	-117.472	-117.441	-117.957	-118.207	-117.844	-118.060	-117.149	263.923	263.966	263.902	264.113	264.021	264.166	264.230	263.899	264.015	263.918	263.947	263.901	263.908	264.206	264.114	264.078	263.974	263.953	263.974	264.153	263.987	263.963	264.026	264.118	263.985	263.967	264.010	264.192	264.217	263.964	264.200	263.954	2016_7_15_9_32_47
F2LS3GZKHFM5____	-11.717	-11.480	-11.577	-11.412	-11.633	-11.470	-11.433	-11.795	-11.522	-11.643	-11.692	-11.689	-11.613	-11.376	-11.606	-11.645	-11.782	-11.621	-11.642	-11.410	-11.758	-11.934	-11.425	-11.577	-11.605	-11.775	-11.567	-11.424	-11.603	-11.435	-11.638	-11.419	-117.550	-117.985	-118.034	-117.963	-118.247	-117.850	-117.192	-116.901	-118.244	-118.543	-117.523	-117.632	-118.258	-117.180	-118.494	-117.939	-117.948	-117.922	-118.523	-118.405	-116.984	-118.081	-118.650	-118.065	-118.680	-118.018	-117.526	-118.370	-118.622	-118.731	-117.350	-118.542	264.645	264.780	264.735	264.811	264.718	264.778	264.765	264.576	264.771	264.728	264.656	264.662	264.729	264.792	264.743	264.698	264.633	264.709	264.727	264.833	264.598	264.566	264.837	264.737	264.752	264.639	264.716	264.824	264.750	264.836	264.673	264.835	2016_7_15_9_32_50
F2LS3HTSHFM5____	-11.692	-11.200	-11.495	-11.327	-11.417	-11.255	-11.280	-11.438	-11.427	-11.686	-11.785	-11.664	-11.403	-11.163	-11.599	-11.372	-11.489	-11.460	-11.247	-11.355	-11.321	-11.722	-11.356	-11.428	-11.458	-11.491	-11.536	-11.238	-11.400	-11.428	-11.219	-11.554	-117.985	-117.775	-117.819	-117.239	-118.247	-117.962	-117.825	-117.696	-118.306	-118.326	-117.825	-117.881	-117.459	-117.708	-117.745	-117.540	-118.268	-118.095	-117.195	-118.099	-118.438	-117.944	-118.168	-118.052	-118.269	-118.204	-117.649	-117.034	-117.810	-117.786	-117.674	-117.734	264.677	264.905	264.765	264.819	264.822	264.887	264.868	264.786	264.820	264.697	264.625	264.686	264.792	264.919	264.711	264.811	264.789	264.795	264.855	264.845	264.877	264.661	264.848	264.808	264.804	264.785	264.737	264.852	264.810	264.795	264.891	264.732	2016_7_15_9_32_53
F2LS3J5VHFM5____	-11.372	-11.340	-11.362	-11.375	-11.270	-11.316	-11.344	-11.639	-11.171	-11.485	-11.323	-11.462	-11.464	-11.340	-11.340	-11.425	-11.496	-11.538	-11.363	-11.340	-11.378	-11.349	-11.358	-11.491	-11.318	-11.504	-11.334	-11.345	-11.390	-11.273	-11.211	-11.355	-117.493	-118.125	-117.775	-118.229	-118.825	-118.248	-118.028	-117.383	-118.119	-118.732	-118.380	-118.158	-117.751	-119.035	-117.303	-118.204	-118.151	-117.653	-118.257	-118.825	-118.718	-117.165	-117.852	-117.935	-118.809	-117.690	-118.380	-118.496	-118.336	-118.869	-118.134	-118.008	264.809	264.853	264.826	264.841	264.919	264.871	264.847	264.675	264.934	264.812	264.873	264.797	264.776	264.895	264.815	264.816	264.780	264.736	264.849	264.886	264.862	264.804	264.832	264.772	264.895	264.754	264.868	264.868	264.839	264.919	264.916	264.841	2016_7_15_9_32_56
F2LS3JECHFM5____	-11.846	-11.710	-11.511	-11.672	-11.641	-11.934	-11.635	-11.855	-11.912	-11.649	-12.006	-11.676	-11.675	-11.439	-11.677	-11.714	-11.718	-11.882	-11.783	-11.703	-11.669	-11.682	-11.708	-11.443	-11.747	-11.909	-11.811	-11.568	-11.406	-11.712	-11.572	-11.775	-117.185	-116.615	-117.083	-117.081	-117.489	-117.542	-116.950	-116.822	-117.491	-117.596	-117.681	-117.870	-117.973	-117.093	-117.196	-117.190	-117.192	-117.280	-117.438	-117.806	-117.487	-117.207	-117.427	-117.509	-117.585	-117.524	-117.553	-117.665	-117.997	-117.567	-116.927	-117.056	263.891	263.929	264.048	263.970	264.004	263.866	263.982	263.869	263.874	264.006	263.838	264.006	264.011	264.083	263.973	263.955	263.953	263.878	263.934	263.990	263.991	263.971	263.969	264.101	263.958	263.877	263.925	264.048	264.142	263.974	264.011	263.919	2016_7_15_9_32_59
F2LS3JHAHFM5____	-12.048	-11.980	-11.787	-11.598	-11.649	-11.750	-11.690	-11.865	-11.865	-11.724	-11.817	-11.813	-11.692	-11.720	-11.875	-11.722	-11.863	-11.828	-11.724	-11.646	-11.688	-11.993	-11.632	-11.513	-11.555	-11.983	-11.950	-11.717	-11.755	-11.651	-11.637	-11.911	-117.653	-117.562	-117.237	-118.023	-117.572	-117.498	-117.950	-117.042	-117.520	-117.417	-118.223	-118.005	-117.461	-117.054	-118.191	-117.471	-117.615	-117.435	-117.647	-117.697	-117.450	-118.331	-118.367	-117.920	-117.745	-117.739	-117.830	-117.626	-117.408	-117.851	-117.851	-117.525	263.816	263.844	263.922	264.050	264.004	263.952	264.003	263.875	263.898	263.961	263.955	263.947	263.978	263.945	263.926	263.965	263.903	263.912	263.972	264.012	263.980	263.876	264.050	264.087	264.058	263.852	263.872	263.974	263.945	264.017	264.024	263.876	2016_7_15_9_33_02
F2LS3JJ8HFM5____	-11.434	-11.420	-11.434	-11.267	-11.294	-11.328	-11.211	-11.501	-11.821	-11.437	-11.464	-11.460	-11.664	-11.230	-11.325	-11.562	-11.499	-11.532	-11.498	-11.416	-11.445	-11.541	-11.635	-11.431	-11.330	-11.703	-11.532	-11.224	-11.468	-11.431	-11.288	-11.687	-116.778	-116.736	-116.671	-116.129	-117.146	-116.671	-117.476	-117.337	-116.876	-117.244	-117.074	-117.789	-117.821	-117.152	-117.514	-117.714	-117.381	-117.272	-117.618	-117.796	-117.425	-116.725	-116.547	-117.223	-117.718	-116.916	-117.082	-117.462	-117.109	-117.696	-117.508	-117.168	264.071	264.075	264.066	264.121	264.156	264.117	264.212	264.065	263.888	264.092	264.071	264.106	264.009	264.188	264.158	264.053	264.068	264.047	264.080	264.127	264.096	264.016	263.962	264.094	264.165	263.947	264.038	264.205	264.070	264.116	264.176	263.967	2016_7_15_9_33_06
F2LS3JTDHFM5____	-11.354	-11.604	-11.159	-11.251	-11.412	-11.447	-11.202	-11.371	-11.440	-11.492	-11.329	-11.468	-11.396	-11.218	-11.319	-11.362	-11.219	-11.480	-11.424	-11.270	-11.386	-11.314	-11.342	-11.018	-11.058	-11.435	-11.194	-11.225	-11.449	-11.275	-11.205	-11.197	-117.040	-117.528	-117.009	-117.001	-117.614	-117.453	-116.752	-116.195	-116.474	-116.986	-116.551	-116.320	-116.293	-117.139	-117.521	-116.973	-117.773	-116.203	-117.546	-115.815	-116.958	-117.725	-117.274	-117.296	-118.117	-116.646	-117.082	-116.673	-117.770	-117.747	-116.169	-117.769	264.122	264.024	264.215	264.170	264.121	264.097	264.182	264.074	264.053	264.053	264.111	264.033	264.066	264.193	264.161	264.115	264.221	264.021	264.112	264.105	264.103	264.173	264.139	264.297	264.314	264.064	264.202	264.167	264.111	264.193	264.153	264.232	2016_7_15_9_33_08
F2LS3KP7HFM5____	-12.352	-11.776	-11.849	-11.593	-11.640	-11.673	-11.774	-11.794	-11.855	-11.790	-11.753	-11.877	-11.753	-11.586	-12.068	-11.788	-11.857	-11.758	-11.972	-11.550	-11.753	-12.126	-11.714	-11.780	-11.756	-11.919	-11.759	-11.439	-11.754	-11.718	-11.574	-12.023	-117.316	-117.163	-117.221	-117.888	-117.761	-117.616	-117.033	-116.552	-117.501	-117.408	-117.042	-118.196	-117.574	-116.896	-117.980	-117.263	-117.603	-117.365	-118.286	-117.915	-117.435	-117.784	-117.432	-117.577	-117.474	-117.208	-117.112	-117.872	-117.537	-117.515	-117.197	-118.099	263.652	263.924	263.891	264.046	264.018	263.995	263.918	263.885	263.902	263.928	263.929	263.925	263.955	264.003	263.823	263.922	263.906	263.942	263.884	264.069	263.948	263.785	263.966	263.941	263.948	263.857	263.929	264.120	263.952	263.968	264.023	263.850	2016_7_15_9_33_11
F2LS3TRWHFM5____	-11.641	-11.552	-11.502	-11.315	-11.497	-11.530	-11.271	-11.317	-11.565	-11.426	-11.403	-11.545	-11.667	-10.850	-11.375	-11.451	-11.434	-11.554	-11.430	-11.354	-11.481	-11.382	-11.497	-11.300	-11.230	-11.577	-11.465	-11.309	-11.388	-11.427	-11.285	-11.289	-117.296	-118.103	-117.590	-118.229	-117.661	-117.655	-118.512	-116.831	-118.444	-118.400	-117.847	-117.574	-118.070	-118.265	-117.600	-117.619	-118.549	-117.043	-118.512	-118.102	-117.596	-118.825	-117.593	-118.198	-117.011	-117.289	-118.717	-117.107	-118.270	-118.792	-117.934	-117.885	264.669	264.751	264.751	264.870	264.756	264.740	264.904	264.804	264.760	264.825	264.810	264.729	264.694	265.095	264.812	264.776	264.828	264.699	264.828	264.845	264.761	264.866	264.753	264.876	264.855	264.700	264.821	264.821	264.837	264.843	264.871	264.867	2016_7_15_9_33_15
