SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-43.216	-43.513	-42.980	-43.326	-42.911	-42.819	-42.684	-43.120	-43.085	-43.362	-43.354	-43.155	-42.846	-43.011	-43.253	-43.376	-43.207	-43.027	-42.980	-43.125	-43.429	-43.039	-43.295	-43.108	-43.647	-43.161	-42.780	-43.175	-42.864	-43.192	-43.186	-42.949	-126.260	-126.371	-125.930	-126.347	-126.094	-126.213	-126.211	-126.420	-126.175	-126.446	-126.474	-126.140	-126.014	-126.023	-126.193	-126.029	-126.435	-126.270	-126.070	-126.271	-126.439	-126.275	-126.245	-126.372	-126.519	-126.166	-126.137	-126.210	-126.271	-126.171	-126.325	-126.239	251.442	251.337	251.492	251.410	251.543	251.597	251.651	251.503	251.484	251.409	251.416	251.450	251.558	251.492	251.418	251.345	251.470	251.520	251.512	251.481	251.381	251.516	251.408	251.501	251.303	251.451	251.602	251.452	251.587	251.439	251.463	251.548	2016_7_15_9_35_33
F2LS3GSUHFM5____	-49.100	-49.387	-49.269	-49.105	-48.854	-48.584	-49.000	-48.847	-49.022	-48.991	-49.350	-48.895	-48.671	-48.910	-49.023	-49.560	-49.148	-49.293	-49.140	-47.530	-49.259	-49.350	-49.148	-49.210	-49.521	-48.933	-48.903	-49.165	-49.109	-49.091	-48.955	-48.843	-132.008	-132.336	-132.164	-131.985	-132.308	-132.180	-132.195	-131.972	-132.011	-132.415	-132.265	-131.915	-131.935	-131.820	-131.993	-132.020	-132.563	-132.269	-132.195	-132.335	-132.169	-132.965	-132.045	-132.615	-132.644	-132.085	-132.167	-131.969	-132.743	-132.143	-132.047	-132.112	339.597	339.535	339.555	339.592	339.734	339.818	339.662	339.689	339.628	339.696	339.539	339.663	339.751	339.643	339.625	339.424	339.657	339.561	339.609	340.244	339.560	339.638	339.585	339.641	339.527	339.672	339.695	339.567	339.698	339.620	339.658	339.710	2016_7_15_9_35_37
F2LS3GZKHFM5____	-49.364	-49.571	-49.434	-49.344	-48.889	-49.092	-48.986	-48.642	-49.117	-49.490	-49.381	-49.081	-48.963	-49.051	-49.349	-49.521	-49.237	-49.255	-49.331	-49.285	-49.593	-49.314	-49.291	-49.266	-49.670	-49.210	-49.069	-49.294	-49.210	-49.354	-49.420	-49.300	-132.725	-133.043	-132.266	-132.670	-132.533	-132.609	-132.802	-132.232	-132.109	-132.650	-132.729	-132.453	-132.352	-132.541	-132.463	-132.418	-132.616	-132.659	-132.466	-132.717	-132.772	-132.877	-132.563	-132.822	-132.968	-132.650	-132.560	-132.803	-132.825	-132.620	-132.724	-132.520	339.599	339.565	339.507	339.598	339.752	339.685	339.753	339.804	339.605	339.540	339.593	339.667	339.698	339.692	339.567	339.495	339.631	339.631	339.574	339.627	339.518	339.639	339.603	339.649	339.517	339.646	339.687	339.636	339.671	339.587	339.577	339.594	2016_7_15_9_35_41
F2LS3HTSHFM5____	-48.972	-49.151	-48.966	-49.096	-48.871	-48.951	-48.574	-48.887	-48.771	-49.200	-49.132	-48.980	-48.916	-48.836	-49.224	-49.235	-48.903	-49.035	-48.948	-49.077	-49.304	-49.071	-49.108	-49.171	-49.248	-48.993	-48.610	-49.062	-48.860	-49.082	-49.026	-49.210	-132.115	-132.145	-131.864	-131.983	-132.375	-132.250	-132.197	-131.857	-132.006	-132.224	-132.100	-132.038	-131.890	-131.829	-132.231	-132.074	-132.197	-132.266	-132.062	-132.295	-132.290	-132.518	-132.344	-132.343	-132.241	-132.095	-132.267	-132.194	-132.615	-132.149	-132.054	-132.239	339.661	339.597	339.628	339.595	339.737	339.688	339.825	339.657	339.723	339.590	339.598	339.647	339.651	339.673	339.582	339.555	339.699	339.659	339.663	339.647	339.560	339.680	339.642	339.618	339.574	339.651	339.821	339.638	339.774	339.624	339.632	339.588	2016_7_15_9_35_45
F2LS3J5VHFM5____	-42.820	-43.226	-42.980	-43.158	-42.703	-42.672	-42.308	-42.560	-42.677	-42.700	-43.021	-42.945	-42.583	-42.680	-42.728	-43.101	-42.748	-42.946	-42.661	-42.917	-43.094	-42.489	-42.987	-42.762	-43.359	-42.888	-42.691	-43.029	-42.651	-43.120	-43.120	-42.557	-127.009	-126.993	-126.630	-126.956	-126.900	-126.846	-127.012	-126.560	-126.469	-127.015	-126.702	-126.700	-126.585	-126.528	-126.819	-126.664	-126.904	-126.796	-126.765	-127.015	-126.999	-126.899	-126.746	-127.064	-127.130	-126.741	-126.875	-126.839	-126.894	-126.875	-126.770	-126.861	251.706	251.539	251.589	251.562	251.738	251.744	251.914	251.750	251.690	251.755	251.582	251.613	251.744	251.697	251.717	251.545	251.721	251.626	251.737	251.668	251.594	251.825	251.602	251.737	251.505	251.642	251.740	251.598	251.759	251.566	251.552	251.792	2016_7_15_9_35_49
F2LS3JECHFM5____	-43.470	-43.855	-43.400	-43.478	-43.331	-43.294	-43.052	-43.497	-43.181	-43.610	-43.517	-43.330	-43.323	-43.300	-43.665	-43.722	-43.303	-43.443	-43.540	-43.471	-43.717	-43.510	-43.480	-43.453	-43.924	-43.397	-43.318	-43.470	-43.464	-43.550	-43.601	-43.617	-125.860	-126.035	-125.650	-125.728	-126.045	-125.982	-125.984	-125.708	-125.661	-126.035	-125.722	-125.660	-125.672	-125.558	-125.782	-125.686	-125.622	-125.865	-125.930	-125.982	-125.898	-125.933	-125.770	-126.136	-126.152	-125.709	-125.954	-125.858	-125.997	-125.882	-125.907	-126.027	250.609	250.477	250.608	250.587	250.691	250.698	250.796	250.577	250.698	250.577	250.570	250.638	250.642	250.636	250.519	250.482	250.643	250.620	250.590	250.626	250.514	250.603	250.592	250.654	250.466	250.617	250.684	250.608	250.631	250.579	250.562	250.573	2016_7_15_9_35_52
F2LS3JHAHFM5____	-49.643	-49.665	-49.560	-49.665	-49.417	-49.442	-49.390	-49.490	-49.455	-49.728	-49.480	-49.455	-49.352	-49.569	-49.791	-49.738	-49.398	-49.715	-49.552	-49.628	-49.752	-49.700	-49.619	-49.665	-49.706	-49.494	-49.477	-49.682	-49.792	-49.752	-49.697	-49.696	-132.382	-132.720	-132.195	-132.405	-132.344	-132.414	-132.526	-132.492	-132.090	-132.431	-132.198	-132.055	-132.099	-132.158	-132.310	-132.219	-132.221	-132.410	-132.325	-132.469	-132.495	-132.545	-132.620	-132.610	-132.760	-132.418	-132.499	-132.350	-132.480	-132.368	-132.329	-132.503	339.444	339.484	339.449	339.439	339.524	339.525	339.561	339.518	339.474	339.419	339.480	339.469	339.514	339.440	339.378	339.385	339.514	339.421	339.470	339.462	339.419	339.446	339.487	339.468	339.474	339.506	339.524	339.425	339.401	339.401	339.416	339.441	2016_7_15_9_35_57
F2LS3JJ8HFM5____	-49.280	-49.384	-49.284	-49.386	-49.082	-49.041	-48.987	-49.240	-49.051	-49.494	-49.427	-49.245	-48.945	-49.359	-49.345	-49.566	-49.315	-49.372	-49.334	-49.168	-49.409	-49.382	-49.417	-49.427	-49.520	-49.139	-49.189	-49.400	-49.273	-49.416	-49.409	-49.125	-131.495	-131.707	-131.333	-131.470	-131.551	-131.551	-131.757	-131.466	-131.113	-131.520	-131.287	-131.285	-131.179	-131.714	-131.419	-131.128	-131.320	-131.441	-131.415	-131.604	-131.471	-131.496	-131.450	-131.901	-131.919	-131.273	-131.526	-131.765	-131.688	-131.456	-131.419	-131.586	339.456	339.446	339.431	339.412	339.539	339.555	339.605	339.467	339.488	339.378	339.370	339.439	339.539	339.457	339.420	339.293	339.417	339.413	339.424	339.514	339.403	339.417	339.397	339.458	339.425	339.478	339.495	339.448	339.486	339.398	339.396	339.528	2016_7_15_9_36_01
F2LS3JTDHFM5____	-43.129	-43.295	-42.840	-42.788	-42.696	-42.856	-42.370	-42.675	-42.733	-42.888	-42.951	-42.773	-42.696	-42.738	-43.033	-43.030	-42.797	-42.870	-42.652	-43.095	-43.087	-42.949	-42.980	-43.050	-42.735	-43.007	-42.980	-42.783	-42.948	-43.092	-43.028	-43.015	-126.177	-126.245	-125.720	-125.722	-126.111	-126.177	-125.998	-125.706	-125.685	-126.082	-125.733	-125.717	-125.682	-125.738	-125.858	-125.633	-125.806	-125.940	-125.801	-126.046	-126.029	-125.946	-125.899	-126.420	-126.035	-125.891	-126.315	-125.860	-126.055	-125.953	-125.913	-126.105	250.792	250.734	250.846	250.868	250.959	250.903	251.076	250.911	250.885	250.877	250.803	250.873	250.899	250.890	250.787	250.756	250.876	250.864	250.934	250.787	250.788	250.833	250.814	250.858	250.933	250.802	250.872	250.889	250.849	250.776	250.796	250.828	2016_7_15_9_36_05
F2LS3KP7HFM5____	-43.620	-43.646	-43.501	-43.639	-43.468	-43.370	-43.129	-43.421	-43.439	-43.610	-43.637	-43.595	-43.399	-43.715	-43.664	-43.726	-43.498	-43.665	-43.538	-43.615	-43.843	-43.513	-43.639	-43.638	-43.783	-43.595	-43.461	-43.611	-43.601	-43.676	-43.559	-43.628	-126.516	-126.279	-125.928	-126.255	-126.318	-126.317	-126.394	-125.919	-125.955	-126.385	-125.941	-125.995	-125.956	-126.385	-126.054	-125.902	-126.024	-126.202	-126.126	-126.148	-126.297	-126.205	-126.102	-126.304	-126.245	-126.108	-126.179	-126.143	-126.213	-126.110	-126.019	-126.182	250.640	250.596	250.606	250.596	250.674	250.714	250.822	250.637	250.635	250.626	250.552	250.577	250.651	250.583	250.557	250.511	250.620	250.578	250.618	250.590	250.519	250.640	250.574	250.603	250.536	250.593	250.657	250.591	250.605	250.560	250.595	250.590	2016_7_15_9_36_08
