SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-13.791	-13.827	-13.757	-13.721	-13.756	-13.757	-13.721	-13.756	-13.650	-13.721	-13.721	-13.756	-13.756	-13.720	-13.686	-13.686	-13.616	-13.756	-13.721	-13.756	-13.650	-13.685	-13.685	-13.720	-13.756	-13.686	-13.721	-13.650	-13.721	-13.546	-13.686	-13.721	-140.898	-140.898	-140.907	-140.865	-140.902	-140.900	-140.865	-140.868	-140.898	-140.834	-140.834	-140.907	-140.902	-140.868	-140.830	-140.863	-140.835	-140.868	-140.869	-140.832	-140.869	-140.801	-140.801	-140.868	-140.865	-140.863	-140.833	-140.869	-140.865	-140.865	-140.832	-140.833	264.747	264.732	264.761	264.774	264.761	264.760	264.774	264.760	264.804	264.773	264.773	264.761	264.761	264.774	264.787	264.788	264.815	264.760	264.774	264.758	264.802	264.786	264.786	264.774	264.759	264.788	264.772	264.802	264.774	264.844	264.787	264.772	2016_7_15_10_07_48
F2LS3GSUHFM5____	-13.636	-13.672	-13.602	-13.566	-13.602	-13.602	-13.566	-13.602	-13.496	-13.566	-13.566	-13.603	-13.602	-13.566	-13.531	-13.531	-13.461	-13.602	-13.567	-13.602	-13.495	-13.531	-13.531	-13.566	-13.601	-13.531	-13.567	-13.495	-13.567	-13.392	-13.532	-13.567	-141.047	-141.049	-141.053	-141.015	-141.050	-141.050	-141.015	-141.016	-141.048	-140.981	-140.981	-141.054	-141.050	-141.014	-140.979	-141.013	-140.980	-141.016	-141.014	-140.980	-141.016	-140.948	-140.948	-141.014	-141.016	-141.013	-140.981	-141.016	-141.015	-141.014	-140.980	-140.981	264.141	264.127	264.155	264.168	264.155	264.155	264.168	264.153	264.198	264.166	264.166	264.154	264.155	264.168	264.181	264.182	264.209	264.153	264.167	264.152	264.196	264.179	264.179	264.168	264.154	264.182	264.166	264.196	264.168	264.238	264.180	264.166	2016_7_15_10_07_51
F2LS3GZKHFM5____	-13.627	-13.635	-13.563	-13.556	-13.591	-13.565	-13.556	-13.563	-13.487	-13.527	-13.527	-13.562	-13.591	-13.555	-13.492	-13.520	-13.423	-13.563	-13.528	-13.563	-13.457	-13.491	-13.491	-13.555	-13.591	-13.520	-13.528	-13.457	-13.527	-13.380	-13.492	-13.528	-141.061	-141.035	-141.040	-141.000	-141.037	-141.036	-141.000	-141.005	-141.011	-140.968	-140.968	-141.040	-141.037	-141.007	-140.968	-141.002	-140.970	-141.005	-140.979	-140.969	-141.003	-140.944	-140.944	-141.007	-141.002	-141.002	-140.971	-141.003	-140.976	-141.003	-140.971	-140.971	264.819	264.815	264.844	264.845	264.833	264.843	264.845	264.843	264.874	264.856	264.856	264.845	264.833	264.846	264.870	264.860	264.898	264.843	264.856	264.841	264.885	264.869	264.869	264.846	264.831	264.860	264.856	264.885	264.856	264.916	264.870	264.856	2016_7_15_10_07_53
F2LS3HTSHFM5____	-13.606	-13.613	-13.544	-13.508	-13.571	-13.543	-13.508	-13.541	-13.467	-13.509	-13.509	-13.544	-13.571	-13.535	-13.473	-13.473	-13.404	-13.541	-13.506	-13.544	-13.438	-13.473	-13.473	-13.535	-13.543	-13.473	-13.506	-13.438	-13.510	-13.334	-13.474	-13.506	-141.081	-141.083	-141.060	-141.022	-141.086	-141.085	-141.022	-141.051	-141.084	-140.988	-140.988	-141.061	-141.086	-141.050	-140.984	-141.021	-140.987	-141.051	-141.052	-140.989	-141.048	-140.957	-140.957	-141.050	-141.022	-141.021	-141.018	-141.048	-141.022	-141.023	-140.987	-141.018	264.829	264.826	264.853	264.866	264.843	264.854	264.866	264.853	264.884	264.864	264.864	264.853	264.843	264.856	264.878	264.879	264.906	264.853	264.867	264.850	264.895	264.877	264.877	264.856	264.851	264.879	264.866	264.895	264.865	264.936	264.878	264.866	2016_7_15_10_07_56
F2LS3J5VHFM5____	-13.637	-13.673	-13.603	-13.567	-13.602	-13.603	-13.567	-13.603	-13.497	-13.567	-13.567	-13.605	-13.602	-13.567	-13.531	-13.532	-13.463	-13.603	-13.568	-13.603	-13.497	-13.531	-13.531	-13.567	-13.601	-13.532	-13.568	-13.497	-13.568	-13.392	-13.532	-13.568	-140.860	-140.891	-140.892	-140.856	-140.892	-140.864	-140.856	-140.825	-140.889	-140.822	-140.822	-140.893	-140.892	-140.855	-140.822	-140.854	-140.822	-140.825	-140.855	-140.820	-140.856	-140.788	-140.788	-140.855	-140.857	-140.854	-140.821	-140.856	-140.858	-140.856	-140.823	-140.821	264.807	264.794	264.822	264.835	264.823	264.821	264.835	264.820	264.865	264.834	264.834	264.822	264.823	264.835	264.848	264.849	264.876	264.820	264.835	264.820	264.864	264.847	264.847	264.835	264.822	264.849	264.834	264.864	264.835	264.906	264.848	264.834	2016_7_15_10_07_58
F2LS3JECHFM5____	-13.805	-13.842	-13.802	-13.736	-13.771	-13.772	-13.736	-13.801	-13.695	-13.764	-13.764	-13.804	-13.771	-13.764	-13.700	-13.729	-13.660	-13.801	-13.767	-13.801	-13.665	-13.729	-13.729	-13.764	-13.770	-13.729	-13.766	-13.665	-13.735	-13.589	-13.700	-13.766	-140.925	-140.927	-140.961	-140.893	-140.929	-140.930	-140.893	-140.924	-140.924	-140.888	-140.888	-140.961	-140.929	-140.888	-140.887	-140.921	-140.855	-140.924	-140.923	-140.888	-140.892	-140.854	-140.854	-140.888	-140.923	-140.921	-140.888	-140.892	-140.926	-140.922	-140.862	-140.888	264.068	264.053	264.071	264.095	264.082	264.082	264.095	264.070	264.112	264.083	264.083	264.070	264.082	264.083	264.109	264.099	264.124	264.070	264.083	264.068	264.123	264.096	264.096	264.083	264.082	264.099	264.082	264.123	264.096	264.155	264.108	264.082	2016_7_15_10_08_02
F2LS3JHAHFM5____	-13.886	-13.892	-13.823	-13.786	-13.852	-13.822	-13.786	-13.851	-13.719	-13.816	-13.816	-13.851	-13.852	-13.816	-13.751	-13.781	-13.683	-13.851	-13.816	-13.821	-13.746	-13.780	-13.780	-13.816	-13.852	-13.781	-13.786	-13.746	-13.788	-13.612	-13.751	-13.786	-140.919	-140.946	-140.925	-140.913	-140.949	-140.948	-140.913	-140.915	-140.921	-140.882	-140.882	-140.950	-140.949	-140.889	-140.853	-140.912	-140.854	-140.915	-140.917	-140.882	-140.914	-140.850	-140.850	-140.889	-140.912	-140.912	-140.882	-140.914	-140.888	-140.887	-140.857	-140.882	264.035	264.034	264.061	264.076	264.050	264.062	264.076	264.049	264.103	264.062	264.062	264.050	264.050	264.062	264.087	264.077	264.114	264.049	264.063	264.060	264.091	264.075	264.075	264.062	264.049	264.077	264.074	264.091	264.074	264.144	264.087	264.074	2016_7_15_10_08_05
F2LS3JJ8HFM5____	-13.569	-13.607	-13.536	-13.500	-13.535	-13.537	-13.500	-13.534	-13.431	-13.499	-13.499	-13.536	-13.535	-13.499	-13.465	-13.465	-13.395	-13.534	-13.500	-13.505	-13.430	-13.463	-13.463	-13.499	-13.535	-13.465	-13.499	-13.430	-13.501	-13.324	-13.465	-13.499	-141.004	-140.979	-140.951	-140.944	-140.979	-140.980	-140.944	-140.946	-140.976	-140.911	-140.911	-140.981	-140.979	-140.945	-140.909	-140.942	-140.912	-140.946	-140.946	-140.910	-140.948	-140.880	-140.880	-140.945	-140.943	-140.942	-140.911	-140.948	-140.945	-140.944	-140.911	-140.911	264.166	264.150	264.178	264.192	264.179	264.178	264.192	264.178	264.221	264.191	264.191	264.179	264.179	264.192	264.205	264.206	264.233	264.178	264.192	264.188	264.220	264.204	264.204	264.192	264.178	264.206	264.191	264.220	264.191	264.262	264.204	264.191	2016_7_15_10_08_08
F2LS3JTDHFM5____	-13.613	-13.621	-13.551	-13.515	-13.550	-13.551	-13.515	-13.550	-13.475	-13.515	-13.515	-13.552	-13.550	-13.543	-13.480	-13.480	-13.440	-13.550	-13.544	-13.550	-13.445	-13.480	-13.480	-13.543	-13.550	-13.480	-13.515	-13.445	-13.545	-13.369	-13.480	-13.515	-140.882	-140.883	-140.860	-140.822	-140.883	-140.883	-140.822	-140.849	-140.882	-140.787	-140.787	-140.860	-140.883	-140.852	-140.787	-140.821	-140.790	-140.849	-140.852	-140.789	-140.849	-140.760	-140.760	-140.852	-140.824	-140.821	-140.791	-140.849	-140.849	-140.847	-140.790	-140.791	264.144	264.141	264.168	264.181	264.169	264.169	264.181	264.168	264.200	264.179	264.179	264.168	264.169	264.171	264.194	264.195	264.210	264.168	264.170	264.165	264.210	264.193	264.193	264.171	264.167	264.195	264.180	264.210	264.170	264.241	264.194	264.180	2016_7_15_10_08_12
F2LS3KP7HFM5____	-13.848	-13.884	-13.815	-13.778	-13.814	-13.814	-13.778	-13.848	-13.709	-13.778	-13.778	-13.817	-13.814	-13.778	-13.742	-13.743	-13.674	-13.848	-13.781	-13.815	-13.709	-13.742	-13.742	-13.778	-13.812	-13.743	-13.780	-13.709	-13.779	-13.604	-13.743	-13.780	-140.902	-140.904	-140.904	-140.898	-140.903	-140.906	-140.898	-140.866	-140.901	-140.831	-140.831	-140.903	-140.903	-140.866	-140.833	-140.897	-140.831	-140.866	-140.865	-140.831	-140.866	-140.797	-140.797	-140.866	-140.900	-140.897	-140.831	-140.866	-140.870	-140.868	-140.835	-140.831	264.050	264.035	264.063	264.078	264.064	264.064	264.078	264.048	264.106	264.075	264.075	264.062	264.064	264.077	264.090	264.092	264.117	264.048	264.076	264.060	264.105	264.088	264.088	264.077	264.064	264.092	264.074	264.105	264.076	264.147	264.089	264.074	2016_7_15_10_08_15
