SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-23.751	-23.615	-23.682	-23.712	-23.821	-23.786	-23.750	-23.718	-23.751	-23.715	-23.716	-23.751	-23.682	-23.681	-23.682	-23.682	-23.679	-23.716	-23.681	-23.682	-23.751	-23.715	-23.751	-23.714	-23.678	-23.715	-23.716	-23.713	-23.646	-23.646	-23.644	-23.680	-138.454	-138.548	-138.596	-138.454	-138.629	-138.593	-138.559	-138.557	-138.559	-138.524	-138.490	-138.455	-138.527	-138.523	-138.490	-138.490	-138.455	-138.489	-138.491	-138.454	-138.455	-138.419	-138.455	-138.385	-138.421	-138.455	-138.490	-138.384	-138.453	-138.489	-138.419	-138.489	259.908	259.969	259.945	259.923	259.892	259.903	259.915	259.928	259.915	259.927	259.925	259.908	259.941	259.941	259.938	259.938	259.937	259.924	259.939	259.936	259.908	259.920	259.908	259.918	259.935	259.922	259.924	259.918	259.950	259.952	259.948	259.939	2016_7_15_10_10_09
F2LS3GSUHFM5____	-23.671	-23.581	-23.603	-23.641	-23.750	-23.716	-23.681	-23.647	-23.680	-23.646	-23.644	-23.679	-23.612	-23.612	-23.613	-23.613	-23.610	-23.648	-23.614	-23.614	-23.679	-23.648	-23.679	-23.642	-23.607	-23.644	-23.644	-23.639	-23.578	-23.578	-23.577	-23.612	-138.652	-138.744	-138.791	-138.651	-138.834	-138.790	-138.757	-138.755	-138.766	-138.730	-138.688	-138.652	-138.732	-138.730	-138.687	-138.687	-138.652	-138.687	-138.697	-138.651	-138.652	-138.615	-138.652	-138.583	-138.618	-138.652	-138.695	-138.582	-138.650	-138.686	-138.616	-138.697	259.949	259.992	259.986	259.961	259.930	259.941	259.952	259.966	259.953	259.964	259.962	259.946	259.978	259.978	259.975	259.975	259.974	259.961	259.975	259.972	259.946	259.956	259.946	259.956	259.973	259.960	259.963	259.957	259.986	259.989	259.985	259.976	2016_7_15_10_10_12
F2LS3GZKHFM5____	-23.622	-23.522	-23.555	-23.588	-23.697	-23.662	-23.651	-23.592	-23.623	-23.588	-23.590	-23.620	-23.558	-23.555	-23.556	-23.556	-23.555	-23.588	-23.555	-23.556	-23.620	-23.590	-23.620	-23.583	-23.550	-23.590	-23.586	-23.581	-23.519	-23.520	-23.517	-23.556	-138.462	-138.587	-138.604	-138.462	-138.649	-138.608	-138.598	-138.601	-138.616	-138.573	-138.565	-138.498	-138.581	-138.543	-138.509	-138.509	-138.498	-138.534	-138.565	-138.496	-138.498	-138.495	-138.498	-138.430	-138.466	-138.530	-138.541	-138.431	-138.496	-138.565	-138.464	-138.509	259.956	260.004	259.992	259.970	259.938	259.950	259.953	259.977	259.966	259.977	259.976	259.959	259.989	259.988	259.986	259.986	259.985	259.974	259.990	259.985	259.959	259.971	259.959	259.969	259.985	259.973	259.976	259.970	260.000	260.004	259.998	259.986	2016_7_15_10_10_14
F2LS3HTSHFM5____	-23.679	-23.572	-23.621	-23.642	-23.754	-23.751	-23.684	-23.648	-23.684	-23.648	-23.684	-23.684	-23.616	-23.614	-23.612	-23.612	-23.614	-23.646	-23.617	-23.614	-23.684	-23.648	-23.684	-23.645	-23.609	-23.649	-23.651	-23.643	-23.579	-23.577	-23.578	-23.614	-138.505	-138.592	-138.608	-138.505	-138.689	-138.638	-138.607	-138.606	-138.624	-138.581	-138.542	-138.506	-138.588	-138.583	-138.540	-138.540	-138.502	-138.539	-138.556	-138.502	-138.506	-138.468	-138.506	-138.435	-138.470	-138.509	-138.553	-138.435	-138.503	-138.539	-138.470	-138.549	259.931	259.980	259.962	259.946	259.914	259.911	259.936	259.951	259.937	259.949	259.932	259.929	259.962	259.963	259.960	259.960	259.957	259.947	259.960	259.957	259.929	259.941	259.929	259.940	259.957	259.943	259.946	259.941	259.971	259.974	259.969	259.960	2016_7_15_10_10_18
F2LS3J5VHFM5____	-23.478	-23.373	-23.411	-23.443	-23.547	-23.510	-23.472	-23.440	-23.475	-23.439	-23.472	-23.477	-23.406	-23.405	-23.405	-23.405	-23.409	-23.440	-23.406	-23.373	-23.477	-23.438	-23.477	-23.445	-23.409	-23.442	-23.441	-23.444	-23.370	-23.370	-23.368	-23.405	-138.457	-138.581	-138.599	-138.457	-138.648	-138.601	-138.597	-138.570	-138.582	-138.542	-138.528	-138.491	-138.547	-138.544	-138.502	-138.502	-138.459	-138.502	-138.512	-138.490	-138.491	-138.459	-138.491	-138.390	-138.425	-138.495	-138.512	-138.388	-138.491	-138.500	-138.457	-138.508	260.022	260.073	260.059	260.036	260.007	260.019	260.034	260.045	260.032	260.044	260.030	260.025	260.057	260.058	260.055	260.055	260.050	260.040	260.055	260.067	260.025	260.038	260.025	260.031	260.048	260.039	260.041	260.031	260.068	260.069	260.066	260.055	2016_7_15_10_10_21
F2LS3JECHFM5____	-23.779	-23.672	-23.728	-23.771	-23.847	-23.839	-23.777	-23.742	-23.776	-23.742	-23.773	-23.778	-23.706	-23.706	-23.706	-23.706	-23.709	-23.742	-23.706	-23.706	-23.778	-23.741	-23.778	-23.742	-23.706	-23.773	-23.741	-23.743	-23.673	-23.671	-23.671	-23.706	-138.391	-138.515	-138.567	-138.389	-138.574	-138.533	-138.499	-138.498	-138.504	-138.466	-138.432	-138.398	-138.468	-138.468	-138.431	-138.431	-138.392	-138.431	-138.433	-138.397	-138.398	-138.361	-138.398	-138.322	-138.357	-138.397	-138.434	-138.321	-138.397	-138.432	-138.363	-138.433	259.888	259.939	259.920	259.891	259.873	259.873	259.896	259.910	259.897	259.908	259.893	259.889	259.922	259.923	259.920	259.920	259.916	259.905	259.920	259.918	259.889	259.901	259.889	259.898	259.915	259.891	259.906	259.898	259.931	259.934	259.929	259.920	2016_7_15_10_10_24
F2LS3JHAHFM5____	-23.899	-23.791	-23.824	-23.861	-23.970	-23.930	-23.893	-23.858	-23.912	-23.859	-23.865	-23.899	-23.795	-23.791	-23.826	-23.826	-23.822	-23.868	-23.794	-23.827	-23.899	-23.860	-23.899	-23.855	-23.825	-23.864	-23.865	-23.862	-23.807	-23.807	-23.807	-23.826	-138.446	-138.566	-138.622	-138.445	-138.674	-138.583	-138.551	-138.585	-138.631	-138.564	-138.491	-138.453	-138.575	-138.568	-138.487	-138.487	-138.478	-138.542	-138.541	-138.488	-138.453	-138.413	-138.453	-138.417	-138.412	-138.455	-138.537	-138.375	-138.526	-138.561	-138.491	-138.536	260.533	260.584	260.575	260.548	260.520	260.530	260.542	260.559	260.540	260.557	260.549	260.533	260.583	260.584	260.565	260.565	260.566	260.552	260.581	260.564	260.533	260.546	260.533	260.548	260.560	260.547	260.553	260.542	260.575	260.577	260.573	260.568	2016_7_15_10_10_27
F2LS3JJ8HFM5____	-23.685	-23.578	-23.620	-23.649	-23.756	-23.721	-23.685	-23.649	-23.685	-23.650	-23.653	-23.688	-23.616	-23.615	-23.614	-23.614	-23.617	-23.649	-23.583	-23.616	-23.688	-23.650	-23.688	-23.648	-23.615	-23.654	-23.651	-23.649	-23.580	-23.579	-23.577	-23.616	-138.309	-138.403	-138.451	-138.310	-138.491	-138.446	-138.413	-138.412	-138.423	-138.384	-138.347	-138.311	-138.389	-138.384	-138.346	-138.346	-138.310	-138.345	-138.354	-138.309	-138.311	-138.274	-138.311	-138.241	-138.276	-138.313	-138.353	-138.240	-138.309	-138.345	-138.275	-138.352	259.915	259.965	259.951	259.930	259.899	259.910	259.922	259.937	259.923	259.934	259.931	259.914	259.948	259.948	259.946	259.946	259.943	259.932	259.960	259.943	259.914	259.927	259.914	259.925	259.941	259.928	259.932	259.925	259.958	259.961	259.956	259.946	2016_7_15_10_10_30
F2LS3JTDHFM5____	-23.467	-23.360	-23.393	-23.432	-23.540	-23.501	-23.466	-23.431	-23.468	-23.433	-23.436	-23.438	-23.431	-23.399	-23.397	-23.397	-23.369	-23.432	-23.400	-23.366	-23.438	-23.433	-23.438	-23.402	-23.396	-23.436	-23.435	-23.433	-23.363	-23.362	-23.362	-23.400	-138.520	-138.612	-138.695	-138.518	-138.700	-138.654	-138.620	-138.622	-138.669	-138.591	-138.558	-138.522	-138.636	-138.594	-138.555	-138.555	-138.518	-138.555	-138.600	-138.518	-138.522	-138.483	-138.522	-138.450	-138.485	-138.524	-138.563	-138.449	-138.517	-138.554	-138.484	-138.595	260.035	260.085	260.077	260.049	260.018	260.031	260.043	260.057	260.045	260.054	260.050	260.047	260.058	260.068	260.066	260.066	260.074	260.052	260.068	260.076	260.047	260.046	260.047	260.057	260.061	260.048	260.051	260.044	260.077	260.080	260.075	260.067	2016_7_15_10_10_33
F2LS3KP7HFM5____	-23.651	-23.551	-23.603	-23.645	-23.749	-23.712	-23.647	-23.643	-23.678	-23.642	-23.646	-23.681	-23.578	-23.607	-23.577	-23.577	-23.609	-23.644	-23.607	-23.608	-23.681	-23.643	-23.681	-23.646	-23.611	-23.646	-23.644	-23.648	-23.544	-23.544	-23.542	-23.607	-138.528	-138.651	-138.704	-138.527	-138.717	-138.671	-138.638	-138.636	-138.648	-138.637	-138.570	-138.536	-138.612	-138.609	-138.569	-138.569	-138.528	-138.569	-138.607	-138.533	-138.536	-138.496	-138.536	-138.459	-138.494	-138.536	-138.577	-138.457	-138.533	-138.568	-138.498	-138.575	259.958	260.006	259.989	259.960	259.931	259.943	259.967	259.968	259.955	259.969	259.962	259.946	259.993	259.981	259.990	259.990	259.975	259.963	259.980	259.975	259.946	259.959	259.946	259.955	259.971	259.960	259.964	259.954	260.001	260.003	259.999	259.979	2016_7_15_10_10_36
