SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-65.952	-65.810	-65.918	-65.665	-65.578	-65.708	-65.636	-65.743	-65.743	-65.718	-65.900	-65.716	-65.665	-65.779	-66.044	-65.635	-65.961	-65.753	-65.671	-65.789	-65.654	-65.629	-65.672	-65.583	-65.979	-65.703	-65.780	-65.947	-65.875	-65.764	-66.035	-65.696	131.450	131.229	131.415	131.236	131.225	131.085	131.236	131.086	131.127	131.022	131.251	131.197	131.236	131.124	131.295	131.164	131.217	131.240	131.090	131.195	131.024	131.264	131.161	131.052	131.228	131.119	130.912	131.332	131.155	131.259	131.209	131.291	116.718	116.707	116.712	116.655	116.627	116.697	116.645	116.709	116.702	116.711	116.735	116.680	116.655	116.715	116.777	116.658	116.762	116.686	116.683	116.706	116.689	116.638	116.671	116.659	116.766	116.689	116.752	116.737	116.743	116.686	116.789	116.656	2016_7_15_9_23_26
F2LS3GSUHFM5____	-65.817	-65.672	-65.783	-65.529	-65.404	-65.567	-65.501	-65.607	-65.606	-65.541	-65.725	-65.544	-65.529	-65.642	-65.874	-65.501	-65.868	-65.616	-65.536	-65.653	-65.512	-65.499	-65.536	-65.362	-65.848	-65.535	-65.640	-65.770	-65.739	-65.552	-65.826	-65.522	131.532	131.354	131.497	131.360	131.355	131.216	131.360	131.216	131.247	131.119	131.376	131.327	131.360	131.253	131.427	131.289	131.295	131.325	131.218	131.290	131.116	131.394	131.289	131.178	131.358	131.254	131.005	131.504	131.287	131.389	131.302	131.426	116.535	116.516	116.530	116.465	116.422	116.503	116.455	116.517	116.512	116.511	116.531	116.476	116.465	116.523	116.574	116.468	116.594	116.502	116.492	116.520	116.502	116.449	116.480	116.438	116.577	116.486	116.566	116.524	116.551	116.468	116.579	116.451	2016_7_15_9_23_31
F2LS3GZKHFM5____	-65.726	-65.541	-65.656	-65.392	-65.269	-65.434	-65.359	-65.477	-65.479	-65.452	-65.585	-65.411	-65.392	-65.515	-65.771	-65.359	-65.731	-65.526	-65.398	-65.485	-65.421	-65.357	-65.399	-65.230	-65.702	-65.440	-65.510	-65.625	-65.549	-65.450	-65.638	-65.424	131.796	131.615	131.759	131.620	131.621	131.480	131.620	131.478	131.513	131.383	131.639	131.590	131.620	131.513	131.691	131.547	131.558	131.593	131.477	131.591	131.379	131.654	131.549	131.448	131.620	131.518	131.271	131.722	131.546	131.652	131.600	131.644	116.691	116.658	116.673	116.605	116.562	116.644	116.593	116.659	116.654	116.667	116.669	116.617	116.605	116.666	116.725	116.606	116.734	116.656	116.632	116.642	116.657	116.587	116.620	116.578	116.713	116.640	116.707	116.669	116.673	116.620	116.694	116.612	2016_7_15_9_23_33
F2LS3HTSHFM5____	-65.979	-65.792	-65.906	-65.662	-65.563	-65.655	-65.631	-65.728	-65.726	-65.662	-65.846	-65.664	-65.662	-65.766	-65.997	-65.629	-65.949	-65.735	-65.623	-65.739	-65.589	-65.627	-65.667	-65.481	-65.931	-65.666	-65.760	-65.895	-65.859	-65.678	-65.948	-65.650	131.523	131.357	131.538	131.355	131.362	131.258	131.353	131.215	131.253	131.163	131.376	131.371	131.355	131.247	131.465	131.283	131.336	131.371	131.211	131.370	131.206	131.388	131.284	131.237	131.355	131.250	131.010	131.454	131.278	131.386	131.341	131.422	116.748	116.712	116.720	116.667	116.631	116.681	116.656	116.714	116.707	116.700	116.727	116.665	116.667	116.722	116.764	116.668	116.770	116.689	116.678	116.691	116.667	116.649	116.681	116.624	116.760	116.686	116.761	116.731	116.749	116.667	116.769	116.651	2016_7_15_9_23_36
F2LS3J5VHFM5____	-65.881	-65.735	-65.843	-65.590	-65.504	-65.626	-65.563	-65.667	-65.669	-65.650	-65.774	-65.648	-65.590	-65.692	-65.976	-65.562	-65.930	-65.723	-65.590	-65.727	-65.621	-65.560	-65.637	-65.459	-65.908	-65.635	-65.702	-65.821	-65.796	-65.608	-65.835	-65.578	131.513	131.338	131.481	131.342	131.295	131.196	131.344	131.198	131.188	131.051	131.315	131.306	131.342	131.198	131.410	131.273	131.280	131.306	131.200	131.306	131.015	131.377	131.275	131.164	131.342	131.241	130.983	131.400	131.268	131.375	131.326	131.411	116.735	116.715	116.728	116.664	116.642	116.701	116.654	116.716	116.718	116.735	116.733	116.690	116.664	116.724	116.787	116.666	116.793	116.716	116.688	116.718	116.732	116.647	116.692	116.649	116.774	116.697	116.765	116.734	116.748	116.664	116.752	116.647	2016_7_15_9_23_39
F2LS3JECHFM5____	-66.166	-66.026	-66.133	-65.882	-65.795	-65.919	-65.853	-65.958	-65.957	-65.898	-66.112	-65.898	-65.882	-65.993	-66.263	-65.851	-66.170	-65.967	-65.883	-65.969	-65.900	-65.847	-65.887	-65.715	-66.191	-65.886	-65.992	-66.160	-66.089	-65.947	-66.205	-65.914	131.384	131.203	131.350	131.212	131.205	131.071	131.213	131.068	131.098	130.967	131.190	131.181	131.212	131.106	131.279	131.142	131.150	131.184	131.068	131.181	130.964	131.243	131.141	131.033	131.210	131.107	130.856	131.275	131.139	131.203	131.153	131.238	116.738	116.721	116.732	116.669	116.640	116.707	116.659	116.721	116.715	116.718	116.753	116.680	116.669	116.727	116.790	116.671	116.780	116.704	116.695	116.705	116.719	116.652	116.683	116.642	116.777	116.689	116.770	116.755	116.754	116.694	116.792	116.676	2016_7_15_9_23_42
F2LS3JHAHFM5____	-65.949	-65.801	-65.912	-65.632	-65.539	-65.699	-65.631	-65.732	-65.732	-65.669	-65.858	-65.680	-65.632	-65.770	-66.012	-65.630	-65.954	-65.744	-65.631	-65.745	-65.643	-65.635	-65.666	-65.498	-65.942	-65.662	-65.764	-65.946	-65.873	-65.694	-65.952	-65.664	131.511	131.339	131.481	131.303	131.339	131.198	131.306	131.203	131.235	131.102	131.315	131.310	131.303	131.236	131.408	131.236	131.279	131.317	131.161	131.313	131.062	131.338	131.235	131.172	131.339	131.202	130.956	131.445	131.224	131.375	131.288	131.414	116.727	116.706	116.720	116.653	116.614	116.695	116.652	116.706	116.700	116.701	116.730	116.669	116.653	116.713	116.767	116.664	116.770	116.690	116.677	116.691	116.699	116.648	116.677	116.629	116.755	116.681	116.760	116.738	116.751	116.662	116.767	116.645	2016_7_15_9_23_45
F2LS3JJ8HFM5____	-65.748	-65.609	-65.749	-65.472	-65.378	-65.507	-65.435	-65.538	-65.541	-65.513	-65.686	-65.480	-65.472	-65.576	-65.829	-65.433	-65.785	-65.584	-65.474	-65.585	-65.443	-65.440	-65.473	-65.340	-65.768	-65.473	-65.574	-65.731	-65.663	-65.522	-65.780	-65.487	131.581	131.367	131.549	131.371	131.407	131.267	131.371	131.267	131.301	131.167	131.387	131.383	131.371	131.304	131.440	131.300	131.352	131.383	131.267	131.381	131.170	131.443	131.299	131.241	131.408	131.265	131.067	131.513	131.339	131.444	131.351	131.440	116.617	116.605	116.622	116.557	116.518	116.587	116.544	116.598	116.593	116.607	116.629	116.558	116.557	116.605	116.669	116.555	116.670	116.594	116.576	116.595	116.582	116.533	116.570	116.533	116.654	116.576	116.645	116.622	116.629	116.562	116.668	116.550	2016_7_15_9_23_47
F2LS3JTDHFM5____	-66.106	-65.958	-66.072	-65.818	-65.725	-65.853	-65.787	-65.896	-65.894	-65.828	-66.014	-65.831	-65.818	-65.933	-66.201	-65.789	-66.153	-65.902	-65.823	-65.904	-65.799	-65.784	-65.824	-65.679	-66.127	-65.856	-65.925	-66.137	-66.026	-65.881	-66.144	-65.813	131.501	131.293	131.468	131.328	131.331	131.188	131.332	131.188	131.223	131.089	131.305	131.302	131.328	131.185	131.354	131.218	131.267	131.304	131.185	131.299	131.091	131.362	131.218	131.122	131.326	131.182	130.981	131.388	131.255	131.320	131.274	131.395	116.853	116.838	116.847	116.783	116.750	116.820	116.772	116.835	116.828	116.828	116.855	116.792	116.783	116.848	116.912	116.792	116.910	116.816	116.810	116.818	116.818	116.765	116.805	116.771	116.891	116.822	116.881	116.884	116.869	116.806	116.906	116.770	2016_7_15_9_23_51
F2LS3KP7HFM5____	-66.018	-65.875	-66.018	-65.731	-65.636	-65.765	-65.700	-65.803	-65.805	-65.740	-65.914	-65.739	-65.731	-65.844	-66.103	-65.699	-66.058	-65.811	-65.735	-65.811	-65.706	-65.696	-65.737	-65.561	-66.035	-65.776	-65.840	-65.958	-65.928	-65.743	-66.051	-65.757	131.457	131.276	131.383	131.283	131.287	131.143	131.284	131.104	131.139	131.006	131.256	131.254	131.283	131.135	131.312	131.212	131.223	131.254	131.140	131.222	131.045	131.316	131.213	131.118	131.244	131.137	130.936	131.342	131.211	131.313	131.229	131.314	116.475	116.456	116.488	116.405	116.371	116.441	116.394	116.461	116.456	116.457	116.474	116.413	116.405	116.470	116.529	116.406	116.530	116.438	116.431	116.444	116.438	116.387	116.419	116.374	116.518	116.446	116.504	116.474	116.486	116.404	116.526	116.409	2016_7_15_9_23_55
