SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.391	-0.421	-0.390	-0.418	-0.426	-0.418	-0.428	-0.398	-0.426	-0.398	-0.453	-0.428	-0.415	-0.426	-0.427	-0.462	-0.427	-0.425	-0.380	-0.426	-0.426	-0.428	-0.426	-0.456	-0.427	-0.428	-0.426	-0.428	-0.429	-0.427	-0.454	-0.427	-0.163	-0.199	-0.200	-0.199	-0.162	-0.199	-0.164	-0.165	-0.163	-0.162	-0.162	-0.162	-0.197	-0.160	-0.163	-0.157	-0.161	-0.161	-0.199	-0.161	-0.162	-0.161	-0.161	-0.157	-0.163	-0.163	-0.162	-0.160	-0.159	-0.162	-0.159	-0.163	0.198	0.212	0.202	0.211	0.209	0.212	0.210	0.200	0.209	0.200	0.218	0.209	0.211	0.209	0.210	0.221	0.209	0.208	0.199	0.209	0.209	0.209	0.208	0.218	0.210	0.209	0.209	0.209	0.210	0.209	0.218	0.209	-0.424	-0.168	0.209	2016_7_15_8_43_15
F2LS3GSUHFM5____	0.078	0.071	0.071	0.069	0.077	0.069	0.070	0.070	0.066	0.068	0.068	0.069	0.075	0.076	0.069	0.076	0.076	0.075	0.076	0.070	0.069	0.072	0.071	0.065	0.071	0.069	0.068	0.070	0.078	0.070	0.071	0.070	0.020	0.055	0.052	0.055	0.020	0.053	0.052	0.053	0.052	0.052	0.051	0.053	0.018	0.021	0.053	0.020	0.018	0.020	0.020	0.054	0.053	0.055	0.053	0.054	0.053	0.054	0.053	0.054	0.020	0.054	0.053	0.053	-0.101	-0.103	-0.103	-0.103	-0.100	-0.102	-0.102	-0.103	-0.101	-0.102	-0.101	-0.103	-0.099	-0.101	-0.103	-0.100	-0.100	-0.100	-0.100	-0.103	-0.103	-0.104	-0.103	-0.101	-0.103	-0.102	-0.103	-0.103	-0.100	-0.103	-0.103	-0.103	0.071	0.044	-0.102	2016_7_15_8_43_18
F2LS3GZKHFM5____	0.329	0.303	0.303	0.341	0.336	0.340	0.339	0.339	0.341	0.340	0.338	0.342	0.308	0.339	0.341	0.341	0.298	0.343	0.306	0.342	0.336	0.341	0.339	0.315	0.340	0.298	0.336	0.344	0.341	0.342	0.341	0.333	0.261	0.224	0.265	0.223	0.260	0.222	0.222	0.222	0.224	0.224	0.224	0.223	0.225	0.220	0.222	0.223	0.263	0.223	0.224	0.223	0.223	0.222	0.221	0.226	0.222	0.259	0.223	0.223	0.223	0.224	0.224	0.260	-0.054	-0.039	-0.045	-0.052	-0.055	-0.051	-0.051	-0.051	-0.052	-0.052	-0.051	-0.052	-0.041	-0.051	-0.053	-0.052	-0.043	-0.052	-0.041	-0.052	-0.051	-0.052	-0.052	-0.043	-0.051	-0.042	-0.050	-0.053	-0.052	-0.052	-0.052	-0.054	0.332	0.230	-0.050	2016_7_15_8_43_22
F2LS3HTSHFM5____	-0.058	-0.089	-0.058	-0.057	-0.058	-0.057	-0.056	-0.057	-0.059	-0.059	-0.059	-0.059	-0.050	-0.058	-0.060	-0.060	-0.047	-0.059	-0.021	-0.056	-0.059	-0.058	-0.058	-0.059	-0.056	-0.058	-0.058	-0.056	-0.058	-0.057	-0.057	-0.057	-0.077	-0.074	-0.078	-0.076	-0.078	-0.078	-0.079	-0.078	-0.080	-0.079	-0.079	-0.078	-0.116	-0.077	-0.079	-0.078	-0.118	-0.079	-0.116	-0.078	-0.079	-0.077	-0.078	-0.078	-0.079	-0.078	-0.080	-0.077	-0.076	-0.077	-0.077	-0.077	0.035	0.045	0.035	0.035	0.035	0.036	0.035	0.035	0.036	0.036	0.036	0.036	0.038	0.035	0.036	0.036	0.038	0.036	0.029	0.035	0.035	0.035	0.035	0.035	0.034	0.035	0.036	0.034	0.035	0.035	0.035	0.035	-0.057	-0.081	0.036	2016_7_15_8_43_26
F2LS3J5VHFM5____	-0.242	-0.202	-0.169	-0.207	-0.207	-0.204	-0.205	-0.208	-0.208	-0.207	-0.206	-0.207	-0.246	-0.237	-0.207	-0.206	-0.199	-0.207	-0.209	-0.204	-0.205	-0.206	-0.175	-0.178	-0.205	-0.206	-0.205	-0.205	-0.207	-0.205	-0.175	-0.206	-0.013	-0.062	-0.059	-0.018	-0.019	-0.019	-0.020	-0.019	-0.019	-0.019	-0.020	-0.019	-0.014	-0.012	-0.019	-0.018	-0.055	-0.017	-0.017	-0.018	-0.019	-0.020	-0.022	-0.021	-0.019	-0.020	-0.019	-0.019	-0.018	-0.019	-0.023	-0.019	0.147	0.140	0.129	0.136	0.136	0.135	0.135	0.136	0.136	0.135	0.136	0.136	0.148	0.145	0.136	0.136	0.139	0.136	0.137	0.135	0.135	0.136	0.126	0.126	0.135	0.136	0.135	0.136	0.136	0.135	0.126	0.136	-0.205	-0.022	0.136	2016_7_15_8_43_46
F2LS3JECHFM5____	-0.422	-0.424	-0.425	-0.424	-0.423	-0.391	-0.394	-0.421	-0.418	-0.390	-0.424	-0.392	-0.428	-0.431	-0.421	-0.403	-0.428	-0.433	-0.422	-0.393	-0.422	-0.392	-0.423	-0.418	-0.424	-0.392	-0.394	-0.424	-0.422	-0.421	-0.393	-0.392	-0.189	-0.188	-0.186	-0.187	-0.187	-0.187	-0.187	-0.220	-0.185	-0.187	-0.185	-0.189	-0.150	-0.151	-0.184	-0.153	-0.151	-0.152	-0.188	-0.188	-0.184	-0.186	-0.186	-0.186	-0.186	-0.187	-0.186	-0.186	-0.187	-0.185	-0.186	-0.185	0.130	0.130	0.131	0.131	0.130	0.119	0.120	0.134	0.128	0.119	0.129	0.119	0.127	0.128	0.129	0.119	0.126	0.128	0.130	0.120	0.129	0.119	0.129	0.128	0.130	0.120	0.120	0.130	0.130	0.129	0.120	0.119	-0.413	-0.182	0.126	2016_7_15_8_43_50
F2LS3JHAHFM5____	-0.158	-0.158	-0.119	-0.158	-0.158	-0.157	-0.154	-0.155	-0.159	-0.160	-0.160	-0.156	-0.157	-0.157	-0.156	-0.158	-0.157	-0.157	-0.189	-0.156	-0.156	-0.157	-0.156	-0.159	-0.157	-0.154	-0.157	-0.157	-0.157	-0.158	-0.155	-0.159	-0.093	-0.048	-0.091	-0.092	-0.094	-0.093	-0.092	-0.091	-0.092	-0.093	-0.092	-0.093	-0.092	-0.093	-0.092	-0.093	-0.093	-0.092	-0.090	-0.093	-0.093	-0.092	-0.093	-0.092	-0.093	-0.093	-0.093	-0.093	-0.093	-0.094	-0.092	-0.093	0.308	0.301	0.294	0.308	0.308	0.307	0.306	0.306	0.308	0.308	0.308	0.307	0.307	0.308	0.307	0.308	0.307	0.307	0.317	0.307	0.307	0.307	0.307	0.308	0.307	0.306	0.307	0.307	0.308	0.307	0.307	0.308	-0.157	-0.091	0.307	2016_7_15_8_43_54
F2LS3JJ8HFM5____	0.349	0.351	0.316	0.350	0.349	0.381	0.380	0.348	0.378	0.348	0.380	0.349	0.354	0.355	0.350	0.360	0.329	0.317	0.360	0.316	0.376	0.350	0.318	0.349	0.349	0.347	0.376	0.316	0.348	0.317	0.318	0.348	0.116	0.116	0.115	0.115	0.115	0.114	0.111	0.114	0.111	0.114	0.111	0.115	0.075	0.077	0.115	0.077	0.076	0.118	0.074	0.114	0.110	0.114	0.117	0.112	0.114	0.114	0.110	0.114	0.115	0.115	0.116	0.114	0.072	0.071	0.083	0.072	0.072	0.061	0.063	0.073	0.063	0.072	0.063	0.072	0.076	0.076	0.072	0.074	0.084	0.082	0.075	0.084	0.064	0.072	0.083	0.073	0.073	0.073	0.064	0.084	0.072	0.083	0.082	0.073	0.348	0.108	0.074	2016_7_15_8_43_58
F2LS3JTDHFM5____	-0.013	-0.014	0.020	-0.010	-0.011	0.018	-0.012	-0.011	-0.016	-0.017	-0.016	-0.011	-0.016	-0.013	-0.013	-0.015	-0.017	-0.012	0.017	-0.013	-0.013	-0.012	-0.013	-0.016	-0.014	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013	-0.012	0.052	0.051	0.048	0.051	0.051	0.049	0.049	0.051	0.050	0.051	0.051	0.051	0.051	0.050	0.049	0.050	0.050	0.052	0.047	0.050	0.049	0.050	0.049	0.051	0.048	0.049	0.050	0.050	0.052	0.050	0.048	0.050	0.135	0.136	0.126	0.135	0.136	0.127	0.136	0.136	0.137	0.138	0.137	0.135	0.137	0.136	0.137	0.137	0.138	0.135	0.126	0.137	0.136	0.136	0.137	0.137	0.137	0.137	0.136	0.136	0.135	0.136	0.137	0.136	-0.010	0.050	0.135	2016_7_15_8_44_01
F2LS3KP7HFM5____	-0.214	-0.209	-0.210	-0.248	-0.240	-0.206	-0.210	-0.211	-0.209	-0.211	-0.214	-0.240	-0.216	-0.213	-0.212	-0.220	-0.217	-0.213	-0.250	-0.240	-0.211	-0.211	-0.242	-0.237	-0.211	-0.212	-0.211	-0.210	-0.241	-0.209	-0.212	-0.211	-0.085	-0.123	-0.122	-0.086	-0.120	-0.121	-0.121	-0.122	-0.120	-0.121	-0.090	-0.120	-0.083	-0.085	-0.123	-0.083	-0.083	-0.085	-0.082	-0.120	-0.121	-0.122	-0.122	-0.120	-0.121	-0.122	-0.120	-0.122	-0.119	-0.122	-0.122	-0.122	-0.036	-0.033	-0.033	-0.025	-0.023	-0.034	-0.034	-0.033	-0.034	-0.033	-0.036	-0.023	-0.036	-0.037	-0.032	-0.036	-0.036	-0.038	-0.025	-0.023	-0.032	-0.033	-0.022	-0.024	-0.033	-0.032	-0.033	-0.033	-0.023	-0.033	-0.032	-0.033	-0.219	-0.111	-0.031	2016_7_15_8_44_05
