SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.305	-0.341	-0.340	-0.340	-0.340	-0.342	-0.339	-0.340	-0.339	-0.340	-0.340	-0.340	-0.338	-0.336	-0.340	-0.341	-0.340	-0.341	-0.341	-0.341	-0.340	-0.341	-0.339	-0.340	-0.340	-0.341	-0.340	-0.340	-0.340	-0.340	-0.339	-0.342	-0.083	-0.077	-0.079	-0.079	-0.079	-0.078	-0.082	-0.081	-0.082	-0.079	-0.079	-0.079	-0.082	-0.117	-0.082	-0.081	-0.081	-0.077	-0.082	-0.082	-0.078	-0.081	-0.082	-0.079	-0.078	-0.079	-0.082	-0.083	-0.078	-0.079	-0.080	-0.078	0.168	0.180	0.180	0.180	0.180	0.181	0.180	0.181	0.181	0.180	0.180	0.180	0.180	0.182	0.181	0.181	0.181	0.180	0.182	0.182	0.180	0.181	0.180	0.181	0.180	0.181	0.180	0.181	0.180	0.181	0.180	0.181	-0.339	-0.081	0.180	2016_7_15_8_51_51
F2LS3GSUHFM5____	0.039	0.035	0.073	0.073	0.073	0.071	0.076	0.075	0.077	0.073	0.076	0.073	0.113	0.036	0.117	0.077	0.077	0.075	0.077	0.077	0.077	0.077	0.076	0.077	0.077	0.076	0.115	0.075	0.077	0.076	0.077	0.034	0.057	0.010	0.052	0.052	0.052	0.013	0.019	0.015	0.020	0.052	0.019	0.052	0.014	-0.021	0.018	0.020	0.018	0.019	0.014	0.014	0.018	0.020	0.055	0.017	0.018	0.020	0.014	0.018	0.018	0.016	0.018	0.015	-0.092	-0.086	-0.105	-0.105	-0.105	-0.100	-0.102	-0.102	-0.103	-0.105	-0.102	-0.105	-0.116	-0.084	-0.118	-0.103	-0.103	-0.102	-0.102	-0.102	-0.103	-0.103	-0.106	-0.103	-0.103	-0.103	-0.117	-0.103	-0.103	-0.102	-0.102	-0.086	0.074	0.024	-0.102	2016_7_15_8_51_55
F2LS3GZKHFM5____	0.475	0.478	0.477	0.477	0.477	0.480	0.483	0.510	0.482	0.477	0.482	0.477	0.479	0.475	0.478	0.479	0.482	0.477	0.480	0.480	0.479	0.479	0.484	0.477	0.479	0.439	0.511	0.413	0.479	0.478	0.487	0.484	0.145	0.143	0.180	0.180	0.180	0.144	0.146	0.136	0.145	0.180	0.145	0.180	0.129	0.143	0.166	0.135	0.138	0.178	0.134	0.134	0.143	0.135	0.136	0.143	0.143	0.176	0.135	0.137	0.143	0.145	0.132	0.147	-0.101	-0.103	-0.106	-0.106	-0.106	-0.103	-0.104	-0.114	-0.104	-0.106	-0.104	-0.106	-0.101	-0.102	-0.105	-0.102	-0.103	-0.105	-0.102	-0.102	-0.103	-0.102	-0.104	-0.103	-0.103	-0.091	-0.114	-0.077	-0.103	-0.103	-0.105	-0.105	0.478	0.149	-0.103	2016_7_15_8_51_58
F2LS3HTSHFM5____	-0.095	-0.090	-0.128	-0.128	-0.128	-0.094	-0.091	-0.094	-0.092	-0.128	-0.131	-0.128	-0.093	-0.131	-0.091	-0.129	-0.093	-0.128	-0.092	-0.092	-0.129	-0.129	-0.129	-0.127	-0.129	-0.128	-0.167	-0.128	-0.129	-0.129	-0.131	-0.091	-0.021	-0.022	-0.048	-0.048	-0.048	-0.020	-0.061	-0.019	-0.060	-0.048	-0.024	-0.048	-0.027	-0.018	-0.063	-0.059	-0.027	-0.018	-0.026	-0.026	-0.017	-0.059	-0.027	-0.021	-0.017	-0.023	-0.054	-0.060	-0.017	-0.048	-0.051	-0.025	0.043	0.042	0.059	0.059	0.059	0.042	0.045	0.043	0.046	0.059	0.057	0.059	0.043	0.057	0.046	0.060	0.043	0.055	0.043	0.043	0.056	0.060	0.056	0.055	0.056	0.056	0.074	0.059	0.056	0.059	0.060	0.041	-0.116	-0.036	0.053	2016_7_15_8_52_00
F2LS3J5VHFM5____	-0.137	-0.136	-0.135	-0.135	-0.135	-0.096	-0.096	-0.135	-0.138	-0.135	-0.138	-0.135	-0.136	-0.135	-0.096	-0.136	-0.175	-0.135	-0.096	-0.096	-0.135	-0.136	-0.138	-0.133	-0.135	-0.135	-0.136	-0.136	-0.135	-0.134	-0.134	-0.135	-0.006	-0.004	-0.005	-0.005	-0.005	-0.010	-0.010	-0.007	-0.008	-0.005	-0.006	-0.005	-0.009	-0.005	-0.010	-0.007	-0.004	-0.006	-0.009	-0.009	-0.005	-0.007	-0.002	-0.006	-0.005	-0.005	-0.006	-0.005	-0.005	-0.006	-0.008	-0.006	0.117	0.116	0.116	0.116	0.116	0.102	0.101	0.117	0.118	0.116	0.118	0.116	0.117	0.116	0.102	0.117	0.132	0.116	0.102	0.102	0.116	0.117	0.117	0.116	0.116	0.116	0.117	0.116	0.116	0.116	0.116	0.116	-0.131	-0.006	0.115	2016_7_15_8_52_05
F2LS3JECHFM5____	-0.365	-0.403	-0.315	-0.315	-0.315	-0.360	-0.360	-0.322	-0.318	-0.315	-0.363	-0.315	-0.318	-0.363	-0.361	-0.317	-0.358	-0.316	-0.360	-0.360	-0.401	-0.317	-0.362	-0.362	-0.401	-0.363	-0.363	-0.362	-0.401	-0.359	-0.320	-0.399	-0.076	-0.070	-0.077	-0.077	-0.077	-0.078	-0.078	-0.082	-0.079	-0.077	-0.082	-0.077	-0.079	-0.110	-0.074	-0.078	-0.076	-0.076	-0.073	-0.073	-0.075	-0.078	-0.077	-0.077	-0.075	-0.076	-0.072	-0.073	-0.075	-0.114	-0.082	-0.111	0.108	0.122	0.090	0.090	0.090	0.106	0.107	0.092	0.091	0.090	0.108	0.090	0.091	0.111	0.106	0.090	0.106	0.089	0.106	0.106	0.121	0.090	0.106	0.107	0.121	0.107	0.107	0.106	0.121	0.109	0.091	0.125	-0.351	-0.080	0.103	2016_7_15_8_52_08
F2LS3JHAHFM5____	-0.156	-0.160	-0.159	-0.159	-0.159	-0.159	-0.158	-0.160	-0.158	-0.159	-0.159	-0.159	-0.159	-0.162	-0.158	-0.158	-0.158	-0.160	-0.157	-0.157	-0.160	-0.158	-0.160	-0.159	-0.160	-0.193	-0.160	-0.158	-0.160	-0.159	-0.157	-0.159	-0.022	-0.021	-0.059	-0.059	-0.059	-0.057	-0.019	-0.020	0.013	-0.059	-0.022	-0.059	0.014	-0.020	-0.018	0.013	-0.020	-0.021	-0.019	-0.019	-0.023	0.013	0.013	-0.023	-0.023	-0.022	-0.019	0.015	-0.023	-0.023	-0.052	-0.022	0.303	0.305	0.308	0.308	0.308	0.307	0.303	0.304	0.301	0.308	0.305	0.308	0.301	0.305	0.304	0.300	0.304	0.304	0.303	0.303	0.304	0.300	0.301	0.305	0.304	0.318	0.305	0.300	0.304	0.305	0.306	0.304	-0.160	-0.022	0.305	2016_7_15_8_52_31
F2LS3JJ8HFM5____	0.220	0.262	0.262	0.262	0.262	0.222	0.221	0.221	0.220	0.262	0.221	0.262	0.220	0.179	0.221	0.221	0.219	0.181	0.220	0.220	0.261	0.221	0.220	0.220	0.261	0.259	0.260	0.179	0.261	0.221	0.219	0.219	0.068	0.103	0.103	0.103	0.103	0.063	0.100	0.065	0.099	0.103	0.068	0.103	0.100	0.068	0.101	0.098	0.069	0.061	0.100	0.100	0.066	0.098	0.101	0.065	0.066	0.095	0.068	0.063	0.066	0.063	0.069	0.066	0.115	0.095	0.095	0.095	0.095	0.115	0.112	0.115	0.112	0.095	0.115	0.095	0.111	0.131	0.112	0.112	0.115	0.131	0.111	0.111	0.100	0.112	0.111	0.115	0.100	0.097	0.100	0.131	0.100	0.115	0.115	0.116	0.231	0.083	0.109	2016_7_15_8_52_35
F2LS3JTDHFM5____	0.125	0.130	0.129	0.129	0.129	0.130	0.170	0.169	0.132	0.129	0.134	0.129	0.132	0.167	0.131	0.168	0.132	0.171	0.171	0.171	0.134	0.168	0.133	0.131	0.134	0.135	0.126	0.170	0.134	0.129	0.136	0.131	0.051	0.048	0.047	0.047	0.047	0.046	0.048	0.043	0.046	0.047	0.047	0.047	0.047	0.045	0.049	0.049	0.048	0.048	0.048	0.048	0.054	0.049	0.047	0.007	0.054	0.055	0.046	0.049	0.054	0.045	0.046	0.010	0.086	0.085	0.085	0.085	0.085	0.085	0.069	0.071	0.084	0.085	0.083	0.085	0.084	0.071	0.085	0.069	0.084	0.070	0.069	0.069	0.082	0.069	0.084	0.089	0.082	0.082	0.086	0.069	0.082	0.085	0.083	0.088	0.142	0.046	0.080	2016_7_15_8_52_39
F2LS3KP7HFM5____	-0.261	-0.264	-0.228	-0.228	-0.228	-0.228	-0.230	-0.225	-0.229	-0.228	-0.230	-0.228	-0.229	-0.261	-0.229	-0.228	-0.231	-0.226	-0.268	-0.268	-0.228	-0.228	-0.226	-0.230	-0.228	-0.230	-0.227	-0.230	-0.228	-0.228	-0.267	-0.227	-0.101	-0.099	-0.071	-0.071	-0.071	-0.071	-0.076	-0.071	-0.074	-0.071	-0.075	-0.071	-0.073	-0.101	-0.108	-0.073	-0.075	-0.106	-0.106	-0.106	-0.070	-0.073	-0.106	-0.073	-0.070	-0.074	-0.071	-0.076	-0.070	-0.070	-0.070	-0.102	-0.010	-0.010	-0.027	-0.027	-0.027	-0.027	-0.025	-0.028	-0.026	-0.027	-0.026	-0.027	-0.027	-0.012	-0.023	-0.027	-0.025	-0.024	-0.008	-0.008	-0.027	-0.027	-0.024	-0.026	-0.027	-0.025	-0.028	-0.026	-0.027	-0.027	-0.012	-0.024	-0.235	-0.081	-0.023	2016_7_15_8_52_42
