SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.327	-0.327	-0.234	-0.236	-0.296	-0.292	-0.326	-0.234	-0.297	-0.292	-0.329	-0.330	-0.338	-0.329	-0.330	-0.325	-0.290	-0.328	-0.222	-0.234	-0.291	-0.294	-0.325	-0.294	-0.327	-0.295	-0.279	-0.279	-0.235	-0.349	-0.279	-0.327	-0.066	-0.066	-0.019	-0.018	-0.069	-0.066	-0.069	-0.016	-0.068	-0.069	-0.071	-0.064	-0.090	-0.071	-0.066	-0.071	-0.072	-0.067	-0.010	-0.049	-0.069	-0.071	-0.066	-0.069	-0.066	-0.070	-0.073	-0.073	0.052	-0.073	-0.073	-0.069	0.178	0.178	0.137	0.138	0.165	0.164	0.177	0.136	0.165	0.163	0.179	0.179	0.183	0.179	0.178	0.177	0.163	0.178	0.131	0.139	0.163	0.165	0.176	0.164	0.177	0.165	0.158	0.159	0.132	0.187	0.159	0.177	-0.297	-0.059	0.165	2016_7_15_8_57_30
F2LS3GSUHFM5____	0.063	0.068	0.118	0.112	0.064	0.113	0.096	0.063	0.068	0.064	0.065	0.117	0.064	0.065	0.067	0.014	0.065	0.017	0.044	0.071	0.115	0.064	0.066	0.027	0.100	0.029	0.062	0.028	0.013	0.028	0.082	0.069	0.023	0.028	0.095	0.083	0.024	0.087	0.026	0.024	0.023	0.029	0.054	0.091	0.023	0.054	0.027	-0.058	0.031	0.008	0.091	0.006	0.094	0.027	0.023	0.021	0.025	0.056	0.051	0.024	-0.057	0.025	0.085	0.026	-0.098	-0.100	-0.126	-0.122	-0.099	-0.123	-0.112	-0.099	-0.100	-0.099	-0.101	-0.125	-0.098	-0.101	-0.100	-0.073	-0.100	-0.078	-0.096	-0.100	-0.124	-0.099	-0.100	-0.084	-0.113	-0.087	-0.100	-0.085	-0.072	-0.085	-0.111	-0.101	0.066	0.037	-0.100	2016_7_15_8_57_32
F2LS3GZKHFM5____	0.587	0.550	0.547	0.606	0.588	0.548	0.509	0.547	0.511	0.590	0.500	0.465	0.550	0.500	0.507	0.495	0.502	0.550	0.555	0.545	0.607	0.502	0.513	0.549	0.553	0.547	0.459	0.549	0.546	0.511	0.507	0.549	0.124	0.126	0.126	0.227	0.125	0.122	0.126	0.121	0.045	0.129	0.012	0.116	0.129	0.012	0.122	-0.021	0.123	0.122	0.044	0.116	0.172	0.011	0.121	0.128	0.173	0.121	0.081	0.126	0.122	0.123	0.087	0.124	-0.148	-0.133	-0.132	-0.163	-0.148	-0.132	-0.117	-0.132	-0.112	-0.149	-0.105	-0.087	-0.134	-0.105	-0.116	-0.100	-0.114	-0.133	-0.130	-0.131	-0.160	-0.106	-0.118	-0.133	-0.138	-0.132	-0.094	-0.133	-0.132	-0.117	-0.114	-0.132	0.536	0.107	-0.126	2016_7_15_8_57_36
F2LS3HTSHFM5____	-0.150	-0.133	-0.150	-0.199	-0.098	-0.146	-0.112	-0.147	-0.013	-0.147	-0.147	-0.205	-0.149	-0.147	-0.149	-0.080	-0.148	-0.146	-0.145	-0.150	-0.144	-0.065	-0.146	-0.145	-0.145	-0.203	-0.146	-0.105	-0.182	-0.144	-0.107	-0.145	-0.006	-0.103	-0.104	-0.080	-0.003	-0.012	-0.011	-0.016	0.061	-0.004	-0.011	-0.138	-0.011	-0.011	-0.007	0.031	-0.001	-0.046	-0.053	-0.019	-0.013	-0.000	-0.045	-0.008	-0.047	-0.115	-0.044	-0.012	-0.085	-0.009	-0.010	-0.048	0.065	0.065	0.072	0.089	0.044	0.064	0.050	0.065	0.005	0.064	0.064	0.096	0.064	0.064	0.064	0.034	0.063	0.066	0.066	0.066	0.063	0.030	0.066	0.063	0.065	0.093	0.066	0.047	0.083	0.063	0.048	0.066	-0.139	-0.031	0.062	2016_7_15_8_57_39
F2LS3J5VHFM5____	-0.131	-0.133	-0.094	-0.131	-0.130	-0.095	-0.132	-0.098	-0.132	-0.095	-0.131	-0.131	-0.197	-0.131	-0.133	-0.132	-0.093	-0.131	-0.135	-0.132	-0.130	-0.132	-0.131	-0.133	-0.201	-0.131	-0.092	-0.129	-0.096	-0.132	-0.132	-0.173	-0.004	-0.001	-0.002	-0.004	-0.006	0.045	-0.007	0.042	-0.003	-0.001	-0.001	-0.007	-0.096	-0.001	0.001	-0.003	0.001	-0.002	-0.044	0.004	-0.004	-0.003	-0.055	-0.005	-0.092	0.001	-0.002	-0.007	0.044	0.064	-0.007	-0.003	0.117	0.117	0.102	0.117	0.116	0.098	0.117	0.099	0.116	0.102	0.117	0.117	0.150	0.117	0.117	0.117	0.101	0.116	0.121	0.116	0.115	0.116	0.119	0.117	0.151	0.116	0.101	0.127	0.099	0.112	0.116	0.133	-0.129	-0.005	0.116	2016_7_15_8_57_42
F2LS3JECHFM5____	-0.322	-0.323	-0.324	-0.308	-0.319	-0.311	-0.344	-0.382	-0.309	-0.319	-0.320	-0.306	-0.356	-0.320	-0.358	-0.318	-0.322	-0.354	-0.286	-0.320	-0.357	-0.390	-0.320	-0.285	-0.354	-0.309	-0.317	-0.322	-0.309	-0.284	-0.319	-0.319	-0.060	-0.034	-0.060	-0.038	-0.062	-0.040	-0.014	-0.041	-0.013	-0.057	-0.084	0.055	-0.056	-0.084	-0.062	-0.059	-0.031	-0.059	-0.033	-0.057	-0.060	-0.061	-0.061	-0.034	-0.057	-0.012	-0.060	-0.030	-0.038	-0.032	-0.061	-0.085	0.093	0.092	0.094	0.086	0.092	0.087	0.099	0.116	0.085	0.092	0.094	0.079	0.107	0.094	0.108	0.092	0.092	0.106	0.077	0.092	0.107	0.121	0.093	0.077	0.106	0.084	0.091	0.091	0.087	0.076	0.093	0.094	-0.325	-0.046	0.094	2016_7_15_8_57_45
F2LS3JHAHFM5____	-0.157	-0.160	-0.157	-0.159	-0.158	-0.152	-0.191	-0.194	-0.118	-0.157	-0.159	-0.125	-0.157	-0.159	-0.157	-0.154	-0.155	-0.161	-0.149	-0.124	-0.196	-0.158	-0.160	-0.155	-0.156	-0.162	-0.158	-0.156	-0.155	-0.157	-0.159	-0.155	-0.014	-0.016	-0.046	-0.042	-0.015	-0.016	-0.050	-0.046	-0.015	-0.044	-0.017	-0.014	-0.046	-0.017	-0.016	-0.055	-0.012	-0.016	-0.044	-0.019	-0.012	-0.016	-0.018	0.022	-0.018	-0.020	-0.014	-0.013	-0.046	-0.015	0.013	0.016	0.304	0.305	0.307	0.307	0.305	0.303	0.321	0.322	0.290	0.307	0.305	0.292	0.307	0.305	0.305	0.306	0.304	0.306	0.303	0.292	0.320	0.305	0.306	0.301	0.304	0.306	0.304	0.304	0.306	0.305	0.304	0.301	-0.157	-0.021	0.305	2016_7_15_8_57_48
F2LS3JJ8HFM5____	0.206	0.206	0.207	0.204	0.206	0.208	0.211	0.209	0.208	0.208	0.206	0.203	0.207	0.206	0.207	0.207	0.210	0.167	0.207	0.208	0.208	0.206	0.170	0.210	0.208	0.207	0.208	0.208	0.209	0.172	0.208	0.204	0.059	0.058	0.061	0.059	0.057	0.062	0.060	0.058	0.058	0.060	0.060	0.059	0.057	0.060	0.057	0.058	0.062	0.057	0.059	0.021	0.060	0.061	0.055	0.100	0.057	0.061	0.057	0.059	0.060	0.060	0.059	0.060	0.120	0.120	0.119	0.121	0.120	0.118	0.118	0.118	0.119	0.119	0.120	0.121	0.119	0.120	0.120	0.120	0.118	0.136	0.119	0.122	0.119	0.119	0.134	0.115	0.119	0.119	0.119	0.119	0.118	0.133	0.119	0.121	0.204	0.059	0.121	2016_7_15_8_57_53
F2LS3JTDHFM5____	0.193	0.192	0.191	0.194	0.194	0.193	0.192	0.195	0.193	0.192	0.192	0.196	0.249	0.192	0.182	0.197	0.196	0.128	0.192	0.199	0.190	0.130	0.196	0.191	0.234	0.193	0.197	0.193	0.193	0.235	0.194	0.195	0.007	0.038	0.007	0.008	0.006	0.003	0.042	0.005	-0.043	0.042	0.011	0.042	0.066	0.011	0.075	-0.033	0.013	-0.037	0.044	-0.083	0.039	-0.036	0.041	0.043	0.041	0.005	-0.022	0.041	0.004	0.043	0.044	0.011	0.062	0.060	0.063	0.061	0.062	0.062	0.060	0.061	0.065	0.060	0.062	0.059	0.036	0.062	0.062	0.063	0.060	0.091	0.059	0.066	0.060	0.090	0.059	0.061	0.043	0.062	0.062	0.059	0.062	0.043	0.058	0.061	0.194	0.015	0.061	2016_7_15_8_57_56
F2LS3KP7HFM5____	-0.267	-0.266	-0.214	-0.269	-0.220	-0.266	-0.268	-0.260	-0.266	-0.275	-0.263	-0.283	-0.267	-0.263	-0.219	-0.330	-0.279	-0.219	-0.225	-0.266	-0.266	-0.277	-0.277	-0.266	-0.220	-0.215	-0.267	-0.277	-0.247	-0.268	-0.269	-0.152	-0.061	-0.020	0.056	-0.011	0.057	-0.060	-0.062	-0.078	-0.105	-0.017	-0.054	0.048	-0.060	-0.054	-0.020	-0.074	-0.020	0.052	-0.064	-0.057	-0.006	0.008	-0.062	-0.064	0.055	-0.043	-0.057	-0.062	-0.059	-0.060	-0.058	-0.011	-0.011	-0.014	-0.040	-0.013	-0.038	-0.011	-0.010	-0.012	-0.008	-0.011	-0.012	-0.012	-0.010	-0.012	-0.044	0.016	-0.028	-0.038	-0.027	-0.011	-0.014	-0.011	-0.006	-0.011	-0.038	-0.032	-0.011	-0.006	-0.018	-0.010	-0.010	-0.082	-0.256	-0.032	-0.019	2016_7_15_8_57_59
