SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.424	-0.427	-0.426	-0.426	-0.426	-0.422	-0.427	-0.424	-0.425	-0.425	-0.424	-0.426	-0.425	-0.424	-0.424	-0.425	-0.427	-0.426	-0.425	-0.424	-0.427	-0.427	-0.427	-0.428	-0.426	-0.427	-0.425	-0.426	-0.427	-0.425	-0.426	-0.426	-0.157	-0.168	-0.166	-0.164	-0.163	-0.161	-0.165	-0.163	-0.167	-0.161	-0.159	-0.165	-0.167	-0.159	-0.165	-0.164	-0.164	-0.164	-0.166	-0.163	-0.165	-0.169	-0.165	-0.207	-0.206	-0.201	-0.169	-0.204	-0.170	-0.171	-0.165	-0.203	0.205	0.207	0.206	0.206	0.206	0.205	0.207	0.206	0.206	0.205	0.205	0.207	0.206	0.205	0.206	0.206	0.207	0.206	0.206	0.205	0.207	0.207	0.207	0.214	0.212	0.212	0.207	0.212	0.207	0.207	0.207	0.212	-0.426	-0.171	0.207	2016_7_15_9_30_13
F2LS3GSUHFM5____	0.091	0.089	0.128	0.129	0.128	0.091	0.093	0.088	0.125	0.089	0.091	0.090	0.088	0.090	0.087	0.091	0.089	0.089	0.125	0.128	0.128	0.092	0.129	0.129	0.087	0.087	0.128	0.126	0.128	0.087	0.088	0.128	0.008	-0.001	0.013	0.016	0.017	0.007	0.010	0.011	0.014	-0.019	0.009	0.006	0.008	0.006	0.009	0.007	-0.021	-0.024	0.019	0.014	0.017	0.007	0.017	0.024	0.014	0.017	0.013	0.023	0.013	0.014	0.015	0.016	-0.102	-0.101	-0.115	-0.116	-0.116	-0.103	-0.104	-0.102	-0.114	-0.097	-0.103	-0.101	-0.101	-0.101	-0.101	-0.102	-0.097	-0.097	-0.115	-0.116	-0.116	-0.103	-0.116	-0.118	-0.103	-0.103	-0.115	-0.116	-0.115	-0.102	-0.102	-0.116	0.105	0.009	-0.107	2016_7_15_9_30_16
F2LS3GZKHFM5____	0.324	0.294	0.294	0.292	0.323	0.323	0.325	0.292	0.295	0.324	0.293	0.325	0.293	0.292	0.292	0.327	0.294	0.292	0.326	0.294	0.293	0.326	0.293	0.290	0.288	0.291	0.289	0.291	0.291	0.324	0.323	0.287	0.270	0.266	0.272	0.263	0.271	0.299	0.268	0.266	0.262	0.273	0.262	0.304	0.275	0.265	0.267	0.302	0.268	0.268	0.267	0.266	0.267	0.303	0.261	0.259	0.255	0.274	0.264	0.263	0.264	0.312	0.313	0.271	-0.053	-0.042	-0.043	-0.040	-0.052	-0.056	-0.052	-0.041	-0.041	-0.052	-0.041	-0.057	-0.042	-0.040	-0.042	-0.058	-0.042	-0.041	-0.052	-0.041	-0.041	-0.058	-0.040	-0.039	-0.038	-0.041	-0.039	-0.040	-0.040	-0.058	-0.058	-0.039	0.303	0.274	-0.046	2016_7_15_9_30_18
F2LS3HTSHFM5____	-0.049	-0.048	-0.048	-0.048	-0.050	-0.048	-0.047	-0.049	-0.048	-0.049	-0.049	-0.049	-0.046	-0.049	-0.050	-0.048	-0.048	-0.050	-0.050	-0.049	-0.051	-0.048	-0.048	-0.048	-0.049	-0.047	-0.046	-0.048	-0.049	-0.047	-0.049	-0.048	-0.089	-0.092	-0.088	-0.089	-0.088	-0.087	-0.087	-0.083	-0.087	-0.118	-0.088	-0.087	-0.081	-0.088	-0.082	-0.086	-0.086	-0.089	-0.082	-0.080	-0.086	-0.090	-0.089	-0.072	-0.082	-0.083	-0.071	-0.072	-0.079	-0.083	-0.072	-0.079	0.034	0.034	0.034	0.034	0.034	0.034	0.033	0.033	0.033	0.039	0.034	0.034	0.032	0.034	0.033	0.033	0.033	0.034	0.033	0.033	0.034	0.034	0.033	0.031	0.033	0.032	0.031	0.031	0.033	0.032	0.031	0.033	-0.048	-0.085	0.033	2016_7_15_9_30_21
F2LS3J5VHFM5____	-0.205	-0.205	-0.180	-0.206	-0.206	-0.204	-0.208	-0.203	-0.206	-0.208	-0.204	-0.209	-0.206	-0.205	-0.204	-0.205	-0.206	-0.206	-0.176	-0.208	-0.237	-0.209	-0.205	-0.206	-0.173	-0.208	-0.207	-0.206	-0.208	-0.208	-0.238	-0.210	-0.060	-0.028	-0.016	-0.059	-0.057	-0.059	-0.064	-0.062	-0.064	-0.059	-0.059	-0.059	-0.024	-0.061	-0.065	-0.026	-0.030	-0.060	-0.055	-0.064	-0.082	-0.064	-0.058	-0.062	-0.019	-0.061	-0.054	-0.058	-0.056	-0.034	-0.090	-0.027	0.140	0.135	0.125	0.140	0.140	0.140	0.142	0.140	0.141	0.140	0.139	0.140	0.135	0.140	0.140	0.135	0.136	0.140	0.130	0.142	0.154	0.141	0.140	0.140	0.123	0.141	0.140	0.141	0.140	0.137	0.155	0.136	-0.205	-0.053	0.139	2016_7_15_9_30_23
F2LS3JECHFM5____	-0.417	-0.420	-0.421	-0.421	-0.420	-0.421	-0.420	-0.422	-0.420	-0.422	-0.418	-0.421	-0.421	-0.421	-0.422	-0.420	-0.420	-0.422	-0.421	-0.420	-0.419	-0.421	-0.420	-0.422	-0.420	-0.423	-0.422	-0.422	-0.421	-0.420	-0.421	-0.423	-0.149	-0.151	-0.149	-0.152	-0.152	-0.146	-0.182	-0.148	-0.149	-0.150	-0.151	-0.147	-0.149	-0.155	-0.148	-0.150	-0.147	-0.149	-0.145	-0.184	-0.144	-0.149	-0.152	-0.143	-0.146	-0.146	-0.189	-0.145	-0.150	-0.148	-0.146	-0.148	0.120	0.121	0.121	0.121	0.121	0.121	0.126	0.121	0.120	0.121	0.120	0.120	0.121	0.121	0.121	0.121	0.120	0.121	0.121	0.126	0.119	0.120	0.121	0.120	0.120	0.122	0.127	0.121	0.121	0.120	0.121	0.121	-0.421	-0.152	0.121	2016_7_15_9_30_26
F2LS3JHAHFM5____	-0.156	-0.225	-0.119	-0.155	-0.155	-0.157	-0.120	-0.153	-0.227	-0.119	-0.193	-0.156	-0.153	-0.155	-0.154	-0.228	-0.204	-0.154	-0.152	-0.149	-0.152	-0.119	-0.156	-0.157	-0.153	-0.120	-0.158	-0.158	-0.154	-0.154	-0.122	-0.157	-0.054	-0.055	-0.050	-0.054	-0.082	-0.053	-0.052	-0.052	-0.121	-0.050	-0.056	-0.081	-0.088	-0.051	-0.053	-0.062	-0.076	-0.051	-0.083	-0.065	-0.048	-0.045	-0.020	-0.046	-0.086	-0.045	-0.054	-0.049	-0.086	-0.084	-0.020	-0.146	0.300	0.322	0.287	0.300	0.304	0.301	0.289	0.299	0.334	0.288	0.312	0.305	0.304	0.299	0.299	0.325	0.319	0.299	0.303	0.300	0.298	0.287	0.295	0.299	0.304	0.287	0.301	0.300	0.305	0.304	0.284	0.315	-0.158	-0.063	0.302	2016_7_15_9_30_30
F2LS3JJ8HFM5____	0.357	0.357	0.359	0.358	0.359	0.356	0.357	0.358	0.358	0.357	0.357	0.356	0.361	0.359	0.358	0.358	0.356	0.358	0.357	0.357	0.356	0.354	0.357	0.355	0.393	0.359	0.358	0.358	0.357	0.357	0.358	0.357	0.118	0.120	0.121	0.118	0.117	0.121	0.118	0.118	0.122	0.119	0.118	0.122	0.123	0.119	0.121	0.123	0.118	0.118	0.123	0.125	0.115	0.119	0.120	0.122	0.130	0.124	0.122	0.120	0.117	0.119	0.124	0.124	0.071	0.072	0.071	0.071	0.071	0.072	0.072	0.071	0.071	0.072	0.072	0.071	0.070	0.071	0.071	0.071	0.072	0.072	0.071	0.070	0.073	0.073	0.071	0.071	0.058	0.070	0.070	0.071	0.072	0.072	0.071	0.071	0.358	0.121	0.071	2016_7_15_9_30_33
F2LS3JTDHFM5____	0.023	-0.014	0.022	0.020	0.022	-0.011	-0.012	0.023	0.022	0.022	-0.014	-0.016	0.022	-0.014	0.024	-0.013	0.020	-0.013	-0.011	-0.010	0.026	-0.010	0.020	0.028	0.025	0.025	0.028	0.027	0.028	0.025	0.025	0.028	0.059	0.052	0.059	0.058	0.094	0.055	0.059	0.053	0.062	0.059	0.052	0.052	0.054	0.050	0.053	0.053	0.085	0.055	0.059	0.060	0.059	0.059	0.055	0.064	0.093	0.054	0.062	0.057	0.062	0.057	0.066	0.102	0.123	0.136	0.123	0.124	0.118	0.134	0.135	0.124	0.122	0.123	0.136	0.137	0.124	0.137	0.123	0.136	0.120	0.135	0.134	0.133	0.121	0.133	0.124	0.120	0.117	0.123	0.121	0.122	0.120	0.122	0.121	0.115	0.011	0.062	0.126	2016_7_15_9_30_36
F2LS3KP7HFM5____	-0.134	-0.201	-0.202	-0.201	-0.137	-0.206	-0.202	-0.204	-0.202	-0.202	-0.205	-0.200	-0.208	-0.204	-0.203	-0.201	-0.200	-0.202	-0.209	-0.203	-0.203	-0.201	-0.202	-0.202	-0.138	-0.200	-0.201	-0.274	-0.200	-0.200	-0.204	-0.207	-0.082	-0.119	-0.122	-0.119	-0.078	-0.084	-0.121	-0.124	-0.086	-0.126	-0.167	-0.081	-0.110	-0.081	-0.120	-0.082	-0.083	-0.121	-0.095	-0.093	-0.123	-0.118	-0.120	-0.122	-0.079	-0.121	-0.087	-0.108	-0.084	-0.087	-0.122	-0.075	-0.065	-0.037	-0.036	-0.038	-0.065	-0.042	-0.037	-0.036	-0.042	-0.036	-0.028	-0.044	-0.036	-0.043	-0.037	-0.043	-0.043	-0.037	-0.039	-0.040	-0.037	-0.037	-0.037	-0.037	-0.064	-0.037	-0.043	-0.015	-0.043	-0.043	-0.036	-0.042	-0.199	-0.104	-0.040	2016_7_15_9_30_39
