SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.147	-0.324	0.481	-0.338	0.133	0.202	-0.068	-0.135	0.199	-0.277	-0.065	-0.209	-0.139	0.001	0.329	-0.069	-0.197	0.252	-0.391	-0.161	-0.072	0.262	0.187	-0.198	-0.065	-0.065	0.068	-0.008	0.325	0.068	0.075	0.417	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.086	-0.123	0.262	-0.182	0.058	0.076	-0.045	-0.069	0.090	-0.184	-0.010	-0.127	-0.052	0.001	0.162	-0.055	-0.101	0.081	-0.193	-0.078	-0.063	0.110	0.106	-0.106	-0.069	-0.019	0.054	-0.034	0.110	0.005	0.027	0.226	0.011	0.132	-0.002	2016_7_15_9_32_44
F2LS3GSUHFM5____	-0.130	-0.261	0.319	-0.056	-0.006	-0.408	-0.203	-0.008	-0.255	0.004	-0.249	-0.007	-0.002	-0.222	-0.263	-0.024	-0.130	-0.005	0.078	-0.130	-0.014	-0.005	0.060	-0.263	-0.080	-0.069	-0.183	-0.393	-0.206	-0.011	-0.400	-0.181	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.614	0.559	0.829	0.703	0.667	0.471	0.570	0.650	0.576	0.707	0.565	0.677	0.670	0.546	0.540	0.624	0.610	0.662	0.736	0.630	0.632	0.655	0.674	0.519	0.616	0.627	0.604	0.490	0.553	0.668	0.436	0.610	-0.116	0.072	0.615	2016_7_15_9_32_47
F2LS3GZKHFM5____	0.624	0.480	0.906	0.710	1.036	0.575	0.646	0.720	0.429	0.760	0.583	0.704	0.513	0.774	0.910	0.562	0.719	0.500	0.575	0.742	0.779	1.029	0.700	0.764	0.500	0.704	0.514	0.634	0.895	0.435	0.776	0.359	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	9.714	-0.676	-0.736	-0.522	-0.608	-0.445	-0.657	-0.620	-0.579	-0.807	-0.628	-0.644	-0.625	-0.697	-0.546	-0.523	-0.710	-0.581	-0.742	-0.678	-0.622	-0.559	-0.452	-0.607	-0.594	-0.737	-0.601	-0.706	-0.664	-0.568	-0.744	-0.572	-0.799	0.674	9.714	-0.633	2016_7_15_9_32_50
F2LS3HTSHFM5____	0.049	-0.576	-0.015	-0.069	-0.014	-0.276	-0.281	-0.340	-0.228	0.173	0.042	-0.017	-0.279	-0.213	-0.145	-0.006	-0.017	-0.301	-0.407	-0.144	-0.217	-0.011	-0.340	-0.075	-0.020	-0.271	0.048	0.010	-0.003	-0.065	-0.409	-0.136	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	0.200	-0.013	-0.303	-0.026	-0.004	-0.004	-0.136	-0.154	-0.186	-0.164	0.052	-0.002	-0.033	-0.142	-0.146	-0.067	-0.010	-0.030	-0.216	-0.191	-0.085	-0.145	0.001	-0.167	-0.046	-0.029	-0.134	0.004	0.060	0.004	0.003	-0.204	-0.069	-0.142	0.200	-0.081	2016_7_15_9_32_53
F2LS3J5VHFM5____	-0.405	-0.299	-0.369	0.042	-0.144	-0.492	-0.229	-0.073	-0.631	-0.294	-0.684	-0.481	-0.191	-0.230	-0.353	-0.011	-0.301	-0.093	-0.142	-0.070	-0.292	-0.352	-0.075	-0.097	-0.158	-0.206	-0.275	-0.154	-0.301	-0.233	-0.360	-0.294	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	-0.184	-0.162	-0.209	0.018	-0.091	-0.265	-0.144	-0.017	-0.358	-0.178	-0.350	-0.239	-0.128	-0.150	-0.177	-0.001	-0.163	-0.067	-0.060	-0.056	-0.149	-0.200	-0.011	-0.059	-0.093	-0.074	-0.122	-0.074	-0.191	-0.133	-0.207	-0.166	-0.258	0.465	-0.139	2016_7_15_9_32_56
F2LS3JECHFM5____	-0.066	0.081	-0.132	0.267	0.144	-0.006	0.197	0.002	0.391	0.001	0.125	0.012	0.001	0.136	0.136	-0.070	0.073	0.213	-0.137	-0.001	-0.074	0.142	0.070	-0.060	0.203	0.058	-0.073	-0.001	-0.129	0.076	-0.064	0.140	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.627	0.729	0.609	0.806	0.747	0.654	0.760	0.694	0.847	0.648	0.701	0.683	0.627	0.701	0.711	0.623	0.706	0.802	0.623	0.654	0.644	0.758	0.705	0.651	0.769	0.692	0.623	0.683	0.589	0.717	0.671	0.751	0.052	0.068	0.694	2016_7_15_9_32_59
F2LS3JHAHFM5____	-0.065	0.002	-0.121	-0.080	-0.190	-0.002	0.066	-0.050	-0.066	0.006	-0.070	-0.089	-0.058	-0.006	0.126	-0.062	-0.185	-0.138	-0.337	-0.044	-0.261	0.047	-0.228	0.067	-0.330	0.061	-0.055	-0.186	0.205	-0.265	0.062	-0.065	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	-0.035	0.010	-0.021	-0.061	-0.082	-0.023	0.022	0.010	-0.042	0.033	-0.047	-0.075	-0.000	-0.006	0.054	-0.025	-0.070	-0.070	-0.169	0.006	-0.117	0.019	-0.186	0.010	-0.156	0.028	-0.011	-0.071	0.086	-0.144	0.042	-0.035	-0.072	0.014	-0.035	2016_7_15_9_33_02
F2LS3JJ8HFM5____	-0.590	-0.206	-0.068	-0.071	-0.280	-0.212	-0.075	-0.205	0.118	-0.534	-0.204	-0.535	-0.070	-0.067	-0.610	-0.006	-0.340	-0.075	-0.074	0.051	-0.097	-0.393	0.073	-0.000	-0.275	-0.002	-0.012	-0.345	-0.008	-0.203	-0.280	-0.079	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	-0.122	0.422	0.594	0.650	0.647	0.529	0.581	0.612	0.578	0.744	0.425	0.593	0.409	0.621	0.647	0.383	0.658	0.519	0.647	0.629	0.668	0.604	0.522	0.726	0.667	0.523	0.682	0.677	0.514	0.683	0.569	0.536	0.652	-0.177	-0.122	0.591	2016_7_15_9_33_06
F2LS3JTDHFM5____	-0.206	0.182	-0.008	0.125	-0.080	0.393	0.198	-0.001	0.146	0.125	-0.003	0.133	0.063	0.075	-0.216	0.002	-0.463	0.269	0.259	0.182	0.054	0.123	-0.219	-0.334	-0.472	-0.066	-0.344	-0.148	0.247	-0.231	-0.206	-0.354	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	-0.406	0.581	0.741	0.671	0.714	0.652	0.859	0.816	0.718	0.793	0.756	0.711	0.786	0.756	0.763	0.564	0.701	0.471	0.831	0.797	0.868	0.716	0.747	0.596	0.540	0.445	0.684	0.526	0.600	0.763	0.552	0.641	0.487	-0.024	-0.406	0.683	2016_7_15_9_33_08
F2LS3KP7HFM5____	0.779	0.072	0.476	-0.117	0.339	0.206	0.282	-0.127	0.138	0.278	-0.062	0.340	-0.116	-0.124	0.603	0.273	0.226	0.078	0.396	0.057	0.007	0.320	-0.044	0.342	0.279	0.007	0.288	0.143	0.274	0.352	0.018	0.398	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.387	0.037	0.240	-0.056	0.154	0.096	0.161	-0.062	0.067	0.147	-0.027	0.141	-0.070	-0.060	0.284	0.120	0.140	0.035	0.169	0.022	0.000	0.135	0.008	0.172	0.150	-0.014	0.173	0.063	0.129	0.183	0.027	0.179	0.199	0.064	0.098	2016_7_15_9_33_11
