SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.146	0.146	0.146	0.147	0.146	0.146	0.147	0.146	0.146	0.147	0.147	0.145	0.146	0.146	0.146	0.147	0.146	0.146	0.145	0.146	0.146	0.146	0.146	0.146	0.146	0.147	0.146	0.146	0.146	0.146	0.146	0.146	0.056	0.053	0.055	0.055	0.056	0.055	0.055	0.052	0.055	0.056	0.056	0.058	0.056	0.054	0.057	0.052	0.054	0.052	0.052	0.051	0.052	0.024	0.024	0.054	0.054	0.052	0.052	0.052	0.055	0.054	0.056	0.052	0.056	0.057	0.057	0.057	0.057	0.057	0.057	0.056	0.056	0.057	0.057	0.056	0.057	0.057	0.056	0.057	0.057	0.056	0.056	0.057	0.057	0.057	0.057	0.057	0.057	0.057	0.057	0.057	0.056	0.057	0.056	0.057	0.146	0.052	0.057	2016_7_15_10_07_48
F2LS3GSUHFM5____	-0.013	-0.013	-0.014	-0.013	-0.012	-0.013	-0.013	-0.013	-0.012	-0.014	-0.014	-0.013	-0.012	-0.013	-0.013	-0.013	-0.012	-0.013	-0.013	-0.013	-0.014	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013	-0.014	-0.012	-0.012	-0.012	-0.013	0.113	0.086	0.117	0.114	0.085	0.084	0.114	0.087	0.085	0.116	0.116	0.117	0.085	0.086	0.110	0.112	0.116	0.087	0.086	0.113	0.089	0.087	0.087	0.086	0.116	0.112	0.087	0.089	0.114	0.113	0.085	0.087	0.664	0.665	0.664	0.664	0.666	0.665	0.664	0.666	0.665	0.665	0.665	0.665	0.666	0.665	0.664	0.664	0.664	0.666	0.666	0.664	0.666	0.666	0.666	0.665	0.664	0.664	0.666	0.666	0.664	0.665	0.666	0.666	-0.013	0.099	0.665	2016_7_15_10_07_51
F2LS3GZKHFM5____	0.546	0.518	0.517	0.546	0.545	0.517	0.546	0.518	0.546	0.517	0.517	0.517	0.545	0.545	0.517	0.545	0.517	0.518	0.517	0.518	0.516	0.517	0.517	0.545	0.545	0.545	0.518	0.516	0.516	0.545	0.516	0.518	9.940	9.911	9.909	9.910	9.911	9.910	9.910	9.912	9.886	9.881	9.881	9.911	9.911	9.914	9.911	9.911	9.884	9.912	9.884	9.910	9.911	9.912	9.912	9.914	9.911	9.911	9.881	9.911	9.888	9.910	9.911	9.881	-0.663	-0.675	-0.672	-0.660	-0.662	-0.673	-0.660	-0.673	-0.657	-0.671	-0.671	-0.673	-0.662	-0.661	-0.671	-0.659	-0.668	-0.673	-0.671	-0.672	-0.670	-0.671	-0.671	-0.661	-0.661	-0.659	-0.671	-0.670	-0.671	-0.655	-0.671	-0.671	0.528	9.905	-0.667	2016_7_15_10_07_53
F2LS3HTSHFM5____	-0.103	-0.132	-0.132	-0.133	-0.103	-0.132	-0.133	-0.133	-0.104	-0.132	-0.132	-0.132	-0.103	-0.103	-0.133	-0.133	-0.132	-0.133	-0.133	-0.130	-0.132	-0.132	-0.132	-0.103	-0.133	-0.133	-0.133	-0.132	-0.132	-0.132	-0.132	-0.133	0.138	0.138	0.137	0.136	0.138	0.138	0.136	0.138	0.140	0.137	0.137	0.137	0.138	0.137	0.136	0.135	0.135	0.138	0.138	0.109	0.137	0.135	0.135	0.137	0.136	0.135	0.138	0.137	0.136	0.136	0.135	0.138	-0.048	-0.059	-0.059	-0.059	-0.047	-0.059	-0.059	-0.059	-0.047	-0.059	-0.059	-0.059	-0.047	-0.047	-0.059	-0.058	-0.058	-0.059	-0.059	-0.057	-0.059	-0.058	-0.058	-0.047	-0.058	-0.058	-0.059	-0.059	-0.059	-0.059	-0.059	-0.059	-0.127	0.136	-0.056	2016_7_15_10_07_56
F2LS3J5VHFM5____	-0.081	-0.081	-0.082	-0.080	-0.082	-0.081	-0.080	-0.081	-0.082	-0.082	-0.082	-0.081	-0.082	-0.082	-0.082	-0.080	-0.081	-0.081	-0.081	-0.081	-0.081	-0.080	-0.080	-0.082	-0.081	-0.080	-0.081	-0.081	-0.080	-0.082	-0.080	-0.081	0.015	0.046	0.046	0.018	0.046	0.017	0.018	0.016	0.044	0.048	0.048	0.046	0.046	0.045	0.044	0.016	0.047	0.016	0.045	0.048	0.048	0.045	0.045	0.045	0.018	0.016	0.047	0.048	0.017	0.046	0.043	0.047	-0.033	-0.034	-0.034	-0.033	-0.035	-0.033	-0.033	-0.034	-0.035	-0.035	-0.035	-0.035	-0.035	-0.034	-0.034	-0.033	-0.034	-0.034	-0.035	-0.035	-0.035	-0.034	-0.034	-0.034	-0.034	-0.033	-0.035	-0.035	-0.033	-0.035	-0.034	-0.035	-0.081	0.037	-0.034	2016_7_15_10_07_58
F2LS3JECHFM5____	0.036	0.067	0.066	0.037	0.037	0.002	0.037	0.065	0.065	0.065	0.065	0.066	0.037	0.064	0.066	0.065	0.065	0.065	0.066	0.065	0.036	0.065	0.065	0.064	0.037	0.065	0.065	0.036	0.035	0.065	0.065	0.065	0.072	0.070	0.079	0.048	0.073	0.045	0.048	0.105	0.072	0.104	0.104	0.078	0.073	0.070	0.102	0.102	0.070	0.105	0.077	0.076	0.071	0.074	0.074	0.070	0.078	0.102	0.076	0.071	0.107	0.075	0.074	0.076	0.686	0.698	0.697	0.687	0.686	0.673	0.687	0.696	0.698	0.696	0.696	0.698	0.686	0.697	0.696	0.696	0.697	0.696	0.698	0.698	0.686	0.697	0.697	0.697	0.686	0.696	0.698	0.686	0.684	0.697	0.698	0.698	0.055	0.079	0.693	2016_7_15_10_08_02
F2LS3JHAHFM5____	-0.024	-0.054	-0.052	-0.053	-0.023	-0.054	-0.053	-0.023	-0.052	-0.022	-0.022	-0.024	-0.023	-0.023	-0.053	-0.023	-0.051	-0.023	-0.024	-0.054	-0.022	-0.023	-0.023	-0.023	-0.023	-0.023	-0.053	-0.022	-0.052	-0.053	-0.024	-0.053	0.153	0.176	0.151	0.153	0.152	0.177	0.153	0.152	0.153	0.154	0.154	0.177	0.152	0.152	0.150	0.153	0.125	0.152	0.153	0.152	0.152	0.175	0.175	0.152	0.152	0.153	0.152	0.152	0.127	0.152	0.152	0.152	-0.015	-0.029	-0.027	-0.028	-0.015	-0.029	-0.028	-0.015	-0.028	-0.015	-0.015	-0.016	-0.015	-0.015	-0.027	-0.015	-0.025	-0.015	-0.015	-0.028	-0.014	-0.016	-0.016	-0.015	-0.015	-0.015	-0.027	-0.014	-0.027	-0.027	-0.015	-0.027	-0.035	0.154	-0.020	2016_7_15_10_08_05
F2LS3JJ8HFM5____	-0.210	-0.208	-0.210	-0.209	-0.210	-0.209	-0.209	-0.211	-0.209	-0.210	-0.210	-0.210	-0.210	-0.210	-0.210	-0.210	-0.212	-0.211	-0.210	-0.240	-0.209	-0.210	-0.210	-0.210	-0.210	-0.210	-0.211	-0.209	-0.211	-0.212	-0.210	-0.211	0.070	0.043	0.037	0.068	0.041	0.040	0.068	0.042	0.040	0.069	0.069	0.068	0.041	0.040	0.069	0.066	0.067	0.042	0.042	0.067	0.041	0.065	0.065	0.040	0.068	0.066	0.041	0.041	0.069	0.069	0.069	0.041	0.587	0.589	0.588	0.587	0.588	0.589	0.587	0.588	0.588	0.586	0.586	0.586	0.588	0.588	0.586	0.587	0.586	0.588	0.588	0.575	0.588	0.587	0.587	0.588	0.586	0.587	0.587	0.588	0.587	0.586	0.587	0.587	-0.211	0.055	0.587	2016_7_15_10_08_08
F2LS3JTDHFM5____	-0.051	-0.080	-0.109	-0.109	-0.079	-0.109	-0.109	-0.107	-0.081	-0.108	-0.108	-0.105	-0.079	-0.080	-0.079	-0.109	-0.079	-0.107	-0.079	-0.109	-0.109	-0.108	-0.108	-0.080	-0.079	-0.109	-0.108	-0.109	-0.079	-0.080	-0.079	-0.108	-0.079	-0.082	-0.085	-0.136	-0.083	-0.084	-0.136	-0.086	-0.084	-0.143	-0.143	-0.113	-0.083	-0.086	-0.107	-0.136	-0.139	-0.086	-0.085	-0.145	-0.087	-0.112	-0.112	-0.086	-0.081	-0.136	-0.112	-0.087	-0.081	-0.085	-0.085	-0.112	0.656	0.645	0.633	0.636	0.646	0.633	0.636	0.634	0.644	0.637	0.637	0.635	0.646	0.645	0.646	0.636	0.647	0.634	0.646	0.636	0.634	0.635	0.635	0.645	0.645	0.636	0.635	0.634	0.645	0.645	0.645	0.635	-0.095	-0.103	0.640	2016_7_15_10_08_12
F2LS3KP7HFM5____	0.219	0.218	0.218	0.218	0.219	0.218	0.218	0.251	0.219	0.217	0.217	0.217	0.219	0.218	0.247	0.218	0.249	0.251	0.219	0.218	0.220	0.217	0.217	0.218	0.217	0.218	0.218	0.220	0.218	0.218	0.218	0.218	0.007	0.006	0.007	0.005	0.005	0.005	0.005	0.004	0.006	0.036	0.036	0.005	0.005	0.004	0.009	0.005	0.036	0.004	0.004	0.033	0.002	0.003	0.003	0.004	0.006	0.005	0.002	0.002	-0.027	0.037	0.008	0.002	0.088	0.088	0.088	0.088	0.088	0.087	0.088	0.102	0.088	0.086	0.086	0.088	0.088	0.088	0.099	0.088	0.099	0.102	0.087	0.087	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.089	0.086	0.088	0.088	0.222	0.009	0.089	2016_7_15_10_08_15
