SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.322	0.292	0.303	0.318	0.324	0.324	0.323	0.325	0.266	0.324	0.266	0.329	0.324	0.336	0.328	0.328	0.321	0.327	0.324	0.328	0.329	0.325	0.329	0.327	0.326	0.335	0.326	0.323	0.325	0.327	0.325	0.324	0.057	0.028	0.023	0.057	0.053	0.051	0.050	0.049	-0.006	0.051	-0.005	0.028	0.051	-0.007	0.027	0.027	0.058	0.027	0.050	0.027	0.028	0.050	0.028	0.021	0.058	-0.005	0.052	0.058	0.051	0.026	0.026	0.050	0.134	0.124	0.129	0.133	0.135	0.136	0.136	0.136	0.116	0.136	0.115	0.139	0.135	0.144	0.139	0.139	0.134	0.139	0.135	0.138	0.139	0.136	0.139	0.139	0.136	0.144	0.137	0.135	0.136	0.139	0.138	0.136	0.320	0.036	0.135	2016_7_15_10_10_09
F2LS3GSUHFM5____	0.071	0.109	0.071	0.072	0.071	0.072	0.072	0.071	0.071	0.072	0.072	0.101	0.071	0.072	0.075	0.075	0.072	0.074	0.072	0.075	0.101	0.074	0.101	0.070	0.070	0.073	0.073	0.069	0.074	0.074	0.074	0.072	0.133	0.130	0.132	0.132	0.131	0.131	0.132	0.131	0.130	0.133	0.131	0.130	0.133	0.132	0.131	0.131	0.131	0.130	0.133	0.130	0.130	0.130	0.130	0.132	0.132	0.130	0.133	0.132	0.131	0.131	0.132	0.133	0.024	0.039	0.024	0.025	0.024	0.024	0.025	0.024	0.025	0.025	0.025	0.036	0.024	0.025	0.025	0.025	0.024	0.025	0.025	0.026	0.036	0.025	0.036	0.023	0.023	0.025	0.025	0.023	0.025	0.025	0.025	0.024	0.076	0.131	0.026	2016_7_15_10_10_12
F2LS3GZKHFM5____	-5.736	-5.734	-5.725	-5.723	-5.775	-5.734	-5.708	-5.738	-5.742	-5.736	-5.730	-5.745	-5.737	-5.735	-5.734	-5.734	-5.734	-5.742	-5.740	-5.739	-5.745	-5.736	-5.745	-5.734	-5.733	-5.730	-5.736	-5.739	-5.741	-5.740	-5.743	-5.739	-6.260	-6.259	-6.295	-6.298	-6.301	-6.259	-6.236	-6.299	-6.284	-6.265	-6.205	-6.297	-6.284	-6.297	-6.260	-6.260	-6.225	-6.296	-6.265	-6.299	-6.297	-6.200	-6.297	-6.260	-6.259	-6.205	-6.265	-6.221	-6.299	-6.265	-6.296	-6.321	88.577	88.577	88.584	88.584	88.569	88.579	88.588	88.580	88.578	88.578	88.575	88.577	88.579	88.580	88.576	88.576	88.574	88.578	88.575	88.577	88.577	88.572	88.577	88.577	88.577	88.575	88.577	88.572	88.576	88.574	88.575	88.579	-5.737	-6.270	88.577	2016_7_15_10_10_14
F2LS3HTSHFM5____	0.094	0.120	0.090	0.115	0.092	0.153	0.094	0.094	0.090	0.089	0.156	0.089	0.123	0.123	0.121	0.121	0.097	0.091	0.125	0.091	0.089	0.089	0.089	0.118	0.116	0.086	0.124	0.089	0.121	0.121	0.121	0.122	-0.000	-0.005	0.000	0.036	0.001	-0.003	0.002	-0.002	-0.000	0.001	-0.003	-0.002	0.028	-0.001	-0.002	-0.002	-0.003	-0.002	0.001	-0.001	-0.002	-0.000	-0.002	-0.002	-0.002	0.023	0.002	-0.001	-0.002	-0.003	-0.002	-0.001	0.052	0.062	0.049	0.057	0.050	0.076	0.051	0.051	0.050	0.049	0.076	0.050	0.061	0.063	0.063	0.063	0.053	0.050	0.063	0.050	0.050	0.049	0.050	0.061	0.060	0.047	0.063	0.049	0.063	0.063	0.063	0.063	0.108	0.002	0.057	2016_7_15_10_10_18
F2LS3J5VHFM5____	-0.105	-0.086	-0.105	-0.085	-0.085	-0.085	-0.086	-0.086	-0.085	-0.085	-0.054	-0.115	-0.087	-0.085	-0.084	-0.084	-0.109	-0.111	-0.086	-0.117	-0.115	-0.086	-0.115	-0.083	-0.084	-0.084	-0.085	-0.083	-0.085	-0.084	-0.085	-0.085	-0.123	-0.090	-0.120	-0.085	-0.115	-0.094	-0.087	-0.113	-0.112	-0.112	-0.090	-0.091	-0.113	-0.111	-0.114	-0.114	-0.121	-0.112	-0.113	-0.089	-0.091	-0.084	-0.091	-0.121	-0.122	-0.065	-0.111	-0.124	-0.088	-0.115	-0.088	-0.113	-0.034	-0.029	-0.034	-0.028	-0.026	-0.028	-0.029	-0.027	-0.026	-0.027	-0.016	-0.040	-0.027	-0.027	-0.026	-0.026	-0.035	-0.036	-0.027	-0.041	-0.040	-0.028	-0.040	-0.025	-0.026	-0.029	-0.027	-0.024	-0.028	-0.026	-0.028	-0.026	-0.091	-0.104	-0.029	2016_7_15_10_10_21
F2LS3JECHFM5____	0.308	0.302	0.315	0.327	0.298	0.325	0.301	0.300	0.298	0.300	0.298	0.298	0.298	0.267	0.271	0.271	0.297	0.301	0.298	0.301	0.298	0.300	0.298	0.299	0.274	0.298	0.297	0.298	0.302	0.300	0.301	0.298	-0.039	-0.004	0.032	-0.004	-0.012	-0.009	-0.034	-0.010	-0.040	-0.038	-0.032	-0.030	-0.016	-0.038	-0.030	-0.030	-0.003	-0.031	-0.016	-0.029	-0.030	-0.030	-0.030	-0.041	-0.039	-0.033	-0.014	-0.002	-0.030	-0.031	-0.031	-0.014	0.144	0.139	0.142	0.149	0.138	0.149	0.141	0.139	0.140	0.140	0.139	0.139	0.139	0.127	0.128	0.128	0.137	0.141	0.138	0.140	0.139	0.140	0.139	0.141	0.130	0.139	0.138	0.137	0.141	0.140	0.141	0.138	0.298	-0.023	0.139	2016_7_15_10_10_24
F2LS3JHAHFM5____	0.255	0.256	0.229	0.256	0.258	0.256	0.255	0.253	0.270	0.255	0.257	0.257	0.223	0.219	0.257	0.257	0.222	0.264	0.222	0.257	0.257	0.256	0.257	0.251	0.255	0.257	0.259	0.256	0.270	0.270	0.200	0.257	-0.013	0.013	-0.012	-0.015	0.027	-0.014	-0.014	0.019	-0.014	-0.014	-0.013	-0.014	-0.009	-0.042	-0.013	-0.013	0.019	0.041	-0.009	0.027	-0.014	-0.013	-0.014	-0.015	-0.014	-0.085	-0.012	-0.014	-0.014	-0.014	-0.014	-0.013	-0.467	-0.468	-0.477	-0.466	-0.469	-0.467	-0.466	-0.470	-0.460	-0.467	-0.465	-0.466	-0.480	-0.479	-0.466	-0.466	-0.482	-0.467	-0.480	-0.468	-0.466	-0.466	-0.466	-0.468	-0.466	-0.461	-0.466	-0.465	-0.460	-0.460	-0.489	-0.466	0.251	-0.009	-0.469	2016_7_15_10_10_27
F2LS3JJ8HFM5____	-0.117	-0.093	-0.117	-0.120	-0.094	-0.122	-0.122	-0.123	-0.124	-0.124	-0.123	-0.123	-0.123	-0.125	-0.124	-0.124	-0.118	-0.123	-0.125	-0.124	-0.123	-0.123	-0.123	-0.094	-0.119	-0.121	-0.127	-0.120	-0.093	-0.095	-0.095	-0.091	-0.128	-0.127	-0.128	-0.128	-0.137	-0.128	-0.130	-0.163	-0.140	-0.136	-0.132	-0.132	-0.140	-0.137	-0.130	-0.130	-0.127	-0.130	-0.140	-0.133	-0.132	-0.129	-0.132	-0.129	-0.129	-0.131	-0.138	-0.129	-0.129	-0.130	-0.130	-0.136	-0.033	-0.024	-0.033	-0.035	-0.024	-0.035	-0.035	-0.034	-0.035	-0.035	-0.036	-0.035	-0.035	-0.035	-0.036	-0.036	-0.034	-0.036	-0.036	-0.036	-0.035	-0.036	-0.035	-0.024	-0.034	-0.035	-0.037	-0.035	-0.024	-0.025	-0.024	-0.023	-0.116	-0.133	-0.033	2016_7_15_10_10_30
F2LS3JTDHFM5____	-0.286	-0.283	-0.287	-0.287	-0.283	-0.286	-0.285	-0.284	-0.283	-0.318	-0.317	-0.350	-0.252	-0.283	-0.283	-0.283	-0.315	-0.282	-0.284	-0.315	-0.350	-0.284	-0.350	-0.312	-0.282	-0.284	-0.283	-0.286	-0.283	-0.283	-0.283	-0.283	-0.001	-0.031	-0.004	-0.003	-0.009	-0.009	-0.009	-0.009	-0.007	-0.044	-0.038	-0.035	-0.005	-0.042	-0.010	-0.010	-0.005	-0.037	-0.008	-0.037	-0.035	-0.009	-0.035	-0.042	-0.039	-0.009	-0.010	-0.002	-0.040	-0.010	-0.041	-0.007	0.571	0.573	0.570	0.570	0.573	0.571	0.571	0.571	0.572	0.560	0.561	0.547	0.584	0.574	0.572	0.572	0.560	0.574	0.571	0.561	0.547	0.572	0.547	0.562	0.575	0.572	0.572	0.570	0.574	0.572	0.574	0.572	-0.294	-0.020	0.568	2016_7_15_10_10_33
F2LS3KP7HFM5____	0.177	0.177	0.203	0.207	0.204	0.205	0.179	0.207	0.204	0.205	0.204	0.205	0.174	0.205	0.175	0.175	0.208	0.207	0.203	0.206	0.205	0.238	0.205	0.209	0.206	0.204	0.203	0.205	0.176	0.206	0.176	0.204	0.005	0.000	0.004	0.004	-0.044	-0.004	-0.033	-0.033	-0.045	-0.015	-0.007	-0.031	-0.047	-0.044	-0.005	-0.005	-0.031	-0.032	-0.017	-0.005	-0.031	-0.034	-0.031	-0.032	-0.033	-0.006	-0.045	0.003	-0.033	-0.034	-0.035	-0.045	0.070	0.071	0.081	0.083	0.085	0.082	0.074	0.086	0.085	0.083	0.083	0.085	0.073	0.085	0.071	0.071	0.085	0.086	0.083	0.083	0.085	0.097	0.085	0.086	0.086	0.082	0.084	0.082	0.073	0.086	0.073	0.085	0.199	-0.023	0.081	2016_7_15_10_10_36
