SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.083	0.083	0.115	0.073	0.147	0.152	0.150	0.078	0.091	0.070	0.070	0.080	0.146	0.142	0.146	0.122	0.082	0.140	0.077	0.084	0.091	0.085	0.083	0.114	0.083	0.118	0.143	0.153	0.114	0.115	0.070	0.086	-0.101	-0.082	-0.082	-0.077	-0.070	-0.065	0.003	-0.073	-0.099	0.000	-0.140	-0.076	-0.077	-0.077	-0.073	-0.032	-0.081	-0.070	-0.081	-0.077	-0.059	-0.077	-0.080	-0.088	-0.072	-0.080	-0.073	-0.070	-0.085	-0.087	-0.070	-0.084	0.051	0.047	0.059	0.042	0.069	0.069	0.055	0.043	0.054	0.026	0.054	0.045	0.070	0.068	0.069	0.052	0.047	0.066	0.044	0.046	0.046	0.047	0.047	0.060	0.045	0.060	0.068	0.071	0.059	0.060	0.040	0.049	0.106	-0.074	0.054	2016_7_15_10_14_34
F2LS3GSUHFM5____	0.048	0.015	0.022	-0.000	0.015	0.049	0.005	0.000	-0.000	0.064	-0.003	-0.000	-0.000	-0.001	0.047	0.048	-0.000	0.017	0.012	0.046	0.049	0.010	0.042	0.046	0.004	0.023	0.012	-0.000	0.016	0.043	0.052	0.018	0.042	0.011	0.011	-0.000	0.010	0.048	-0.014	-0.000	-0.000	-0.026	-0.021	0.000	0.000	-0.009	0.046	0.040	-0.011	0.011	0.019	0.040	0.041	-0.010	0.004	0.038	-0.014	0.010	0.009	-0.000	0.009	0.042	0.062	0.008	0.684	0.677	0.680	0.674	0.678	0.683	0.679	0.674	0.674	0.703	0.678	0.674	0.674	0.676	0.682	0.684	0.676	0.678	0.675	0.683	0.684	0.680	0.689	0.683	0.679	0.681	0.676	0.674	0.678	0.681	0.681	0.679	0.022	0.012	0.680	2016_7_15_10_14_48
F2LS3GZKHFM5____	0.432	0.438	0.471	0.431	0.433	0.502	0.431	0.429	0.431	0.418	0.435	0.422	0.465	0.466	0.465	0.418	0.433	0.461	0.434	0.431	0.435	0.439	0.466	0.464	0.437	0.462	0.361	0.463	0.471	0.464	0.417	0.401	10.136	10.138	10.133	10.110	10.173	10.170	10.073	10.111	10.133	10.131	10.135	10.111	10.111	10.167	10.168	10.063	10.073	10.107	10.171	10.173	10.138	10.134	10.171	10.167	10.135	10.107	10.108	10.107	10.171	10.135	10.135	10.136	-2.450	-2.454	-2.449	-2.457	-2.471	-2.441	-2.448	-2.462	-2.451	-2.452	-2.449	-2.460	-2.445	-2.454	-2.456	-2.437	-2.448	-2.449	-2.470	-2.473	-2.449	-2.460	-2.452	-2.453	-2.457	-2.444	-2.483	-2.444	-2.456	-2.446	-2.457	-2.461	0.441	10.132	-2.454	2016_7_15_10_14_51
F2LS3HTSHFM5____	-0.042	-0.028	-0.090	-0.070	-0.070	-0.070	-0.070	0.000	-0.070	-0.003	0.000	-0.005	-0.018	-0.070	-0.119	-0.056	-0.045	-0.070	-0.011	-0.059	-0.003	-0.015	-0.059	-0.060	-0.063	-0.011	-0.044	-0.070	-0.058	-0.058	0.000	-0.027	0.118	0.063	0.063	-0.000	0.070	0.070	0.070	0.070	0.070	0.085	0.070	0.073	0.068	0.000	-0.046	0.034	0.073	0.070	0.070	0.067	0.080	0.071	0.062	0.064	0.064	0.070	0.075	0.070	0.065	0.031	0.150	0.062	-0.039	-0.022	-0.046	-0.026	-0.040	-0.040	-0.040	-0.014	-0.040	-0.018	-0.014	-0.016	-0.020	-0.026	-0.035	-0.027	-0.031	-0.040	-0.018	-0.035	-0.017	-0.020	-0.034	-0.034	-0.036	-0.018	-0.031	-0.040	-0.034	-0.028	-0.030	-0.023	-0.045	0.063	-0.029	2016_7_15_10_14_53
F2LS3J5VHFM5____	-0.065	-0.031	-0.031	-0.065	-0.069	-0.074	-0.069	-0.069	-0.065	0.011	-0.069	-0.077	-0.067	-0.069	-0.067	-0.068	-0.073	-0.068	-0.069	-0.065	-0.069	-0.065	-0.067	-0.099	-0.068	-0.064	-0.073	-0.064	-0.096	-0.066	-0.066	-0.064	0.016	0.044	0.050	0.017	0.049	0.047	0.013	0.014	0.017	0.100	0.045	0.048	0.015	0.049	0.048	0.015	0.048	0.014	0.013	0.012	0.045	0.014	0.014	0.019	0.017	0.016	0.045	0.014	0.021	0.014	0.014	0.045	-0.028	-0.020	-0.022	-0.028	-0.036	-0.037	-0.028	-0.028	-0.027	-0.016	-0.035	-0.039	-0.028	-0.035	-0.035	-0.029	-0.037	-0.028	-0.028	-0.027	-0.034	-0.027	-0.028	-0.040	-0.028	-0.027	-0.036	-0.027	-0.040	-0.028	-0.027	-0.033	-0.065	0.030	-0.030	2016_7_15_10_14_57
F2LS3JECHFM5____	-0.115	-0.079	-0.089	-0.090	-0.086	-0.085	-0.080	-0.081	-0.078	-0.085	-0.083	-0.082	-0.122	-0.083	-0.079	-0.091	-0.082	-0.085	-0.083	-0.084	-0.086	-0.084	-0.111	-0.083	-0.089	-0.080	-0.077	-0.084	-0.088	-0.112	-0.085	-0.077	-0.082	-0.013	-0.018	-0.021	-0.018	-0.017	-0.052	-0.053	-0.013	-0.050	-0.052	-0.051	-0.052	-0.050	-0.052	0.010	-0.053	-0.019	-0.018	-0.058	-0.055	-0.051	-0.049	-0.022	-0.019	-0.050	-0.050	-0.053	-0.024	-0.051	-0.018	-0.051	0.648	0.647	0.644	0.645	0.645	0.646	0.655	0.654	0.648	0.652	0.654	0.654	0.639	0.653	0.655	0.638	0.655	0.646	0.646	0.654	0.653	0.653	0.643	0.648	0.645	0.654	0.656	0.654	0.646	0.643	0.646	0.656	-0.087	-0.038	0.649	2016_7_15_10_15_01
F2LS3JHAHFM5____	-0.001	0.035	0.001	0.003	-0.001	-0.021	0.004	-0.000	0.011	0.049	0.014	0.040	0.070	0.004	-0.001	0.000	0.004	0.002	0.004	0.036	0.000	-0.001	0.032	0.028	0.001	-0.002	0.002	0.001	0.033	0.001	0.017	0.032	0.072	0.072	0.072	0.034	0.073	0.030	0.136	0.140	0.133	0.144	0.144	0.070	0.103	0.039	0.071	0.140	0.073	0.141	0.074	0.072	0.070	0.109	0.104	0.101	0.107	0.108	0.072	0.078	0.071	0.073	0.148	0.106	-0.014	-0.001	-0.014	-0.005	-0.015	-0.014	-0.026	-0.028	-0.022	-0.010	-0.023	0.001	0.005	-0.006	-0.015	-0.028	-0.013	-0.027	-0.013	-0.000	-0.014	-0.022	-0.009	-0.010	-0.021	-0.023	-0.014	-0.015	-0.002	-0.014	-0.023	-0.010	0.012	0.093	-0.014	2016_7_15_10_15_04
F2LS3JJ8HFM5____	-0.056	-0.055	-0.055	-0.023	-0.029	-0.057	-0.008	-0.023	-0.062	-0.057	-0.058	-0.057	-0.025	0.010	-0.057	-0.099	-0.030	-0.027	-0.031	-0.061	-0.065	-0.026	-0.033	-0.063	-0.020	-0.026	-0.032	-0.027	-0.026	-0.063	-0.029	-0.062	0.101	0.094	0.096	0.126	0.126	0.094	0.146	0.130	0.100	0.102	0.100	0.129	0.126	0.129	0.093	0.126	0.126	0.127	0.127	0.128	0.129	0.124	0.159	0.126	0.128	0.125	0.126	0.124	0.127	0.127	0.129	0.095	0.633	0.635	0.635	0.641	0.639	0.634	0.642	0.640	0.631	0.633	0.633	0.628	0.640	0.652	0.635	0.613	0.638	0.639	0.637	0.626	0.625	0.640	0.630	0.626	0.641	0.640	0.637	0.640	0.639	0.626	0.638	0.633	-0.042	0.120	0.635	2016_7_15_10_15_06
F2LS3JTDHFM5____	-0.132	-0.094	-0.124	-0.125	-0.135	-0.139	-0.129	-0.125	-0.022	-0.134	-0.133	-0.139	-0.084	-0.070	-0.070	-0.132	-0.128	-0.125	-0.134	-0.120	-0.070	-0.123	-0.090	-0.114	-0.123	-0.070	-0.070	-0.127	-0.092	-0.119	-0.135	-0.090	-0.026	-0.064	-0.062	-0.133	0.005	-0.073	-0.063	-0.066	0.005	-0.070	-0.073	-0.064	-0.063	0.000	-0.070	-0.071	-0.061	-0.067	-0.063	-0.068	0.000	-0.060	-0.074	-0.099	-0.062	-0.000	-0.070	-0.067	-0.029	-0.064	-0.073	-0.068	0.630	0.651	0.640	0.654	0.623	0.637	0.639	0.640	0.665	0.638	0.639	0.635	0.655	0.648	0.662	0.639	0.639	0.641	0.637	0.643	0.648	0.641	0.655	0.651	0.640	0.648	0.662	0.640	0.645	0.642	0.638	0.654	-0.110	-0.057	0.644	2016_7_15_10_15_10
F2LS3KP7HFM5____	0.122	0.097	0.096	0.126	0.134	0.159	0.092	0.179	0.070	0.094	0.078	0.094	0.089	0.096	0.095	0.127	0.134	0.119	0.131	0.123	0.094	0.125	0.127	0.123	0.128	0.121	0.133	0.088	0.126	0.097	0.104	0.125	-0.036	-0.066	-0.064	-0.064	-0.095	-0.027	-0.060	-0.005	-0.070	-0.064	-0.067	-0.064	-0.062	-0.064	-0.060	-0.065	-0.064	-0.031	-0.029	-0.066	-0.062	-0.032	-0.061	-0.034	-0.033	-0.032	-0.064	-0.065	-0.067	-0.064	-0.039	-0.064	0.052	0.050	0.048	0.059	0.069	0.065	0.046	0.068	0.040	0.047	0.042	0.047	0.045	0.048	0.047	0.059	0.062	0.050	0.054	0.058	0.047	0.052	0.059	0.052	0.054	0.052	0.062	0.045	0.060	0.049	0.046	0.059	0.114	-0.054	0.053	2016_7_15_10_15_13
