SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-25.665	-25.833	-25.920	-25.492	-25.740	-25.689	-25.599	-25.455	-25.848	-25.713	-25.982	-25.565	-25.954	-25.638	-25.542	-25.478	-25.850	-25.603	-25.991	-25.422	-25.900	-25.666	-25.432	-25.459	-25.558	-25.481	-25.962	-25.481	-25.869	-25.868	-25.730	-25.303	125.611	125.660	125.471	125.404	125.590	125.325	125.450	125.330	125.191	125.263	125.611	125.519	125.521	125.326	125.187	125.328	125.468	125.383	125.591	125.415	125.466	125.397	125.594	125.335	125.166	125.392	125.261	125.392	125.194	125.661	125.193	125.297	101.622	101.691	101.746	101.564	101.657	101.658	101.607	101.555	101.740	101.674	101.761	101.586	101.756	101.636	101.606	101.565	101.716	101.615	101.766	101.533	101.738	101.641	101.521	101.556	101.615	101.561	101.783	101.561	101.749	101.706	101.688	101.491	2016_7_15_8_48_22
F2LS3GSUHFM5____	-25.530	-25.751	-25.751	-24.838	-25.611	-25.616	-25.587	-25.269	-25.837	-25.472	-26.119	-25.706	-26.000	-25.564	-25.527	-25.459	-25.740	-25.216	-25.885	-25.330	-25.578	-25.705	-25.183	-25.331	-25.835	-25.517	-25.783	-25.570	-25.855	-25.804	-25.661	-25.509	125.896	125.921	125.762	125.691	125.748	125.609	125.743	125.619	125.535	125.610	125.930	125.626	125.685	125.659	125.542	125.542	125.621	125.636	125.920	125.792	125.785	125.614	125.814	125.622	125.466	125.745	125.608	125.683	125.539	125.925	125.478	125.540	101.416	101.510	101.525	101.131	101.465	101.479	101.455	101.326	101.583	101.416	101.670	101.517	101.641	101.452	101.446	101.416	101.533	101.302	101.569	101.338	101.447	101.518	101.272	101.353	101.588	101.424	101.552	101.453	101.590	101.533	101.511	101.438	2016_7_15_8_48_26
F2LS3GZKHFM5____	-24.866	-24.874	-25.449	-24.704	-25.070	-25.006	-24.756	-24.974	-24.837	-25.042	-25.164	-25.115	-25.301	-24.943	-24.721	-24.795	-25.068	-24.765	-24.988	-24.681	-25.066	-24.961	-24.641	-24.682	-24.207	-24.761	-25.368	-24.761	-24.842	-25.176	-25.193	-24.623	125.397	125.351	125.146	125.300	125.283	125.154	125.201	125.123	124.920	125.166	125.473	125.168	125.291	125.180	124.915	125.150	125.225	125.129	125.397	125.213	125.329	125.260	125.358	125.174	124.892	125.224	125.045	125.224	124.917	125.356	125.029	125.074	101.402	101.409	101.680	101.339	101.502	101.485	101.370	101.473	101.431	101.499	101.526	101.531	101.602	101.454	101.380	101.392	101.506	101.381	101.456	101.336	101.496	101.455	101.306	101.340	101.155	101.371	101.654	101.371	101.433	101.541	101.578	101.323	2016_7_15_8_48_31
F2LS3HTSHFM5____	-25.694	-25.807	-25.726	-25.280	-26.147	-25.282	-25.572	-25.308	-25.715	-25.682	-25.683	-25.811	-25.933	-25.853	-25.562	-25.507	-25.412	-25.573	-26.089	-25.526	-25.942	-25.754	-25.231	-25.319	-25.351	-25.329	-25.768	-25.329	-25.353	-25.857	-25.479	-25.546	125.740	125.729	125.542	125.529	125.663	125.445	125.515	125.520	125.316	125.389	125.727	125.535	125.474	125.458	125.319	125.449	125.467	125.390	125.602	125.534	125.528	125.462	125.594	125.524	125.300	125.450	125.389	125.450	125.374	125.731	125.262	125.335	101.656	101.707	101.688	101.494	101.861	101.502	101.623	101.507	101.703	101.682	101.653	101.726	101.785	101.751	101.636	101.600	101.557	101.635	101.841	101.601	101.784	101.707	101.466	101.511	101.545	101.522	101.720	101.522	101.539	101.728	101.605	101.628	2016_7_15_8_48_36
F2LS3J5VHFM5____	-25.633	-26.094	-25.788	-25.380	-26.073	-25.736	-25.397	-25.595	-26.120	-25.681	-26.036	-25.819	-25.993	-25.634	-25.584	-25.502	-25.721	-25.678	-25.928	-25.385	-25.804	-25.640	-25.341	-25.498	-25.472	-25.562	-25.586	-25.562	-25.605	-26.038	-25.941	-25.618	124.849	124.899	124.708	124.695	124.831	124.617	124.687	124.686	124.427	124.554	124.897	124.758	124.761	124.645	124.503	124.564	124.757	124.620	125.045	124.773	124.729	124.573	124.823	124.521	124.408	124.633	124.552	124.633	124.483	124.900	124.487	124.659	101.729	101.927	101.810	101.632	101.924	101.796	101.640	101.727	101.982	101.777	101.902	101.819	101.896	101.748	101.739	101.697	101.776	101.770	101.841	101.627	101.815	101.757	101.603	101.699	101.698	101.718	101.735	101.718	101.750	101.903	101.898	101.740	2016_7_15_8_48_42
F2LS3JECHFM5____	-25.534	-25.631	-25.745	-25.293	-25.692	-25.469	-25.517	-25.673	-25.539	-25.526	-26.060	-26.020	-25.466	-25.866	-25.754	-25.716	-25.486	-25.415	-26.245	-25.520	-25.908	-26.038	-25.483	-25.512	-25.356	-25.524	-25.782	-25.524	-25.560	-25.725	-25.417	-25.583	125.890	125.913	125.754	125.753	125.854	125.642	125.705	125.618	125.425	125.610	125.858	125.787	125.782	125.663	125.542	125.639	125.779	125.638	125.790	125.792	125.718	125.716	125.878	125.684	125.459	125.738	125.544	125.738	125.410	125.928	125.540	125.516	101.474	101.514	101.578	101.380	101.546	101.467	101.483	101.559	101.517	101.495	101.706	101.695	101.453	101.639	101.601	101.576	101.462	101.444	101.793	101.476	101.652	101.710	101.452	101.482	101.434	101.483	101.613	101.483	101.528	101.554	101.453	101.528	2016_7_15_8_48_47
F2LS3JHAHFM5____	-25.705	-25.941	-25.977	-25.419	-25.669	-25.623	-25.592	-25.740	-26.037	-25.536	-26.044	-25.673	-26.069	-25.844	-25.682	-25.572	-25.688	-25.602	-26.084	-25.639	-25.244	-25.833	-25.209	-25.562	-25.548	-25.637	-25.557	-25.637	-25.798	-25.468	-25.905	-25.619	125.536	125.584	125.396	125.380	125.458	125.304	125.313	125.314	125.111	125.182	125.594	125.389	125.447	125.323	125.178	125.304	125.387	125.305	125.521	125.403	125.435	125.325	125.454	125.317	125.033	125.378	125.178	125.378	125.167	125.517	125.175	125.321	101.667	101.766	101.799	101.555	101.658	101.652	101.637	101.702	101.851	101.624	101.810	101.666	101.834	101.747	101.689	101.629	101.673	101.642	101.834	101.650	101.474	101.742	101.457	101.624	101.643	101.651	101.634	101.651	101.741	101.565	101.787	101.648	2016_7_15_8_48_52
F2LS3JJ8HFM5____	-25.643	-25.739	-25.788	-25.530	-25.165	-25.539	-25.566	-25.364	-25.654	-25.566	-26.331	-25.519	-26.046	-25.507	-25.502	-25.498	-25.540	-25.513	-25.970	-25.394	-25.244	-25.341	-25.328	-25.313	-25.709	-25.440	-25.654	-25.440	-25.727	-25.661	-25.529	-25.382	126.246	126.335	126.112	126.169	126.218	126.021	126.084	125.969	125.889	125.963	126.137	126.127	126.001	126.017	125.959	126.014	126.085	126.019	125.932	126.095	125.988	125.853	126.264	125.975	125.817	126.087	125.899	126.087	125.891	126.136	125.827	125.968	101.548	101.582	101.623	101.506	101.342	101.523	101.529	101.451	101.584	101.540	101.857	101.504	101.746	101.509	101.512	101.505	101.517	101.512	101.719	101.453	101.397	101.451	101.409	101.428	101.615	101.474	101.584	101.474	101.616	101.566	101.536	101.458	2016_7_15_8_48_57
F2LS3JTDHFM5____	-25.479	-25.366	-25.800	-25.340	-25.907	-25.468	-25.640	-25.437	-25.613	-25.873	-25.754	-25.614	-25.947	-25.602	-25.410	-25.592	-25.497	-25.582	-25.895	-25.412	-25.644	-25.848	-26.325	-25.315	-25.654	-25.641	-25.836	-25.641	-25.681	-25.923	-25.720	-25.501	125.949	125.972	125.748	125.801	125.785	125.703	125.631	125.735	125.523	125.599	125.910	125.776	125.712	125.656	125.520	125.564	125.703	125.565	125.842	125.789	125.712	125.704	125.860	125.671	125.448	125.636	125.595	125.636	125.523	125.847	125.528	125.471	101.601	101.549	101.759	101.553	101.802	101.618	101.700	101.601	101.697	101.804	101.724	101.675	101.827	101.681	101.608	101.684	101.631	101.680	101.792	101.586	101.694	101.784	101.978	101.553	101.722	101.699	101.788	101.699	101.727	101.804	101.743	101.653	2016_7_15_8_49_08
F2LS3KP7HFM5____	-25.527	-25.884	-26.029	-25.479	-25.421	-25.909	-26.068	-25.385	-26.008	-25.996	-26.091	-25.721	-26.001	-25.978	-25.676	-25.385	-25.409	-25.282	-25.719	-25.663	-26.068	-25.663	-25.257	-25.394	-25.963	-25.401	-25.946	-25.401	-26.015	-25.805	-25.492	-25.693	125.575	125.607	125.485	125.409	125.470	125.268	125.338	125.281	125.150	125.267	125.544	125.409	125.467	125.277	125.190	125.323	125.397	125.260	125.465	125.410	125.404	125.334	125.471	125.279	125.185	125.323	125.267	125.323	125.137	125.487	125.194	125.263	101.299	101.453	101.527	101.293	101.262	101.494	101.557	101.263	101.549	101.532	101.549	101.399	101.517	101.524	101.399	101.259	101.263	101.220	101.393	101.374	101.552	101.380	101.190	101.267	101.525	101.266	101.510	101.266	101.553	101.429	101.318	101.400	2016_7_15_8_49_35
