SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-29.367	-29.298	-29.348	-29.451	-29.381	-29.382	-29.415	-29.378	-29.347	-29.381	-29.486	-29.521	-29.347	-29.277	-29.172	-29.277	-29.313	-29.382	-29.312	-29.242	-29.302	-29.278	-29.278	-29.347	-29.313	-29.241	-29.279	-29.277	-29.313	-29.242	-29.417	-29.314	139.004	138.901	139.233	139.129	139.129	139.055	139.126	139.126	139.161	139.199	139.162	139.231	139.057	139.081	138.868	139.019	139.121	139.013	139.056	139.015	138.747	139.194	139.125	139.191	139.121	139.077	139.055	139.049	139.121	139.022	139.126	139.118	102.003	101.985	101.977	102.026	101.998	102.005	102.012	101.998	101.982	101.993	102.037	102.045	101.991	101.961	101.938	101.966	101.972	102.008	101.977	101.953	101.999	101.952	101.958	101.980	101.972	101.947	101.964	101.964	101.972	101.952	102.013	101.973	2016_7_15_8_59_03
F2LS3GSUHFM5____	-29.303	-29.234	-29.279	-29.382	-29.312	-29.313	-29.347	-29.310	-29.277	-29.312	-29.455	-29.417	-29.277	-29.208	-29.107	-29.209	-29.243	-29.312	-29.244	-29.171	-29.234	-29.208	-29.207	-29.276	-29.243	-29.172	-29.210	-29.208	-29.243	-29.174	-29.348	-29.242	139.046	138.949	139.319	139.250	139.179	139.136	139.279	139.244	139.246	139.251	139.212	139.386	139.139	139.202	138.950	139.141	139.238	139.178	139.102	139.136	138.867	139.279	139.208	139.241	139.238	139.203	139.103	139.172	139.238	139.106	139.210	139.203	101.853	101.834	101.821	101.867	101.846	101.850	101.851	101.840	101.826	101.840	101.899	101.870	101.835	101.803	101.784	101.808	101.814	101.846	101.825	101.794	101.841	101.796	101.802	101.826	101.814	101.789	101.812	101.805	101.814	101.797	101.857	101.816	2016_7_15_8_59_10
F2LS3GZKHFM5____	-28.817	-28.746	-28.794	-28.900	-28.828	-28.831	-28.861	-28.827	-28.785	-28.827	-28.936	-28.971	-28.785	-28.723	-28.621	-28.785	-28.759	-28.828	-28.760	-28.680	-28.752	-28.715	-28.723	-28.791	-28.759	-28.680	-28.728	-28.724	-28.759	-28.690	-28.855	-28.750	139.143	139.096	139.372	139.303	139.232	139.189	139.332	139.298	139.180	139.340	139.372	139.446	139.110	139.263	139.047	139.110	139.264	139.299	139.265	139.110	138.920	139.250	139.267	139.300	139.264	139.180	139.261	139.260	139.264	139.159	139.180	139.250	101.886	101.862	101.859	101.906	101.884	101.888	101.888	101.878	101.871	101.874	101.915	101.922	101.877	101.840	101.817	101.877	101.854	101.878	101.854	101.835	101.879	101.837	101.839	101.863	101.854	101.829	101.841	101.840	101.854	101.835	101.898	101.851	2016_7_15_8_59_14
F2LS3HTSHFM5____	-29.512	-29.441	-29.490	-29.600	-29.527	-29.529	-29.562	-29.526	-29.492	-29.527	-29.632	-29.668	-29.492	-29.422	-29.319	-29.461	-29.457	-29.525	-29.460	-29.388	-29.440	-29.422	-29.423	-29.492	-29.457	-29.386	-29.424	-29.423	-29.457	-29.387	-29.613	-29.457	138.952	138.857	139.161	139.117	139.082	139.044	139.120	139.085	139.115	139.153	139.150	139.294	139.048	139.148	138.860	139.052	139.082	139.050	139.083	139.009	138.821	139.154	139.118	139.149	139.082	139.112	139.048	139.079	139.082	138.980	138.977	139.081	102.098	102.078	102.072	102.119	102.093	102.097	102.104	102.092	102.077	102.087	102.129	102.131	102.082	102.046	102.029	102.070	102.066	102.095	102.066	102.044	102.081	102.046	102.049	102.074	102.066	102.035	102.055	102.052	102.066	102.047	102.136	102.066	2016_7_15_8_59_19
F2LS3J5VHFM5____	-29.510	-29.438	-29.488	-29.596	-29.523	-29.525	-29.558	-29.558	-29.488	-29.560	-29.629	-29.664	-29.490	-29.454	-29.351	-29.456	-29.452	-29.558	-29.486	-29.383	-29.437	-29.454	-29.418	-29.488	-29.452	-29.383	-29.455	-29.420	-29.452	-29.385	-29.560	-29.488	139.010	138.880	139.208	139.136	139.104	139.065	139.201	139.171	139.139	139.177	139.202	139.279	139.099	139.170	138.877	139.098	139.136	139.137	139.031	139.061	138.799	139.243	139.136	139.201	139.136	139.129	139.097	139.130	139.136	139.065	139.207	139.135	102.112	102.095	102.087	102.135	102.109	102.113	102.115	102.117	102.093	102.118	102.143	102.150	102.097	102.077	102.060	102.083	102.079	102.120	102.101	102.058	102.101	102.071	102.065	102.087	102.079	102.052	102.083	102.066	102.079	102.058	102.115	102.093	2016_7_15_8_59_23
F2LS3JECHFM5____	-29.589	-29.521	-29.568	-29.676	-29.604	-29.605	-29.639	-29.604	-29.571	-29.605	-29.709	-29.744	-29.569	-29.502	-29.397	-29.501	-29.535	-29.639	-29.589	-29.466	-29.516	-29.501	-29.501	-29.570	-29.535	-29.465	-29.484	-29.501	-29.535	-29.465	-29.641	-29.535	138.928	138.733	139.103	139.063	138.997	138.925	139.130	139.094	139.094	139.102	139.100	139.236	138.961	139.127	138.852	138.959	139.060	139.025	138.844	139.019	138.804	139.163	139.092	139.126	139.060	139.057	138.844	138.992	139.060	138.961	139.066	139.029	102.031	102.021	102.008	102.054	102.031	102.038	102.034	102.023	102.010	102.023	102.064	102.066	102.021	101.980	101.962	101.994	101.999	102.043	102.038	101.975	102.013	101.977	101.983	102.007	101.999	101.971	101.997	101.991	101.999	101.980	102.040	102.001	2016_7_15_8_59_29
F2LS3JHAHFM5____	-29.639	-29.570	-29.618	-29.726	-29.652	-29.653	-29.688	-29.652	-29.659	-29.654	-29.758	-29.792	-29.617	-29.548	-29.446	-29.514	-29.585	-29.619	-29.583	-29.511	-29.533	-29.548	-29.548	-29.584	-29.585	-29.513	-29.549	-29.547	-29.585	-29.512	-29.690	-29.585	138.964	138.904	139.138	139.206	139.067	139.029	139.133	139.164	139.096	139.201	139.195	139.272	139.068	139.093	138.851	139.065	139.159	139.163	139.027	139.061	138.761	139.167	139.098	139.234	139.159	139.084	139.062	139.098	139.159	138.995	139.095	139.160	102.135	102.113	102.112	102.149	102.131	102.135	102.140	102.123	102.132	102.121	102.162	102.169	102.118	102.088	102.068	102.077	102.097	102.110	102.108	102.076	102.110	102.082	102.088	102.091	102.097	102.075	102.091	102.088	102.097	102.082	102.144	102.097	2016_7_15_8_59_40
F2LS3JJ8HFM5____	-29.228	-29.154	-29.196	-29.303	-29.232	-29.234	-29.268	-29.232	-29.197	-29.233	-29.337	-29.373	-29.198	-29.125	-29.022	-29.127	-29.162	-29.232	-29.163	-29.092	-29.151	-29.127	-29.126	-29.197	-29.162	-29.092	-29.128	-29.127	-29.162	-29.093	-29.234	-29.162	138.934	138.887	139.260	139.183	139.148	139.075	139.216	139.120	139.120	139.185	139.183	139.324	139.106	139.176	138.875	139.050	139.050	139.085	139.112	139.050	138.846	139.256	139.145	139.155	139.050	139.120	139.110	139.085	139.050	139.074	139.147	139.120	101.947	101.921	101.907	101.955	101.931	101.937	101.939	101.933	101.919	101.928	101.969	101.971	101.921	101.886	101.870	101.897	101.911	101.936	101.906	101.883	101.923	101.880	101.889	101.916	101.911	101.878	101.893	101.894	101.911	101.882	101.931	101.905	2016_7_15_8_59_44
F2LS3JTDHFM5____	-29.453	-29.387	-29.433	-29.541	-29.468	-29.506	-29.504	-29.468	-29.435	-29.470	-29.573	-29.609	-29.435	-29.363	-29.262	-29.366	-29.399	-29.468	-29.398	-29.331	-29.390	-29.365	-29.363	-29.433	-29.399	-29.328	-29.364	-29.365	-29.399	-29.329	-29.504	-29.399	139.005	138.872	139.200	139.167	139.128	139.056	139.161	139.129	139.127	139.169	139.163	139.307	139.052	139.123	138.870	139.053	139.157	139.093	139.055	138.978	138.745	139.275	139.126	139.157	139.157	139.120	139.055	139.083	139.157	139.019	139.163	139.159	102.127	102.113	102.103	102.148	102.123	102.144	102.134	102.123	102.110	102.120	102.162	102.164	102.116	102.082	102.063	102.089	102.093	102.126	102.102	102.082	102.124	102.070	102.082	102.107	102.093	102.068	102.088	102.086	102.093	102.077	102.134	102.093	2016_7_15_8_59_48
F2LS3KP7HFM5____	-29.514	-29.442	-29.492	-29.601	-29.529	-29.572	-29.563	-29.572	-29.494	-29.572	-29.632	-29.712	-29.467	-29.423	-29.362	-29.467	-29.458	-29.563	-29.461	-29.432	-29.484	-29.467	-29.425	-29.494	-29.458	-29.387	-29.467	-29.467	-29.458	-29.391	-29.598	-29.461	138.942	138.845	139.143	139.068	139.066	138.964	139.099	139.069	139.035	138.964	139.099	139.209	138.929	139.090	138.754	138.929	139.029	139.059	139.025	138.999	138.679	139.069	139.063	139.094	139.029	139.085	138.929	138.964	139.029	138.931	139.095	139.091	101.801	101.781	101.776	101.825	101.797	101.822	101.807	101.813	101.786	101.822	101.835	101.857	101.784	101.753	101.757	101.784	101.772	101.811	101.773	101.764	101.811	101.772	101.756	101.780	101.772	101.739	101.784	101.781	101.772	101.753	101.821	101.768	2016_7_15_8_59_52
F2LS3TRWHFM5____	-29.716	-29.645	-29.676	-29.799	-29.765	-29.732	-29.763	-29.727	-29.693	-29.729	-29.835	-29.869	-29.693	-29.624	-29.521	-29.625	-29.659	-29.727	-29.695	-29.589	-29.645	-29.625	-29.624	-29.676	-29.659	-29.588	-29.623	-29.627	-29.659	-29.590	-29.764	-29.659	138.875	138.742	138.924	139.004	138.932	138.895	139.034	138.964	138.967	139.115	139.066	139.144	138.896	138.995	138.780	138.933	139.029	138.964	138.897	139.002	138.701	139.072	139.002	138.889	139.029	138.990	138.898	139.038	139.029	138.895	139.000	138.994	101.954	101.937	101.934	101.976	101.968	101.958	101.959	101.951	101.937	101.939	101.984	101.991	101.943	101.907	101.885	101.913	101.918	101.951	101.943	101.893	101.941	101.901	101.907	101.937	101.918	101.894	101.915	101.905	101.918	101.902	101.962	101.921	2016_7_15_8_59_56
F2LS31DNHFLX____	-29.435	-29.400	-29.404	-29.510	-29.439	-29.440	-29.438	-29.439	-29.406	-29.439	-29.544	-29.581	-29.405	-29.334	-29.232	-29.335	-29.333	-29.439	-29.371	-29.300	-29.403	-29.335	-29.335	-29.404	-29.333	-29.301	-29.336	-29.336	-29.333	-29.299	-29.475	-29.371	139.090	138.933	139.267	139.159	139.086	139.081	139.190	139.188	139.191	139.234	139.222	139.334	139.161	139.183	138.930	139.051	139.151	139.192	139.159	139.043	138.803	139.260	139.188	139.219	139.151	139.182	139.086	139.149	139.151	139.046	139.228	139.223	101.943	101.943	101.916	101.967	101.945	101.946	101.936	101.937	101.923	101.933	101.975	101.980	101.926	101.896	101.876	101.907	101.898	101.936	101.912	101.894	101.955	101.890	101.896	101.920	101.898	101.883	101.905	101.899	101.898	101.894	101.948	101.907	2016_7_15_9_00_00
F2LS31K1HFLX____	-29.462	-29.430	-29.442	-29.548	-29.476	-29.479	-29.511	-29.477	-29.443	-29.477	-29.619	-29.657	-29.443	-29.372	-29.271	-29.374	-29.409	-29.476	-29.409	-29.335	-29.431	-29.371	-29.372	-29.442	-29.409	-29.336	-29.412	-29.374	-29.409	-29.339	-29.512	-29.408	139.086	138.978	139.309	139.236	139.202	139.098	139.241	139.237	139.238	139.245	139.204	139.426	139.101	139.201	138.943	139.166	139.202	139.204	139.163	139.204	138.900	139.239	139.276	139.239	139.202	139.231	139.166	139.168	139.202	139.128	139.175	139.231	102.110	102.106	102.083	102.131	102.106	102.116	102.116	102.103	102.090	102.102	102.162	102.158	102.101	102.065	102.046	102.069	102.079	102.106	102.082	102.050	102.113	102.061	102.059	102.089	102.079	102.048	102.083	102.068	102.079	102.058	102.122	102.076	2016_7_15_9_00_04
F2LS39V4GRXL____	-29.228	-29.153	-29.241	-29.312	-29.241	-29.245	-29.276	-29.241	-29.207	-29.242	-29.347	-29.381	-29.206	-29.186	-29.033	-29.179	-29.172	-29.242	-29.209	-29.081	-29.160	-29.136	-29.136	-29.206	-29.172	-29.101	-29.180	-29.116	-29.172	-29.151	-29.276	-29.173	138.968	138.913	139.206	139.170	139.100	139.056	139.168	139.132	139.134	139.171	139.171	139.312	139.062	138.985	138.883	139.137	139.158	139.170	139.059	138.915	138.755	139.235	139.204	139.165	139.158	139.162	139.136	138.950	139.158	139.020	139.167	139.201	101.872	101.847	101.858	101.889	101.866	101.871	101.874	101.864	101.850	101.861	101.902	101.904	101.856	101.854	101.802	101.839	101.835	101.861	101.857	101.819	101.863	101.814	101.816	101.847	101.835	101.806	101.839	101.830	101.835	101.838	101.875	101.831	2016_7_15_9_00_08
F2LS336YHFM5____	-29.309	-29.236	-29.282	-29.389	-29.318	-29.321	-29.352	-29.318	-29.283	-29.318	-29.423	-29.459	-29.284	-29.214	-29.169	-29.216	-29.249	-29.317	-29.250	-29.178	-29.239	-29.213	-29.214	-29.282	-29.249	-29.178	-29.215	-29.215	-29.249	-29.181	-29.354	-29.248	138.869	138.934	139.303	139.201	139.160	139.088	139.231	139.225	139.227	139.266	139.230	139.373	139.122	139.265	138.869	139.156	139.224	139.163	139.126	139.155	138.851	139.298	139.230	139.228	139.224	139.227	139.125	139.189	139.224	139.086	139.225	139.222	102.066	102.032	102.020	102.070	102.046	102.053	102.053	102.040	102.026	102.037	102.081	102.083	102.035	101.996	102.011	102.005	102.013	102.045	102.021	101.991	102.040	101.993	101.999	102.026	102.013	101.985	102.008	102.002	102.013	101.998	102.054	102.013	2016_7_15_9_00_14
