SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-30.619	-30.556	-30.553	-30.353	-30.582	-30.584	-30.656	-30.554	-30.656	-30.588	-30.552	-30.554	-30.450	-30.653	-30.762	-30.726	-30.551	-30.617	-30.691	-30.692	-30.334	-30.620	-30.693	-30.587	-30.534	-30.554	-30.607	-30.303	-30.572	-30.621	-30.658	-30.726	131.288	131.500	131.360	131.307	131.330	131.261	131.507	131.539	131.295	131.333	131.431	131.570	131.435	131.366	131.506	131.331	131.429	131.465	131.540	131.471	131.493	131.470	131.436	131.367	131.413	131.500	131.561	131.492	131.591	131.472	131.365	131.504	103.202	103.155	103.168	103.090	103.182	103.190	103.196	103.151	103.216	103.185	103.160	103.148	103.118	103.208	103.240	103.242	103.160	103.184	103.207	103.214	103.064	103.185	103.218	103.181	103.155	103.154	103.170	103.051	103.153	103.185	103.210	103.225	2016_7_15_9_13_35
F2LS3GSUHFM5____	-30.547	-30.515	-30.480	-30.284	-30.513	-30.513	-30.585	-30.480	-30.585	-30.546	-30.511	-30.517	-30.411	-30.585	-30.688	-30.656	-30.516	-30.517	-30.622	-30.620	-30.291	-30.550	-30.622	-30.515	-30.456	-30.487	-30.505	-30.229	-30.504	-30.516	-30.618	-30.658	131.373	131.554	131.414	131.398	131.415	131.343	131.589	131.625	131.377	131.414	131.485	131.659	131.518	131.447	131.589	131.415	131.484	131.555	131.623	131.552	131.576	131.554	131.518	131.450	131.501	131.588	131.647	131.577	131.680	131.589	131.449	131.587	103.043	103.012	103.011	102.931	103.025	103.031	103.038	102.991	103.058	103.038	103.017	103.003	102.972	103.051	103.080	103.083	103.019	103.013	103.050	103.055	102.917	103.026	103.060	103.022	102.993	102.997	102.999	102.891	102.995	103.009	103.065	103.068	2016_7_15_9_13_39
F2LS3GZKHFM5____	-30.115	-30.056	-30.083	-29.870	-30.081	-30.045	-30.123	-30.019	-30.185	-30.087	-30.055	-30.057	-29.947	-30.122	-30.226	-30.195	-30.056	-30.087	-30.220	-30.158	-29.835	-30.090	-30.161	-30.090	-30.045	-30.057	-30.080	-29.800	-30.080	-30.089	-30.159	-30.195	131.270	131.521	131.382	131.305	131.384	131.235	131.560	131.595	131.340	131.385	131.454	131.595	131.486	131.418	131.559	131.385	131.454	131.491	131.585	131.522	131.480	131.524	131.489	131.419	131.410	131.524	131.620	131.480	131.585	131.525	131.420	131.559	103.107	103.058	103.082	103.002	103.082	103.081	103.082	103.036	103.129	103.084	103.064	103.052	103.016	103.095	103.125	103.129	103.064	103.074	103.120	103.100	102.971	103.072	103.105	103.082	103.064	103.058	103.059	102.956	103.062	103.071	103.111	103.112	2016_7_15_9_13_43
F2LS3HTSHFM5____	-30.748	-30.719	-30.716	-30.495	-30.715	-30.715	-30.786	-30.682	-30.789	-30.749	-30.716	-30.723	-30.616	-30.790	-30.892	-30.862	-30.721	-30.750	-30.826	-30.822	-30.498	-30.754	-30.827	-30.751	-30.663	-30.691	-30.711	-30.468	-30.710	-30.753	-30.822	-30.860	131.240	131.459	131.319	131.268	131.321	131.250	131.495	131.532	131.286	131.322	131.391	131.530	131.425	131.354	131.496	131.322	131.390	131.427	131.529	131.458	131.445	131.460	131.425	131.355	131.412	131.462	131.556	131.447	131.592	131.463	131.357	131.494	103.293	103.260	103.272	103.185	103.272	103.278	103.284	103.238	103.306	103.286	103.265	103.255	103.220	103.299	103.328	103.332	103.267	103.276	103.297	103.302	103.170	103.274	103.308	103.283	103.241	103.248	103.247	103.157	103.243	103.274	103.312	103.315	2016_7_15_9_13_47
F2LS3J5VHFM5____	-30.731	-30.669	-30.667	-30.470	-30.668	-30.668	-30.737	-30.667	-30.771	-30.731	-30.670	-30.669	-30.564	-30.768	-30.872	-30.841	-30.665	-30.731	-30.805	-30.772	-30.444	-30.705	-30.807	-30.703	-30.645	-30.671	-30.689	-30.415	-30.686	-30.735	-30.804	-30.841	131.285	131.465	131.355	131.274	131.324	131.256	131.502	131.536	131.291	131.327	131.396	131.536	131.429	131.360	131.501	131.326	131.395	131.431	131.534	131.465	131.487	131.465	131.430	131.361	131.411	131.467	131.557	131.488	131.587	131.466	131.361	131.499	103.302	103.258	103.268	103.194	103.272	103.278	103.283	103.250	103.317	103.297	103.265	103.251	103.218	103.309	103.339	103.343	103.263	103.287	103.308	103.301	103.163	103.273	103.319	103.282	103.254	103.259	103.258	103.151	103.254	103.286	103.324	103.326	2016_7_15_9_13_51
F2LS3JECHFM5____	-30.866	-30.808	-30.805	-30.573	-30.804	-30.806	-30.878	-30.775	-30.881	-30.842	-30.807	-30.809	-30.699	-30.873	-30.981	-30.945	-30.805	-30.840	-30.911	-30.913	-30.550	-30.841	-30.917	-30.842	-30.753	-30.809	-30.828	-30.550	-30.794	-30.841	-30.911	-30.946	131.218	131.402	131.290	131.241	131.260	131.192	131.436	131.470	131.228	131.262	131.333	131.473	131.365	131.297	131.437	131.263	131.332	131.397	131.472	131.401	131.425	131.401	131.366	131.298	131.343	131.402	131.491	131.425	131.522	131.401	131.298	131.435	103.245	103.203	103.213	103.121	103.215	103.222	103.228	103.183	103.250	103.230	103.209	103.196	103.161	103.240	103.271	103.273	103.209	103.217	103.239	103.246	103.094	103.217	103.251	103.227	103.186	103.203	103.203	103.094	103.186	103.217	103.256	103.257	2016_7_15_9_13_56
F2LS3JHAHFM5____	-30.739	-30.678	-30.676	-30.446	-30.675	-30.677	-30.749	-30.648	-30.750	-30.711	-30.677	-30.681	-30.573	-30.748	-30.848	-30.820	-30.679	-30.713	-30.781	-30.784	-30.452	-30.713	-30.786	-30.712	-30.622	-30.680	-30.699	-30.422	-30.663	-30.712	-30.782	-30.817	131.226	131.441	131.301	131.252	131.298	131.228	131.475	131.510	131.264	131.300	131.371	131.512	131.405	131.335	131.477	131.300	131.369	131.405	131.510	131.439	131.434	131.440	131.404	131.334	131.355	131.441	131.501	131.434	131.532	131.440	131.335	131.441	103.279	103.232	103.245	103.154	103.245	103.253	103.258	103.213	103.279	103.260	103.239	103.227	103.192	103.272	103.299	103.305	103.240	103.250	103.268	103.276	103.139	103.247	103.281	103.257	103.218	103.233	103.235	103.127	103.217	103.246	103.286	103.290	2016_7_15_9_14_09
F2LS3JJ8HFM5____	-30.641	-30.581	-30.579	-30.352	-30.577	-30.578	-30.648	-30.546	-30.651	-30.615	-30.579	-30.582	-30.475	-30.649	-30.754	-30.720	-30.579	-30.613	-30.686	-30.684	-30.327	-30.615	-30.686	-30.613	-30.528	-30.582	-30.601	-30.299	-30.572	-30.612	-30.685	-30.721	131.149	131.331	131.190	131.174	131.192	131.122	131.367	131.401	131.157	131.192	131.262	131.401	131.294	131.225	131.368	131.193	131.261	131.297	131.401	131.330	131.353	131.331	131.297	131.226	131.243	131.332	131.424	131.352	131.456	131.332	131.227	131.365	103.217	103.174	103.187	103.095	103.186	103.193	103.199	103.153	103.220	103.202	103.180	103.168	103.134	103.213	103.242	103.245	103.180	103.191	103.211	103.217	103.067	103.188	103.221	103.198	103.161	103.175	103.174	103.056	103.159	103.187	103.227	103.229	2016_7_15_9_14_05
F2LS3JTDHFM5____	-30.818	-30.744	-30.776	-30.510	-30.741	-30.748	-30.815	-30.710	-30.818	-30.783	-30.742	-30.745	-30.643	-30.809	-30.915	-30.922	-30.749	-30.781	-30.848	-30.849	-30.517	-30.780	-30.850	-30.782	-30.684	-30.748	-30.783	-30.453	-30.713	-30.779	-30.849	-30.883	131.062	131.369	131.230	131.177	131.235	131.097	131.372	131.445	131.132	131.167	131.303	131.443	131.272	131.267	131.408	131.196	131.304	131.339	131.443	131.335	131.354	131.373	131.337	131.227	131.283	131.307	131.412	131.353	131.447	131.336	131.230	131.368	103.396	103.336	103.363	103.258	103.348	103.364	103.365	103.315	103.390	103.372	103.342	103.329	103.303	103.373	103.403	103.427	103.344	103.354	103.372	103.383	103.243	103.351	103.383	103.365	103.320	103.344	103.348	103.217	103.316	103.354	103.393	103.393	2016_7_15_9_14_13
F2LS3KP7HFM5____	-30.773	-30.716	-30.716	-30.481	-30.711	-30.713	-30.783	-30.681	-30.784	-30.745	-30.714	-30.718	-30.611	-30.782	-30.886	-30.855	-30.716	-30.746	-30.818	-30.788	-30.489	-30.747	-30.821	-30.749	-30.656	-30.713	-30.702	-30.425	-30.735	-30.747	-30.818	-30.852	131.174	131.388	131.218	131.200	131.218	131.148	131.425	131.430	131.183	131.250	131.289	131.461	131.354	131.252	131.426	131.219	131.318	131.356	131.461	131.388	131.380	131.358	131.355	131.253	131.305	131.390	131.451	131.380	131.484	131.360	131.254	131.423	103.011	102.967	102.983	102.888	102.981	102.989	102.991	102.948	103.015	102.992	102.976	102.961	102.927	103.007	103.034	103.041	102.974	102.983	103.002	102.997	102.874	102.983	103.013	102.994	102.950	102.966	102.955	102.847	102.966	102.982	103.022	103.020	2016_7_15_9_14_16
