SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-34.370	-34.538	-34.392	-34.236	-34.230	-33.933	-33.862	-34.061	-34.125	-34.370	-34.275	-34.155	-34.090	-34.125	-34.265	-34.475	-34.125	-34.440	-34.176	-34.358	-34.476	-34.266	-34.236	-34.146	-34.640	-34.351	-34.160	-33.950	-34.340	-34.370	-34.298	-34.125	-116.060	-116.075	-115.965	-115.974	-115.850	-115.788	-115.790	-115.888	-116.095	-116.025	-115.711	-115.960	-115.720	-116.095	-115.640	-116.136	-116.165	-116.060	-115.761	-116.092	-115.953	-116.183	-115.942	-116.199	-115.896	-116.220	-116.305	-115.780	-116.255	-115.745	-115.828	-116.165	253.369	253.295	253.346	253.418	253.404	253.531	253.564	253.486	253.485	253.364	253.365	253.453	253.450	253.485	253.360	253.331	253.494	253.337	253.417	253.378	253.306	253.433	253.414	253.489	253.224	253.399	253.497	253.522	253.408	253.326	253.370	253.494	2016_7_15_11_13_40
F2LS3GSUHFM5____	-34.267	-34.546	-34.430	-34.265	-34.144	-34.110	-33.488	-34.077	-34.054	-34.370	-34.281	-34.158	-34.017	-34.058	-34.244	-34.294	-34.173	-34.208	-34.102	-34.109	-34.440	-34.214	-34.248	-34.370	-34.682	-34.091	-34.066	-34.271	-34.098	-34.188	-34.232	-34.121	-115.423	-115.712	-115.397	-115.570	-115.557	-115.621	-115.424	-115.107	-115.128	-115.745	-115.361	-115.118	-115.136	-115.193	-115.348	-115.254	-115.315	-115.507	-115.408	-115.664	-115.745	-115.506	-115.406	-115.850	-115.732	-115.393	-115.658	-115.496	-115.615	-115.395	-115.311	-115.471	253.330	253.242	253.252	253.350	253.404	253.428	253.686	253.374	253.387	253.326	253.315	253.338	253.405	253.394	253.330	253.294	253.358	253.368	253.403	253.434	253.294	253.365	253.336	253.340	253.183	253.406	253.453	253.338	253.433	253.362	253.330	253.403	2016_7_15_11_11_20
F2LS3GZKHFM5____	-34.720	-35.022	-34.832	-34.969	-34.580	-34.488	-34.309	-34.794	-34.682	-34.966	-34.930	-34.755	-34.328	-34.755	-35.030	-35.090	-34.746	-34.941	-34.720	-34.789	-35.094	-34.892	-34.857	-34.957	-35.152	-34.843	-34.449	-34.671	-34.832	-34.979	-34.984	-34.802	-116.060	-116.086	-115.850	-116.251	-116.480	-116.063	-116.121	-116.233	-115.814	-116.224	-116.340	-115.920	-115.744	-115.885	-116.371	-116.222	-116.210	-116.135	-115.920	-116.180	-116.287	-116.262	-116.422	-116.289	-116.422	-116.361	-116.046	-115.986	-116.463	-116.424	-116.320	-116.425	253.209	253.076	253.130	253.122	253.329	253.315	253.404	253.199	253.193	253.120	253.152	253.175	253.345	253.170	253.111	253.064	253.218	253.119	253.190	253.194	253.071	253.159	253.197	253.133	253.063	253.194	253.330	253.222	253.213	253.141	253.125	253.222	2016_7_15_11_11_24
F2LS3HTSHFM5____	-34.260	-34.306	-34.203	-34.296	-34.252	-33.803	-33.658	-34.076	-33.864	-34.354	-34.252	-34.077	-33.942	-34.108	-34.372	-34.439	-34.050	-34.294	-34.255	-34.335	-34.401	-34.260	-34.302	-34.241	-34.440	-34.023	-34.190	-34.269	-34.317	-34.394	-34.294	-34.295	-115.879	-115.989	-115.678	-115.637	-115.966	-115.837	-116.116	-115.874	-115.589	-116.058	-115.695	-115.680	-115.592	-115.589	-115.938	-115.718	-115.717	-115.965	-115.883	-115.956	-115.947	-115.969	-115.686	-116.376	-116.188	-115.730	-116.135	-115.843	-116.106	-115.805	-115.762	-115.998	253.611	253.605	253.610	253.562	253.627	253.814	253.917	253.694	253.753	253.593	253.590	253.668	253.718	253.642	253.568	253.508	253.685	253.607	253.614	253.587	253.556	253.624	253.566	253.686	253.571	253.699	253.677	253.602	253.616	253.541	253.580	253.611	2016_7_15_11_11_28
F2LS3J5VHFM5____	-34.299	-34.544	-34.387	-34.544	-34.290	-34.014	-34.331	-34.229	-34.334	-34.649	-34.649	-34.356	-34.169	-34.450	-34.668	-34.717	-34.447	-34.221	-34.247	-34.431	-34.620	-34.285	-34.544	-34.476	-34.684	-34.186	-34.358	-34.371	-34.366	-34.509	-34.509	-34.517	-116.402	-116.647	-116.382	-116.402	-116.541	-116.708	-116.672	-116.262	-116.157	-116.857	-116.402	-116.337	-116.353	-116.422	-116.520	-116.305	-116.306	-116.546	-116.471	-116.717	-116.643	-116.614	-116.787	-116.881	-116.717	-116.435	-116.580	-116.483	-116.675	-116.507	-116.472	-116.702	253.686	253.608	253.643	253.575	253.708	253.855	253.707	253.699	253.637	253.588	253.527	253.651	253.738	253.620	253.534	253.484	253.605	253.740	253.718	253.668	253.572	253.720	253.626	253.669	253.554	253.741	253.683	253.664	253.692	253.605	253.600	253.627	2016_7_15_11_11_31
F2LS3JECHFM5____	-34.591	-34.755	-34.349	-34.405	-34.107	-34.062	-34.013	-34.370	-34.449	-34.680	-34.421	-34.755	-34.220	-34.335	-34.560	-34.683	-34.475	-34.594	-34.239	-34.428	-34.551	-34.599	-34.545	-34.555	-34.836	-34.360	-34.471	-34.192	-34.410	-34.496	-34.438	-34.395	-115.472	-115.745	-115.672	-115.290	-115.482	-115.549	-115.437	-115.220	-115.251	-115.406	-115.229	-115.570	-115.188	-115.185	-115.360	-115.383	-115.255	-115.623	-115.299	-115.671	-115.527	-115.558	-115.605	-115.598	-115.792	-115.333	-115.529	-115.240	-115.562	-115.450	-115.307	-115.536	253.191	253.153	253.328	253.251	253.412	253.442	253.449	253.257	253.225	253.141	253.235	253.129	253.321	253.268	253.189	253.137	253.214	253.210	253.328	253.292	253.216	253.199	253.230	253.224	253.123	253.277	253.253	253.341	253.285	253.231	253.238	253.288	2016_7_15_11_11_35
F2LS3JHAHFM5____	-34.585	-34.615	-34.510	-34.518	-34.371	-34.392	-34.036	-34.341	-34.221	-34.790	-34.720	-34.553	-34.304	-34.660	-34.635	-34.631	-34.545	-34.204	-34.690	-34.699	-34.860	-34.580	-34.577	-34.608	-34.700	-34.441	-34.300	-34.520	-34.720	-34.650	-34.641	-34.685	-116.236	-116.299	-116.124	-115.835	-115.811	-116.359	-116.167	-115.947	-115.788	-115.949	-116.194	-115.832	-115.795	-116.137	-115.896	-115.736	-115.809	-116.097	-116.094	-116.237	-116.019	-116.264	-116.067	-116.324	-116.399	-115.878	-116.509	-115.970	-116.404	-115.879	-115.910	-116.299	253.540	253.535	253.559	253.516	253.580	253.644	253.780	253.612	253.645	253.408	253.473	253.500	253.608	253.493	253.471	253.451	253.500	253.694	253.473	253.488	253.386	253.546	253.521	253.541	253.510	253.557	253.706	253.534	253.502	253.462	253.470	253.503	2016_7_15_11_14_18
F2LS3JJ8HFM5____	-34.666	-34.691	-34.580	-34.690	-34.580	-34.276	-34.337	-34.291	-34.299	-34.650	-34.731	-34.256	-34.251	-34.538	-34.599	-34.761	-34.467	-34.678	-34.513	-34.652	-34.832	-34.662	-34.685	-34.564	-34.827	-34.698	-34.559	-34.580	-34.577	-34.785	-34.596	-34.895	-115.128	-115.219	-115.010	-115.266	-115.570	-115.082	-115.158	-114.854	-114.955	-115.395	-114.876	-114.862	-114.890	-115.432	-114.946	-115.170	-115.224	-115.205	-115.011	-115.205	-115.122	-115.211	-115.045	-115.422	-115.440	-115.455	-115.651	-115.500	-115.273	-115.298	-115.057	-115.605	253.378	253.379	253.401	253.386	253.478	253.550	253.532	253.512	253.522	253.422	253.314	253.529	253.535	253.478	253.384	253.341	253.482	253.383	253.432	253.395	253.302	253.391	253.358	253.465	253.348	253.408	253.498	253.468	253.439	253.348	253.400	253.340	2016_7_15_11_11_42
F2LS3JTDHFM5____	-34.331	-34.663	-34.460	-34.568	-34.287	-34.067	-34.077	-34.208	-34.139	-34.480	-34.580	-34.291	-34.100	-34.405	-34.433	-34.553	-34.207	-34.466	-34.360	-34.319	-34.742	-34.370	-34.545	-34.595	-34.597	-34.440	-34.042	-34.250	-34.248	-34.507	-34.504	-34.390	-115.613	-115.850	-115.543	-115.430	-115.565	-115.629	-115.695	-115.230	-115.447	-115.489	-115.500	-115.610	-115.263	-115.815	-115.423	-115.330	-115.274	-115.574	-115.499	-115.619	-115.596	-115.570	-115.605	-116.112	-115.740	-115.815	-115.660	-115.501	-115.632	-115.529	-115.492	-115.549	253.597	253.478	253.529	253.464	253.611	253.720	253.724	253.601	253.662	253.512	253.468	253.615	253.655	253.591	253.525	253.457	253.608	253.531	253.568	253.604	253.408	253.574	253.499	253.545	253.493	253.575	253.735	253.619	253.638	253.506	253.502	253.562	2016_7_15_11_11_46
F2LS3KP7HFM5____	-34.523	-34.565	-34.414	-34.595	-34.487	-34.535	-34.095	-34.419	-34.273	-34.707	-34.632	-34.300	-34.297	-34.394	-34.510	-34.780	-34.513	-34.525	-34.596	-34.626	-34.806	-34.592	-34.596	-34.537	-34.325	-34.570	-34.612	-34.505	-34.674	-34.710	-34.695	-34.605	-115.705	-116.004	-115.392	-115.576	-115.972	-116.275	-116.040	-115.617	-115.467	-115.932	-116.089	-115.627	-115.593	-115.479	-115.637	-115.474	-115.550	-116.106	-115.713	-115.956	-115.876	-115.851	-115.674	-116.127	-116.030	-115.680	-116.214	-115.723	-116.183	-115.750	-116.037	-116.170	253.271	253.292	253.278	253.220	253.323	253.342	253.510	253.306	253.352	253.218	253.273	253.361	253.358	253.299	253.267	253.122	253.254	253.324	253.238	253.258	253.165	253.259	253.233	253.321	253.404	253.246	253.299	253.281	253.266	253.192	253.237	253.296	2016_7_15_11_11_50
