SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-63.792	-63.648	-63.788	-63.875	-63.798	-63.758	-63.830	-63.762	-63.784	-63.700	-63.840	-63.655	-63.729	-63.733	-63.764	-63.788	-63.766	-63.875	-63.768	-64.377	-63.784	-63.832	-64.135	-64.103	-63.757	-63.793	-63.767	-63.792	-63.810	-64.031	-63.770	-63.745	-120.431	-120.086	-119.881	-119.945	-119.875	-119.975	-119.977	-119.773	-120.394	-120.400	-120.470	-119.846	-119.847	-119.987	-119.948	-120.432	-119.914	-119.840	-119.881	-120.224	-120.389	-119.945	-120.331	-120.302	-120.017	-119.946	-119.913	-119.945	-119.925	-120.264	-120.330	-120.366	242.427	242.412	242.320	242.300	242.315	242.349	242.323	242.308	242.423	242.455	242.417	242.363	242.335	242.361	242.342	242.429	242.335	242.279	242.327	242.169	242.422	242.316	242.280	242.286	242.358	242.331	242.334	242.331	242.320	242.305	242.415	242.432	2016_7_15_10_25_18
F2LS3GSUHFM5____	-63.763	-63.644	-63.814	-63.875	-63.795	-63.720	-63.840	-63.770	-63.805	-63.630	-63.840	-63.665	-63.735	-63.735	-63.727	-63.787	-63.770	-63.863	-63.758	-64.346	-63.752	-63.840	-64.102	-64.100	-63.770	-63.790	-63.760	-63.805	-63.810	-64.032	-63.718	-63.741	-120.483	-120.198	-119.994	-120.085	-119.994	-120.056	-120.120	-119.910	-120.505	-120.540	-120.540	-119.980	-119.980	-120.120	-120.030	-120.545	-120.050	-119.956	-119.996	-120.312	-120.477	-120.085	-120.452	-120.384	-120.155	-120.063	-120.028	-120.085	-120.041	-120.343	-120.408	-120.479	242.448	242.436	242.333	242.328	242.340	242.380	242.348	242.332	242.437	242.509	242.431	242.385	242.359	242.387	242.372	242.451	242.360	242.307	242.354	242.198	242.451	242.341	242.316	242.303	242.381	242.355	242.359	242.354	242.343	242.320	242.450	242.455	2016_7_15_10_25_37
F2LS3GZKHFM5____	-63.448	-63.290	-63.434	-63.520	-63.445	-63.366	-63.485	-63.415	-63.436	-63.345	-63.470	-63.310	-63.380	-63.376	-63.413	-63.485	-63.415	-63.520	-63.409	-64.027	-63.435	-63.483	-63.746	-63.748	-63.408	-63.450	-63.485	-63.450	-63.458	-63.679	-63.415	-63.395	-110.345	-110.024	-109.827	-109.953	-109.818	-109.921	-109.988	-109.778	-110.307	-110.338	-110.337	-109.848	-109.848	-109.931	-109.893	-110.478	-109.918	-109.848	-109.824	-110.175	-110.333	-109.893	-110.279	-110.247	-109.991	-109.953	-109.918	-109.953	-109.866	-110.206	-110.268	-110.307	239.954	239.944	239.843	239.838	239.837	239.891	239.860	239.839	239.950	239.993	239.944	239.896	239.869	239.889	239.866	239.970	239.871	239.814	239.852	239.691	239.957	239.839	239.823	239.815	239.890	239.865	239.844	239.865	239.842	239.833	239.950	239.967	2016_7_15_10_25_41
F2LS3HTSHFM5____	-63.847	-63.668	-63.870	-63.945	-63.875	-63.840	-63.910	-63.770	-63.875	-63.703	-63.840	-63.670	-63.753	-63.805	-63.840	-63.842	-63.815	-63.945	-63.781	-64.399	-63.808	-63.855	-64.155	-64.154	-63.781	-63.816	-63.814	-63.875	-63.867	-64.084	-63.770	-63.769	-120.492	-120.149	-119.942	-120.085	-119.945	-120.050	-120.050	-119.840	-120.435	-120.455	-120.470	-119.907	-119.912	-120.120	-120.085	-120.528	-119.977	-119.910	-119.945	-120.292	-120.460	-120.014	-120.398	-120.359	-120.082	-120.015	-119.975	-120.015	-119.987	-120.323	-120.390	-120.430	242.418	242.418	242.301	242.302	242.300	242.334	242.308	242.318	242.397	242.465	242.417	242.369	242.339	242.361	242.341	242.428	242.329	242.267	242.335	242.174	242.427	242.321	242.286	242.279	242.362	242.336	242.329	242.314	242.312	242.297	242.427	242.435	2016_7_15_10_25_45
F2LS3J5VHFM5____	-63.942	-63.758	-63.936	-64.020	-63.949	-63.901	-63.982	-63.917	-63.925	-63.829	-63.968	-63.799	-63.882	-63.875	-63.914	-63.967	-63.910	-64.021	-63.905	-64.528	-63.936	-63.987	-64.276	-64.273	-63.915	-63.947	-63.911	-63.948	-63.997	-64.201	-63.894	-63.857	-120.304	-119.962	-119.748	-119.854	-119.747	-119.847	-119.891	-119.679	-120.263	-120.300	-120.302	-119.713	-119.749	-119.856	-119.819	-120.372	-119.783	-119.748	-119.785	-120.143	-120.274	-119.854	-120.242	-120.200	-119.926	-119.852	-119.783	-119.853	-119.826	-120.164	-120.228	-120.242	242.346	242.347	242.238	242.228	242.233	242.271	242.250	242.232	242.345	242.387	242.336	242.282	242.259	242.283	242.260	242.350	242.255	242.207	242.257	242.097	242.343	242.240	242.210	242.203	242.282	242.255	242.255	242.254	242.231	242.222	242.349	242.365	2016_7_15_10_25_48
F2LS3JECHFM5____	-64.061	-63.872	-64.054	-64.103	-64.026	-63.982	-64.057	-63.996	-64.013	-63.913	-64.054	-63.878	-64.001	-63.957	-63.992	-64.056	-63.991	-64.097	-63.992	-64.611	-64.019	-64.069	-64.359	-64.361	-63.996	-64.027	-63.989	-64.031	-64.077	-64.289	-63.983	-63.974	-120.420	-120.033	-119.867	-119.939	-119.866	-119.965	-119.967	-119.763	-120.315	-120.375	-120.380	-119.831	-119.832	-119.972	-119.938	-120.416	-119.902	-119.832	-119.868	-120.224	-120.381	-119.937	-120.324	-120.288	-120.002	-119.936	-119.899	-119.936	-119.914	-120.251	-120.277	-120.352	242.325	242.319	242.218	242.214	242.228	242.264	242.237	242.219	242.322	242.371	242.320	242.277	242.231	242.275	242.255	242.326	242.249	242.195	242.241	242.082	242.333	242.227	242.196	242.188	242.267	242.242	242.249	242.241	242.219	242.207	242.326	242.344	2016_7_15_10_25_52
F2LS3JHAHFM5____	-64.012	-63.828	-64.036	-64.080	-64.011	-63.980	-64.046	-63.980	-64.001	-63.861	-64.036	-63.828	-63.907	-63.940	-63.977	-64.050	-63.977	-64.083	-63.975	-64.560	-64.015	-64.047	-64.315	-64.315	-63.975	-64.009	-63.978	-64.012	-64.023	-64.270	-63.963	-63.929	-120.292	-119.950	-119.739	-119.850	-119.735	-119.910	-119.844	-119.630	-120.222	-120.256	-120.256	-119.705	-119.705	-119.879	-119.808	-120.330	-119.772	-119.699	-119.739	-120.094	-120.260	-119.807	-120.200	-120.160	-119.881	-119.805	-119.772	-119.804	-119.817	-120.150	-120.182	-120.226	241.644	241.645	241.525	241.531	241.534	241.580	241.542	241.524	241.634	241.693	241.628	241.596	241.566	241.589	241.561	241.637	241.554	241.500	241.548	241.402	241.636	241.535	241.513	241.505	241.576	241.548	241.553	241.547	241.546	241.520	241.640	241.661	2016_7_15_10_25_58
F2LS3JJ8HFM5____	-63.915	-63.735	-63.909	-63.954	-63.886	-63.837	-63.918	-63.851	-63.875	-63.767	-63.911	-63.739	-63.818	-63.814	-63.851	-63.939	-63.850	-63.957	-63.851	-64.469	-63.878	-63.924	-64.223	-64.221	-63.849	-63.886	-63.851	-63.886	-63.903	-64.151	-63.837	-63.841	-120.414	-120.079	-119.868	-119.940	-119.867	-119.964	-119.974	-119.763	-120.349	-120.380	-120.383	-119.832	-119.835	-119.972	-119.939	-120.484	-119.902	-119.832	-119.870	-120.223	-120.384	-119.940	-120.326	-120.286	-120.009	-119.939	-119.901	-119.940	-119.916	-120.248	-120.309	-120.355	242.378	242.379	242.272	242.270	242.281	242.318	242.290	242.273	242.380	242.426	242.373	242.329	242.300	242.328	242.308	242.383	242.301	242.247	242.294	242.135	242.386	242.281	242.246	242.239	242.322	242.295	242.300	242.295	242.284	242.258	242.386	242.394	2016_7_15_10_26_02
F2LS3JTDHFM5____	-64.007	-63.829	-64.037	-64.085	-64.010	-63.980	-64.050	-63.980	-63.967	-63.910	-64.050	-63.875	-63.904	-63.945	-63.980	-64.050	-63.975	-64.085	-63.980	-64.593	-64.015	-64.049	-64.315	-64.338	-63.976	-64.015	-63.980	-64.015	-64.028	-64.272	-63.980	-63.929	-120.496	-120.153	-119.940	-120.085	-119.940	-120.050	-120.050	-119.840	-120.430	-120.470	-120.470	-119.910	-119.909	-120.050	-120.085	-120.540	-119.975	-119.910	-119.945	-120.296	-120.470	-120.012	-120.404	-120.394	-120.085	-120.015	-120.050	-120.015	-119.986	-120.323	-120.400	-120.435	242.360	242.358	242.239	242.250	242.249	242.282	242.256	242.240	242.362	242.391	242.339	242.293	242.282	242.295	242.289	242.353	242.269	242.215	242.261	242.103	242.352	242.249	242.228	242.217	242.290	242.262	242.282	242.262	242.251	242.227	242.351	242.377	2016_7_15_10_26_06
F2LS3KP7HFM5____	-63.872	-63.719	-63.896	-63.939	-63.866	-63.796	-63.905	-63.801	-63.875	-63.754	-63.910	-63.724	-63.805	-63.800	-63.836	-63.861	-63.833	-63.945	-63.834	-64.424	-63.860	-63.908	-64.175	-64.176	-63.836	-63.872	-63.833	-63.873	-63.889	-64.135	-63.840	-63.792	-120.402	-120.088	-119.878	-119.980	-119.907	-119.975	-119.981	-119.775	-120.365	-120.396	-120.400	-119.844	-119.844	-119.987	-119.947	-120.467	-119.912	-119.842	-119.879	-120.232	-120.395	-119.949	-120.335	-120.300	-120.020	-119.948	-119.912	-119.948	-119.926	-120.260	-120.330	-120.367	241.717	241.713	241.605	241.609	241.622	241.662	241.622	241.620	241.709	241.760	241.703	241.662	241.632	241.662	241.641	241.734	241.635	241.579	241.628	241.479	241.721	241.614	241.592	241.584	241.656	241.628	241.635	241.627	241.617	241.592	241.715	241.740	2016_7_15_10_26_10
F2LS3TRWHFM5____	-63.643	-63.463	-63.641	-63.682	-63.609	-63.564	-63.645	-63.578	-63.599	-63.496	-63.637	-63.460	-63.578	-63.540	-63.576	-63.637	-63.575	-63.684	-63.571	-64.198	-63.665	-63.650	-63.949	-63.946	-63.630	-63.611	-63.577	-63.613	-63.652	-63.877	-63.630	-63.562	-120.565	-120.229	-120.012	-120.084	-120.009	-120.107	-120.124	-119.908	-120.497	-120.534	-120.535	-119.977	-119.976	-120.117	-120.081	-120.608	-120.045	-119.976	-120.012	-120.374	-120.540	-120.083	-120.478	-120.431	-120.225	-120.083	-120.044	-120.083	-120.089	-120.395	-120.470	-120.508	242.509	242.510	242.401	242.400	242.412	242.448	242.421	242.404	242.512	242.557	242.505	242.461	242.417	242.459	242.439	242.519	242.432	242.377	242.427	242.265	242.496	242.411	242.378	242.370	242.447	242.426	242.431	242.425	242.412	242.388	242.495	242.527	2016_7_15_10_26_19
F2LS31DNHFLX____	-63.858	-63.672	-63.850	-63.927	-63.857	-63.778	-63.855	-63.786	-63.816	-63.741	-63.849	-63.674	-63.791	-63.753	-63.820	-63.847	-63.819	-63.925	-63.784	-64.408	-63.819	-63.892	-64.162	-64.160	-63.789	-63.823	-63.819	-63.825	-63.872	-64.088	-63.776	-63.778	-120.454	-120.145	-119.934	-120.002	-119.931	-119.995	-120.038	-119.829	-120.421	-120.449	-120.453	-119.899	-119.900	-120.042	-120.039	-120.521	-119.968	-119.895	-119.935	-120.293	-120.426	-120.002	-120.395	-120.354	-120.077	-120.003	-119.966	-120.005	-119.979	-120.316	-120.382	-120.424	242.407	242.415	242.307	242.292	242.304	242.346	242.326	242.310	242.416	242.450	242.410	242.366	242.322	242.365	242.339	242.424	242.326	242.272	242.332	242.171	242.416	242.305	242.283	242.275	242.358	242.331	242.325	242.331	242.308	242.295	242.423	242.431	2016_7_15_10_26_23
F2LS31K1HFLX____	-63.879	-63.694	-63.910	-63.950	-63.873	-63.830	-63.914	-63.849	-63.870	-63.766	-63.907	-63.735	-63.811	-63.805	-63.842	-63.904	-63.839	-63.950	-63.835	-64.465	-63.875	-63.917	-64.215	-64.211	-63.840	-63.945	-63.839	-63.883	-63.921	-64.140	-63.835	-63.832	-120.426	-120.091	-119.872	-119.943	-119.902	-119.967	-119.983	-119.767	-120.355	-120.396	-120.392	-119.840	-119.838	-119.977	-119.940	-120.464	-119.904	-119.835	-119.873	-120.232	-120.470	-119.943	-120.334	-120.287	-120.015	-120.015	-119.903	-119.941	-119.949	-120.250	-120.320	-120.366	242.394	242.396	242.273	242.272	242.292	242.321	242.293	242.274	242.383	242.430	242.377	242.331	242.303	242.333	242.311	242.392	242.305	242.251	242.301	242.138	242.404	242.284	242.251	242.243	242.327	242.288	242.305	242.296	242.284	242.262	242.389	242.399	2016_7_15_10_26_27
F2LS39V4GRXL____	-63.820	-63.671	-63.845	-63.923	-63.851	-63.777	-63.855	-63.770	-63.806	-63.700	-63.842	-63.675	-63.805	-63.753	-63.788	-63.846	-63.818	-63.924	-63.787	-64.403	-63.806	-63.857	-64.156	-64.156	-63.821	-63.875	-63.819	-63.855	-63.867	-64.088	-63.771	-63.769	-120.425	-120.141	-119.935	-120.006	-119.932	-120.033	-120.037	-119.840	-120.418	-120.447	-120.448	-119.902	-119.910	-120.043	-120.006	-120.490	-119.970	-119.897	-119.938	-120.287	-120.447	-120.007	-120.391	-120.359	-120.072	-120.015	-119.969	-120.004	-119.980	-120.321	-120.383	-120.420	241.741	241.741	241.635	241.620	241.632	241.680	241.652	241.644	241.745	241.790	241.737	241.692	241.645	241.691	241.671	241.745	241.652	241.598	241.657	241.498	241.751	241.645	241.610	241.603	241.671	241.640	241.652	241.645	241.636	241.621	241.751	241.759	2016_7_15_10_26_30
F2LS336YHFM5____	-64.007	-63.825	-64.000	-64.079	-64.004	-63.930	-64.042	-63.980	-63.994	-63.895	-64.000	-63.857	-63.940	-63.931	-63.971	-64.030	-63.936	-64.080	-63.967	-64.589	-63.962	-64.046	-64.306	-64.305	-63.976	-64.007	-63.967	-63.971	-64.028	-64.234	-63.959	-63.952	-120.521	-120.179	-119.968	-120.071	-120.000	-120.064	-120.104	-119.896	-120.482	-120.515	-120.490	-119.966	-119.965	-120.106	-120.071	-120.584	-120.001	-119.965	-120.003	-120.356	-120.488	-120.071	-120.459	-120.421	-120.140	-120.068	-120.035	-120.071	-120.047	-120.384	-120.445	-120.488	241.691	241.691	241.584	241.575	241.589	241.629	241.595	241.577	241.688	241.731	241.687	241.637	241.606	241.637	241.615	241.695	241.614	241.554	241.604	241.443	241.701	241.588	241.568	241.561	241.627	241.602	241.610	241.615	241.589	241.580	241.694	241.705	2016_7_15_10_26_34
