SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-29.330	-29.330	-29.293	-29.326	-29.329	-29.329	-29.298	-29.329	-29.298	-29.295	-29.294	-29.326	-29.400	-29.329	-29.329	-29.400	-29.362	-29.329	-29.298	-29.330	-29.263	-29.364	-29.363	-29.364	-29.328	-29.328	-29.329	-29.328	-29.296	-29.364	-29.364	-29.363	-142.875	-142.875	-142.876	-142.909	-142.880	-142.844	-142.845	-142.880	-142.845	-142.843	-142.809	-142.909	-142.769	-142.844	-142.844	-142.906	-142.909	-142.875	-142.808	-142.841	-142.878	-142.804	-142.882	-142.804	-142.809	-142.809	-142.780	-142.809	-142.700	-142.844	-142.775	-142.912	258.399	258.399	258.413	258.403	258.400	258.397	258.409	258.400	258.409	258.410	258.408	258.403	258.364	258.397	258.397	258.375	258.390	258.400	258.406	258.396	258.425	258.380	258.387	258.380	258.395	258.395	258.392	258.395	258.399	258.384	258.378	258.389	2016_7_15_9_54_42
F2LS3GSUHFM5____	-29.321	-29.321	-29.282	-29.316	-29.317	-29.320	-29.275	-29.317	-29.275	-29.286	-29.285	-29.316	-29.394	-29.320	-29.320	-29.426	-29.355	-29.317	-29.275	-29.322	-29.278	-29.358	-29.354	-29.358	-29.320	-29.320	-29.310	-29.320	-29.283	-29.356	-29.356	-29.356	-142.933	-142.933	-142.891	-142.921	-142.933	-142.894	-142.859	-142.933	-142.859	-142.856	-142.828	-142.921	-142.791	-142.894	-142.894	-142.923	-142.923	-142.891	-142.819	-142.857	-142.891	-142.825	-142.904	-142.825	-142.828	-142.828	-142.834	-142.828	-142.716	-142.863	-142.833	-142.969	258.407	258.407	258.419	258.408	258.409	258.405	258.419	258.409	258.419	258.415	258.413	258.408	258.368	258.405	258.405	258.366	258.394	258.406	258.416	258.401	258.421	258.384	258.392	258.384	258.399	258.399	258.404	258.399	258.405	258.388	258.386	258.397	2016_7_15_9_54_47
F2LS3GZKHFM5____	-35.553	-35.553	-35.506	-35.544	-35.548	-35.548	-35.498	-35.548	-35.498	-35.514	-35.512	-35.544	-35.628	-35.548	-35.548	-35.617	-35.622	-35.546	-35.499	-35.547	-35.490	-35.589	-35.584	-35.589	-35.548	-35.548	-35.536	-35.548	-35.514	-35.585	-35.592	-35.589	-149.037	-149.037	-149.034	-149.069	-149.040	-149.006	-149.003	-149.040	-149.003	-149.005	-148.939	-149.069	-148.901	-149.006	-149.006	-149.105	-149.068	-149.038	-148.966	-149.006	-149.030	-148.967	-149.048	-148.967	-148.979	-148.979	-148.943	-148.979	-148.863	-149.007	-148.939	-149.073	346.583	346.583	346.600	346.589	346.585	346.582	346.600	346.585	346.600	346.594	346.589	346.589	346.544	346.582	346.582	346.565	346.560	346.586	346.596	346.582	346.605	346.564	346.572	346.564	346.579	346.579	346.581	346.579	346.582	346.568	346.560	346.573	2016_7_15_9_54_53
F2LS3HTSHFM5____	-29.386	-29.386	-29.348	-29.380	-29.382	-29.383	-29.345	-29.382	-29.345	-29.351	-29.349	-29.380	-29.457	-29.383	-29.383	-29.454	-29.416	-29.381	-29.345	-29.382	-29.312	-29.420	-29.418	-29.420	-29.382	-29.382	-29.380	-29.382	-29.348	-29.417	-29.420	-29.421	-142.998	-142.998	-142.963	-142.997	-143.002	-142.933	-142.932	-143.002	-142.932	-142.932	-142.904	-142.997	-142.861	-142.933	-142.933	-143.031	-142.995	-142.966	-142.895	-142.935	-142.966	-142.895	-142.972	-142.895	-142.904	-142.904	-142.868	-142.904	-142.825	-142.936	-142.902	-143.035	258.387	258.387	258.399	258.390	258.389	258.383	258.398	258.389	258.398	258.396	258.394	258.390	258.349	258.383	258.383	258.364	258.376	258.387	258.395	258.384	258.413	258.366	258.373	258.366	258.382	258.382	258.379	258.382	258.388	258.370	258.367	258.377	2016_7_15_9_54_58
F2LS3J5VHFM5____	-29.463	-29.463	-29.426	-29.458	-29.461	-29.461	-29.425	-29.461	-29.425	-29.426	-29.427	-29.458	-29.534	-29.461	-29.461	-29.532	-29.495	-29.461	-29.424	-29.461	-29.389	-29.497	-29.495	-29.497	-29.461	-29.461	-29.458	-29.461	-29.432	-29.496	-29.501	-29.497	-142.944	-142.944	-142.942	-142.973	-142.943	-142.914	-142.905	-142.943	-142.905	-142.913	-142.886	-142.973	-142.839	-142.914	-142.914	-142.971	-142.972	-142.947	-142.872	-142.912	-142.942	-142.874	-142.950	-142.874	-142.883	-142.883	-142.846	-142.883	-142.764	-142.911	-142.840	-142.977	258.354	258.354	258.367	258.358	258.354	258.352	258.365	258.354	258.365	258.365	258.363	258.358	258.318	258.352	258.352	258.329	258.344	258.355	258.363	258.352	258.382	258.335	258.342	258.335	258.350	258.350	258.348	258.350	258.351	258.338	258.331	258.343	2016_7_15_9_55_29
F2LS3JECHFM5____	-29.463	-29.463	-29.422	-29.455	-29.457	-29.459	-29.416	-29.457	-29.416	-29.423	-29.423	-29.455	-29.535	-29.459	-29.459	-29.531	-29.495	-29.456	-29.415	-29.458	-29.382	-29.498	-29.492	-29.498	-29.457	-29.457	-29.451	-29.457	-29.424	-29.493	-29.498	-29.499	-142.954	-142.954	-142.953	-142.987	-142.954	-142.924	-142.920	-142.954	-142.920	-142.921	-142.891	-142.987	-142.851	-142.924	-142.924	-142.985	-143.021	-142.959	-142.883	-142.921	-142.954	-142.883	-142.959	-142.883	-142.890	-142.890	-142.859	-142.890	-142.775	-142.922	-142.889	-142.989	258.354	258.354	258.370	258.360	258.356	258.354	258.370	258.356	258.370	258.367	258.365	258.360	258.318	258.354	258.354	258.331	258.347	258.357	258.367	258.354	258.385	258.335	258.344	258.335	258.351	258.351	258.351	258.351	258.355	258.340	258.336	258.343	2016_7_15_9_55_33
F2LS3JHAHFM5____	-29.538	-29.538	-29.500	-29.531	-29.531	-29.533	-29.522	-29.531	-29.522	-29.498	-29.495	-29.531	-29.651	-29.533	-29.533	-29.645	-29.608	-29.530	-29.521	-29.532	-29.455	-29.613	-29.568	-29.613	-29.532	-29.532	-29.526	-29.532	-29.533	-29.568	-29.573	-29.609	-142.874	-142.874	-142.876	-142.906	-142.878	-142.845	-142.838	-142.878	-142.838	-142.844	-142.817	-142.906	-142.775	-142.845	-142.845	-142.907	-142.907	-142.879	-142.799	-142.843	-142.876	-142.806	-142.884	-142.806	-142.817	-142.817	-142.780	-142.817	-142.700	-142.846	-142.778	-142.912	258.319	258.319	258.334	258.325	258.322	258.319	258.322	258.322	258.322	258.332	258.331	258.325	258.268	258.319	258.319	258.280	258.295	258.323	258.320	258.319	258.351	258.285	258.308	258.285	258.317	258.317	258.316	258.317	258.307	258.305	258.298	258.295	2016_7_15_9_55_40
F2LS3JJ8HFM5____	-29.896	-29.896	-29.859	-29.892	-29.896	-29.896	-29.859	-29.896	-29.859	-29.861	-29.861	-29.892	-29.972	-29.896	-29.896	-29.966	-29.927	-29.892	-29.856	-29.895	-29.823	-29.933	-29.931	-29.933	-29.894	-29.894	-29.891	-29.894	-29.861	-29.930	-29.931	-29.933	-142.739	-142.739	-142.739	-142.770	-142.741	-142.704	-142.701	-142.741	-142.701	-142.705	-142.678	-142.770	-142.631	-142.704	-142.704	-142.769	-142.770	-142.739	-142.668	-142.701	-142.738	-142.667	-142.745	-142.667	-142.677	-142.677	-142.643	-142.677	-142.562	-142.711	-142.642	-142.775	258.354	258.354	258.368	258.358	258.355	258.352	258.366	258.355	258.366	258.365	258.363	258.358	258.317	258.352	258.352	258.330	258.345	258.356	258.364	258.352	258.383	258.334	258.341	258.334	258.350	258.350	258.348	258.350	258.354	258.339	258.333	258.343	2016_7_15_11_20_22
F2LS3JTDHFM5____	-29.473	-29.473	-29.437	-29.471	-29.472	-29.473	-29.441	-29.472	-29.441	-29.438	-29.439	-29.471	-29.547	-29.473	-29.473	-29.544	-29.507	-29.472	-29.441	-29.474	-29.403	-29.508	-29.508	-29.508	-29.474	-29.474	-29.475	-29.474	-29.443	-29.509	-29.514	-29.511	-142.959	-142.959	-143.000	-142.995	-143.002	-142.933	-142.924	-143.002	-142.924	-142.929	-142.902	-142.995	-142.862	-142.933	-142.933	-143.025	-142.990	-142.962	-142.887	-142.933	-142.999	-142.892	-143.008	-142.892	-142.902	-142.902	-142.864	-142.902	-142.825	-142.936	-142.866	-142.995	258.351	258.351	258.368	258.355	258.355	258.349	258.361	258.355	258.361	258.362	258.360	258.355	258.315	258.349	258.349	258.329	258.340	258.351	258.357	258.348	258.381	258.332	258.341	258.332	258.346	258.346	258.342	258.346	258.352	258.335	258.328	258.339	2016_7_15_9_55_59
F2LS3KP7HFM5____	-29.260	-29.260	-29.257	-29.255	-29.256	-29.255	-29.298	-29.256	-29.298	-29.223	-29.261	-29.255	-29.371	-29.255	-29.255	-29.370	-29.292	-29.255	-29.217	-29.258	-29.220	-29.297	-29.326	-29.297	-29.258	-29.258	-29.256	-29.258	-29.228	-29.293	-29.334	-29.296	-142.874	-142.874	-142.875	-142.904	-142.873	-142.871	-142.833	-142.873	-142.833	-142.837	-142.808	-142.904	-142.770	-142.871	-142.871	-142.905	-142.904	-142.869	-142.795	-142.834	-142.874	-142.804	-142.883	-142.804	-142.807	-142.807	-142.778	-142.807	-142.696	-142.845	-142.777	-142.910	258.426	258.426	258.427	258.431	258.428	258.428	258.408	258.428	258.408	258.437	258.421	258.431	258.375	258.428	258.428	258.386	258.416	258.428	258.436	258.424	258.442	258.406	258.401	258.406	258.422	258.422	258.420	258.422	258.424	258.411	258.390	258.415	2016_7_15_9_56_05
