SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-57.862	-57.821	-57.823	-57.820	-57.851	-57.856	-57.821	-57.820	-57.861	-57.858	-57.851	-57.894	-57.788	-57.824	-57.891	-57.791	-57.753	-57.859	-57.820	-57.790	-57.896	-57.892	-57.890	-57.822	-57.752	-57.860	-57.790	-57.823	-57.823	-57.860	-57.892	-57.862	-57.926	-57.893	-57.998	-57.999	-57.927	-57.999	-57.962	-57.963	-58.071	-57.963	-57.927	-57.922	-58.000	-57.930	-58.071	-57.930	-57.999	-57.927	-58.035	-57.893	-58.032	-57.930	-58.036	-57.966	-57.891	-57.963	-57.965	-57.928	-57.965	-57.858	-57.998	-57.926	225.369	225.373	225.424	225.426	225.375	225.408	225.407	225.408	225.441	225.389	225.375	225.351	225.442	225.389	225.426	225.406	225.459	225.370	225.443	225.388	225.404	225.356	225.409	225.408	225.406	225.388	225.424	225.389	225.408	225.336	225.390	225.369	2016_7_15_10_14_25
F2LS3GSUHFM5____	-57.745	-57.672	-57.643	-57.640	-57.638	-57.709	-57.671	-57.673	-57.713	-57.678	-57.638	-57.744	-57.610	-57.645	-57.712	-57.610	-57.603	-57.711	-57.672	-57.611	-57.747	-57.746	-57.713	-57.671	-57.573	-57.744	-57.611	-57.708	-57.644	-57.745	-57.744	-57.745	-57.931	-57.828	-57.968	-57.933	-57.864	-57.933	-57.969	-57.899	-58.004	-57.933	-57.864	-57.932	-57.932	-57.861	-58.005	-57.860	-57.933	-57.863	-57.969	-57.826	-57.968	-57.862	-57.970	-57.901	-57.826	-57.896	-57.896	-57.862	-57.898	-57.825	-57.935	-57.931	225.429	225.414	225.498	225.483	225.449	225.448	225.484	225.449	225.481	225.464	225.449	225.430	225.497	225.444	225.482	225.461	225.501	225.412	225.484	225.444	225.446	225.395	225.465	225.451	225.463	225.412	225.479	225.413	225.463	225.377	225.431	225.429	2016_7_15_10_14_28
F2LS3GZKHFM5____	-57.166	-57.091	-57.064	-57.094	-57.092	-57.130	-57.131	-57.094	-57.136	-57.100	-57.092	-57.174	-57.030	-57.063	-57.101	-57.029	-57.021	-57.136	-57.093	-57.029	-57.173	-57.132	-57.133	-57.128	-57.022	-57.165	-57.030	-57.092	-57.063	-57.133	-57.163	-57.166	-47.900	-47.828	-47.935	-47.933	-47.862	-47.934	-47.930	-47.897	-48.006	-47.900	-47.862	-47.940	-47.934	-47.861	-48.006	-47.862	-47.931	-47.867	-47.968	-47.827	-47.971	-47.865	-47.971	-47.860	-47.825	-47.865	-47.899	-47.865	-47.899	-47.794	-47.936	-47.900	219.813	219.807	219.884	219.868	219.827	219.851	219.848	219.847	219.891	219.846	219.827	219.833	219.900	219.841	219.907	219.858	219.903	219.808	219.889	219.838	219.851	219.809	219.871	219.808	219.840	219.793	219.880	219.829	219.863	219.767	219.836	219.813	2016_7_15_10_14_36
F2LS3HTSHFM5____	-57.855	-57.810	-57.815	-57.812	-57.810	-57.848	-57.811	-57.811	-57.853	-57.851	-57.810	-57.886	-57.750	-57.815	-57.853	-57.782	-57.741	-57.849	-57.811	-57.780	-57.889	-57.888	-57.852	-57.811	-57.741	-57.886	-57.751	-57.846	-57.815	-57.885	-57.882	-57.855	-57.880	-57.807	-57.913	-57.912	-57.843	-57.912	-57.915	-57.877	-57.983	-57.879	-57.843	-57.879	-57.913	-57.843	-57.984	-57.842	-57.912	-57.846	-57.946	-57.808	-57.947	-57.846	-57.949	-57.844	-57.806	-57.844	-57.879	-57.842	-57.879	-57.773	-57.912	-57.880	225.349	225.336	225.385	225.386	225.353	225.369	225.389	225.369	225.401	225.351	225.353	225.334	225.418	225.351	225.402	225.367	225.422	225.335	225.404	225.351	225.366	225.316	225.385	225.353	225.369	225.316	225.400	225.335	225.369	225.282	225.352	225.349	2016_7_15_10_14_40
F2LS3J5VHFM5____	-57.838	-57.763	-57.768	-57.765	-57.764	-57.800	-57.762	-57.765	-57.834	-57.802	-57.764	-57.866	-57.734	-57.769	-57.804	-57.735	-57.726	-57.800	-57.764	-57.734	-57.869	-57.837	-57.804	-57.794	-57.695	-57.836	-57.735	-57.798	-57.767	-57.836	-57.834	-57.838	-57.775	-57.739	-57.847	-57.845	-57.775	-57.847	-57.844	-57.810	-57.919	-57.775	-57.775	-57.810	-57.847	-57.776	-57.918	-57.775	-57.844	-57.737	-57.880	-57.740	-57.879	-57.778	-57.884	-57.774	-57.736	-57.776	-57.775	-57.772	-57.774	-57.706	-57.848	-57.775	225.306	225.326	225.376	225.377	225.342	225.360	225.377	225.359	225.379	225.324	225.342	225.309	225.393	225.341	225.394	225.357	225.396	225.306	225.395	225.340	225.342	225.308	225.377	225.327	225.357	225.307	225.357	225.324	225.341	225.272	225.344	225.306	2016_7_15_10_14_44
F2LS3JECHFM5____	-58.227	-58.154	-58.157	-58.155	-58.153	-58.189	-58.154	-58.154	-58.192	-58.191	-58.153	-58.225	-58.094	-58.157	-58.164	-58.095	-58.082	-58.189	-58.154	-58.095	-58.228	-58.197	-58.162	-58.152	-58.084	-58.197	-58.094	-58.187	-58.156	-58.196	-58.224	-58.227	-57.942	-57.869	-57.977	-57.976	-57.868	-57.978	-57.941	-57.939	-58.047	-57.943	-57.868	-57.941	-57.977	-57.906	-58.049	-57.906	-57.938	-57.905	-58.011	-57.869	-58.010	-57.909	-57.980	-57.909	-57.834	-57.907	-57.905	-57.904	-57.943	-57.838	-57.979	-57.942	225.196	225.196	225.249	225.249	225.197	225.233	225.232	225.231	225.265	225.215	225.197	225.197	225.279	225.213	225.280	225.244	225.266	225.197	225.267	225.226	225.230	225.195	225.247	225.217	225.213	225.194	225.243	225.197	225.232	225.160	225.216	225.196	2016_7_15_10_14_49
F2LS3JHAHFM5____	-58.045	-57.970	-58.004	-58.002	-57.972	-58.038	-58.001	-58.002	-58.007	-58.039	-57.972	-58.040	-57.971	-58.006	-58.042	-57.943	-57.932	-58.004	-57.971	-57.972	-58.074	-58.074	-58.041	-58.001	-57.901	-58.075	-57.972	-58.036	-58.004	-58.075	-58.043	-58.045	-57.808	-57.703	-57.845	-57.843	-57.771	-57.845	-57.844	-57.806	-57.915	-57.809	-57.771	-57.808	-57.844	-57.738	-57.917	-57.737	-57.843	-57.772	-57.878	-57.735	-57.878	-57.773	-57.882	-57.773	-57.700	-57.774	-57.808	-57.773	-57.809	-57.702	-57.845	-57.808	224.546	224.530	224.584	224.584	224.564	224.568	224.586	224.566	224.617	224.549	224.564	224.548	224.600	224.530	224.602	224.561	224.619	224.548	224.617	224.546	224.566	224.514	224.584	224.550	224.563	224.514	224.582	224.533	224.567	224.479	224.565	224.546	2016_7_15_10_14_52
F2LS3JJ8HFM5____	-57.946	-57.846	-57.874	-57.874	-57.844	-57.910	-57.875	-57.874	-57.912	-57.910	-57.844	-57.946	-57.839	-57.874	-57.910	-57.839	-57.804	-57.879	-57.874	-57.839	-57.947	-57.947	-57.910	-57.874	-57.806	-57.945	-57.840	-57.910	-57.875	-57.946	-57.914	-57.946	-57.960	-57.893	-57.994	-57.994	-57.890	-57.997	-57.996	-57.958	-58.062	-57.960	-57.890	-57.958	-57.995	-57.927	-58.064	-57.926	-57.995	-57.886	-58.029	-57.891	-58.026	-57.926	-58.031	-57.925	-57.891	-57.924	-57.962	-57.928	-57.994	-57.853	-57.995	-57.960	225.344	225.360	225.396	225.396	225.360	225.380	225.397	225.379	225.411	225.361	225.360	225.343	225.414	225.363	225.413	225.380	225.431	225.340	225.414	225.363	225.376	225.327	225.397	225.362	225.379	225.327	225.398	225.346	225.396	225.291	225.377	225.344	2016_7_15_10_14_57
F2LS3JTDHFM5____	-57.944	-57.837	-57.873	-57.872	-57.872	-57.908	-57.869	-57.872	-57.912	-57.908	-57.872	-57.945	-57.806	-57.875	-57.908	-57.841	-57.801	-57.909	-57.838	-57.841	-57.947	-57.911	-57.908	-57.869	-57.769	-57.944	-57.809	-57.874	-57.873	-57.942	-57.943	-57.944	-57.892	-57.822	-57.926	-57.962	-57.894	-57.884	-57.927	-57.928	-57.998	-57.891	-57.894	-57.890	-57.887	-57.856	-57.998	-57.857	-57.928	-57.855	-57.960	-57.820	-57.956	-57.856	-57.963	-57.896	-57.818	-57.858	-57.893	-57.855	-57.893	-57.821	-57.886	-57.892	225.311	225.329	225.363	225.382	225.348	225.325	225.366	225.365	225.380	225.329	225.348	225.310	225.377	225.328	225.381	225.345	225.400	225.310	225.398	225.326	225.342	225.310	225.364	225.350	225.361	225.294	225.379	225.328	225.347	225.277	225.309	225.311	2016_7_15_10_15_01
F2LS3KP7HFM5____	-57.765	-57.723	-57.695	-57.692	-57.724	-57.728	-57.723	-57.724	-57.730	-57.729	-57.724	-57.763	-57.662	-57.694	-57.732	-57.661	-57.653	-57.726	-57.691	-57.661	-57.764	-57.764	-57.731	-57.723	-57.655	-57.763	-57.663	-57.727	-57.694	-57.763	-57.763	-57.765	-57.875	-57.804	-57.909	-57.910	-57.841	-57.910	-57.910	-57.874	-57.983	-57.875	-57.841	-57.878	-57.912	-57.840	-57.983	-57.840	-57.911	-57.841	-57.945	-57.806	-57.945	-57.841	-57.949	-57.840	-57.804	-57.840	-57.875	-57.839	-57.877	-57.769	-57.911	-57.875	224.717	224.703	224.769	224.771	224.721	224.753	224.756	224.738	224.788	224.735	224.721	224.720	224.787	224.735	224.787	224.752	224.791	224.720	224.789	224.735	224.753	224.701	224.771	224.721	224.737	224.701	224.768	224.718	224.754	224.666	224.736	224.717	2016_7_15_10_15_06
