SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-54.764	-54.866	-54.900	-54.830	-54.728	-54.760	-54.763	-54.870	-54.693	-55.042	-54.694	-54.760	-54.591	-54.519	-54.169	-54.167	-53.471	-53.855	-53.924	-54.167	-53.781	-54.622	-53.676	-53.737	-53.820	-53.750	-53.643	-53.680	-53.610	-53.818	-53.889	-53.959	-131.433	-131.403	-131.363	-131.508	-131.538	-131.647	-131.715	-131.822	-131.394	-131.569	-131.818	-131.855	-131.993	-131.918	-132.062	-132.034	-132.345	-132.169	-131.786	-132.379	-132.377	-131.538	-132.489	-132.450	-132.414	-132.553	-132.592	-132.694	-132.695	-132.452	-132.275	-132.417	247.121	247.079	247.060	247.108	247.150	247.156	247.165	247.142	247.141	247.039	247.206	247.188	247.271	247.287	247.438	247.435	247.741	247.571	247.488	247.487	247.630	247.190	247.686	247.658	247.621	247.669	247.714	247.715	247.742	247.628	247.575	247.570	2016_7_15_10_21_59
F2LS3GSUHFM5____	-54.804	-54.944	-54.978	-54.908	-54.805	-54.874	-54.806	-54.942	-54.770	-55.116	-54.743	-54.881	-54.684	-54.614	-54.215	-54.283	-53.510	-53.949	-54.019	-54.249	-53.899	-54.666	-53.809	-53.850	-53.900	-53.844	-53.761	-53.761	-53.704	-53.914	-53.984	-54.054	-131.515	-131.479	-131.440	-131.585	-131.618	-131.723	-131.795	-131.929	-131.477	-131.680	-131.900	-131.933	-132.062	-132.062	-132.146	-132.142	-132.473	-132.237	-131.887	-132.459	-132.493	-131.619	-132.622	-132.562	-132.491	-132.692	-132.665	-132.775	-132.762	-132.552	-132.412	-132.552	247.098	247.040	247.022	247.070	247.113	247.104	247.140	247.110	247.104	247.008	247.179	247.134	247.226	247.252	247.413	247.387	247.724	247.526	247.446	247.448	247.583	247.165	247.636	247.611	247.582	247.633	247.660	247.677	247.696	247.586	247.539	247.534	2016_7_15_10_22_03
F2LS3GZKHFM5____	15.470	-45.407	-45.440	-45.369	-45.300	-45.334	-45.298	-45.406	-45.196	-45.577	-45.206	-45.344	-45.125	-45.064	-44.730	-44.742	-44.010	-44.415	-44.429	-44.707	-44.358	-45.129	-44.275	-44.278	-44.362	-44.289	-44.224	-44.222	-44.170	-44.323	-44.430	-44.499	15.505	-121.825	-121.781	-121.966	-121.985	-122.102	-122.173	-122.278	-121.814	-122.024	-122.239	-122.276	-122.448	-122.376	-122.535	-122.479	-122.801	-122.640	-122.205	-122.838	-122.872	-121.962	-122.955	-122.906	-122.864	-123.011	-123.042	-123.153	-123.165	-122.878	-122.732	-122.873	45.194	249.688	249.668	249.726	249.757	249.761	249.786	249.758	249.773	249.649	249.834	249.783	249.900	249.914	250.076	250.062	250.413	250.221	250.150	250.131	250.279	249.824	250.326	250.318	250.277	250.329	250.360	250.377	250.401	250.295	250.229	250.222	2016_7_15_11_05_19
F2LS3HTSHFM5____	-54.850	-54.990	-55.086	-54.955	-54.852	-54.887	-54.911	-55.016	-54.781	-55.191	-54.841	-54.929	-54.736	-54.666	-54.263	-54.351	-53.616	-53.943	-54.011	-54.316	-53.949	-54.713	-53.861	-53.861	-53.966	-53.896	-53.826	-53.826	-53.756	-53.966	-54.036	-54.106	-131.567	-131.532	-131.495	-131.638	-131.669	-131.778	-131.845	-131.950	-131.529	-131.705	-131.950	-131.986	-132.125	-132.055	-132.195	-132.160	-132.545	-132.308	-131.882	-132.510	-132.553	-131.672	-132.685	-132.650	-132.615	-132.755	-132.790	-132.895	-132.895	-132.615	-132.475	-132.615	247.718	247.661	247.619	247.690	247.733	247.737	247.738	247.715	247.738	247.613	247.780	247.753	247.846	247.861	248.032	247.994	248.325	248.168	248.078	248.060	248.203	247.785	248.255	248.250	248.206	248.253	248.284	248.300	248.326	248.206	248.159	248.154	2016_7_15_10_22_11
F2LS3J5VHFM5____	-54.914	-55.054	-55.090	-55.018	-54.916	-54.950	-54.916	-55.050	-54.845	-55.223	-54.852	-54.956	-54.741	-54.678	-54.378	-54.390	-53.678	-54.009	-54.076	-54.320	-54.028	-54.774	-53.923	-53.928	-54.013	-53.888	-53.888	-53.875	-53.765	-54.028	-54.098	-54.148	-131.383	-131.347	-131.310	-131.452	-131.485	-131.590	-131.658	-131.793	-131.346	-131.548	-131.767	-131.799	-131.943	-131.871	-131.998	-132.005	-132.348	-132.113	-131.690	-132.316	-132.348	-131.481	-132.488	-132.382	-132.341	-132.488	-132.523	-132.626	-132.631	-132.348	-132.278	-132.346	247.091	247.034	247.015	247.063	247.107	247.110	247.133	247.105	247.111	247.002	247.174	247.140	247.242	247.255	247.385	247.381	247.698	247.540	247.450	247.455	247.568	247.159	247.628	247.611	247.573	247.641	247.646	247.667	247.709	247.568	247.531	247.523	2016_7_15_10_22_14
F2LS3JECHFM5____	-54.835	-54.975	-55.043	-54.939	-54.836	-54.869	-54.837	-54.973	-54.768	-55.113	-54.781	-54.883	-54.693	-54.602	-54.248	-54.313	-53.505	-53.928	-54.010	-54.240	-53.890	-54.698	-53.800	-53.807	-53.894	-53.821	-53.755	-53.755	-53.695	-53.905	-53.975	-54.033	-131.475	-131.444	-131.400	-131.551	-131.576	-131.690	-131.762	-131.860	-131.399	-131.610	-131.824	-131.863	-132.031	-131.925	-132.068	-132.068	-132.402	-132.210	-131.805	-132.425	-132.464	-131.579	-132.610	-132.498	-132.459	-132.603	-132.637	-132.744	-132.750	-132.470	-132.330	-132.464	247.654	247.598	247.565	247.628	247.670	247.675	247.698	247.663	247.668	247.572	247.728	247.696	247.793	247.810	247.963	247.939	248.290	248.104	248.012	248.021	248.156	247.721	248.212	248.192	248.154	248.203	248.233	248.249	248.272	248.152	248.105	248.103	2016_7_15_10_22_18
F2LS3JHAHFM5____	-54.880	-55.061	-55.094	-55.025	-54.883	-54.918	-54.920	-55.027	-54.849	-55.201	-54.857	-54.926	-54.750	-54.683	-54.333	-54.363	-53.633	-54.015	-54.044	-54.329	-53.981	-54.744	-53.878	-53.900	-53.984	-53.913	-53.845	-53.847	-53.776	-53.983	-54.051	-54.121	-131.437	-131.402	-131.363	-131.508	-131.540	-131.648	-131.717	-131.821	-131.399	-131.572	-131.823	-131.858	-131.999	-131.928	-132.065	-132.067	-132.356	-132.175	-131.754	-132.383	-132.416	-131.543	-132.489	-132.458	-132.414	-132.558	-132.590	-132.699	-132.701	-132.422	-132.280	-132.421	247.094	247.022	247.003	247.051	247.109	247.113	247.122	247.099	247.100	246.996	247.163	247.142	247.229	247.243	247.394	247.383	247.698	247.529	247.454	247.444	247.578	247.161	247.627	247.614	247.576	247.624	247.654	247.670	247.697	247.578	247.531	247.527	2016_7_15_10_22_21
F2LS3JJ8HFM5____	-55.050	-55.199	-55.224	-55.164	-55.016	-55.087	-55.051	-55.157	-54.981	-55.327	-54.991	-55.093	-54.884	-54.816	-54.464	-54.499	-53.763	-54.151	-54.215	-54.464	-54.114	-54.944	-54.009	-54.036	-54.114	-54.043	-53.974	-54.044	-53.974	-54.114	-54.184	-54.254	-131.385	-131.401	-131.311	-131.506	-131.489	-131.596	-131.699	-131.770	-131.348	-131.554	-131.770	-131.840	-131.948	-131.874	-132.008	-132.031	-132.334	-132.116	-131.728	-132.381	-132.362	-131.521	-132.486	-132.403	-132.359	-132.540	-132.591	-132.696	-132.696	-132.416	-132.276	-132.366	247.021	246.968	246.944	246.997	247.049	247.040	247.069	247.040	247.040	246.944	247.102	247.075	247.169	247.183	247.334	247.324	247.644	247.466	247.383	247.391	247.518	247.081	247.575	247.553	247.517	247.571	247.604	247.594	247.620	247.526	247.479	247.466	2016_7_15_10_22_24
F2LS3JTDHFM5____	-55.133	-55.275	-55.371	-55.240	-55.136	-55.169	-55.196	-55.242	-55.126	-55.414	-55.072	-55.231	-55.021	-54.951	-54.601	-54.636	-53.849	-54.286	-54.294	-54.548	-54.251	-54.996	-54.146	-54.151	-54.251	-54.181	-54.111	-54.111	-54.041	-54.251	-54.321	-54.391	-131.501	-131.467	-131.422	-131.571	-131.604	-131.713	-131.842	-131.890	-131.527	-131.634	-131.886	-131.912	-132.052	-131.982	-132.192	-132.157	-132.468	-132.297	-131.857	-132.456	-132.542	-131.607	-132.612	-132.559	-132.542	-132.752	-132.717	-132.822	-132.822	-132.472	-132.402	-132.542	247.590	247.532	247.489	247.561	247.604	247.609	247.619	247.609	247.596	247.506	247.672	247.617	247.716	247.731	247.893	247.875	248.214	248.026	247.956	247.953	248.076	247.657	248.125	248.116	248.076	248.134	248.154	248.170	248.196	248.065	248.029	248.024	2016_7_15_10_22_26
F2LS3KP7HFM5____	-54.829	-54.970	-55.005	-54.933	-54.830	-54.862	-54.829	-54.933	-54.764	-55.110	-54.769	-54.870	-54.659	-54.592	-54.235	-54.276	-53.541	-53.926	-53.992	-54.232	-53.890	-54.693	-53.783	-53.844	-53.891	-53.818	-53.749	-53.748	-53.748	-53.888	-53.958	-54.029	-131.487	-131.457	-131.417	-131.561	-131.593	-131.697	-131.765	-131.870	-131.420	-131.593	-131.839	-131.906	-132.014	-131.942	-132.116	-132.051	-132.357	-132.186	-131.803	-132.427	-132.426	-131.557	-132.556	-132.492	-132.426	-132.626	-132.632	-132.766	-132.766	-132.486	-132.346	-132.426	247.119	247.062	247.043	247.092	247.135	247.139	247.162	247.140	247.133	247.031	247.195	247.169	247.263	247.277	247.436	247.411	247.730	247.562	247.479	247.484	247.611	247.180	247.671	247.638	247.611	247.668	247.694	247.715	247.715	247.621	247.574	247.559	2016_7_15_10_22_30
