SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-9.131	-8.831	-8.954	-9.208	-8.820	-9.132	-8.910	-8.748	-8.750	-8.956	-8.715	-9.086	-9.123	-9.148	-8.923	-8.906	-8.476	-9.132	-9.121	-8.758	-9.234	-9.362	-8.860	-8.502	-8.762	-9.005	-8.947	-8.728	-9.206	-9.431	-9.023	-8.557	117.474	118.414	118.084	117.553	117.766	117.297	117.974	117.414	117.668	117.449	117.390	117.353	117.220	117.584	117.215	117.722	117.615	118.064	117.654	117.094	117.553	117.378	117.517	117.331	117.385	117.692	117.905	117.462	117.597	117.685	117.645	118.163	94.447	94.268	94.339	94.481	94.286	94.454	94.322	94.264	94.255	94.363	94.248	94.430	94.453	94.451	94.356	94.329	94.125	94.426	94.436	94.280	94.494	94.563	94.314	94.147	94.271	94.378	94.342	94.252	94.479	94.584	94.388	94.145	2016_7_15_8_41_43
F2LS3GSUHFM5____	-9.345	-9.265	-9.250	-9.428	-9.361	-9.353	-9.326	-9.481	-9.152	-9.288	-9.356	-9.473	-9.452	-9.302	-9.126	-9.056	-8.991	-9.540	-9.417	-9.097	-9.689	-9.543	-9.152	-8.962	-8.656	-9.285	-9.513	-9.498	-9.493	-9.783	-9.174	-9.400	117.879	117.828	117.775	118.156	117.978	117.585	118.192	117.494	118.149	118.114	117.634	118.067	118.154	118.063	117.744	117.679	118.592	118.077	117.640	117.901	117.890	117.788	117.490	117.485	117.864	117.982	117.524	117.964	118.057	117.842	117.929	117.719	94.372	94.335	94.330	94.401	94.376	94.387	94.350	94.453	94.268	94.335	94.386	94.426	94.413	94.344	94.271	94.239	94.175	94.458	94.415	94.251	94.537	94.471	94.293	94.201	94.039	94.339	94.467	94.442	94.436	94.585	94.287	94.405	2016_7_15_8_42_31
F2LS3GZKHFM5____	-8.933	-8.738	-8.762	-8.862	-8.802	-8.930	-8.856	-8.484	-8.538	-8.949	-8.671	-8.760	-8.659	-8.939	-8.521	-8.562	-8.482	-9.099	-8.935	-8.582	-9.055	-9.064	-8.674	-8.562	-8.781	-8.674	-9.023	-8.791	-9.022	-9.328	-9.015	-8.904	117.824	117.376	117.974	118.702	118.657	117.907	117.996	117.891	118.434	117.858	118.362	117.898	118.096	118.590	117.755	117.476	117.841	117.249	117.826	117.043	117.774	117.854	117.678	117.414	117.204	118.389	117.913	117.995	118.119	117.910	117.726	118.240	94.300	94.222	94.212	94.234	94.207	94.296	94.257	94.080	94.088	94.307	94.154	94.214	94.158	94.275	94.103	94.133	94.081	94.402	94.301	94.158	94.361	94.362	94.180	94.135	94.249	94.155	94.340	94.225	94.332	94.488	94.344	94.271	2016_7_15_8_42_36
F2LS3HTSHFM5____	-8.792	-8.778	-9.189	-8.947	-9.005	-9.061	-9.109	-8.997	-8.949	-9.001	-8.780	-8.880	-8.968	-9.008	-8.683	-8.769	-8.597	-9.195	-9.236	-8.809	-8.766	-8.911	-8.984	-8.679	-8.633	-8.520	-8.804	-8.854	-9.150	-9.266	-8.958	-9.032	117.808	117.821	117.934	117.751	117.975	117.621	117.648	117.869	117.547	117.762	117.461	117.878	118.281	117.908	118.199	117.530	118.088	117.796	117.655	117.879	117.829	118.036	117.390	117.654	117.905	118.377	117.990	117.656	117.668	117.767	117.525	117.956	94.259	94.252	94.446	94.336	94.356	94.396	94.419	94.356	94.345	94.362	94.266	94.299	94.327	94.360	94.193	94.258	94.155	94.455	94.480	94.265	94.246	94.309	94.367	94.210	94.179	94.108	94.259	94.295	94.437	94.490	94.350	94.370	2016_7_15_8_42_41
F2LS3J5VHFM5____	-8.792	-8.778	-9.189	-8.947	-9.005	-9.061	-9.109	-8.997	-8.949	-9.001	-8.780	-8.880	-8.968	-9.008	-8.683	-8.769	-8.597	-9.195	-9.236	-8.809	-8.766	-8.911	-8.984	-8.679	-8.633	-8.520	-8.804	-8.854	-9.150	-9.266	-8.958	-9.032	117.808	117.821	117.934	117.751	117.975	117.621	117.648	117.869	117.547	117.762	117.461	117.878	118.281	117.908	118.199	117.530	118.088	117.796	117.655	117.879	117.829	118.036	117.390	117.654	117.905	118.377	117.990	117.656	117.668	117.767	117.525	117.956	94.259	94.252	94.446	94.336	94.356	94.396	94.419	94.356	94.345	94.362	94.266	94.299	94.327	94.360	94.193	94.258	94.155	94.455	94.480	94.265	94.246	94.309	94.367	94.210	94.179	94.108	94.259	94.295	94.437	94.490	94.350	94.370	2016_7_15_8_42_46
F2LS3JECHFM5____	-9.114	-8.848	-8.995	-9.173	-9.282	-9.117	-9.125	-8.944	-9.072	-8.872	-8.880	-8.951	-8.853	-9.018	-8.703	-8.643	-8.811	-9.079	-9.122	-8.817	-9.227	-9.131	-9.078	-8.838	-8.728	-8.875	-9.089	-8.916	-9.298	-9.357	-9.296	-9.169	118.399	118.286	118.844	117.622	117.827	118.909	118.172	118.273	118.403	118.307	118.341	118.553	118.423	118.442	118.200	118.412	118.272	118.543	118.334	118.298	118.909	118.242	117.596	117.476	117.786	118.311	118.113	118.449	117.922	118.027	117.723	118.423	94.614	94.491	94.541	94.672	94.717	94.597	94.628	94.537	94.594	94.501	94.504	94.530	94.488	94.567	94.424	94.387	94.473	94.592	94.621	94.475	94.650	94.628	94.627	94.515	94.450	94.503	94.613	94.517	94.721	94.746	94.728	94.640	2016_7_15_8_42_59
F2LS3JHAHFM5____	-8.991	-8.403	-8.884	-9.005	-8.876	-9.001	-8.923	-8.469	-8.438	-8.816	-8.878	-8.877	-8.505	-9.131	-8.691	-8.640	-8.610	-8.607	-8.839	-8.480	-9.113	-9.118	-8.853	-8.433	-8.569	-8.415	-9.077	-8.773	-9.135	-9.199	-9.012	-8.909	117.597	117.889	118.087	118.148	117.900	117.248	117.711	117.824	117.609	117.642	117.616	117.869	118.172	117.641	118.068	117.660	117.745	118.239	118.551	117.631	117.384	117.758	117.148	117.457	117.792	117.712	117.771	118.120	117.596	117.818	117.258	117.693	94.253	93.958	94.183	94.239	94.186	94.271	94.216	93.992	93.985	94.167	94.197	94.188	93.997	94.319	94.091	94.081	94.063	94.044	94.145	94.004	94.320	94.308	94.202	93.987	94.042	93.970	94.288	94.128	94.323	94.345	94.276	94.210	2016_7_15_8_43_06
F2LS3JJ8HFM5____	-9.327	-8.989	-9.039	-9.423	-9.093	-9.204	-9.392	-8.958	-9.119	-9.159	-9.222	-9.035	-9.390	-9.360	-8.788	-9.043	-8.817	-9.092	-9.323	-8.964	-9.454	-9.262	-9.198	-8.958	-9.056	-9.219	-9.478	-9.056	-9.492	-9.666	-9.159	-9.126	118.361	118.320	118.460	118.370	118.477	118.261	118.211	117.924	117.528	118.087	118.309	118.187	118.186	118.411	118.044	118.369	118.256	118.522	118.433	118.060	118.188	118.607	117.895	117.702	117.562	118.343	118.400	118.483	118.094	118.197	118.473	118.072	94.320	94.159	94.178	94.366	94.203	94.265	94.357	94.159	94.251	94.250	94.272	94.186	94.357	94.335	94.072	94.183	94.079	94.201	94.316	94.157	94.388	94.280	94.276	94.167	94.219	94.269	94.392	94.185	94.410	94.490	94.235	94.234	2016_7_15_8_43_13
F2LS3JTDHFM5____	-8.855	-8.920	-9.004	-9.007	-8.942	-8.789	-8.987	-8.575	-8.822	-8.806	-8.680	-9.132	-9.087	-9.159	-8.508	-8.625	-8.823	-9.082	-9.114	-8.617	-9.041	-9.362	-8.864	-8.560	-8.786	-8.746	-8.889	-8.589	-9.070	-8.960	-9.004	-8.971	118.158	118.093	118.630	118.425	118.313	118.189	118.317	119.069	117.903	118.187	118.224	118.006	118.825	117.940	118.080	118.552	117.706	118.087	118.011	118.042	118.168	117.916	117.874	117.872	117.092	118.126	118.130	118.080	118.660	118.999	118.376	118.243	94.292	94.326	94.347	94.356	94.329	94.260	94.350	94.126	94.286	94.268	94.206	94.432	94.380	94.447	94.128	94.168	94.293	94.404	94.423	94.182	94.382	94.546	94.307	94.160	94.298	94.241	94.310	94.167	94.378	94.313	94.357	94.345	2016_7_15_8_43_19
F2LS3KP7HFM5____	-9.046	-8.847	-8.881	-9.059	-8.830	-9.056	-8.904	-9.066	-8.530	-8.943	-8.485	-9.071	-8.891	-8.959	-8.574	-8.641	-8.576	-8.796	-9.059	-8.549	-9.015	-9.180	-8.925	-8.622	-8.762	-8.820	-8.863	-9.079	-9.204	-9.375	-9.004	-8.964	117.980	117.666	118.209	118.463	117.514	117.666	118.094	117.847	118.000	117.816	117.605	117.976	118.223	117.759	117.520	117.861	117.523	118.079	117.589	117.743	118.910	118.013	117.505	117.435	117.507	117.568	118.040	118.556	117.960	117.915	118.569	118.214	94.482	94.397	94.394	94.470	94.394	94.498	94.409	94.496	94.231	94.438	94.224	94.494	94.398	94.448	94.270	94.290	94.271	94.357	94.503	94.250	94.433	94.545	94.440	94.296	94.362	94.387	94.391	94.476	94.558	94.643	94.439	94.433	2016_7_15_8_43_27
