SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-25.458	-25.745	-25.900	-25.451	-25.538	-25.530	-25.438	-25.242	-25.532	-25.447	-25.963	-25.527	-25.856	-25.506	-25.485	-25.197	-25.721	-25.501	-25.787	-25.343	-26.087	-25.516	-25.457	-25.201	-25.519	-25.320	-25.465	-25.320	-25.544	-25.948	-25.470	-25.345	125.670	125.664	125.481	125.410	125.596	125.387	125.453	125.390	125.251	125.270	125.672	125.527	125.469	125.383	125.201	125.382	125.528	125.387	125.540	125.529	125.534	125.397	125.600	125.338	125.124	125.449	125.265	125.449	125.252	125.670	125.194	125.376	101.454	101.581	101.665	101.475	101.496	101.511	101.465	101.385	101.524	101.485	101.675	101.497	101.647	101.501	101.508	101.366	101.582	101.499	101.610	101.417	101.742	101.504	101.460	101.371	101.530	101.414	101.494	101.414	101.530	101.669	101.502	101.431	2016_7_15_8_46_31
F2LS3GSUHFM5____	-25.858	-25.836	-25.891	-25.680	-25.929	-25.410	-25.710	-25.810	-25.989	-25.965	-26.781	-26.210	-25.980	-25.977	-25.937	-25.568	-26.010	-25.837	-25.677	-25.680	-26.207	-26.615	-26.187	-25.770	-25.972	-25.703	-25.992	-25.703	-25.991	-26.069	-25.977	-26.009	125.771	125.861	125.697	125.628	125.686	125.643	125.649	125.502	125.411	125.425	125.881	125.567	125.551	125.539	125.484	125.582	125.556	125.588	125.556	125.668	125.613	125.498	125.735	125.503	125.402	125.656	125.422	125.656	125.414	125.760	125.415	125.489	101.457	101.439	101.478	101.392	101.496	101.272	101.403	101.460	101.547	101.535	101.850	101.629	101.530	101.530	101.518	101.347	101.543	101.464	101.397	101.388	101.624	101.813	101.604	101.442	101.540	101.399	101.547	101.399	101.547	101.550	101.541	101.548	2016_7_15_8_46_36
F2LS3GZKHFM5____	-25.578	-25.789	-25.545	-25.408	-25.655	-25.202	-25.437	-25.232	-25.630	-25.559	-25.854	-25.513	-25.918	-25.494	-25.377	-25.414	-25.356	-25.269	-25.512	-25.381	-26.232	-25.457	-25.282	-25.181	-25.641	-25.491	-25.637	-25.491	-25.583	-25.492	-25.469	-25.592	125.964	126.058	125.831	125.763	125.927	125.712	125.845	125.685	125.628	125.681	125.927	125.784	125.749	125.706	125.609	125.777	125.852	125.708	125.921	125.871	125.868	125.717	125.878	125.757	125.535	125.781	125.678	125.781	125.610	125.995	125.548	125.743	101.443	101.527	101.440	101.386	101.480	101.300	101.392	101.316	101.495	101.460	101.566	101.430	101.610	101.429	101.386	101.388	101.356	101.330	101.418	101.365	101.737	101.412	101.321	101.287	101.508	101.421	101.494	101.421	101.477	101.402	101.432	101.469	2016_7_15_8_46_40
F2LS3HTSHFM5____	-25.584	-25.805	-25.728	-25.510	-25.721	-25.539	-25.573	-25.129	-25.743	-25.680	-25.843	-25.595	-25.986	-25.726	-25.634	-25.318	-25.667	-25.629	-26.026	-25.778	-25.833	-25.536	-25.298	-25.375	-25.330	-25.509	-25.706	-25.509	-25.544	-25.793	-25.655	-25.608	125.685	125.672	125.548	125.537	125.610	125.393	125.461	125.464	125.211	125.396	125.675	125.530	125.532	125.340	125.326	125.392	125.533	125.398	125.601	125.547	125.530	125.459	125.603	125.473	125.272	125.463	125.281	125.463	125.264	125.675	125.210	125.452	101.497	101.594	101.572	101.478	101.563	101.503	101.512	101.317	101.609	101.564	101.611	101.515	101.686	101.590	101.551	101.406	101.547	101.542	101.698	101.594	101.620	101.496	101.379	101.424	101.422	101.484	101.586	101.484	101.517	101.589	101.571	101.528	2016_7_15_8_46_46
F2LS3J5VHFM5____	-25.584	-25.805	-25.728	-25.510	-25.721	-25.539	-25.573	-25.129	-25.743	-25.680	-25.843	-25.595	-25.986	-25.726	-25.634	-25.318	-25.667	-25.629	-26.026	-25.778	-25.833	-25.536	-25.298	-25.375	-25.330	-25.509	-25.706	-25.509	-25.544	-25.793	-25.655	-25.608	125.685	125.672	125.548	125.537	125.610	125.393	125.461	125.464	125.211	125.396	125.675	125.530	125.532	125.340	125.326	125.392	125.533	125.398	125.601	125.547	125.530	125.459	125.603	125.473	125.272	125.463	125.281	125.463	125.264	125.675	125.210	125.452	101.497	101.594	101.572	101.478	101.563	101.503	101.512	101.317	101.609	101.564	101.611	101.515	101.686	101.590	101.551	101.406	101.547	101.542	101.698	101.594	101.620	101.496	101.379	101.424	101.422	101.484	101.586	101.484	101.517	101.589	101.571	101.528	2016_7_15_8_46_50
F2LS3JECHFM5____	-25.965	-25.768	-25.814	-25.357	-25.987	-25.749	-25.779	-25.996	-25.975	-25.652	-26.387	-25.800	-25.659	-26.060	-25.875	-25.444	-25.881	-25.838	-26.155	-25.737	-25.830	-25.868	-25.576	-25.583	-25.550	-25.832	-25.726	-25.832	-25.559	-26.053	-25.853	-25.773	125.950	125.908	125.746	125.746	125.845	125.631	125.700	125.743	125.528	125.603	125.918	125.770	125.773	125.658	125.532	125.725	125.768	125.636	125.779	125.788	125.774	125.703	125.765	125.615	125.452	125.705	125.600	125.705	125.528	125.916	125.592	125.640	101.861	101.779	101.814	101.614	101.880	101.795	101.802	101.894	101.904	101.755	102.048	101.805	101.743	101.929	101.860	101.654	101.841	101.834	101.959	101.776	101.818	101.841	101.708	101.724	101.724	101.825	101.788	101.825	101.722	101.903	101.844	101.805	2016_7_15_8_46_55
F2LS3JHAHFM5____	-25.200	-25.552	-25.719	-25.204	-25.692	-25.407	-25.442	-25.464	-25.877	-25.435	-25.149	-25.521	-25.911	-25.507	-25.369	-25.362	-25.710	-25.385	-25.888	-25.221	-25.808	-25.676	-25.161	-25.247	-25.405	-25.321	-25.859	-25.321	-25.583	-25.817	-25.569	-25.389	125.573	125.605	125.545	125.469	125.548	125.393	125.463	125.466	125.258	125.273	125.601	125.475	125.479	125.341	125.321	125.393	125.479	125.393	125.547	125.473	125.479	125.406	125.538	125.407	125.182	125.459	125.329	125.459	125.154	125.677	125.204	125.344	101.228	101.380	101.458	101.239	101.446	101.335	101.344	101.353	101.553	101.358	101.204	101.378	101.548	101.383	101.325	101.315	101.460	101.325	101.532	101.246	101.503	101.452	101.214	101.263	101.353	101.291	101.539	101.291	101.434	101.489	101.423	101.331	2016_7_15_8_47_06
F2LS3JJ8HFM5____	-25.992	-26.401	-25.828	-25.873	-25.500	-25.701	-26.232	-26.023	-26.129	-26.114	-26.214	-26.021	-26.418	-26.145	-26.089	-25.978	-26.203	-25.676	-26.397	-25.943	-25.997	-25.582	-25.342	-25.908	-26.176	-26.043	-26.195	-26.043	-25.766	-26.222	-25.697	-25.957	126.131	126.184	125.990	125.984	126.100	125.902	125.974	125.856	125.769	125.847	126.110	126.040	126.040	125.849	125.836	125.903	126.037	125.900	126.167	126.044	125.965	125.677	126.038	125.859	125.697	125.914	125.844	125.914	125.771	126.182	125.711	125.903	101.459	101.632	101.400	101.420	101.247	101.352	101.577	101.497	101.551	101.538	101.557	101.480	101.653	101.551	101.528	101.473	101.559	101.342	101.632	101.445	101.476	101.320	101.183	101.446	101.578	101.500	101.573	101.500	101.393	101.554	101.368	101.464	2016_7_15_8_47_35
F2LS3JTDHFM5____	-25.653	-25.572	-25.975	-25.329	-25.555	-25.362	-25.513	-25.246	-25.901	-25.513	-26.046	-25.531	-26.049	-25.611	-25.511	-25.571	-25.788	-25.765	-25.940	-25.525	-25.706	-25.413	-25.014	-25.247	-25.701	-25.323	-25.529	-25.323	-25.607	-25.970	-25.655	-25.445	126.041	125.995	125.906	125.899	125.928	125.715	125.854	125.819	125.678	125.693	125.933	125.930	125.865	125.734	125.737	125.716	125.793	125.722	125.860	125.874	125.858	125.722	125.922	125.767	125.605	125.877	125.687	125.877	125.678	126.001	125.684	125.723	101.511	101.479	101.663	101.382	101.478	101.413	101.466	101.352	101.652	101.481	101.692	101.467	101.699	101.520	101.476	101.504	101.592	101.588	101.652	101.470	101.551	101.434	101.242	101.358	101.571	101.381	101.488	101.381	101.523	101.653	101.543	101.448	2016_7_15_8_47_43
F2LS3KP7HFM5____	-25.462	-25.493	-25.672	-25.620	-25.657	-25.604	-25.563	-25.794	-25.757	-25.815	-26.295	-25.889	-25.956	-25.638	-25.533	-25.429	-25.914	-25.399	-25.937	-25.515	-26.064	-25.703	-25.405	-25.421	-25.824	-25.634	-25.638	-25.634	-25.782	-25.695	-25.759	-25.561	125.731	125.655	125.478	125.469	125.527	125.379	125.386	125.399	125.245	125.319	125.601	125.463	125.458	125.377	125.305	125.376	125.458	125.377	125.585	125.406	125.457	125.328	125.589	125.460	125.234	125.424	125.316	125.424	125.248	125.598	125.251	125.373	101.545	101.566	101.660	101.638	101.649	101.639	101.620	101.720	101.718	101.737	101.921	101.756	101.786	101.654	101.614	101.562	101.768	101.549	101.766	101.598	101.833	101.687	101.533	101.551	101.748	101.648	101.659	101.648	101.729	101.659	101.718	101.621	2016_7_15_8_47_49
