SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-55.633	-55.738	-55.596	-55.703	-55.744	-55.745	-55.636	-55.675	-55.636	-55.679	-55.596	-55.703	-55.717	-55.706	-55.636	-55.564	-55.636	-55.636	-55.599	-55.565	-55.638	-55.597	-55.596	-55.597	-55.672	-55.531	-55.493	-55.596	-55.529	-55.638	-55.638	-55.638	141.305	141.343	141.164	141.276	141.233	141.266	141.298	141.285	141.339	141.301	141.336	141.374	141.312	141.307	141.339	141.338	141.339	141.339	141.339	141.267	141.363	141.372	141.336	141.438	141.337	141.379	141.201	141.336	141.314	141.326	141.344	141.326	111.492	111.524	111.499	111.521	111.542	111.538	111.495	111.510	111.489	111.509	111.475	111.508	111.521	111.518	111.489	111.464	111.489	111.489	111.476	111.474	111.486	111.471	111.475	111.461	111.502	111.446	111.458	111.475	111.455	111.492	111.489	111.492	2016_7_15_8_51_07
F2LS3GSUHFM5____	-55.972	-56.080	-55.934	-56.034	-56.071	-56.063	-55.942	-55.996	-55.963	-55.963	-55.959	-56.037	-55.964	-56.025	-55.963	-55.894	-55.963	-55.963	-55.928	-55.895	-55.956	-55.929	-55.959	-55.934	-56.006	-55.858	-55.818	-55.959	-55.813	-55.952	-55.926	-55.952	141.129	141.201	141.024	141.103	141.063	141.098	141.139	141.063	141.173	141.139	141.135	141.205	141.132	141.137	141.173	141.169	141.173	141.173	141.128	141.095	141.159	141.207	141.135	141.274	141.204	141.199	141.022	141.135	141.116	141.171	141.164	141.171	111.472	111.500	111.474	111.498	111.516	111.509	111.460	111.490	111.463	111.468	111.467	111.485	111.469	111.490	111.463	111.439	111.463	111.463	111.457	111.450	111.463	111.446	111.467	111.439	111.474	111.423	111.433	111.467	111.418	111.459	111.451	111.459	2016_7_15_8_51_15
F2LS3GZKHFM5____	-55.635	-55.741	-55.692	-55.747	-55.784	-55.754	-55.645	-55.716	-55.682	-55.685	-55.644	-55.749	-55.638	-55.710	-55.682	-55.567	-55.682	-55.682	-55.694	-55.568	-55.640	-55.644	-55.644	-55.604	-55.676	-55.533	-55.496	-55.644	-55.535	-55.678	-55.642	-55.678	141.336	141.373	141.210	141.354	141.270	141.342	141.371	141.269	141.420	141.337	141.373	141.410	141.422	141.343	141.420	141.373	141.420	141.420	141.390	141.300	141.399	141.404	141.373	141.474	141.413	141.416	141.323	141.373	141.384	141.362	141.383	141.362	111.451	111.483	111.488	111.488	111.512	111.492	111.449	111.488	111.456	111.468	111.449	111.480	111.440	111.476	111.456	111.422	111.456	111.456	111.464	111.432	111.444	111.445	111.449	111.421	111.455	111.404	111.404	111.449	111.409	111.462	111.447	111.462	2016_7_15_8_51_20
F2LS3HTSHFM5____	-55.742	-55.848	-55.710	-55.777	-55.823	-55.848	-55.746	-55.782	-55.751	-55.747	-55.710	-55.775	-55.745	-55.818	-55.751	-55.674	-55.751	-55.751	-55.711	-55.678	-55.742	-55.711	-55.710	-55.710	-55.782	-55.644	-55.603	-55.710	-55.635	-55.742	-55.707	-55.742	141.232	141.270	141.164	141.225	141.222	141.228	141.263	141.193	141.328	141.263	141.299	141.329	141.269	141.294	141.328	141.301	141.328	141.328	141.299	141.264	141.333	141.334	141.299	141.402	141.298	141.369	141.203	141.299	141.304	141.298	141.263	141.298	111.529	111.562	111.528	111.542	111.559	111.567	111.527	111.549	111.519	111.527	111.509	111.528	111.525	111.547	111.519	111.496	111.519	111.519	111.509	111.503	111.516	111.504	111.509	111.495	111.534	111.476	111.485	111.509	111.482	111.520	111.513	111.520	2016_7_15_8_51_24
F2LS3J5VHFM5____	-55.742	-55.848	-55.710	-55.777	-55.823	-55.848	-55.746	-55.782	-55.751	-55.747	-55.710	-55.775	-55.745	-55.818	-55.751	-55.674	-55.751	-55.751	-55.711	-55.678	-55.742	-55.711	-55.710	-55.710	-55.782	-55.644	-55.603	-55.710	-55.635	-55.742	-55.707	-55.742	141.232	141.270	141.164	141.225	141.222	141.228	141.263	141.193	141.328	141.263	141.299	141.329	141.269	141.294	141.328	141.301	141.328	141.328	141.299	141.264	141.333	141.334	141.299	141.402	141.298	141.369	141.203	141.299	141.304	141.298	141.263	141.298	111.529	111.562	111.528	111.542	111.559	111.567	111.527	111.549	111.519	111.527	111.509	111.528	111.525	111.547	111.519	111.496	111.519	111.519	111.509	111.503	111.516	111.504	111.509	111.495	111.534	111.476	111.485	111.509	111.482	111.520	111.513	111.520	2016_7_15_8_51_29
F2LS3JECHFM5____	-56.060	-56.208	-56.072	-56.179	-56.196	-56.184	-56.106	-56.148	-56.109	-56.109	-56.070	-56.176	-56.104	-56.176	-56.109	-56.033	-56.109	-56.109	-56.072	-56.031	-56.103	-56.072	-56.070	-56.072	-56.144	-56.000	-55.963	-56.070	-55.986	-56.059	-56.070	-56.059	141.170	141.175	141.072	141.135	141.068	141.167	141.175	141.096	141.208	141.174	141.208	141.208	141.177	141.142	141.208	141.214	141.208	141.208	141.209	141.145	141.243	141.242	141.208	141.310	141.208	141.248	141.109	141.208	141.144	141.204	141.202	141.204	111.871	111.922	111.889	111.918	111.933	111.915	111.887	111.912	111.883	111.888	111.869	111.906	111.886	111.916	111.883	111.856	111.883	111.883	111.870	111.865	111.876	111.865	111.869	111.856	111.895	111.839	111.846	111.869	111.849	111.866	111.870	111.866	2016_7_15_8_51_34
F2LS3JHAHFM5____	-55.698	-55.807	-55.665	-55.769	-55.814	-55.815	-55.708	-55.743	-55.705	-55.710	-55.668	-55.769	-55.702	-55.776	-55.705	-55.632	-55.705	-55.705	-55.665	-55.628	-55.709	-55.666	-55.668	-55.665	-55.740	-55.592	-55.567	-55.668	-55.603	-55.711	-55.667	-55.711	141.347	141.419	141.244	141.310	141.309	141.390	141.370	141.272	141.413	141.373	141.407	141.413	141.417	141.380	141.413	141.414	141.413	141.413	141.382	141.314	141.438	141.416	141.407	141.454	141.413	141.384	141.319	141.407	141.383	141.404	141.416	141.404	111.388	111.416	111.391	111.418	111.434	111.423	111.388	111.414	111.381	111.388	111.369	111.404	111.380	111.411	111.381	111.356	111.381	111.381	111.372	111.368	111.379	111.367	111.369	111.361	111.394	111.346	111.346	111.369	111.350	111.385	111.367	111.385	2016_7_15_8_51_38
F2LS3JJ8HFM5____	-56.347	-56.323	-56.269	-56.369	-56.377	-56.376	-56.265	-56.286	-56.255	-56.264	-56.266	-56.334	-56.305	-56.331	-56.255	-56.236	-56.255	-56.255	-56.270	-56.238	-56.264	-56.233	-56.266	-56.233	-56.339	-56.194	-56.167	-56.266	-56.162	-56.261	-56.269	-56.261	141.128	141.149	140.988	141.058	141.046	141.078	141.080	141.012	141.123	141.082	141.187	141.230	141.128	141.045	141.123	141.157	141.123	141.123	141.131	141.125	141.146	141.183	141.187	141.257	141.082	141.124	141.058	141.187	141.120	141.109	141.157	141.109	111.580	111.568	111.572	111.597	111.602	111.597	111.558	111.574	111.548	111.557	111.543	111.561	111.565	111.586	111.548	111.537	111.548	111.548	111.552	111.542	111.548	111.532	111.543	111.522	111.583	111.527	111.526	111.543	111.516	111.552	111.548	111.552	2016_7_15_8_51_42
F2LS3JTDHFM5____	-55.844	-55.948	-55.845	-55.948	-55.984	-55.961	-55.875	-55.870	-55.878	-55.878	-55.843	-55.912	-55.881	-55.913	-55.878	-55.806	-55.878	-55.878	-55.803	-55.812	-55.872	-55.842	-55.843	-55.847	-55.914	-55.731	-55.733	-55.843	-55.750	-55.872	-55.843	-55.872	141.258	141.294	141.162	141.238	141.200	141.296	141.296	141.195	141.307	141.230	141.333	141.336	141.303	141.297	141.307	141.306	141.307	141.307	141.295	141.262	141.340	141.343	141.333	141.373	141.306	141.363	141.203	141.333	141.310	141.304	141.300	141.304	111.577	111.609	111.591	111.617	111.634	111.613	111.583	111.595	111.582	111.593	111.567	111.590	111.584	111.596	111.582	111.557	111.582	111.582	111.558	111.566	111.576	111.565	111.567	111.563	111.595	111.523	111.546	111.567	111.537	111.581	111.571	111.581	2016_7_15_8_51_46
F2LS3KP7HFM5____	-56.052	-56.156	-56.010	-56.122	-56.145	-56.149	-56.052	-56.083	-56.053	-56.056	-56.008	-56.115	-56.050	-56.123	-56.053	-55.978	-56.053	-56.053	-56.007	-55.967	-56.042	-56.011	-56.008	-56.013	-56.127	-55.934	-55.910	-56.008	-55.943	-56.032	-56.008	-56.032	141.332	141.332	141.163	141.261	141.156	141.232	141.293	141.198	141.331	141.295	141.303	141.335	141.331	141.297	141.331	141.332	141.331	141.331	141.266	141.197	141.337	141.337	141.303	141.436	141.335	141.303	141.233	141.303	141.304	141.302	141.303	141.302	111.730	111.767	111.739	111.764	111.787	111.778	111.736	111.760	111.731	111.737	111.719	111.752	111.730	111.760	111.731	111.704	111.731	111.731	111.724	111.719	111.726	111.715	111.719	111.702	111.756	111.693	111.694	111.719	111.696	111.727	111.719	111.727	2016_7_15_8_51_51
F2LS3TRWHFM5____	-55.897	-56.000	-55.857	-55.923	-55.962	-55.959	-55.852	-55.897	-55.895	-55.895	-55.859	-55.963	-55.897	-55.922	-55.895	-55.825	-55.895	-55.895	-55.862	-55.825	-55.891	-55.860	-55.859	-55.860	-55.891	-55.792	-55.716	-55.859	-55.747	-55.887	-55.856	-55.887	141.302	141.303	141.128	141.233	141.191	141.228	141.267	141.230	141.303	141.268	141.302	141.338	141.305	141.268	141.303	141.305	141.303	141.303	141.304	141.233	141.337	141.338	141.302	141.400	141.298	141.344	141.193	141.302	141.267	141.300	141.269	141.300	111.509	111.545	111.519	111.527	111.547	111.541	111.498	111.519	111.508	111.513	111.495	111.527	111.508	111.522	111.508	111.483	111.508	111.508	111.496	111.493	111.502	111.491	111.495	111.482	111.507	111.466	111.460	111.495	111.461	111.506	111.499	111.506	2016_7_15_8_51_55
F2LS31DNHFLX____	-55.905	-56.014	-55.874	-55.974	-56.018	-56.050	-55.918	-55.953	-55.913	-55.916	-55.869	-55.976	-55.910	-55.984	-55.913	-55.839	-55.913	-55.913	-55.875	-55.838	-55.948	-55.878	-55.869	-55.876	-55.948	-55.808	-55.772	-55.869	-55.812	-55.916	-55.873	-55.916	141.260	141.294	141.156	141.194	141.188	141.193	141.252	141.182	141.291	141.253	141.258	141.293	141.292	141.230	141.291	141.295	141.291	141.291	141.293	141.227	141.295	141.322	141.258	141.395	141.292	141.332	141.193	141.258	141.262	141.285	141.294	141.285	111.543	111.577	111.547	111.577	111.593	111.603	111.549	111.571	111.542	111.548	111.531	111.564	111.541	111.575	111.542	111.515	111.542	111.542	111.528	111.524	111.553	111.525	111.531	111.514	111.554	111.499	111.506	111.531	111.510	111.544	111.527	111.544	2016_7_15_8_51_59
