SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-29.217	-29.143	-29.191	-29.297	-29.226	-29.226	-29.261	-29.225	-29.191	-29.226	-29.331	-29.368	-29.193	-29.123	-29.018	-29.123	-29.159	-29.226	-29.158	-29.085	-29.148	-29.123	-29.124	-29.191	-29.159	-29.088	-29.123	-29.123	-29.159	-29.087	-29.264	-29.157	138.975	138.878	139.248	139.106	139.188	139.000	139.211	139.175	139.176	139.213	139.207	139.316	139.149	139.165	138.916	139.033	139.056	139.139	138.990	139.102	138.798	139.211	139.141	139.208	139.056	139.131	139.031	139.064	139.056	139.036	139.170	139.136	101.875	101.854	101.842	101.896	101.861	101.877	101.873	101.862	101.848	101.859	101.901	101.906	101.851	101.822	101.802	101.833	101.846	101.865	101.850	101.813	101.863	101.818	101.825	101.846	101.846	101.811	101.834	101.831	101.846	101.819	101.877	101.838	2016_7_15_8_56_58
F2LS3GSUHFM5____	-29.514	-29.440	-29.568	-29.634	-29.527	-29.529	-29.564	-29.525	-29.491	-29.562	-29.631	-29.668	-29.606	-29.422	-29.317	-29.459	-29.457	-29.564	-29.493	-29.422	-29.437	-29.457	-29.458	-29.492	-29.457	-29.387	-29.459	-29.422	-29.457	-29.423	-29.562	-29.431	138.979	138.923	139.181	139.109	139.191	139.070	139.258	139.174	139.176	139.179	139.211	139.320	138.997	139.136	138.924	139.038	139.063	139.181	139.069	139.064	138.889	139.212	139.105	139.143	139.063	139.132	139.069	139.133	139.063	139.003	139.143	138.997	101.828	101.804	101.832	101.865	101.816	101.826	101.825	101.816	101.803	101.830	101.855	101.860	101.863	101.779	101.755	101.802	101.799	101.831	101.812	101.785	101.806	101.787	101.796	101.806	101.799	101.765	101.799	101.779	101.799	101.790	101.834	101.794	2016_7_15_8_57_02
F2LS3GZKHFM5____	-29.299	-29.229	-29.279	-29.384	-29.314	-29.317	-29.349	-29.312	-29.278	-29.313	-29.419	-29.455	-29.279	-29.209	-29.109	-29.211	-29.244	-29.313	-29.302	-29.162	-29.227	-29.210	-29.211	-29.278	-29.244	-29.175	-29.210	-29.197	-29.244	-29.175	-29.350	-29.243	139.026	138.979	139.261	139.160	139.122	139.081	139.260	139.187	139.187	139.225	139.221	139.332	139.085	139.153	138.932	139.086	139.154	139.152	138.988	138.988	138.899	139.258	139.222	139.220	139.154	139.217	139.084	139.023	139.154	139.051	139.222	139.154	101.865	101.841	101.838	101.888	101.863	101.867	101.865	101.857	101.843	101.854	101.896	101.901	101.852	101.819	101.798	101.825	101.833	101.860	101.869	101.814	101.847	101.811	101.814	101.841	101.833	101.800	101.825	101.825	101.833	101.814	101.869	101.832	2016_7_15_8_57_05
F2LS3HTSHFM5____	-29.492	-29.423	-29.472	-29.577	-29.507	-29.509	-29.542	-29.507	-29.473	-29.509	-29.650	-29.647	-29.473	-29.395	-29.299	-29.403	-29.437	-29.507	-29.435	-29.366	-29.421	-29.405	-29.402	-29.472	-29.437	-29.366	-29.402	-29.403	-29.437	-29.368	-29.542	-29.438	138.946	138.816	139.149	139.105	139.077	138.929	139.138	139.145	139.075	139.139	139.066	139.249	139.004	138.916	138.813	139.041	139.070	139.107	138.970	139.000	138.775	139.218	139.109	139.105	139.070	139.070	138.971	139.039	139.070	139.005	139.072	139.103	101.975	101.958	101.950	101.995	101.970	101.983	101.978	101.964	101.956	101.965	102.027	102.010	101.962	101.939	101.909	101.931	101.942	101.967	101.950	101.920	101.961	101.918	101.926	101.953	101.942	101.914	101.937	101.931	101.942	101.921	101.984	101.940	2016_7_15_8_57_09
F2LS3J5VHFM5____	-29.492	-29.423	-29.472	-29.577	-29.507	-29.509	-29.542	-29.507	-29.473	-29.509	-29.650	-29.647	-29.473	-29.395	-29.299	-29.403	-29.437	-29.507	-29.435	-29.366	-29.421	-29.405	-29.402	-29.472	-29.437	-29.366	-29.402	-29.403	-29.437	-29.368	-29.542	-29.438	138.946	138.816	139.149	139.105	139.077	138.929	139.138	139.145	139.075	139.139	139.066	139.249	139.004	138.916	138.813	139.041	139.070	139.107	138.970	139.000	138.775	139.218	139.109	139.105	139.070	139.070	138.971	139.039	139.070	139.005	139.072	139.103	101.975	101.958	101.950	101.995	101.970	101.983	101.978	101.964	101.956	101.965	102.027	102.010	101.962	101.939	101.909	101.931	101.942	101.967	101.950	101.920	101.961	101.918	101.926	101.953	101.942	101.914	101.937	101.931	101.942	101.921	101.984	101.940	2016_7_15_8_57_12
F2LS3JECHFM5____	-29.719	-29.652	-29.698	-29.807	-29.735	-29.736	-29.770	-29.767	-29.701	-29.735	-29.839	-29.875	-29.701	-29.680	-29.527	-29.632	-29.666	-29.767	-29.666	-29.595	-29.647	-29.629	-29.680	-29.700	-29.666	-29.645	-29.632	-29.631	-29.666	-29.596	-29.770	-29.699	138.938	138.809	139.103	139.071	139.102	138.993	139.135	139.100	139.101	139.138	139.137	139.242	139.031	139.039	138.890	139.029	139.131	139.067	139.026	139.029	138.802	139.137	138.969	139.134	139.131	139.039	139.026	139.060	139.131	138.994	139.072	139.069	102.286	102.271	102.264	102.310	102.279	102.289	102.290	102.292	102.265	102.276	102.317	102.322	102.272	102.262	102.215	102.244	102.249	102.294	102.258	102.230	102.270	102.234	102.268	102.262	102.249	102.249	102.245	102.242	102.249	102.233	102.295	102.267	2016_7_15_8_57_17
F2LS3JHAHFM5____	-29.490	-29.376	-29.463	-29.570	-29.500	-29.501	-29.535	-29.500	-29.467	-29.500	-29.607	-29.640	-29.467	-29.400	-29.292	-29.396	-29.429	-29.501	-29.430	-29.361	-29.380	-29.397	-29.395	-29.466	-29.429	-29.360	-29.397	-29.396	-29.429	-29.362	-29.539	-29.395	138.946	138.896	139.232	139.189	139.092	139.051	139.160	139.157	139.127	139.194	139.262	139.330	139.016	139.086	138.911	139.120	139.159	139.190	139.116	139.052	138.782	139.151	139.189	139.156	139.159	139.147	139.116	139.084	139.159	138.980	139.076	139.185	101.863	101.823	101.829	101.875	101.855	101.859	101.863	101.850	101.839	101.847	101.883	101.891	101.849	101.816	101.788	101.812	101.822	101.847	101.826	101.804	101.834	101.810	101.806	101.837	101.822	101.796	101.813	101.815	101.822	101.810	101.872	101.806	2016_7_15_8_57_21
F2LS3JJ8HFM5____	-29.723	-29.649	-29.692	-29.798	-29.728	-29.730	-29.761	-29.726	-29.692	-29.727	-29.832	-29.869	-29.694	-29.621	-29.523	-29.660	-29.658	-29.728	-29.658	-29.587	-29.643	-29.621	-29.623	-29.692	-29.658	-29.587	-29.624	-29.623	-29.658	-29.589	-29.763	-29.658	138.805	138.685	139.137	139.059	139.022	138.919	139.090	139.054	139.057	139.065	139.093	139.243	138.983	139.025	138.765	138.952	139.054	139.059	138.956	139.024	138.726	139.057	139.062	139.058	139.054	139.056	138.988	139.017	139.054	138.921	139.059	139.054	101.901	101.882	101.861	101.909	101.885	101.894	101.892	101.882	101.868	101.881	101.920	101.922	101.875	101.842	101.825	101.864	101.855	101.882	101.863	101.829	101.876	101.840	101.840	101.867	101.855	101.826	101.847	101.844	101.855	101.838	101.896	101.855	2016_7_15_8_57_25
F2LS3JTDHFM5____	-29.437	-29.367	-29.415	-29.520	-29.449	-29.505	-29.518	-29.447	-29.415	-29.450	-29.553	-29.588	-29.415	-29.382	-29.240	-29.347	-29.379	-29.447	-29.380	-29.310	-29.369	-29.344	-29.346	-29.416	-29.379	-29.309	-29.346	-29.347	-29.379	-29.311	-29.484	-29.381	138.974	138.841	139.252	139.184	139.111	138.879	139.219	139.178	139.181	139.150	139.183	139.325	139.106	139.138	138.975	139.107	139.141	139.141	139.111	139.072	138.761	139.177	139.182	139.252	139.141	139.102	139.108	139.183	139.141	139.041	139.181	139.177	101.966	101.950	101.934	101.981	101.959	102.001	101.978	101.953	101.940	101.956	101.994	101.996	101.946	101.931	101.888	101.919	101.929	101.956	101.932	101.908	101.957	101.913	101.913	101.935	101.929	101.905	101.919	101.913	101.929	101.911	101.967	101.927	2016_7_15_8_57_31
F2LS3KP7HFM5____	-29.519	-29.445	-29.541	-29.600	-29.576	-29.576	-29.564	-29.563	-29.471	-29.529	-29.634	-29.716	-29.541	-29.471	-29.359	-29.427	-29.458	-29.576	-29.506	-29.391	-29.449	-29.423	-29.541	-29.493	-29.458	-29.366	-29.427	-29.426	-29.458	-29.390	-29.611	-29.458	138.951	138.892	139.118	139.129	139.013	139.013	139.192	139.159	139.048	139.197	139.188	139.258	139.048	139.048	138.859	139.050	139.119	139.083	139.048	139.045	138.742	139.186	139.048	139.156	139.119	139.048	139.045	139.154	139.119	139.018	139.048	139.190	102.091	102.066	102.086	102.108	102.108	102.108	102.088	102.091	102.064	102.074	102.116	102.143	102.092	102.064	102.035	102.046	102.053	102.102	102.078	102.032	102.081	102.033	102.092	102.063	102.053	102.022	102.046	102.037	102.053	102.034	102.119	102.047	2016_7_15_8_57_35
