SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-65.680	-65.611	-65.681	-65.435	-65.306	-65.471	-65.400	-65.510	-65.509	-65.482	-65.631	-65.452	-65.435	-65.539	-65.777	-65.399	-65.721	-65.518	-65.438	-65.555	-65.454	-65.393	-65.436	-65.309	-65.744	-65.435	-65.545	-65.712	-65.641	-65.498	-65.729	-65.430	131.531	131.269	131.495	131.312	131.352	131.207	131.362	131.208	131.204	131.068	131.334	131.316	131.312	131.250	131.423	131.292	131.301	131.320	131.167	131.276	131.067	131.391	131.289	131.135	131.310	131.254	130.995	131.414	131.278	131.341	131.297	131.424	116.538	116.560	116.545	116.491	116.439	116.522	116.470	116.535	116.535	116.549	116.555	116.496	116.491	116.538	116.591	116.482	116.592	116.518	116.517	116.539	116.540	116.462	116.495	116.477	116.599	116.501	116.584	116.569	116.568	116.508	116.596	116.469	2016_7_15_9_15_19
F2LS3GSUHFM5____	-65.952	-65.840	-65.952	-65.661	-65.574	-65.698	-65.635	-65.740	-65.741	-65.672	-65.856	-65.715	-65.661	-65.773	-66.047	-65.634	-66.000	-65.786	-65.665	-65.786	-65.641	-65.660	-65.669	-65.530	-66.018	-65.668	-65.773	-65.942	-65.868	-65.724	-65.994	-65.734	131.455	131.236	131.383	131.283	131.235	131.097	131.240	131.099	131.135	131.002	131.257	131.208	131.283	131.134	131.308	131.170	131.219	131.244	131.097	131.242	131.034	131.275	131.170	131.061	131.237	131.135	130.892	131.341	131.208	131.270	131.220	131.303	116.482	116.481	116.495	116.411	116.389	116.456	116.409	116.470	116.465	116.464	116.483	116.443	116.411	116.476	116.541	116.421	116.540	116.461	116.445	116.462	116.447	116.412	116.433	116.404	116.543	116.439	116.518	116.498	116.496	116.435	116.538	116.433	2016_7_15_9_15_25
F2LS3GZKHFM5____	-65.820	-65.715	-65.791	-65.526	-65.442	-65.568	-65.500	-65.612	-65.615	-65.543	-65.721	-65.588	-65.526	-65.647	-65.907	-65.534	-65.865	-65.659	-65.533	-65.660	-65.517	-65.493	-65.535	-65.405	-65.880	-65.538	-65.691	-65.806	-65.807	-65.546	-65.859	-65.516	131.600	131.378	131.564	131.425	131.422	131.280	131.383	131.279	131.315	131.187	131.401	131.391	131.425	131.314	131.493	131.312	131.365	131.393	131.280	131.394	131.179	131.458	131.352	131.250	131.383	131.318	131.069	131.529	131.288	131.454	131.365	131.491	116.537	116.539	116.533	116.464	116.436	116.504	116.463	116.520	116.515	116.512	116.537	116.492	116.464	116.526	116.585	116.487	116.593	116.516	116.492	116.517	116.504	116.447	116.480	116.453	116.595	116.487	116.584	116.544	116.586	116.466	116.591	116.449	2016_7_15_9_15_30
F2LS3HTSHFM5____	-65.808	-65.660	-65.775	-65.527	-65.425	-65.561	-65.493	-65.593	-65.594	-65.563	-65.716	-65.564	-65.527	-65.634	-65.905	-65.493	-65.818	-65.634	-65.530	-65.641	-65.495	-65.533	-65.531	-65.344	-65.867	-65.530	-65.625	-65.761	-65.727	-65.541	-65.815	-65.516	131.575	131.365	131.544	131.361	131.371	131.224	131.362	131.224	131.300	131.131	131.385	131.344	131.361	131.255	131.429	131.292	131.343	131.348	131.218	131.376	131.172	131.394	131.293	131.245	131.363	131.257	131.058	131.462	131.291	131.393	131.350	131.476	116.563	116.548	116.557	116.502	116.465	116.538	116.491	116.550	116.537	116.555	116.564	116.518	116.502	116.558	116.622	116.503	116.607	116.542	116.529	116.540	116.525	116.499	116.516	116.459	116.621	116.522	116.590	116.566	116.585	116.502	116.605	116.479	2016_7_15_9_15_34
F2LS3J5VHFM5____	-65.808	-65.660	-65.775	-65.527	-65.425	-65.561	-65.493	-65.593	-65.594	-65.563	-65.716	-65.564	-65.527	-65.634	-65.905	-65.493	-65.818	-65.634	-65.530	-65.641	-65.495	-65.533	-65.531	-65.344	-65.867	-65.530	-65.625	-65.761	-65.727	-65.541	-65.815	-65.516	131.575	131.365	131.544	131.361	131.371	131.224	131.362	131.224	131.300	131.131	131.385	131.344	131.361	131.255	131.429	131.292	131.343	131.348	131.218	131.376	131.172	131.394	131.293	131.245	131.363	131.257	131.058	131.462	131.291	131.393	131.350	131.476	116.563	116.548	116.557	116.502	116.465	116.538	116.491	116.550	116.537	116.555	116.564	116.518	116.502	116.558	116.622	116.503	116.607	116.542	116.529	116.540	116.525	116.499	116.516	116.459	116.621	116.522	116.590	116.566	116.585	116.502	116.605	116.479	2016_7_15_9_15_38
F2LS3JECHFM5____	-66.269	-66.100	-66.235	-65.991	-65.831	-65.995	-65.930	-66.065	-66.033	-66.002	-66.181	-66.003	-65.991	-66.099	-66.335	-65.929	-66.277	-66.071	-65.962	-66.074	-65.936	-65.954	-65.993	-65.826	-66.298	-65.993	-66.099	-66.265	-66.160	-66.054	-66.280	-65.984	131.380	131.198	131.344	131.206	131.198	131.062	131.206	131.062	131.097	130.961	131.182	131.177	131.206	131.100	131.272	131.134	131.145	131.175	131.061	131.173	130.965	131.237	131.135	131.028	131.204	131.100	130.859	131.268	131.132	131.236	131.146	131.275	116.979	116.952	116.974	116.913	116.858	116.940	116.892	116.964	116.947	116.960	116.984	116.922	116.913	116.969	117.021	116.904	117.023	116.946	116.928	116.948	116.936	116.895	116.926	116.887	117.020	116.932	117.012	116.997	116.985	116.930	117.024	116.898	2016_7_15_9_15_42
F2LS3JHAHFM5____	-65.856	-65.705	-65.818	-65.537	-65.446	-65.573	-65.507	-65.605	-65.605	-65.582	-65.767	-65.582	-65.537	-65.642	-65.921	-65.535	-65.862	-65.651	-65.538	-65.655	-65.550	-65.539	-65.541	-65.405	-65.850	-65.538	-65.673	-65.818	-65.771	-65.599	-65.867	-65.571	131.596	131.391	131.564	131.425	131.422	131.284	131.429	131.284	131.317	131.188	131.401	131.358	131.425	131.320	131.492	131.318	131.326	131.362	131.283	131.358	131.187	131.422	131.316	131.217	131.423	131.322	131.044	131.531	131.310	131.459	131.365	131.454	116.466	116.449	116.459	116.385	116.353	116.422	116.373	116.433	116.427	116.442	116.469	116.412	116.385	116.440	116.507	116.403	116.515	116.436	116.410	116.437	116.431	116.386	116.405	116.375	116.494	116.403	116.499	116.464	116.486	116.400	116.510	116.391	2016_7_15_9_15_46
F2LS3JJ8HFM5____	-66.545	-66.372	-66.513	-66.233	-66.140	-66.269	-66.200	-66.305	-66.305	-66.276	-66.415	-66.245	-66.233	-66.374	-66.601	-66.199	-66.550	-66.346	-66.237	-66.348	-66.243	-66.195	-66.236	-66.104	-66.536	-66.237	-66.371	-66.499	-66.462	-66.287	-66.545	-66.253	131.333	131.154	131.300	131.160	131.158	131.017	131.162	131.017	131.056	130.916	131.137	131.132	131.160	131.053	131.231	131.091	131.143	131.135	131.015	131.130	130.959	131.192	131.090	130.990	131.157	131.056	130.815	131.263	131.089	131.193	131.103	131.232	116.685	116.657	116.680	116.607	116.575	116.645	116.596	116.658	116.651	116.665	116.675	116.617	116.607	116.675	116.723	116.608	116.721	116.651	116.634	116.653	116.646	116.589	116.621	116.592	116.713	116.627	116.717	116.682	116.700	116.620	116.726	116.602	2016_7_15_9_15_54
F2LS3JTDHFM5____	-65.951	-65.805	-65.918	-65.671	-65.573	-65.698	-65.637	-65.737	-65.737	-65.673	-65.859	-65.676	-65.671	-65.776	-66.046	-65.636	-65.996	-65.782	-65.671	-65.782	-65.644	-65.632	-65.673	-65.530	-65.974	-65.672	-65.808	-65.908	-65.908	-65.683	-65.994	-65.700	131.469	131.297	131.477	131.298	131.339	131.160	131.298	131.160	131.198	131.096	131.314	131.309	131.298	131.191	131.361	131.228	131.276	131.308	131.156	131.276	131.098	131.331	131.227	131.129	131.295	131.192	130.954	131.398	131.223	131.367	131.280	131.365	116.647	116.626	116.634	116.579	116.538	116.613	116.568	116.626	116.620	116.615	116.642	116.579	116.579	116.635	116.699	116.580	116.697	116.616	116.604	116.622	116.605	116.560	116.593	116.560	116.686	116.598	116.687	116.645	116.675	116.571	116.695	116.578	2016_7_15_9_15_57
F2LS3KP7HFM5____	-66.239	-66.093	-66.208	-65.950	-65.822	-65.984	-65.912	-66.026	-66.023	-65.959	-66.132	-66.002	-65.950	-66.105	-66.324	-65.954	-66.281	-66.072	-65.955	-66.077	-65.928	-65.951	-65.959	-65.814	-66.213	-65.959	-66.054	-66.220	-66.194	-65.960	-66.277	-65.933	131.510	131.335	131.479	131.339	131.345	131.202	131.301	131.196	131.234	131.140	131.315	131.350	131.339	131.234	131.368	131.231	131.278	131.352	131.198	131.350	131.066	131.333	131.270	131.172	131.336	131.236	130.994	131.440	131.229	131.368	131.284	131.407	116.830	116.810	116.825	116.760	116.714	116.796	116.753	116.811	116.804	116.798	116.828	116.776	116.760	116.832	116.885	116.780	116.886	116.800	116.786	116.802	116.800	116.761	116.775	116.742	116.852	116.781	116.857	116.836	116.864	116.758	116.883	116.742	2016_7_15_9_16_01
