SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-67.107	-67.001	-66.931	-67.038	-67.073	-67.138	-67.002	-67.037	-66.966	-67.070	-67.107	-67.001	-66.897	-67.107	-67.036	-67.108	-67.000	-67.036	-66.999	-66.969	-67.001	-67.037	-67.038	-66.932	-67.003	-66.928	-66.899	-66.898	-66.866	-66.829	-66.932	-66.898	144.092	144.102	144.098	144.165	144.164	144.119	144.132	144.202	144.099	144.130	144.091	144.026	144.164	144.128	144.135	144.089	144.133	144.095	144.163	144.169	144.236	144.129	144.199	144.320	144.424	144.340	144.387	144.357	144.358	144.317	144.314	144.444	114.975	114.939	114.917	114.941	114.953	114.981	114.935	114.936	114.928	114.957	114.975	114.951	114.896	114.970	114.946	114.976	114.934	114.951	114.929	114.918	114.919	114.947	114.936	114.883	114.891	114.879	114.862	114.867	114.856	114.850	114.884	114.854	2016_7_15_9_21_55
F2LS3GSUHFM5____	-67.442	-67.344	-67.307	-67.378	-67.415	-67.447	-67.347	-67.373	-67.307	-67.409	-67.442	-67.342	-67.228	-67.441	-67.370	-67.444	-67.343	-67.374	-67.336	-67.347	-67.341	-67.382	-67.379	-67.266	-67.343	-67.259	-67.234	-67.265	-67.238	-67.163	-67.269	-67.234	144.014	144.011	144.017	144.079	144.080	144.043	144.036	144.110	144.008	144.051	144.012	143.949	144.096	144.052	144.040	144.014	144.050	144.015	144.079	144.070	144.145	144.042	144.115	144.201	144.326	144.260	144.295	144.244	144.260	144.231	144.207	144.423	114.933	114.901	114.888	114.902	114.914	114.930	114.898	114.896	114.890	114.916	114.933	114.910	114.850	114.927	114.905	114.933	114.895	114.910	114.888	114.893	114.880	114.909	114.897	114.847	114.853	114.835	114.822	114.840	114.829	114.809	114.847	114.803	2016_7_15_9_22_00
F2LS3GZKHFM5____	-67.224	-67.121	-67.046	-67.157	-67.159	-67.229	-67.090	-67.153	-67.086	-67.157	-67.225	-67.088	-67.011	-67.226	-67.150	-67.193	-67.122	-67.123	-67.116	-67.086	-67.120	-67.159	-67.158	-67.051	-67.126	-67.008	-67.018	-67.014	-66.949	-66.914	-67.050	-67.021	144.221	144.225	144.226	144.294	144.299	144.253	144.262	144.325	144.223	144.264	144.220	144.163	144.302	144.260	144.257	144.229	144.261	144.230	144.292	144.289	144.359	144.256	144.329	144.410	144.545	144.452	144.500	144.450	144.475	144.456	144.408	144.544	114.956	114.921	114.897	114.922	114.922	114.952	114.905	114.916	114.910	114.927	114.956	114.920	114.874	114.950	114.926	114.944	114.916	114.921	114.909	114.900	114.901	114.929	114.917	114.870	114.874	114.850	114.846	114.852	114.827	114.819	114.870	114.840	2016_7_15_9_22_04
F2LS3HTSHFM5____	-67.299	-67.195	-67.117	-67.228	-67.264	-67.301	-67.195	-67.224	-67.159	-67.264	-67.299	-67.194	-67.083	-67.298	-67.223	-67.300	-67.193	-67.229	-67.186	-67.157	-67.191	-67.231	-67.229	-67.121	-67.195	-67.115	-67.093	-67.087	-67.058	-67.022	-67.122	-67.093	144.039	144.044	144.037	144.115	144.112	144.068	144.083	144.135	144.045	144.078	144.037	143.978	144.112	144.077	144.067	144.036	144.081	144.047	144.102	144.100	144.170	144.074	144.147	144.207	144.354	144.269	144.301	144.248	144.270	144.251	144.212	144.391	115.034	115.000	114.975	115.000	115.012	115.031	114.994	114.995	114.988	115.017	115.034	115.009	114.953	115.028	115.005	115.035	114.993	115.010	114.988	114.979	114.979	115.007	114.995	114.951	114.953	114.939	114.927	114.933	114.921	114.912	114.950	114.913	2016_7_15_9_22_08
F2LS3J5VHFM5____	-67.299	-67.195	-67.117	-67.228	-67.264	-67.301	-67.195	-67.224	-67.159	-67.264	-67.299	-67.194	-67.083	-67.298	-67.223	-67.300	-67.193	-67.229	-67.186	-67.157	-67.191	-67.231	-67.229	-67.121	-67.195	-67.115	-67.093	-67.087	-67.058	-67.022	-67.122	-67.093	144.039	144.044	144.037	144.115	144.112	144.068	144.083	144.135	144.045	144.078	144.037	143.978	144.112	144.077	144.067	144.036	144.081	144.047	144.102	144.100	144.170	144.074	144.147	144.207	144.354	144.269	144.301	144.248	144.270	144.251	144.212	144.391	115.034	115.000	114.975	115.000	115.012	115.031	114.994	114.995	114.988	115.017	115.034	115.009	114.953	115.028	115.005	115.035	114.993	115.010	114.988	114.979	114.979	115.007	114.995	114.951	114.953	114.939	114.927	114.933	114.921	114.912	114.950	114.913	2016_7_15_9_22_11
F2LS3JECHFM5____	-67.703	-67.602	-67.527	-67.636	-67.674	-67.707	-67.603	-67.655	-67.566	-67.671	-67.725	-67.620	-67.490	-67.705	-67.655	-67.707	-67.620	-67.655	-67.620	-67.585	-67.601	-67.638	-67.636	-67.530	-67.620	-67.550	-67.501	-67.515	-67.465	-67.428	-67.550	-67.502	143.943	143.945	143.949	144.049	144.017	143.977	143.975	144.044	143.943	143.977	143.939	143.869	144.025	143.978	143.974	143.944	143.974	143.939	144.009	144.009	144.077	143.979	144.050	144.132	144.254	144.184	144.234	144.184	144.192	144.175	144.149	144.306	115.403	115.369	115.344	115.364	115.382	115.398	115.365	115.371	115.358	115.387	115.410	115.387	115.320	115.398	115.382	115.403	115.371	115.387	115.365	115.354	115.349	115.376	115.364	115.317	115.328	115.316	115.292	115.304	115.287	115.277	115.321	115.281	2016_7_15_9_22_16
F2LS3JHAHFM5____	-67.152	-67.003	-66.970	-67.075	-67.113	-67.108	-67.042	-67.038	-67.003	-67.108	-67.107	-67.045	-66.932	-67.107	-67.072	-67.105	-67.005	-67.036	-67.040	-67.008	-67.039	-67.078	-67.038	-66.968	-67.004	-66.925	-66.896	-66.895	-66.899	-66.827	-66.967	-66.896	144.184	144.218	144.219	144.254	144.256	144.220	144.239	144.330	144.179	144.224	144.221	144.118	144.287	144.261	144.215	144.223	144.254	144.221	144.285	144.281	144.321	144.217	144.322	144.406	144.573	144.478	144.541	144.506	144.462	144.472	144.392	144.583	114.854	114.800	114.789	114.818	114.830	114.834	114.810	114.795	114.806	114.834	114.834	114.829	114.766	114.828	114.823	114.833	114.796	114.811	114.802	114.792	114.796	114.825	114.796	114.760	114.747	114.735	114.716	114.721	114.729	114.704	114.762	114.710	2016_7_15_9_22_20
F2LS3JJ8HFM5____	-67.941	-67.837	-67.757	-67.871	-67.907	-67.942	-67.838	-67.866	-67.802	-67.907	-67.942	-67.836	-67.722	-67.941	-67.864	-67.940	-67.837	-67.870	-67.829	-67.799	-67.833	-67.873	-67.870	-67.761	-67.834	-67.751	-67.728	-67.725	-67.696	-67.661	-67.761	-67.733	143.905	143.911	143.901	143.977	143.976	143.934	143.942	143.999	143.906	143.941	143.903	143.839	143.977	143.940	143.933	143.903	143.939	143.909	143.965	143.967	144.036	143.937	144.013	144.082	144.223	144.134	144.180	144.124	144.146	144.123	144.084	144.256	115.088	115.053	115.028	115.054	115.066	115.084	115.049	115.049	115.042	115.071	115.088	115.064	115.005	115.082	115.058	115.088	115.049	115.064	115.042	115.032	115.033	115.061	115.048	115.002	115.004	114.991	114.977	114.984	114.971	114.963	115.002	114.966	2016_7_15_9_22_24
F2LS3JTDHFM5____	-67.417	-67.283	-67.207	-67.317	-67.388	-67.387	-67.320	-67.312	-67.248	-67.352	-67.384	-67.282	-67.169	-67.384	-67.310	-67.384	-67.316	-67.314	-67.277	-67.249	-67.280	-67.354	-67.318	-67.242	-67.319	-67.200	-67.211	-67.204	-67.140	-67.141	-67.244	-67.179	144.065	144.067	144.071	144.137	144.134	144.102	144.063	144.167	144.067	144.104	144.067	144.000	144.149	144.106	144.098	144.071	144.102	144.072	144.134	144.133	144.205	144.094	144.173	144.222	144.346	144.315	144.354	144.307	144.323	144.288	144.265	144.435	115.085	115.040	115.015	115.041	115.065	115.069	115.053	115.035	115.029	115.057	115.073	115.050	114.991	115.067	115.045	115.073	115.046	115.050	115.028	115.019	115.018	115.059	115.036	115.004	115.010	114.976	114.973	114.978	114.955	114.960	114.998	114.951	2016_7_15_9_22_28
F2LS3KP7HFM5____	-67.665	-67.563	-67.488	-67.598	-67.634	-67.670	-67.566	-67.586	-67.529	-67.691	-67.665	-67.621	-67.453	-67.666	-67.586	-67.668	-67.621	-67.597	-67.558	-67.586	-67.563	-67.601	-67.601	-67.493	-67.621	-67.551	-67.462	-67.458	-67.426	-67.392	-67.551	-67.516	144.148	144.144	144.139	144.220	144.220	144.176	144.178	144.263	144.150	144.123	144.142	144.088	144.219	144.180	144.193	144.142	144.123	144.148	144.204	144.228	144.274	144.180	144.251	144.324	144.403	144.403	144.415	144.362	144.383	144.363	144.368	144.438	115.243	115.210	115.187	115.210	115.222	115.240	115.206	115.200	115.199	115.256	115.244	115.238	115.163	115.238	115.211	115.245	115.233	115.221	115.200	115.205	115.191	115.217	115.206	115.160	115.190	115.167	115.136	115.143	115.129	115.122	115.173	115.150	2016_7_15_9_22_32
