SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-34.440	-34.627	-34.221	-34.475	-34.104	-34.068	-33.814	-34.230	-34.190	-34.471	-34.398	-34.470	-34.030	-34.134	-34.245	-34.650	-34.189	-34.386	-34.293	-34.424	-34.488	-34.334	-34.475	-34.470	-34.545	-34.300	-34.095	-34.553	-34.240	-34.444	-34.377	-34.319	-115.710	-116.072	-115.503	-115.850	-115.960	-115.775	-115.778	-115.780	-115.594	-115.875	-115.698	-115.756	-115.594	-115.525	-115.638	-115.815	-115.658	-116.035	-115.884	-116.015	-115.763	-115.851	-115.955	-115.942	-116.095	-115.800	-115.996	-116.186	-115.840	-115.801	-115.639	-116.000	253.289	253.253	253.361	253.292	253.475	253.467	253.583	253.394	253.387	253.297	253.306	253.282	253.460	253.404	253.368	253.208	253.396	253.357	253.379	253.338	253.274	253.356	253.306	253.307	253.293	253.365	253.485	253.302	253.398	253.300	253.308	253.383	2016_7_15_11_13_30
F2LS3GSUHFM5____	-33.866	-33.987	-33.934	-33.907	-33.692	-33.661	-33.462	-33.810	-33.899	-34.230	-34.010	-33.886	-33.629	-33.786	-33.905	-34.144	-33.847	-33.988	-33.713	-33.962	-34.148	-33.747	-33.780	-34.090	-34.247	-33.996	-33.671	-34.006	-33.772	-34.200	-33.908	-33.799	-115.560	-115.737	-115.617	-115.442	-115.624	-115.633	-115.568	-115.780	-115.272	-115.885	-115.378	-115.424	-115.375	-115.326	-115.490	-115.342	-115.340	-115.708	-115.441	-115.697	-115.678	-115.583	-115.479	-115.850	-116.009	-115.663	-115.554	-115.452	-115.634	-115.793	-115.610	-115.600	253.532	253.501	253.509	253.498	253.620	253.636	253.718	253.587	253.479	253.410	253.442	253.505	253.616	253.537	253.505	253.376	253.512	253.497	253.586	253.507	253.420	253.590	253.561	253.469	253.419	253.487	253.621	253.454	253.585	253.411	253.520	253.568	2016_7_15_11_09_48
F2LS3GZKHFM5____	-34.681	-34.947	-34.790	-34.722	-34.510	-34.545	-34.294	-34.440	-34.541	-34.720	-34.762	-34.575	-34.387	-34.428	-34.540	-34.860	-34.493	-34.744	-34.585	-34.658	-34.902	-34.633	-34.848	-34.790	-35.082	-34.527	-34.374	-34.477	-34.520	-34.787	-34.786	-34.733	-115.351	-115.513	-115.600	-115.489	-115.360	-115.500	-115.424	-115.220	-115.315	-115.535	-115.347	-115.219	-115.120	-115.170	-115.336	-115.185	-115.181	-115.441	-115.293	-115.540	-115.413	-115.433	-115.593	-115.920	-115.723	-115.377	-115.400	-115.183	-115.491	-115.716	-115.405	-115.533	253.130	253.032	253.115	253.131	253.210	253.213	253.317	253.222	253.189	253.138	253.093	253.161	253.233	253.221	253.193	253.026	253.193	253.114	253.166	253.167	253.038	253.163	253.088	253.159	253.000	253.204	253.277	253.201	253.223	253.132	253.090	253.132	2016_7_15_11_09_53
F2LS3HTSHFM5____	-34.236	-34.265	-34.172	-34.301	-34.085	-33.980	-34.090	-33.930	-34.001	-34.376	-34.257	-34.196	-33.961	-34.185	-34.289	-34.400	-34.191	-34.004	-34.041	-34.230	-34.514	-34.195	-34.229	-34.257	-34.403	-34.041	-33.835	-34.515	-34.268	-34.407	-33.922	-34.125	-115.713	-116.198	-115.504	-116.228	-115.791	-116.026	-115.990	-115.556	-115.528	-116.008	-115.751	-115.690	-115.653	-116.133	-115.752	-115.592	-115.923	-115.841	-115.652	-116.130	-115.879	-115.972	-115.635	-116.258	-116.196	-115.740	-115.708	-116.266	-116.038	-115.925	-115.695	-115.873	253.382	253.434	253.383	253.422	253.462	253.541	253.486	253.501	253.464	253.359	253.378	253.397	253.500	253.462	253.363	253.291	253.431	253.505	253.463	253.441	253.278	253.436	253.375	253.446	253.372	253.475	253.565	253.330	253.411	253.333	253.523	253.454	2016_7_15_11_09_30
F2LS3J5VHFM5____	-34.236	-34.265	-34.172	-34.301	-34.085	-33.980	-34.090	-33.930	-34.001	-34.376	-34.257	-34.196	-33.961	-34.185	-34.289	-34.400	-34.191	-34.004	-34.041	-34.230	-34.514	-34.195	-34.229	-34.257	-34.403	-34.041	-33.835	-34.515	-34.268	-34.407	-33.922	-34.125	-115.713	-116.198	-115.504	-116.228	-115.791	-116.026	-115.990	-115.556	-115.528	-116.008	-115.751	-115.690	-115.653	-116.133	-115.752	-115.592	-115.923	-115.841	-115.652	-116.130	-115.879	-115.972	-115.635	-116.258	-116.196	-115.740	-115.708	-116.266	-116.038	-115.925	-115.695	-115.873	253.382	253.434	253.383	253.422	253.462	253.541	253.486	253.501	253.464	253.359	253.378	253.397	253.500	253.462	253.363	253.291	253.431	253.505	253.463	253.441	253.278	253.436	253.375	253.446	253.372	253.475	253.565	253.330	253.411	253.333	253.523	253.454	2016_7_15_11_09_41
F2LS3JECHFM5____	-34.327	-34.633	-34.408	-34.374	-34.101	-34.005	-34.140	-34.300	-34.140	-34.412	-34.352	-34.168	-34.094	-34.140	-34.249	-34.681	-34.143	-34.397	-34.291	-34.253	-34.492	-34.079	-34.405	-34.351	-34.475	-34.174	-34.092	-34.295	-34.238	-34.324	-34.328	-34.324	-115.476	-115.639	-115.466	-115.352	-115.419	-115.475	-115.552	-115.360	-115.174	-115.645	-115.224	-115.210	-115.120	-115.170	-115.330	-115.253	-115.293	-115.497	-115.241	-115.471	-115.348	-115.617	-115.255	-115.706	-115.675	-115.316	-115.401	-115.301	-115.494	-115.376	-115.293	-115.526	253.310	253.193	253.272	253.272	253.405	253.457	253.406	253.307	253.354	253.294	253.264	253.347	253.368	253.354	253.326	253.118	253.369	253.281	253.295	253.343	253.218	253.442	253.245	253.330	253.270	253.358	253.407	253.301	253.353	253.298	253.285	253.318	2016_7_15_11_09_58
F2LS3JHAHFM5____	-34.785	-34.778	-34.707	-34.715	-34.445	-34.599	-34.303	-34.649	-34.546	-34.917	-34.810	-34.635	-34.445	-34.794	-34.585	-35.001	-34.735	-34.802	-34.708	-34.722	-35.057	-34.742	-34.721	-34.917	-34.955	-34.777	-34.567	-34.657	-34.822	-34.913	-34.791	-34.724	-115.902	-116.195	-115.703	-115.763	-115.849	-115.971	-116.094	-115.621	-115.535	-116.158	-115.700	-115.698	-115.660	-115.993	-115.885	-115.611	-116.055	-116.030	-115.786	-115.963	-115.878	-115.971	-115.812	-116.403	-116.131	-116.228	-116.228	-115.789	-116.165	-116.202	-115.832	-116.067	253.405	253.448	253.413	253.417	253.552	253.499	253.649	253.428	253.463	253.380	253.366	253.445	253.526	253.413	253.493	253.267	253.448	253.414	253.424	253.442	253.278	253.434	253.421	253.413	253.359	253.453	253.548	253.447	253.424	253.388	253.392	253.455	2016_7_15_11_14_08
F2LS3JJ8HFM5____	-34.589	-34.624	-34.550	-34.566	-34.432	-34.205	-34.146	-34.346	-34.280	-34.727	-34.691	-34.335	-34.242	-34.352	-34.332	-34.833	-34.149	-34.544	-34.622	-34.525	-34.790	-34.591	-34.625	-34.692	-34.765	-34.261	-34.624	-34.330	-34.259	-34.583	-34.580	-34.659	-115.189	-115.356	-114.797	-115.266	-115.143	-115.077	-115.078	-114.793	-114.763	-115.110	-114.926	-114.800	-114.826	-114.831	-114.824	-115.021	-114.775	-115.144	-115.008	-115.130	-115.115	-115.342	-115.039	-115.480	-115.182	-114.965	-115.646	-114.957	-115.140	-115.041	-114.940	-115.180	253.151	253.158	253.115	253.172	253.216	253.311	253.338	253.208	253.234	253.077	253.068	253.214	253.260	253.210	253.218	253.016	253.296	253.165	253.111	253.172	253.049	253.171	253.114	253.144	253.070	253.270	253.197	253.237	253.295	253.133	253.121	253.118	2016_7_15_11_10_05
F2LS3JTDHFM5____	-34.322	-34.385	-34.153	-34.135	-34.032	-34.064	-33.876	-34.246	-34.132	-34.310	-34.346	-34.157	-33.960	-34.185	-34.179	-34.485	-34.125	-34.146	-34.112	-34.303	-34.478	-34.144	-34.205	-34.407	-34.611	-34.235	-34.030	-34.230	-34.101	-34.315	-34.311	-34.254	-115.478	-115.646	-115.342	-115.285	-115.609	-115.669	-115.613	-115.329	-115.304	-115.460	-115.350	-115.278	-115.390	-115.247	-115.529	-115.253	-115.310	-115.494	-115.417	-115.797	-115.587	-115.620	-115.460	-115.902	-115.650	-115.526	-115.740	-115.432	-115.617	-115.451	-115.419	-115.536	253.562	253.556	253.621	253.622	253.712	253.705	253.784	253.577	253.625	253.565	253.534	253.610	253.716	253.593	253.634	253.457	253.629	253.644	253.650	253.614	253.506	253.663	253.613	253.581	253.454	253.608	253.731	253.598	253.682	253.562	253.559	253.601	2016_7_15_11_10_34
F2LS3KP7HFM5____	-34.829	-34.848	-34.561	-34.770	-34.433	-34.678	-34.058	-34.483	-34.608	-34.925	-34.854	-34.695	-34.790	-34.958	-34.834	-34.995	-34.728	-34.805	-34.923	-34.775	-34.831	-34.293	-34.773	-34.859	-34.953	-34.719	-34.375	-35.131	-34.710	-34.790	-34.902	-34.608	-115.811	-115.904	-115.563	-115.817	-115.908	-116.258	-116.151	-115.604	-116.013	-115.857	-115.874	-115.746	-115.655	-116.153	-115.882	-115.585	-115.782	-115.776	-115.978	-115.891	-115.995	-115.908	-115.856	-116.109	-115.930	-115.729	-115.804	-116.123	-115.963	-115.735	-115.756	-116.013	253.352	253.356	253.440	253.380	253.545	253.481	253.748	253.481	253.480	253.315	253.349	253.404	253.348	253.340	253.360	253.246	253.394	253.358	253.332	253.387	253.376	253.609	253.383	253.379	253.312	253.391	253.557	253.258	253.427	253.359	253.311	253.480	2016_7_15_11_10_39
