SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-63.740	-63.629	-63.763	-63.875	-63.805	-63.699	-63.840	-63.770	-63.735	-63.630	-63.770	-63.598	-63.665	-63.677	-63.770	-63.770	-63.770	-63.805	-63.770	-64.325	-63.730	-63.781	-64.082	-64.078	-63.704	-63.805	-63.770	-63.805	-63.788	-64.009	-63.700	-63.694	-120.324	-120.007	-119.799	-119.875	-119.805	-119.898	-119.910	-119.700	-120.295	-120.400	-120.330	-119.767	-119.770	-119.908	-119.875	-120.400	-119.840	-119.770	-119.805	-120.148	-120.316	-119.872	-120.254	-120.220	-119.940	-119.875	-119.840	-119.875	-119.845	-120.180	-120.260	-120.285	242.425	242.404	242.313	242.286	242.298	242.356	242.306	242.291	242.421	242.481	242.415	242.368	242.344	242.367	242.325	242.429	242.318	242.291	242.311	242.173	242.427	242.321	242.284	242.279	242.363	242.312	242.318	242.312	242.313	242.297	242.428	242.435	2016_7_15_10_23_15
F2LS3GSUHFM5____	-63.735	-63.552	-63.726	-63.805	-63.735	-63.695	-63.770	-63.700	-63.730	-63.624	-63.770	-63.585	-63.665	-63.665	-63.703	-63.762	-63.700	-63.805	-63.700	-64.320	-63.732	-63.779	-64.074	-64.073	-63.700	-63.805	-63.697	-63.735	-63.750	-64.003	-63.695	-63.686	-120.470	-120.171	-119.960	-120.085	-119.953	-120.095	-120.120	-119.910	-120.448	-120.478	-120.540	-119.961	-119.980	-120.102	-120.028	-120.575	-120.030	-119.980	-120.015	-120.310	-120.477	-120.030	-120.450	-120.378	-120.155	-120.085	-120.028	-120.085	-120.040	-120.341	-120.409	-120.481	241.782	241.791	241.684	241.680	241.680	241.723	241.700	241.684	241.779	241.824	241.783	241.737	241.711	241.735	241.707	241.792	241.708	241.659	241.705	241.533	241.784	241.679	241.652	241.638	241.733	241.680	241.709	241.706	241.691	241.657	241.785	241.802	2016_7_15_10_23_19
F2LS3GZKHFM5____	-64.065	-63.880	-64.057	-64.169	-64.027	-63.989	-64.063	-64.035	-64.052	-63.943	-64.052	-63.945	-63.994	-63.961	-63.996	-64.051	-64.031	-64.085	-64.120	-64.612	-64.017	-64.070	-64.362	-64.366	-63.997	-64.031	-63.996	-64.029	-64.079	-64.296	-63.980	-63.976	-120.469	-120.149	-119.951	-120.051	-119.944	-120.046	-120.049	-119.888	-120.428	-120.490	-120.460	-119.980	-119.949	-120.055	-120.017	-120.528	-119.983	-119.980	-120.015	-120.302	-120.458	-120.019	-120.403	-120.369	-120.084	-120.018	-119.982	-120.017	-119.992	-120.333	-120.400	-120.429	242.333	242.339	242.234	242.212	242.244	242.278	242.251	242.229	242.330	242.383	242.336	242.281	242.257	242.290	242.270	242.350	242.249	242.229	242.223	242.098	242.349	242.242	242.210	242.202	242.282	242.256	242.262	242.257	242.234	242.221	242.351	242.358	2016_7_15_10_23_23
F2LS3HTSHFM5____	-63.735	-63.517	-63.696	-63.741	-63.666	-63.624	-63.702	-63.630	-63.665	-63.560	-63.700	-63.525	-63.595	-63.595	-63.634	-63.698	-63.633	-63.741	-63.633	-64.255	-63.665	-63.708	-64.007	-64.008	-63.635	-63.668	-63.630	-63.670	-63.717	-63.935	-63.630	-63.624	-120.610	-120.221	-120.018	-120.087	-120.011	-120.111	-120.116	-119.910	-120.505	-120.540	-120.540	-119.980	-119.980	-120.120	-120.084	-120.569	-120.050	-119.977	-120.018	-120.366	-120.540	-120.087	-120.471	-120.434	-120.154	-120.086	-120.050	-120.084	-120.058	-120.397	-120.470	-120.503	242.483	242.488	242.381	242.378	242.391	242.426	242.398	242.384	242.489	242.535	242.483	242.437	242.411	242.439	242.417	242.489	242.411	242.356	242.405	242.243	242.496	242.391	242.355	242.347	242.431	242.405	242.412	242.404	242.381	242.367	242.495	242.504	2016_7_15_10_23_26
F2LS3J5VHFM5____	-63.735	-63.517	-63.696	-63.741	-63.666	-63.624	-63.702	-63.630	-63.665	-63.560	-63.700	-63.525	-63.595	-63.595	-63.634	-63.698	-63.633	-63.741	-63.633	-64.255	-63.665	-63.708	-64.007	-64.008	-63.635	-63.668	-63.630	-63.670	-63.717	-63.935	-63.630	-63.624	-120.610	-120.221	-120.018	-120.087	-120.011	-120.111	-120.116	-119.910	-120.505	-120.540	-120.540	-119.980	-119.980	-120.120	-120.084	-120.569	-120.050	-119.977	-120.018	-120.366	-120.540	-120.087	-120.471	-120.434	-120.154	-120.086	-120.050	-120.084	-120.058	-120.397	-120.470	-120.503	242.483	242.488	242.381	242.378	242.391	242.426	242.398	242.384	242.489	242.535	242.483	242.437	242.411	242.439	242.417	242.489	242.411	242.356	242.405	242.243	242.496	242.391	242.355	242.347	242.431	242.405	242.412	242.404	242.381	242.367	242.495	242.504	2016_7_15_10_23_30
F2LS3JECHFM5____	-63.826	-63.672	-63.815	-63.895	-63.852	-63.809	-63.853	-63.792	-63.840	-63.704	-63.847	-63.674	-63.791	-63.750	-63.787	-63.849	-63.820	-63.894	-63.785	-64.407	-63.816	-63.864	-64.160	-64.161	-63.787	-63.823	-63.819	-63.825	-63.871	-64.090	-63.776	-63.775	-120.424	-120.106	-119.899	-120.006	-119.933	-120.029	-120.036	-119.828	-120.413	-120.443	-120.446	-119.898	-119.899	-120.041	-120.004	-120.486	-119.969	-119.900	-119.935	-120.291	-120.416	-119.970	-120.392	-120.356	-120.070	-120.004	-119.966	-119.966	-119.978	-120.318	-120.345	-120.423	241.739	241.734	241.639	241.631	241.632	241.667	241.652	241.634	241.732	241.788	241.735	241.692	241.648	241.691	241.670	241.742	241.651	241.610	241.658	241.497	241.741	241.635	241.609	241.601	241.684	241.657	241.651	241.649	241.634	241.620	241.742	241.758	2016_7_15_10_23_34
F2LS3JHAHFM5____	-64.008	-63.827	-64.036	-64.079	-64.005	-63.980	-64.041	-63.980	-63.996	-63.910	-64.050	-63.861	-63.943	-63.935	-63.939	-64.050	-63.969	-64.076	-63.969	-64.590	-64.003	-64.046	-64.315	-64.339	-63.973	-64.008	-64.000	-64.008	-64.022	-64.267	-63.980	-63.930	-120.444	-120.105	-119.889	-119.993	-119.920	-120.050	-120.027	-119.840	-120.404	-120.470	-120.470	-119.890	-119.904	-120.029	-119.960	-120.540	-119.957	-119.886	-119.926	-120.275	-120.413	-119.991	-120.383	-120.339	-120.065	-119.990	-119.991	-119.992	-119.970	-120.301	-120.400	-120.383	242.349	242.350	242.229	242.234	242.247	242.282	242.255	242.240	242.346	242.391	242.339	242.295	242.267	242.295	242.279	242.353	242.268	242.214	242.261	242.100	242.345	242.246	242.224	242.206	242.288	242.260	242.263	242.260	242.251	242.225	242.351	242.366	2016_7_15_10_23_38
F2LS3JJ8HFM5____	-64.010	-63.865	-64.047	-64.095	-64.017	-63.971	-64.050	-63.990	-63.969	-63.903	-64.050	-63.867	-63.955	-63.942	-63.984	-64.045	-63.984	-64.092	-63.980	-64.601	-64.006	-64.060	-64.347	-64.344	-63.988	-64.022	-63.978	-63.983	-64.042	-64.274	-63.969	-63.964	-120.621	-120.282	-120.072	-120.142	-120.071	-120.167	-120.177	-119.968	-120.523	-120.589	-120.610	-120.036	-120.039	-120.176	-120.142	-120.629	-120.071	-120.036	-120.072	-120.430	-120.588	-120.141	-120.527	-120.488	-120.215	-120.140	-120.104	-120.106	-120.121	-120.449	-120.518	-120.561	241.710	241.696	241.587	241.584	241.598	241.634	241.607	241.588	241.705	241.743	241.692	241.647	241.615	241.647	241.624	241.698	241.610	241.563	241.612	241.453	241.704	241.596	241.566	241.559	241.638	241.610	241.619	241.618	241.599	241.578	241.704	241.715	2016_7_15_10_23_41
F2LS3JTDHFM5____	-63.805	-63.617	-63.788	-63.875	-63.805	-63.770	-63.840	-63.770	-63.805	-63.770	-63.840	-63.615	-63.735	-63.735	-63.727	-63.840	-63.770	-63.875	-63.755	-64.350	-63.791	-63.840	-64.107	-64.130	-63.770	-63.791	-63.840	-63.761	-63.807	-64.033	-63.770	-63.718	-120.540	-120.173	-119.957	-120.085	-120.015	-120.120	-120.120	-119.910	-120.505	-120.540	-120.540	-119.921	-119.980	-120.120	-120.027	-120.610	-120.050	-119.980	-119.990	-120.312	-120.479	-120.085	-120.420	-120.405	-120.155	-120.058	-120.120	-120.026	-120.035	-120.337	-120.470	-120.450	241.770	241.767	241.661	241.654	241.666	241.700	241.674	241.658	241.763	241.783	241.757	241.718	241.685	241.713	241.697	241.770	241.686	241.633	241.680	241.523	241.763	241.667	241.634	241.622	241.707	241.680	241.674	241.684	241.669	241.645	241.769	241.784	2016_7_15_10_23_44
F2LS3KP7HFM5____	-64.075	-63.888	-64.064	-64.143	-64.071	-64.026	-64.108	-64.040	-64.059	-63.922	-64.064	-63.924	-64.005	-64.000	-64.038	-64.093	-64.035	-64.142	-64.036	-64.623	-64.026	-64.110	-64.372	-64.373	-64.043	-64.072	-64.033	-64.065	-64.088	-64.305	-64.022	-63.993	-120.388	-120.078	-119.868	-119.935	-119.863	-119.964	-119.969	-119.764	-120.347	-120.352	-120.354	-119.830	-119.833	-119.971	-119.936	-120.487	-119.899	-119.828	-119.868	-120.226	-120.383	-119.936	-120.326	-120.287	-120.009	-119.936	-119.898	-119.968	-119.910	-120.250	-120.310	-120.355	242.314	242.322	242.215	242.199	242.211	242.248	242.218	242.203	242.311	242.363	242.311	242.259	242.230	242.259	242.238	242.326	242.232	242.178	242.225	242.079	242.330	242.211	242.191	242.183	242.251	242.225	242.232	242.234	242.214	242.201	242.318	242.337	2016_7_15_10_23_47
F2LS3TRWHFM5____	-63.863	-63.679	-63.884	-63.945	-63.858	-63.774	-63.910	-63.840	-63.846	-63.770	-63.857	-63.665	-63.805	-63.786	-63.824	-63.857	-63.818	-63.898	-63.785	-64.416	-63.820	-63.898	-64.165	-64.160	-63.840	-63.875	-63.817	-63.827	-63.876	-64.088	-63.840	-63.780	-120.448	-120.111	-119.923	-120.015	-119.923	-120.023	-120.050	-119.840	-120.409	-120.470	-120.420	-119.910	-119.910	-120.031	-119.995	-120.493	-119.962	-119.856	-119.927	-120.253	-120.452	-119.994	-120.389	-120.341	-120.085	-120.015	-119.957	-119.961	-119.969	-120.305	-120.400	-120.387	241.730	241.732	241.619	241.614	241.628	241.679	241.634	241.618	241.728	241.769	241.727	241.697	241.645	241.676	241.655	241.741	241.651	241.600	241.656	241.486	241.747	241.627	241.606	241.599	241.667	241.640	241.650	241.647	241.630	241.618	241.729	241.749	2016_7_15_10_23_51
