SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-23.622	-23.521	-23.554	-23.584	-23.692	-23.657	-23.620	-23.588	-23.621	-23.586	-23.589	-23.623	-23.553	-23.552	-23.552	-23.552	-23.550	-23.587	-23.553	-23.553	-23.623	-23.587	-23.623	-23.584	-23.551	-23.588	-23.588	-23.585	-23.518	-23.517	-23.516	-23.552	-138.377	-138.467	-138.519	-138.378	-138.549	-138.511	-138.477	-138.474	-138.480	-138.444	-138.409	-138.372	-138.447	-138.443	-138.388	-138.388	-138.376	-138.406	-138.412	-138.372	-138.372	-138.336	-138.372	-138.307	-138.343	-138.373	-138.410	-138.307	-138.372	-138.408	-138.337	-138.411	259.955	260.001	259.991	259.970	259.938	259.950	259.962	259.975	259.962	259.973	259.970	259.954	259.987	259.987	259.983	259.983	259.983	259.971	259.985	259.982	259.954	259.966	259.954	259.965	259.981	259.968	259.970	259.965	259.996	259.999	259.994	259.985	2016_7_15_10_18_27
F2LS3GSUHFM5____	-23.274	-23.173	-23.206	-23.242	-23.346	-23.311	-23.275	-23.242	-23.276	-23.242	-23.240	-23.274	-23.206	-23.207	-23.206	-23.206	-23.207	-23.241	-23.207	-23.206	-23.274	-23.241	-23.274	-23.240	-23.204	-23.239	-23.239	-23.241	-23.170	-23.170	-23.170	-23.207	-138.607	-138.734	-138.748	-138.607	-138.823	-138.779	-138.746	-138.720	-138.753	-138.716	-138.677	-138.640	-138.718	-138.716	-138.675	-138.675	-138.609	-138.675	-138.684	-138.639	-138.640	-138.605	-138.640	-138.539	-138.574	-138.642	-138.683	-138.537	-138.639	-138.675	-138.606	-138.658	260.123	260.172	260.160	260.136	260.109	260.120	260.132	260.144	260.132	260.143	260.141	260.125	260.158	260.157	260.155	260.155	260.150	260.141	260.155	260.152	260.125	260.136	260.125	260.132	260.149	260.139	260.142	260.131	260.167	260.169	260.165	260.153	2016_7_15_10_18_37
F2LS3GZKHFM5____	-23.739	-23.648	-23.662	-23.709	-23.819	-23.784	-23.747	-23.713	-23.748	-23.712	-23.708	-23.743	-23.679	-23.678	-23.677	-23.677	-23.676	-23.711	-23.680	-23.678	-23.743	-23.712	-23.743	-23.708	-23.674	-23.708	-23.711	-23.708	-23.615	-23.614	-23.641	-23.678	-138.519	-138.611	-138.694	-138.518	-138.695	-138.653	-138.620	-138.622	-138.629	-138.588	-138.556	-138.519	-138.595	-138.589	-138.554	-138.554	-138.518	-138.554	-138.561	-138.517	-138.519	-138.481	-138.519	-138.450	-138.485	-138.519	-138.555	-138.448	-138.516	-138.552	-138.483	-138.558	259.913	259.955	259.955	259.925	259.893	259.904	259.916	259.930	259.917	259.928	259.927	259.911	259.942	259.942	259.940	259.940	259.938	259.926	259.939	259.937	259.911	259.921	259.911	259.920	259.937	259.925	259.927	259.920	259.962	259.965	259.950	259.940	2016_7_15_11_40_54
F2LS3HTSHFM5____	-23.591	-23.455	-23.524	-23.556	-23.636	-23.630	-23.563	-23.528	-23.564	-23.561	-23.590	-23.598	-23.496	-23.494	-23.524	-23.524	-23.522	-23.558	-23.495	-23.525	-23.598	-23.561	-23.598	-23.556	-23.521	-23.563	-23.564	-23.558	-23.491	-23.490	-23.491	-23.495	-138.444	-138.540	-138.585	-138.445	-138.632	-138.582	-138.550	-138.552	-138.567	-138.525	-138.565	-138.482	-138.535	-138.528	-138.484	-138.484	-138.445	-138.516	-138.501	-138.446	-138.482	-138.411	-138.482	-138.376	-138.412	-138.452	-138.498	-138.375	-138.445	-138.482	-138.449	-138.494	259.967	260.028	260.003	259.981	259.962	259.961	259.985	260.000	259.986	259.985	259.976	259.967	260.012	260.012	259.997	259.997	259.995	259.985	260.010	259.993	259.967	259.977	259.967	259.976	259.993	259.979	259.982	259.976	260.007	260.010	260.008	260.009	2016_7_15_10_18_44
F2LS3J5VHFM5____	-23.591	-23.455	-23.524	-23.556	-23.636	-23.630	-23.563	-23.528	-23.564	-23.561	-23.590	-23.598	-23.496	-23.494	-23.524	-23.524	-23.522	-23.558	-23.495	-23.525	-23.598	-23.561	-23.598	-23.556	-23.521	-23.563	-23.564	-23.558	-23.491	-23.490	-23.491	-23.495	-138.444	-138.540	-138.585	-138.445	-138.632	-138.582	-138.550	-138.552	-138.567	-138.525	-138.565	-138.482	-138.535	-138.528	-138.484	-138.484	-138.445	-138.516	-138.501	-138.446	-138.482	-138.411	-138.482	-138.376	-138.412	-138.452	-138.498	-138.375	-138.445	-138.482	-138.449	-138.494	259.967	260.028	260.003	259.981	259.962	259.961	259.985	260.000	259.986	259.985	259.976	259.967	260.012	260.012	259.997	259.997	259.995	259.985	260.010	259.993	259.967	259.977	259.967	259.976	259.993	259.979	259.982	259.976	260.007	260.010	260.008	260.009	2016_7_15_10_18_48
F2LS3JECHFM5____	-23.416	-23.312	-23.351	-23.381	-23.488	-23.452	-23.414	-23.379	-23.417	-23.379	-23.385	-23.420	-23.345	-23.345	-23.346	-23.346	-23.348	-23.381	-23.344	-23.346	-23.420	-23.382	-23.420	-23.382	-23.348	-23.386	-23.383	-23.381	-23.312	-23.312	-23.311	-23.345	-138.306	-138.403	-138.450	-138.306	-138.498	-138.446	-138.413	-138.414	-138.430	-138.389	-138.349	-138.313	-138.396	-138.392	-138.347	-138.347	-138.308	-138.347	-138.361	-138.311	-138.313	-138.275	-138.313	-138.238	-138.274	-138.315	-138.360	-138.238	-138.311	-138.347	-138.278	-138.358	260.037	260.085	260.073	260.051	260.021	260.032	260.045	260.059	260.045	260.057	260.052	260.036	260.072	260.071	260.068	260.068	260.065	260.054	260.070	260.066	260.036	260.049	260.036	260.046	260.062	260.050	260.054	260.046	260.079	260.082	260.077	260.069	2016_7_15_10_18_51
F2LS3JHAHFM5____	-23.825	-23.712	-23.757	-23.787	-23.905	-23.853	-23.815	-23.800	-23.818	-23.800	-23.800	-23.835	-23.765	-23.765	-23.748	-23.748	-23.750	-23.800	-23.757	-23.765	-23.835	-23.800	-23.835	-23.780	-23.749	-23.800	-23.800	-23.789	-23.730	-23.730	-23.730	-23.765	-138.455	-138.578	-138.598	-138.456	-138.705	-138.597	-138.591	-138.635	-138.578	-138.600	-138.565	-138.530	-138.600	-138.600	-138.501	-138.501	-138.457	-138.565	-138.555	-138.530	-138.530	-138.495	-138.530	-138.427	-138.424	-138.530	-138.565	-138.386	-138.530	-138.565	-138.495	-138.565	259.874	259.927	259.911	259.889	259.859	259.872	259.887	259.896	259.885	259.894	259.891	259.875	259.908	259.908	259.908	259.908	259.904	259.891	259.908	259.903	259.875	259.886	259.875	259.890	259.902	259.889	259.891	259.884	259.917	259.919	259.915	259.905	2016_7_15_10_18_54
F2LS3JJ8HFM5____	-23.549	-23.446	-23.491	-23.520	-23.626	-23.589	-23.552	-23.517	-23.553	-23.518	-23.551	-23.553	-23.486	-23.483	-23.482	-23.482	-23.488	-23.517	-23.486	-23.483	-23.553	-23.549	-23.553	-23.516	-23.483	-23.520	-23.519	-23.553	-23.480	-23.449	-23.479	-23.485	-138.294	-138.381	-138.397	-138.256	-138.478	-138.428	-138.396	-138.396	-138.413	-138.371	-138.330	-138.294	-138.379	-138.372	-138.328	-138.328	-138.256	-138.327	-138.342	-138.290	-138.294	-138.254	-138.294	-138.226	-138.259	-138.320	-138.342	-138.185	-138.291	-138.329	-138.258	-138.341	259.978	260.025	260.009	259.987	259.960	259.971	259.984	259.998	259.984	259.996	259.980	259.976	260.009	260.010	260.007	260.007	260.000	259.993	260.007	260.004	259.976	259.975	259.976	259.987	260.002	259.992	259.993	259.969	260.006	260.021	260.004	260.007	2016_7_15_10_18_58
F2LS3JTDHFM5____	-23.654	-23.522	-23.588	-23.593	-23.703	-23.693	-23.630	-23.594	-23.661	-23.626	-23.627	-23.661	-23.590	-23.560	-23.560	-23.560	-23.589	-23.624	-23.593	-23.561	-23.661	-23.626	-23.661	-23.624	-23.561	-23.628	-23.594	-23.622	-23.525	-23.525	-23.555	-23.561	-138.443	-138.540	-138.585	-138.444	-138.635	-138.616	-138.549	-138.552	-138.602	-138.526	-138.520	-138.480	-138.567	-138.529	-138.485	-138.485	-138.445	-138.485	-138.534	-138.448	-138.480	-138.412	-138.480	-138.377	-138.412	-138.452	-138.497	-138.375	-138.481	-138.484	-138.450	-138.496	259.946	260.006	259.982	259.971	259.940	259.942	259.963	259.978	259.954	259.963	259.962	259.946	259.980	259.990	259.987	259.987	259.972	259.961	259.977	259.984	259.946	259.955	259.946	259.954	259.981	259.957	259.974	259.954	260.001	260.001	259.986	259.987	2016_7_15_10_19_01
F2LS3KP7HFM5____	-23.697	-23.593	-23.645	-23.659	-23.763	-23.727	-23.690	-23.653	-23.693	-23.655	-23.661	-23.694	-23.620	-23.654	-23.621	-23.621	-23.622	-23.655	-23.620	-23.620	-23.694	-23.656	-23.694	-23.657	-23.623	-23.660	-23.660	-23.662	-23.586	-23.586	-23.585	-23.621	-138.474	-138.600	-138.648	-138.474	-138.704	-138.623	-138.590	-138.617	-138.636	-138.593	-138.526	-138.513	-138.599	-138.595	-138.523	-138.523	-138.476	-138.548	-138.566	-138.511	-138.513	-138.450	-138.513	-138.440	-138.476	-138.490	-138.565	-138.405	-138.512	-138.548	-138.479	-138.562	260.107	260.158	260.140	260.122	260.096	260.105	260.118	260.135	260.120	260.132	260.125	260.111	260.147	260.133	260.141	260.141	260.137	260.129	260.145	260.141	260.111	260.122	260.111	260.121	260.137	260.123	260.128	260.116	260.154	260.157	260.153	260.144	2016_7_15_10_19_04
