SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.244	0.277	0.215	0.274	0.275	0.277	0.275	0.244	0.279	0.247	0.273	0.276	0.235	0.244	0.276	0.280	0.245	0.244	0.265	0.275	0.278	0.278	0.276	0.280	0.277	0.276	0.278	0.276	0.276	0.276	0.277	0.275	0.081	0.077	0.084	0.078	0.078	0.078	0.079	0.081	0.081	0.083	0.081	0.079	0.119	0.081	0.079	0.080	0.083	0.082	0.115	0.079	0.080	0.079	0.079	0.079	0.079	0.081	0.080	0.079	0.077	0.079	0.079	0.078	-0.166	-0.175	-0.156	-0.174	-0.175	-0.176	-0.175	-0.165	-0.176	-0.167	-0.174	-0.175	-0.168	-0.165	-0.176	-0.177	-0.166	-0.165	-0.177	-0.175	-0.176	-0.176	-0.175	-0.177	-0.176	-0.175	-0.176	-0.176	-0.175	-0.176	-0.176	-0.175	0.267	0.082	-0.173	2016_7_15_8_55_24
F2LS3GSUHFM5____	-0.139	-0.134	-0.164	-0.162	-0.169	-0.162	-0.133	-0.163	-0.158	-0.159	-0.159	-0.162	-0.139	-0.138	-0.163	-0.139	-0.140	-0.138	-0.139	-0.163	-0.159	-0.164	-0.133	-0.129	-0.132	-0.161	-0.158	-0.133	-0.170	-0.163	-0.133	-0.132	-0.078	-0.114	-0.108	-0.110	-0.075	-0.109	-0.110	-0.109	-0.108	-0.109	-0.109	-0.109	-0.078	-0.079	-0.108	-0.078	-0.076	-0.079	-0.078	-0.110	-0.108	-0.110	-0.112	-0.111	-0.112	-0.109	-0.108	-0.113	-0.075	-0.111	-0.111	-0.113	-0.055	-0.052	-0.042	-0.043	-0.046	-0.044	-0.053	-0.043	-0.045	-0.044	-0.045	-0.043	-0.056	-0.055	-0.043	-0.056	-0.055	-0.056	-0.056	-0.043	-0.044	-0.042	-0.053	-0.054	-0.053	-0.044	-0.045	-0.053	-0.046	-0.043	-0.053	-0.053	-0.150	-0.101	-0.049	2016_7_15_8_55_28
F2LS3GZKHFM5____	-0.183	-0.155	-0.181	-0.163	-0.190	-0.187	-0.193	-0.192	-0.189	-0.154	-0.154	-0.185	-0.154	-0.187	-0.158	-0.194	-0.155	-0.156	-0.156	-0.187	-0.179	-0.186	-0.186	-0.159	-0.187	-0.185	-0.183	-0.187	-0.195	-0.185	-0.158	-0.177	-0.187	-0.190	-0.225	-0.152	-0.187	-0.186	-0.149	-0.149	-0.187	-0.189	-0.188	-0.188	-0.191	-0.186	-0.188	-0.148	-0.192	-0.190	-0.191	-0.186	-0.187	-0.187	-0.186	-0.188	-0.186	-0.185	-0.187	-0.187	-0.149	-0.187	-0.189	-0.224	-0.133	-0.141	-0.128	-0.144	-0.130	-0.132	-0.135	-0.135	-0.130	-0.142	-0.142	-0.132	-0.141	-0.131	-0.140	-0.134	-0.141	-0.141	-0.141	-0.131	-0.134	-0.132	-0.131	-0.141	-0.132	-0.132	-0.133	-0.131	-0.134	-0.132	-0.140	-0.130	-0.176	-0.184	-0.135	2016_7_15_8_55_32
F2LS3HTSHFM5____	0.144	0.141	0.141	0.143	0.144	0.142	0.141	0.141	0.144	0.145	0.142	0.144	0.142	0.143	0.144	0.143	0.144	0.143	0.104	0.141	0.143	0.142	0.141	0.143	0.143	0.142	0.142	0.140	0.144	0.143	0.142	0.143	0.008	0.007	0.008	0.009	0.009	0.008	0.009	0.009	0.011	0.010	0.010	0.010	0.011	0.009	0.009	0.009	0.010	0.009	0.047	0.009	0.010	0.008	0.008	0.009	0.010	0.008	0.010	0.008	0.008	0.009	0.007	0.007	-0.165	-0.164	-0.164	-0.166	-0.165	-0.165	-0.164	-0.165	-0.166	-0.167	-0.165	-0.166	-0.165	-0.165	-0.165	-0.166	-0.166	-0.165	-0.158	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	0.141	0.010	-0.165	2016_7_15_8_55_35
F2LS3J5VHFM5____	0.129	0.123	0.092	0.127	0.128	0.125	0.127	0.127	0.116	0.115	0.115	0.130	0.135	0.129	0.126	0.128	0.094	0.094	0.091	0.127	0.124	0.126	0.096	0.085	0.128	0.128	0.124	0.128	0.129	0.127	0.097	0.126	0.003	-0.000	0.006	0.003	0.003	0.002	0.003	0.004	0.006	0.005	0.007	0.005	-0.031	0.003	0.000	0.006	0.010	0.008	0.009	0.002	0.006	0.001	0.006	0.007	0.003	0.001	0.005	0.003	0.003	0.003	0.003	0.000	-0.179	-0.177	-0.167	-0.179	-0.179	-0.177	-0.178	-0.179	-0.175	-0.175	-0.175	-0.180	-0.176	-0.179	-0.178	-0.180	-0.169	-0.168	-0.168	-0.179	-0.178	-0.179	-0.169	-0.165	-0.179	-0.179	-0.178	-0.180	-0.179	-0.178	-0.169	-0.178	0.119	0.003	-0.176	2016_7_15_8_55_40
F2LS3JECHFM5____	-0.071	-0.105	-0.109	-0.072	-0.072	-0.104	-0.108	-0.081	-0.103	-0.111	-0.075	-0.102	-0.104	-0.103	-0.105	-0.104	-0.105	-0.104	-0.074	-0.109	-0.106	-0.105	-0.074	-0.104	-0.104	-0.104	-0.104	-0.072	-0.071	-0.105	-0.104	-0.104	-0.007	-0.005	0.027	-0.007	-0.008	-0.007	0.029	0.062	-0.005	0.029	-0.006	-0.004	-0.006	-0.005	-0.006	-0.006	-0.005	-0.006	-0.008	0.030	-0.006	-0.006	-0.007	-0.006	-0.005	-0.005	-0.006	-0.007	-0.008	-0.006	-0.006	-0.007	0.230	0.241	0.237	0.229	0.230	0.240	0.237	0.222	0.240	0.238	0.231	0.240	0.240	0.240	0.241	0.240	0.241	0.241	0.231	0.237	0.241	0.241	0.231	0.240	0.240	0.240	0.240	0.230	0.230	0.241	0.240	0.241	-0.096	0.000	0.237	2016_7_15_8_55_44
F2LS3JHAHFM5____	0.134	0.133	0.096	0.099	0.099	0.100	0.097	0.097	0.099	0.100	0.100	0.099	0.138	0.132	0.099	0.133	0.138	0.134	0.136	0.098	0.101	0.131	0.098	0.103	0.130	0.129	0.130	0.132	0.099	0.130	0.129	0.131	0.076	0.030	0.074	0.077	0.077	0.076	0.074	0.074	0.074	0.075	0.075	0.077	0.037	0.075	0.073	0.075	0.037	0.076	0.038	0.075	0.075	0.073	0.076	0.038	0.074	0.073	0.073	0.074	0.077	0.074	0.071	0.074	-0.270	-0.263	-0.256	-0.259	-0.259	-0.259	-0.257	-0.257	-0.257	-0.259	-0.258	-0.259	-0.266	-0.269	-0.258	-0.270	-0.266	-0.270	-0.265	-0.258	-0.259	-0.269	-0.258	-0.254	-0.268	-0.268	-0.268	-0.269	-0.259	-0.268	-0.268	-0.269	0.116	0.069	-0.263	2016_7_15_8_55_54
F2LS3JJ8HFM5____	-0.759	-0.731	-0.759	-0.730	-0.761	-0.793	-0.761	-0.729	-0.788	-0.760	-0.790	-0.758	-0.764	-0.765	-0.729	-0.768	-0.739	-0.725	-0.770	-0.760	-0.787	-0.759	-0.728	-0.759	-0.758	-0.757	-0.788	-0.726	-0.757	-0.759	-0.728	-0.729	-0.252	-0.254	-0.248	-0.253	-0.251	-0.250	-0.248	-0.251	-0.246	-0.248	-0.246	-0.249	-0.210	-0.212	-0.251	-0.211	-0.211	-0.252	-0.210	-0.249	-0.245	-0.249	-0.250	-0.248	-0.248	-0.249	-0.245	-0.249	-0.249	-0.248	-0.250	-0.251	0.040	0.031	0.039	0.029	0.040	0.051	0.039	0.029	0.048	0.040	0.049	0.039	0.035	0.036	0.029	0.037	0.027	0.028	0.037	0.039	0.048	0.040	0.029	0.039	0.039	0.039	0.047	0.028	0.039	0.038	0.029	0.029	-0.755	-0.243	0.037	2016_7_15_8_55_58
F2LS3JTDHFM5____	0.146	0.107	0.107	0.106	0.105	0.106	0.106	0.107	0.107	0.108	0.107	0.111	0.146	0.106	0.106	0.139	0.146	0.115	0.113	0.108	0.110	0.138	0.113	0.146	0.107	0.138	0.110	0.108	0.106	0.106	0.140	0.105	-0.033	0.008	0.006	0.007	0.006	0.005	0.005	0.006	0.003	0.003	0.004	-0.030	-0.033	0.008	0.007	0.005	-0.032	-0.028	-0.027	0.006	0.005	0.004	-0.029	-0.031	0.006	0.004	0.005	0.007	0.007	0.006	0.004	0.006	-0.201	-0.195	-0.195	-0.194	-0.194	-0.194	-0.194	-0.195	-0.194	-0.195	-0.194	-0.190	-0.201	-0.194	-0.194	-0.205	-0.202	-0.192	-0.191	-0.195	-0.195	-0.204	-0.192	-0.202	-0.194	-0.205	-0.195	-0.195	-0.194	-0.194	-0.205	-0.194	0.117	-0.003	-0.196	2016_7_15_8_56_05
F2LS3KP7HFM5____	-0.254	-0.220	-0.256	-0.219	-0.220	-0.252	-0.218	-0.248	-0.219	-0.249	-0.220	-0.220	-0.221	-0.221	-0.219	-0.219	-0.219	-0.254	-0.219	-0.219	-0.220	-0.218	-0.188	-0.191	-0.249	-0.217	-0.222	-0.218	-0.188	-0.218	-0.248	-0.250	0.054	0.052	0.094	0.053	0.053	0.054	0.054	0.057	0.054	0.054	0.055	0.053	0.051	0.052	0.055	0.052	0.052	0.053	0.053	0.053	0.053	0.055	0.053	0.052	0.055	0.055	0.053	0.054	0.051	0.055	0.056	0.055	0.365	0.354	0.360	0.353	0.354	0.365	0.354	0.363	0.354	0.364	0.354	0.354	0.355	0.355	0.354	0.355	0.354	0.366	0.354	0.354	0.354	0.353	0.344	0.345	0.364	0.353	0.355	0.354	0.344	0.354	0.363	0.364	-0.225	0.055	0.356	2016_7_15_8_56_08
