SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.160	0.159	0.199	0.199	0.199	0.200	0.199	0.199	0.199	0.199	0.162	0.199	0.199	0.155	0.162	0.200	0.198	0.159	0.199	0.199	0.159	0.200	0.162	0.159	0.159	0.162	0.159	0.199	0.159	0.158	0.197	0.160	0.021	0.018	0.019	0.019	0.019	0.019	0.020	0.018	0.022	0.019	0.021	0.019	0.019	0.055	0.021	0.021	0.019	0.015	0.023	0.023	0.017	0.021	0.024	0.018	0.017	0.022	0.018	0.020	0.017	0.018	0.019	0.018	-0.135	-0.134	-0.149	-0.149	-0.149	-0.150	-0.149	-0.150	-0.150	-0.149	-0.135	-0.149	-0.150	-0.136	-0.136	-0.149	-0.150	-0.133	-0.150	-0.150	-0.134	-0.149	-0.135	-0.134	-0.134	-0.136	-0.134	-0.149	-0.134	-0.134	-0.149	-0.135	0.181	0.021	-0.143	2016_7_15_9_01_52
F2LS3GSUHFM5____	-0.207	-0.206	-0.280	-0.280	-0.280	-0.279	-0.246	-0.283	-0.209	-0.280	-0.248	-0.280	-0.248	-0.206	-0.247	-0.246	-0.210	-0.247	-0.246	-0.246	-0.248	-0.246	-0.246	-0.249	-0.248	-0.248	-0.283	-0.246	-0.248	-0.248	-0.246	-0.207	-0.070	-0.064	-0.101	-0.101	-0.101	-0.101	-0.069	-0.106	-0.069	-0.101	-0.068	-0.101	-0.069	-0.032	-0.068	-0.067	-0.069	-0.071	-0.104	-0.104	-0.071	-0.067	-0.070	-0.071	-0.071	-0.071	-0.107	-0.069	-0.071	-0.070	-0.070	-0.068	-0.027	-0.028	0.004	0.004	0.004	0.003	-0.013	0.006	-0.026	0.004	-0.012	0.004	-0.012	-0.031	-0.012	-0.013	-0.027	-0.012	-0.009	-0.009	-0.011	-0.013	-0.012	-0.011	-0.011	-0.012	0.006	-0.012	-0.011	-0.012	-0.013	-0.028	-0.248	-0.078	-0.011	2016_7_15_9_01_56
F2LS3GZKHFM5____	-0.419	-0.420	-0.421	-0.421	-0.421	-0.421	-0.460	-0.421	-0.422	-0.421	-0.421	-0.421	-0.421	-0.421	-0.420	-0.421	-0.412	-0.422	-0.420	-0.420	-0.421	-0.421	-0.423	-0.419	-0.421	-0.383	-0.421	-0.351	-0.421	-0.420	-0.412	-0.459	-0.126	-0.123	-0.123	-0.123	-0.123	-0.123	-0.119	-0.119	-0.123	-0.123	-0.122	-0.123	-0.111	-0.119	-0.112	-0.116	-0.122	-0.125	-0.113	-0.113	-0.123	-0.116	-0.112	-0.123	-0.123	-0.128	-0.119	-0.114	-0.123	-0.124	-0.122	-0.126	-0.048	-0.048	-0.047	-0.047	-0.047	-0.048	-0.034	-0.048	-0.047	-0.047	-0.048	-0.047	-0.049	-0.048	-0.049	-0.048	-0.052	-0.047	-0.049	-0.049	-0.048	-0.048	-0.048	-0.048	-0.048	-0.062	-0.048	-0.075	-0.048	-0.048	-0.051	-0.033	-0.419	-0.121	-0.049	2016_7_15_9_02_01
F2LS3HTSHFM5____	0.064	0.026	0.062	0.062	0.062	0.027	0.026	0.027	0.065	0.062	0.064	0.062	0.027	0.067	0.026	0.063	0.024	0.060	0.026	0.026	0.062	0.063	0.061	0.061	0.062	0.060	0.063	0.063	0.062	0.062	0.060	0.062	-0.009	-0.038	-0.011	-0.011	-0.011	-0.004	-0.002	-0.001	-0.004	-0.011	-0.037	-0.011	-0.001	-0.043	-0.001	-0.003	-0.001	-0.003	-0.002	-0.002	-0.039	-0.003	-0.001	-0.038	-0.039	-0.037	-0.003	-0.004	-0.039	-0.012	-0.010	-0.002	-0.139	-0.123	-0.139	-0.139	-0.139	-0.126	-0.125	-0.127	-0.141	-0.139	-0.137	-0.139	-0.127	-0.138	-0.126	-0.140	-0.125	-0.138	-0.126	-0.126	-0.136	-0.140	-0.139	-0.135	-0.136	-0.135	-0.140	-0.140	-0.136	-0.139	-0.139	-0.139	0.052	-0.014	-0.135	2016_7_15_9_02_06
F2LS3J5VHFM5____	0.062	0.028	0.061	0.061	0.061	0.061	0.055	0.064	0.058	0.061	0.059	0.061	0.057	0.065	0.056	0.057	0.055	0.060	0.058	0.058	0.061	0.057	0.058	0.059	0.061	0.061	0.065	0.057	0.061	0.060	0.052	0.062	-0.004	-0.038	-0.040	-0.040	-0.040	-0.003	-0.007	-0.000	-0.005	-0.040	-0.039	-0.040	-0.005	-0.039	-0.007	-0.005	-0.006	-0.002	-0.007	-0.007	-0.037	-0.005	-0.012	-0.036	-0.037	-0.038	-0.002	-0.009	-0.037	-0.042	-0.043	-0.001	-0.159	-0.143	-0.155	-0.155	-0.155	-0.159	-0.155	-0.161	-0.158	-0.155	-0.155	-0.155	-0.157	-0.157	-0.156	-0.157	-0.156	-0.158	-0.157	-0.157	-0.155	-0.157	-0.157	-0.155	-0.155	-0.155	-0.161	-0.157	-0.155	-0.155	-0.152	-0.159	0.059	-0.021	-0.156	2016_7_15_9_02_10
F2LS3JECHFM5____	-0.130	-0.083	-0.170	-0.170	-0.170	-0.125	-0.130	-0.130	-0.172	-0.170	-0.127	-0.170	-0.170	-0.130	-0.131	-0.173	-0.130	-0.171	-0.131	-0.131	-0.084	-0.173	-0.127	-0.129	-0.084	-0.124	-0.130	-0.129	-0.084	-0.127	-0.168	-0.090	0.035	-0.004	-0.000	-0.000	-0.000	0.001	0.039	0.038	0.040	-0.000	0.008	-0.000	0.009	0.038	0.039	0.041	0.007	0.038	0.037	0.037	0.000	0.041	0.008	0.031	0.000	0.004	0.034	0.037	0.000	0.040	0.009	0.035	0.251	0.237	0.269	0.269	0.269	0.253	0.251	0.251	0.266	0.269	0.253	0.269	0.269	0.250	0.251	0.267	0.254	0.267	0.251	0.251	0.237	0.267	0.253	0.252	0.237	0.252	0.251	0.251	0.237	0.250	0.268	0.236	-0.136	0.020	0.255	2016_7_15_9_02_15
F2LS3JHAHFM5____	0.148	0.153	0.153	0.153	0.153	0.153	0.151	0.152	0.150	0.153	0.153	0.153	0.152	0.153	0.152	0.151	0.150	0.153	0.152	0.152	0.153	0.151	0.152	0.153	0.153	0.186	0.154	0.151	0.153	0.152	0.152	0.152	0.033	0.028	0.065	0.065	0.065	0.064	0.027	0.027	0.030	0.065	0.063	0.065	0.030	0.030	0.027	0.031	0.061	0.028	0.028	0.028	0.062	0.031	0.029	0.062	0.062	0.060	0.027	0.028	0.062	0.065	0.061	0.029	-0.274	-0.276	-0.279	-0.279	-0.279	-0.278	-0.274	-0.275	-0.275	-0.279	-0.280	-0.279	-0.275	-0.275	-0.275	-0.274	-0.278	-0.276	-0.275	-0.275	-0.279	-0.274	-0.275	-0.279	-0.279	-0.292	-0.276	-0.274	-0.279	-0.279	-0.278	-0.275	0.153	0.045	-0.277	2016_7_15_9_02_21
F2LS3JJ8HFM5____	-0.555	-0.548	-0.544	-0.544	-0.544	-0.509	-0.549	-0.511	-0.548	-0.544	-0.551	-0.544	-0.551	-0.513	-0.552	-0.548	-0.550	-0.509	-0.551	-0.551	-0.549	-0.548	-0.551	-0.549	-0.549	-0.548	-0.551	-0.508	-0.549	-0.509	-0.547	-0.548	-0.135	-0.167	-0.159	-0.159	-0.159	-0.130	-0.164	-0.135	-0.164	-0.159	-0.132	-0.159	-0.127	-0.137	-0.128	-0.163	-0.134	-0.128	-0.129	-0.129	-0.133	-0.163	-0.130	-0.132	-0.133	-0.163	-0.137	-0.128	-0.133	-0.129	-0.133	-0.134	-0.026	-0.025	-0.027	-0.027	-0.027	-0.044	-0.025	-0.042	-0.025	-0.027	-0.027	-0.027	-0.028	-0.042	-0.028	-0.025	-0.027	-0.044	-0.027	-0.027	-0.028	-0.025	-0.027	-0.028	-0.028	-0.025	-0.027	-0.044	-0.028	-0.044	-0.028	-0.029	-0.541	-0.142	-0.030	2016_7_15_9_02_25
F2LS3JTDHFM5____	0.034	0.028	0.029	0.029	0.029	0.029	0.029	0.029	0.067	0.029	0.026	0.029	0.067	0.030	0.030	0.031	0.028	0.030	0.029	0.029	0.023	0.031	0.028	0.028	0.023	0.023	0.029	0.030	0.023	0.028	0.030	0.028	0.015	0.012	0.013	0.013	0.013	0.013	0.011	0.013	0.013	0.013	0.013	0.013	0.013	0.011	0.012	0.013	0.013	0.013	0.013	0.013	0.006	0.013	0.014	0.014	0.006	0.004	0.012	0.011	0.006	0.015	0.014	0.010	-0.172	-0.169	-0.170	-0.170	-0.170	-0.170	-0.170	-0.170	-0.185	-0.170	-0.169	-0.170	-0.185	-0.171	-0.171	-0.170	-0.170	-0.171	-0.170	-0.170	-0.166	-0.170	-0.170	-0.170	-0.166	-0.167	-0.170	-0.170	-0.166	-0.170	-0.171	-0.169	0.031	0.012	-0.171	2016_7_15_9_02_29
F2LS3KP7HFM5____	-0.029	-0.025	-0.059	-0.059	-0.059	-0.059	-0.061	-0.062	-0.061	-0.059	-0.059	-0.059	-0.061	-0.025	-0.060	-0.062	-0.060	-0.060	-0.061	-0.061	-0.059	-0.062	-0.062	-0.060	-0.059	-0.060	-0.022	-0.061	-0.059	-0.060	-0.018	-0.060	0.096	0.093	0.062	0.062	0.062	0.062	0.098	0.095	0.098	0.062	0.095	0.062	0.099	0.095	0.098	0.099	0.097	0.096	0.097	0.097	0.063	0.099	0.061	0.096	0.063	0.095	0.091	0.099	0.063	0.062	0.059	0.095	0.290	0.289	0.305	0.305	0.305	0.305	0.302	0.303	0.302	0.305	0.302	0.305	0.302	0.289	0.302	0.302	0.302	0.302	0.302	0.302	0.305	0.302	0.306	0.302	0.305	0.302	0.288	0.302	0.305	0.305	0.289	0.302	-0.054	0.083	0.301	2016_7_15_9_02_32
