SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.204	0.207	0.171	0.208	0.174	0.175	0.174	0.204	0.202	0.208	0.169	0.170	0.171	0.174	0.207	0.171	0.205	0.206	0.165	0.168	0.203	0.172	0.171	0.206	0.170	0.208	0.174	0.170	0.205	0.176	0.204	0.173	0.060	0.063	0.065	0.064	0.036	0.039	0.037	0.066	0.064	0.065	0.062	0.065	0.064	0.064	0.064	0.065	0.061	0.064	0.063	0.063	0.064	0.063	0.064	0.064	0.062	0.063	0.063	0.063	0.059	0.067	0.066	0.069	-0.158	-0.160	-0.146	-0.160	-0.144	-0.143	-0.144	-0.159	-0.158	-0.160	-0.145	-0.146	-0.146	-0.147	-0.160	-0.147	-0.159	-0.159	-0.144	-0.145	-0.159	-0.147	-0.146	-0.160	-0.146	-0.160	-0.147	-0.146	-0.159	-0.149	-0.160	-0.148	0.186	0.061	-0.152	2016_7_15_9_10_55
F2LS3GSUHFM5____	-0.190	-0.161	-0.191	-0.188	-0.188	-0.135	-0.191	-0.160	-0.121	-0.184	-0.189	-0.189	-0.187	-0.189	-0.127	-0.154	-0.168	-0.223	-0.170	-0.187	-0.121	-0.190	-0.188	-0.056	-0.137	-0.178	-0.193	-0.158	-0.187	-0.157	-0.157	-0.192	-0.112	-0.059	-0.079	-0.113	-0.082	-0.102	-0.098	-0.091	-0.090	-0.081	-0.078	-0.079	-0.114	-0.082	-0.068	-0.115	-0.096	-0.081	-0.065	-0.074	-0.062	-0.080	-0.080	-0.058	-0.075	-0.075	-0.077	-0.089	-0.083	-0.085	-0.092	-0.084	-0.024	-0.044	-0.029	-0.025	-0.029	-0.047	-0.026	-0.039	-0.055	-0.031	-0.030	-0.030	-0.025	-0.029	-0.055	-0.037	-0.035	-0.017	-0.039	-0.031	-0.058	-0.029	-0.030	-0.084	-0.050	-0.034	-0.028	-0.040	-0.030	-0.041	-0.040	-0.028	-0.169	-0.084	-0.036	2016_7_15_9_10_59
F2LS3GZKHFM5____	-0.237	-0.274	-0.280	-0.276	-0.239	-0.235	-0.316	-0.314	-0.276	-0.313	-0.279	-0.237	-0.277	-0.317	-0.274	-0.274	-0.277	-0.274	-0.317	-0.276	-0.313	-0.273	-0.272	-0.275	-0.275	-0.320	-0.277	-0.317	-0.237	-0.316	-0.273	-0.313	-0.177	-0.177	-0.147	-0.145	-0.147	-0.177	-0.143	-0.147	-0.147	-0.179	-0.148	-0.177	-0.144	-0.147	-0.177	-0.143	-0.143	-0.143	-0.176	-0.146	-0.145	-0.146	-0.176	-0.143	-0.147	-0.145	-0.145	-0.178	-0.149	-0.147	-0.175	-0.179	-0.104	-0.090	-0.093	-0.094	-0.109	-0.106	-0.079	-0.079	-0.094	-0.075	-0.093	-0.105	-0.094	-0.078	-0.090	-0.095	-0.094	-0.095	-0.074	-0.094	-0.080	-0.095	-0.091	-0.095	-0.094	-0.077	-0.093	-0.073	-0.108	-0.078	-0.091	-0.075	-0.282	-0.156	-0.090	2016_7_15_9_11_03
F2LS3HTSHFM5____	0.077	0.075	0.077	0.078	0.077	0.079	0.076	0.072	0.074	0.040	0.076	0.076	0.078	0.075	0.081	0.075	0.078	0.038	0.040	0.030	0.073	0.072	0.038	0.074	0.077	0.079	0.039	0.074	0.075	0.076	0.074	0.077	-0.032	-0.033	-0.001	-0.032	-0.034	-0.032	-0.037	-0.002	-0.036	-0.033	-0.034	-0.034	-0.003	-0.034	-0.031	-0.006	0.001	-0.031	-0.034	-0.046	-0.035	-0.034	-0.032	-0.032	-0.034	-0.032	-0.031	-0.035	-0.036	0.001	-0.035	-0.001	-0.141	-0.140	-0.145	-0.141	-0.141	-0.142	-0.140	-0.143	-0.139	-0.126	-0.140	-0.140	-0.145	-0.141	-0.142	-0.144	-0.146	-0.126	-0.127	-0.122	-0.139	-0.139	-0.126	-0.140	-0.141	-0.141	-0.126	-0.139	-0.139	-0.146	-0.139	-0.145	0.069	-0.027	-0.138	2016_7_15_9_11_06
F2LS3J5VHFM5____	0.088	0.084	0.091	0.088	0.088	0.131	0.083	0.081	0.081	0.051	0.087	0.087	0.082	0.088	0.092	0.079	0.088	0.081	0.088	0.086	0.077	0.082	0.047	0.118	0.081	0.090	0.044	0.134	0.124	0.078	0.083	0.117	0.021	0.024	0.022	0.018	0.019	0.025	0.020	0.019	0.021	0.018	0.016	0.026	0.057	0.016	0.024	0.054	0.021	0.023	0.023	-0.022	0.021	0.023	0.026	0.023	0.021	0.019	0.028	0.022	0.021	0.060	0.018	0.018	-0.173	-0.172	-0.174	-0.172	-0.173	-0.190	-0.171	-0.170	-0.170	-0.157	-0.172	-0.172	-0.175	-0.173	-0.174	-0.174	-0.172	-0.170	-0.173	-0.166	-0.168	-0.171	-0.158	-0.185	-0.170	-0.172	-0.157	-0.190	-0.186	-0.175	-0.170	-0.183	0.088	0.023	-0.173	2016_7_15_9_11_11
F2LS3JECHFM5____	-0.114	-0.114	-0.081	-0.113	-0.113	-0.109	-0.077	-0.083	-0.115	-0.112	-0.079	-0.116	-0.084	-0.110	-0.115	-0.076	-0.114	-0.114	-0.077	-0.150	-0.116	-0.115	-0.115	-0.116	-0.119	-0.114	-0.148	-0.112	-0.082	-0.113	-0.081	-0.116	0.019	0.021	0.020	-0.006	-0.009	-0.007	-0.010	0.020	-0.004	0.020	0.022	0.022	0.021	-0.003	0.020	0.019	0.018	0.017	-0.003	0.024	0.022	0.023	0.021	-0.006	-0.016	0.022	0.025	-0.004	0.017	-0.006	-0.007	-0.007	0.246	0.245	0.232	0.249	0.249	0.247	0.236	0.233	0.250	0.244	0.231	0.246	0.233	0.247	0.246	0.232	0.246	0.246	0.235	0.258	0.246	0.245	0.246	0.250	0.253	0.246	0.258	0.248	0.234	0.249	0.237	0.250	-0.107	0.010	0.244	2016_7_15_9_11_15
F2LS3JHAHFM5____	0.132	0.134	0.136	0.136	0.134	0.101	0.100	0.101	0.134	0.137	0.134	0.136	0.135	0.137	0.102	0.133	0.134	0.105	0.136	0.102	0.105	0.106	0.104	0.104	0.134	0.134	0.140	0.135	0.136	0.138	0.100	0.101	0.040	0.041	0.042	0.042	0.041	0.045	0.070	0.039	0.039	0.039	0.041	0.042	0.038	0.042	0.041	0.037	0.040	0.043	0.039	0.042	0.040	0.042	0.042	0.041	0.039	0.040	0.039	0.041	0.041	0.039	0.040	0.071	-0.271	-0.271	-0.272	-0.272	-0.271	-0.259	-0.263	-0.258	-0.271	-0.272	-0.271	-0.273	-0.272	-0.272	-0.259	-0.270	-0.271	-0.261	-0.272	-0.259	-0.260	-0.261	-0.260	-0.260	-0.271	-0.271	-0.274	-0.271	-0.273	-0.273	-0.258	-0.263	0.123	0.042	-0.267	2016_7_15_9_11_53
F2LS3JJ8HFM5____	-0.615	-0.618	-0.612	-0.614	-0.615	-0.612	-0.612	-0.617	-0.613	-0.618	-0.612	-0.614	-0.615	-0.615	-0.581	-0.651	-0.616	-0.613	-0.616	-0.614	-0.614	-0.611	-0.615	-0.611	-0.614	-0.611	-0.613	-0.611	-0.612	-0.612	-0.615	-0.611	-0.190	-0.192	-0.193	-0.191	-0.193	-0.193	-0.192	-0.193	-0.195	-0.200	-0.192	-0.190	-0.193	-0.193	-0.194	-0.230	-0.191	-0.192	-0.193	-0.191	-0.195	-0.192	-0.193	-0.191	-0.193	-0.190	-0.193	-0.191	-0.192	-0.192	-0.192	-0.196	0.012	0.014	0.011	0.012	0.013	0.011	0.011	0.013	0.012	0.014	0.011	0.012	0.013	0.013	-0.001	0.032	0.013	0.011	0.012	0.012	0.012	0.011	0.012	0.010	0.012	0.010	0.012	0.010	0.011	0.012	0.012	0.011	-0.614	-0.194	0.012	2016_7_15_9_11_24
F2LS3JTDHFM5____	0.090	0.089	0.085	0.087	0.087	0.087	0.064	0.092	0.091	0.088	0.083	0.092	0.148	0.126	0.105	0.059	0.091	0.090	0.108	0.056	0.072	0.093	0.093	0.092	0.093	0.106	0.095	0.050	0.091	0.093	0.113	0.060	0.012	0.012	0.043	0.041	0.012	0.043	0.039	0.013	-0.016	0.012	0.046	-0.021	-0.023	0.013	0.012	0.052	0.013	0.013	-0.019	0.048	0.014	-0.018	0.014	-0.019	0.012	-0.021	-0.018	0.013	0.013	0.013	-0.019	0.014	-0.194	-0.193	-0.197	-0.197	-0.192	-0.197	-0.187	-0.194	-0.190	-0.193	-0.196	-0.189	-0.211	-0.208	-0.199	-0.188	-0.195	-0.194	-0.195	-0.186	-0.187	-0.191	-0.195	-0.190	-0.195	-0.195	-0.191	-0.179	-0.194	-0.195	-0.197	-0.183	0.090	0.011	-0.193	2016_7_15_9_11_27
F2LS3KP7HFM5____	-0.144	-0.142	-0.144	-0.143	-0.144	-0.105	-0.145	-0.143	-0.142	-0.145	-0.144	-0.177	-0.140	-0.142	-0.142	-0.143	-0.144	-0.146	-0.139	-0.144	-0.183	-0.143	-0.143	-0.182	-0.179	-0.185	-0.145	-0.143	-0.102	-0.145	-0.144	-0.144	0.059	0.060	0.059	0.061	0.058	0.058	0.061	0.061	0.060	0.059	0.060	0.059	0.059	0.060	0.067	0.058	0.060	0.061	0.074	0.059	0.064	0.061	0.059	0.063	0.062	0.059	0.058	0.061	0.057	0.063	0.061	0.093	0.335	0.333	0.335	0.334	0.335	0.320	0.334	0.334	0.334	0.335	0.335	0.347	0.334	0.334	0.333	0.335	0.335	0.335	0.331	0.334	0.349	0.334	0.334	0.348	0.348	0.351	0.335	0.334	0.319	0.335	0.335	0.330	-0.147	0.062	0.335	2016_7_15_9_11_30
