SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.284	0.287	0.286	0.284	0.284	0.253	0.287	0.282	0.286	0.286	0.283	0.287	0.283	0.284	0.283	0.283	0.287	0.285	0.285	0.283	0.287	0.287	0.284	0.288	0.286	0.287	0.285	0.286	0.285	0.284	0.287	0.287	0.085	0.098	0.092	0.091	0.088	0.084	0.093	0.092	0.096	0.088	0.088	0.094	0.091	0.086	0.093	0.087	0.091	0.089	0.091	0.093	0.095	0.096	0.091	0.131	0.124	0.128	0.092	0.131	0.094	0.088	0.095	0.127	-0.177	-0.180	-0.178	-0.178	-0.177	-0.167	-0.179	-0.177	-0.179	-0.178	-0.177	-0.179	-0.177	-0.177	-0.177	-0.177	-0.179	-0.178	-0.178	-0.178	-0.179	-0.179	-0.178	-0.186	-0.183	-0.184	-0.179	-0.184	-0.178	-0.177	-0.180	-0.184	0.284	0.097	-0.179	2016_7_15_9_23_00
F2LS3GSUHFM5____	-0.129	-0.132	-0.172	-0.132	-0.130	-0.131	-0.098	-0.132	-0.133	-0.130	-0.129	-0.130	-0.131	-0.129	-0.129	-0.131	-0.131	-0.132	-0.130	-0.169	-0.133	-0.097	-0.133	-0.132	-0.132	-0.132	-0.133	-0.168	-0.168	-0.130	-0.133	-0.129	-0.077	-0.077	-0.073	-0.079	-0.078	-0.075	-0.078	-0.078	-0.081	-0.079	-0.077	-0.076	-0.070	-0.077	-0.077	-0.074	-0.081	-0.077	-0.076	-0.084	-0.080	-0.075	-0.080	-0.073	-0.073	-0.079	-0.071	-0.074	-0.075	-0.075	-0.070	-0.026	-0.060	-0.059	-0.047	-0.059	-0.059	-0.059	-0.070	-0.058	-0.058	-0.060	-0.060	-0.060	-0.061	-0.060	-0.060	-0.060	-0.059	-0.059	-0.060	-0.046	-0.058	-0.070	-0.058	-0.059	-0.059	-0.059	-0.060	-0.048	-0.047	-0.059	-0.060	-0.067	-0.134	-0.075	-0.059	2016_7_15_9_23_05
F2LS3GZKHFM5____	-0.183	-0.185	-0.185	-0.185	-0.150	-0.183	-0.151	-0.185	-0.183	-0.150	-0.185	-0.151	-0.186	-0.185	-0.185	-0.152	-0.186	-0.153	-0.187	-0.183	-0.186	-0.184	-0.185	-0.185	-0.186	-0.151	-0.183	-0.183	-0.148	-0.149	-0.183	-0.184	-0.194	-0.197	-0.191	-0.194	-0.188	-0.189	-0.188	-0.184	-0.194	-0.188	-0.194	-0.185	-0.189	-0.192	-0.186	-0.183	-0.193	-0.190	-0.186	-0.188	-0.188	-0.192	-0.190	-0.190	-0.185	-0.193	-0.188	-0.191	-0.181	-0.178	-0.190	-0.230	-0.131	-0.131	-0.131	-0.132	-0.144	-0.133	-0.144	-0.133	-0.132	-0.144	-0.131	-0.144	-0.132	-0.132	-0.132	-0.144	-0.131	-0.143	-0.132	-0.133	-0.132	-0.132	-0.133	-0.132	-0.133	-0.143	-0.133	-0.133	-0.146	-0.145	-0.133	-0.127	-0.175	-0.190	-0.135	2016_7_15_9_23_10
F2LS3HTSHFM5____	0.142	0.142	0.144	0.144	0.145	0.142	0.142	0.147	0.143	0.142	0.141	0.142	0.141	0.143	0.146	0.141	0.143	0.142	0.147	0.144	0.146	0.142	0.144	0.143	0.147	0.143	0.141	0.143	0.144	0.143	0.142	0.147	0.028	0.028	0.024	0.029	0.028	0.025	0.031	0.025	0.030	0.027	0.026	0.028	0.019	0.029	0.022	0.023	0.027	0.029	0.020	0.024	0.023	0.029	0.028	0.009	0.016	0.021	0.009	0.008	0.013	0.013	0.009	0.026	-0.167	-0.166	-0.167	-0.167	-0.167	-0.166	-0.167	-0.168	-0.167	-0.167	-0.167	-0.167	-0.165	-0.167	-0.167	-0.166	-0.167	-0.167	-0.167	-0.167	-0.167	-0.167	-0.167	-0.164	-0.166	-0.166	-0.164	-0.164	-0.165	-0.164	-0.164	-0.169	0.143	0.023	-0.166	2016_7_15_9_23_15
F2LS3J5VHFM5____	-0.071	-0.069	-0.057	-0.067	-0.067	-0.073	-0.033	-0.064	-0.068	-0.069	-0.072	-0.064	-0.062	-0.071	-0.063	-0.072	-0.066	-0.070	-0.058	-0.028	-0.032	-0.033	-0.069	-0.065	-0.067	-0.064	-0.071	-0.067	-0.070	-0.071	-0.035	-0.071	-0.042	-0.069	-0.087	-0.035	-0.040	-0.046	-0.015	-0.063	-0.029	-0.039	-0.045	-0.037	-0.088	-0.040	-0.059	-0.080	-0.068	-0.037	-0.049	-0.041	-0.044	-0.029	-0.042	-0.123	-0.079	-0.076	-0.104	-0.124	-0.099	-0.108	-0.083	-0.085	-0.106	-0.102	-0.104	-0.108	-0.108	-0.105	-0.123	-0.106	-0.109	-0.107	-0.106	-0.109	-0.102	-0.107	-0.106	-0.100	-0.104	-0.107	-0.109	-0.120	-0.119	-0.120	-0.107	-0.095	-0.101	-0.104	-0.097	-0.096	-0.097	-0.096	-0.112	-0.100	-0.062	-0.063	-0.106	2016_7_15_9_23_23
F2LS3JECHFM5____	-0.114	-0.113	-0.115	-0.112	-0.114	-0.112	-0.114	-0.134	-0.113	-0.113	-0.135	-0.132	-0.114	-0.113	-0.136	-0.115	-0.133	-0.133	-0.139	-0.133	-0.115	-0.111	-0.113	-0.114	-0.128	-0.143	-0.118	-0.136	-0.115	-0.113	-0.134	-0.114	-0.004	-0.009	-0.004	0.029	-0.003	-0.003	-0.008	-0.005	-0.005	-0.008	-0.007	-0.015	-0.004	-0.004	-0.005	-0.004	-0.015	-0.014	-0.010	-0.004	-0.008	-0.002	-0.006	-0.013	-0.030	-0.006	-0.005	-0.003	-0.011	-0.009	0.008	-0.005	0.243	0.243	0.243	0.237	0.243	0.241	0.243	0.249	0.243	0.243	0.250	0.251	0.242	0.243	0.250	0.242	0.251	0.250	0.251	0.249	0.244	0.242	0.242	0.244	0.251	0.252	0.244	0.249	0.244	0.243	0.247	0.242	-0.122	-0.006	0.245	2016_7_15_9_23_27
F2LS3JHAHFM5____	0.098	0.214	0.105	0.107	0.106	0.146	0.108	0.141	0.179	0.107	0.180	0.106	0.104	0.141	0.107	0.217	0.191	0.143	0.106	0.104	0.107	0.108	0.144	0.108	0.141	0.143	0.147	0.145	0.110	0.143	0.110	0.146	0.053	0.061	0.084	0.027	0.052	0.057	0.082	0.086	0.092	0.053	0.091	0.052	0.078	0.089	0.046	0.066	0.079	0.084	0.082	0.054	0.040	0.052	0.060	0.021	0.116	0.087	0.079	0.082	0.035	0.080	0.025	0.146	-0.254	-0.293	-0.261	-0.253	-0.257	-0.271	-0.262	-0.273	-0.287	-0.257	-0.286	-0.257	-0.260	-0.273	-0.256	-0.295	-0.288	-0.273	-0.261	-0.257	-0.255	-0.257	-0.270	-0.253	-0.277	-0.274	-0.274	-0.274	-0.256	-0.273	-0.254	-0.284	0.133	0.068	-0.268	2016_7_15_9_23_31
F2LS3JJ8HFM5____	-0.783	-0.782	-0.780	-0.782	-0.782	-0.781	-0.782	-0.781	-0.782	-0.783	-0.784	-0.780	-0.781	-0.783	-0.780	-0.781	-0.782	-0.781	-0.782	-0.780	-0.780	-0.779	-0.781	-0.779	-0.813	-0.780	-0.779	-0.780	-0.780	-0.781	-0.780	-0.781	-0.254	-0.249	-0.255	-0.251	-0.253	-0.256	-0.251	-0.254	-0.254	-0.253	-0.253	-0.252	-0.257	-0.253	-0.252	-0.256	-0.255	-0.250	-0.255	-0.255	-0.249	-0.252	-0.251	-0.265	-0.266	-0.259	-0.254	-0.263	-0.253	-0.257	-0.259	-0.251	0.043	0.041	0.041	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.041	0.042	0.043	0.041	0.042	0.042	0.041	0.041	0.041	0.043	0.054	0.042	0.042	0.043	0.041	0.042	0.042	0.041	-0.782	-0.255	0.042	2016_7_15_9_23_35
F2LS3JTDHFM5____	0.114	0.148	0.149	0.150	0.115	0.147	0.147	0.150	0.147	0.147	0.147	0.149	0.149	0.146	0.149	0.149	0.116	0.149	0.146	0.182	0.149	0.148	0.149	0.113	0.113	0.147	0.110	0.113	0.149	0.115	0.113	0.146	0.006	0.009	0.004	0.009	-0.033	0.009	-0.021	0.012	0.012	0.008	0.011	0.008	0.008	0.012	0.016	0.010	0.008	0.011	0.005	0.007	0.012	0.005	0.009	-0.032	-0.032	0.009	0.003	0.011	0.009	0.006	0.006	0.001	-0.195	-0.208	-0.207	-0.208	-0.190	-0.207	-0.203	-0.208	-0.207	-0.207	-0.208	-0.208	-0.207	-0.208	-0.208	-0.208	-0.197	-0.208	-0.206	-0.218	-0.208	-0.207	-0.207	-0.189	-0.189	-0.207	-0.194	-0.196	-0.207	-0.196	-0.195	-0.205	0.139	0.004	-0.204	2016_7_15_9_23_38
F2LS3KP7HFM5____	-0.226	-0.228	-0.229	-0.227	-0.227	-0.229	-0.228	-0.217	-0.227	-0.286	-0.223	-0.289	-0.221	-0.227	-0.221	-0.229	-0.287	-0.228	-0.221	-0.284	-0.228	-0.229	-0.229	-0.229	-0.283	-0.293	-0.229	-0.156	-0.229	-0.230	-0.284	-0.284	0.059	0.054	0.046	0.056	0.057	0.054	0.057	0.081	0.063	-0.000	0.103	0.067	0.040	0.055	0.078	0.053	-0.001	0.058	0.025	0.049	0.056	0.054	0.055	0.044	-0.004	0.085	0.054	0.078	0.050	0.055	0.091	-0.008	0.353	0.354	0.356	0.354	0.354	0.355	0.354	0.347	0.353	0.382	0.345	0.373	0.354	0.354	0.349	0.355	0.382	0.354	0.357	0.373	0.355	0.354	0.354	0.356	0.381	0.371	0.355	0.327	0.355	0.356	0.368	0.382	-0.239	0.052	0.359	2016_7_15_9_23_41
