SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.056	-0.056	-0.056	-0.057	-0.056	-0.056	-0.057	-0.057	-0.056	-0.056	-0.056	-0.027	-0.056	-0.056	-0.056	-0.057	-0.055	-0.057	-0.056	-0.057	-0.056	-0.056	-0.056	-0.056	-0.056	-0.057	-0.057	-0.056	-0.056	-0.056	-0.056	-0.057	0.020	0.022	0.019	0.019	0.020	0.019	0.019	0.022	0.019	0.019	0.019	0.016	0.020	0.019	0.018	0.020	0.020	0.022	0.021	0.021	0.022	0.047	0.047	0.019	0.021	0.020	0.022	0.022	0.021	0.020	0.018	0.022	-0.023	-0.023	-0.024	-0.024	-0.024	-0.023	-0.024	-0.023	-0.023	-0.024	-0.024	-0.011	-0.024	-0.023	-0.023	-0.024	-0.023	-0.023	-0.023	-0.024	-0.023	-0.024	-0.024	-0.023	-0.023	-0.024	-0.024	-0.023	-0.023	-0.023	-0.023	-0.024	-0.055	0.022	-0.023	2016_7_15_10_16_50
F2LS3GSUHFM5____	0.102	0.101	0.102	0.102	0.129	0.102	0.102	0.130	0.130	0.103	0.103	0.130	0.129	0.129	0.101	0.102	0.129	0.130	0.129	0.129	0.129	0.102	0.102	0.129	0.101	0.102	0.129	0.129	0.129	0.101	0.130	0.129	0.086	0.114	0.086	0.087	0.115	0.114	0.087	0.113	0.116	0.085	0.085	0.086	0.115	0.114	0.089	0.088	0.084	0.113	0.113	0.087	0.113	0.113	0.113	0.114	0.087	0.088	0.113	0.113	0.086	0.088	0.112	0.113	-0.636	-0.638	-0.636	-0.636	-0.627	-0.637	-0.636	-0.626	-0.626	-0.636	-0.636	-0.625	-0.627	-0.626	-0.637	-0.636	-0.625	-0.626	-0.626	-0.625	-0.627	-0.638	-0.638	-0.626	-0.636	-0.636	-0.627	-0.627	-0.625	-0.637	-0.626	-0.627	0.116	0.101	-0.631	2016_7_15_10_16_54
F2LS3GZKHFM5____	-0.583	-0.583	-0.611	-0.583	-0.611	-0.583	-0.583	-0.611	-0.582	-0.612	-0.612	-0.583	-0.611	-0.611	-0.583	-0.611	-0.582	-0.611	-0.583	-0.583	-0.582	-0.583	-0.583	-0.611	-0.583	-0.611	-0.583	-0.582	-0.583	-0.583	-0.582	-0.583	-9.934	-9.930	-9.925	-9.929	-9.928	-9.929	-9.929	-9.953	-9.930	-9.897	-9.897	-9.925	-9.928	-9.954	-9.930	-9.930	-9.896	-9.953	-9.924	-9.926	-9.953	-9.926	-9.926	-9.954	-9.928	-9.930	-9.894	-9.953	-9.929	-9.926	-9.930	-9.894	0.648	0.649	0.635	0.646	0.636	0.648	0.646	0.637	0.644	0.633	0.633	0.647	0.636	0.636	0.645	0.633	0.642	0.637	0.646	0.647	0.645	0.646	0.646	0.636	0.647	0.633	0.645	0.645	0.646	0.641	0.645	0.645	-0.593	-9.928	0.642	2016_7_15_10_16_57
F2LS3HTSHFM5____	0.141	0.141	0.143	0.143	0.141	0.141	0.143	0.141	0.141	0.143	0.143	0.142	0.141	0.141	0.143	0.143	0.141	0.141	0.140	0.141	0.141	0.142	0.142	0.141	0.143	0.143	0.141	0.141	0.143	0.142	0.143	0.141	-0.116	-0.116	-0.115	-0.111	-0.086	-0.118	-0.111	-0.117	-0.062	-0.115	-0.115	-0.113	-0.086	-0.115	-0.088	-0.111	-0.086	-0.117	-0.116	-0.086	-0.089	-0.114	-0.114	-0.115	-0.112	-0.111	-0.087	-0.089	-0.111	-0.112	-0.088	-0.087	0.062	0.062	0.062	0.062	0.060	0.062	0.062	0.062	0.059	0.062	0.062	0.062	0.060	0.061	0.061	0.062	0.060	0.062	0.062	0.060	0.061	0.062	0.062	0.061	0.062	0.062	0.061	0.061	0.062	0.062	0.061	0.061	0.142	-0.104	0.061	2016_7_15_10_17_01
F2LS3J5VHFM5____	0.150	0.150	0.152	0.149	0.151	0.150	0.149	0.151	0.149	0.151	0.151	0.152	0.151	0.152	0.150	0.149	0.149	0.151	0.150	0.151	0.149	0.148	0.148	0.152	0.149	0.149	0.151	0.149	0.149	0.150	0.149	0.151	-0.214	-0.216	-0.192	-0.159	-0.188	-0.218	-0.159	-0.221	-0.161	-0.192	-0.192	-0.190	-0.188	-0.218	-0.158	-0.159	-0.163	-0.221	-0.220	-0.194	-0.192	-0.193	-0.193	-0.218	-0.159	-0.159	-0.193	-0.192	-0.156	-0.189	-0.160	-0.193	0.069	0.069	0.068	0.067	0.068	0.069	0.067	0.070	0.066	0.068	0.068	0.069	0.068	0.069	0.066	0.067	0.066	0.070	0.070	0.068	0.068	0.068	0.068	0.069	0.067	0.067	0.069	0.068	0.066	0.068	0.066	0.069	0.150	-0.188	0.068	2016_7_15_10_17_05
F2LS3JECHFM5____	0.202	0.172	0.201	0.201	0.201	0.237	0.201	0.202	0.202	0.201	0.201	0.202	0.201	0.203	0.172	0.202	0.203	0.202	0.202	0.202	0.202	0.201	0.201	0.203	0.201	0.202	0.202	0.202	0.202	0.201	0.173	0.202	-0.016	0.012	0.042	0.039	0.013	0.040	0.039	0.013	0.011	0.013	0.013	0.042	0.013	0.011	0.013	0.013	0.013	0.013	0.039	0.042	0.013	0.042	0.042	0.011	0.038	0.013	0.040	0.013	0.010	0.040	0.015	0.040	-0.592	-0.605	-0.594	-0.595	-0.593	-0.581	-0.595	-0.593	-0.593	-0.593	-0.593	-0.595	-0.593	-0.592	-0.605	-0.593	-0.592	-0.593	-0.594	-0.595	-0.593	-0.594	-0.594	-0.592	-0.595	-0.593	-0.594	-0.593	-0.593	-0.594	-0.606	-0.594	0.200	0.023	-0.594	2016_7_15_10_17_09
F2LS3JHAHFM5____	0.115	0.084	0.084	0.113	0.114	0.084	0.113	0.084	0.084	0.083	0.083	0.113	0.114	0.084	0.113	0.114	0.112	0.084	0.084	0.084	0.082	0.113	0.113	0.084	0.114	0.114	0.084	0.082	0.083	0.084	0.084	0.084	-0.190	-0.190	-0.192	-0.137	-0.161	-0.191	-0.137	-0.164	-0.192	-0.166	-0.166	-0.189	-0.161	-0.191	-0.186	-0.139	-0.163	-0.164	-0.164	-0.198	-0.165	-0.187	-0.187	-0.191	-0.138	-0.139	-0.165	-0.165	-0.163	-0.193	-0.165	-0.165	0.727	0.716	0.716	0.725	0.726	0.716	0.725	0.714	0.716	0.714	0.714	0.727	0.726	0.716	0.727	0.725	0.726	0.714	0.714	0.716	0.713	0.727	0.727	0.716	0.725	0.725	0.714	0.713	0.715	0.715	0.714	0.714	0.096	-0.171	0.719	2016_7_15_10_17_13
F2LS3JJ8HFM5____	0.175	0.206	0.207	0.206	0.206	0.206	0.206	0.207	0.175	0.204	0.204	0.207	0.206	0.176	0.207	0.177	0.206	0.207	0.206	0.207	0.176	0.205	0.205	0.176	0.176	0.177	0.207	0.176	0.177	0.207	0.176	0.207	-0.020	-0.020	-0.022	-0.045	-0.020	-0.018	-0.045	-0.021	-0.020	-0.047	-0.047	-0.048	-0.020	-0.021	-0.047	-0.045	-0.019	-0.021	-0.022	-0.048	-0.017	-0.046	-0.046	-0.021	-0.045	-0.045	-0.021	-0.017	-0.044	-0.021	-0.046	-0.021	-0.603	-0.591	-0.591	-0.589	-0.590	-0.591	-0.589	-0.590	-0.603	-0.589	-0.589	-0.588	-0.590	-0.602	-0.589	-0.601	-0.590	-0.590	-0.591	-0.589	-0.602	-0.590	-0.590	-0.602	-0.601	-0.601	-0.590	-0.602	-0.601	-0.589	-0.601	-0.590	0.196	-0.031	-0.594	2016_7_15_10_17_16
F2LS3JTDHFM5____	-0.007	-0.007	-0.006	0.023	-0.008	-0.007	0.023	-0.009	-0.006	-0.008	-0.008	-0.009	-0.008	-0.007	-0.008	-0.007	-0.008	-0.009	-0.009	0.021	-0.007	-0.007	-0.007	-0.007	-0.008	-0.007	-0.007	-0.007	-0.008	-0.040	-0.009	-0.007	0.036	0.013	-0.017	0.065	0.036	0.036	0.065	0.039	0.040	0.070	0.070	0.013	0.036	-0.016	0.015	0.065	0.069	0.039	-0.021	0.073	0.041	0.015	0.015	-0.016	-0.011	0.065	0.013	0.041	0.012	0.014	0.016	0.013	-0.678	-0.678	-0.675	-0.668	-0.679	-0.678	-0.668	-0.679	-0.678	-0.680	-0.680	-0.677	-0.679	-0.676	-0.678	-0.680	-0.680	-0.679	-0.677	-0.668	-0.679	-0.678	-0.678	-0.676	-0.677	-0.680	-0.678	-0.679	-0.677	-0.691	-0.678	-0.678	-0.006	0.029	-0.678	2016_7_15_10_17_20
F2LS3KP7HFM5____	-0.131	-0.100	-0.101	-0.131	-0.131	-0.101	-0.131	-0.131	-0.132	-0.131	-0.131	-0.131	-0.131	-0.131	-0.131	-0.131	-0.162	-0.131	-0.101	-0.131	-0.132	-0.131	-0.131	-0.131	-0.131	-0.131	-0.100	-0.132	-0.101	-0.131	-0.101	-0.100	0.058	0.057	0.060	0.063	0.059	0.061	0.063	0.059	0.058	0.028	0.028	0.060	0.059	0.059	0.056	0.090	0.026	0.059	0.059	-0.002	0.060	0.056	0.056	0.059	0.063	0.090	0.061	0.060	0.092	0.027	0.057	0.061	0.619	0.632	0.631	0.619	0.619	0.632	0.619	0.618	0.618	0.621	0.621	0.619	0.619	0.618	0.619	0.618	0.608	0.618	0.632	0.621	0.619	0.619	0.619	0.618	0.618	0.618	0.632	0.619	0.630	0.620	0.631	0.632	-0.125	0.056	0.622	2016_7_15_10_17_23
