SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-62.597	-62.774	-62.845	-62.667	-62.668	-62.705	-62.568	-62.640	-62.501	-62.500	-62.466	-62.527	-62.315	-62.353	-62.458	-62.351	-62.349	-62.418	-62.406	-62.422	-62.362	-62.422	-62.455	-62.328	-62.352	-62.490	-62.388	-62.354	-62.490	-62.352	-62.421	-62.393	143.138	143.354	143.424	143.460	143.389	143.422	143.492	143.568	143.496	143.390	143.464	143.285	143.314	143.279	143.390	143.211	143.279	143.423	143.420	143.460	143.493	143.425	143.321	143.460	143.425	143.427	143.531	143.496	143.216	143.461	143.320	143.497	113.744	113.772	113.785	113.720	113.731	113.738	113.682	113.695	113.659	113.674	113.652	113.699	113.623	113.641	113.660	113.650	113.640	113.642	113.638	113.638	113.613	113.643	113.669	113.606	113.620	113.666	113.616	113.610	113.696	113.614	113.658	113.623	2016_7_16_9_39_06
FLNS32DNGRX5____	-62.710	-62.847	-62.914	-62.742	-62.742	-62.780	-62.671	-62.708	-62.571	-62.573	-62.541	-62.603	-62.429	-62.430	-62.532	-62.463	-62.432	-62.493	-62.431	-62.494	-62.463	-62.497	-62.535	-62.433	-62.424	-62.565	-62.461	-62.424	-62.568	-62.427	-62.499	-62.460	143.155	143.371	143.440	143.473	143.405	143.437	143.508	143.544	143.509	143.403	143.472	143.297	143.328	143.293	143.406	143.225	143.290	143.435	143.431	143.475	143.508	143.437	143.330	143.476	143.439	143.439	143.544	143.510	143.230	143.472	143.329	143.475	113.560	113.574	113.587	113.524	113.534	113.542	113.495	113.502	113.461	113.477	113.457	113.503	113.440	113.446	113.463	113.467	113.447	113.446	113.426	113.441	113.425	113.447	113.475	113.420	113.422	113.469	113.420	113.412	113.501	113.418	113.464	113.429	2016_7_16_9_39_09
FLNS32G4GRX5____	-62.581	-62.722	-62.792	-62.616	-62.617	-62.653	-62.544	-62.580	-62.433	-62.433	-62.397	-62.476	-62.245	-62.337	-62.405	-62.333	-62.325	-62.369	-62.339	-62.370	-62.332	-62.370	-62.406	-62.293	-62.300	-62.440	-62.332	-62.300	-62.442	-62.301	-62.369	-62.333	143.167	143.382	143.449	143.484	143.414	143.450	143.519	143.554	143.517	143.412	143.482	143.309	143.297	143.306	143.416	143.235	143.302	143.444	143.450	143.484	143.519	143.451	143.344	143.483	143.451	143.450	143.554	143.519	143.239	143.484	143.345	143.487	113.365	113.381	113.395	113.330	113.341	113.348	113.301	113.308	113.264	113.279	113.257	113.309	113.233	113.263	113.269	113.272	113.259	113.253	113.242	113.248	113.230	113.253	113.280	113.222	113.229	113.276	113.225	113.219	113.308	113.224	113.268	113.235	2016_7_16_9_39_12
FLQS30BYGRX8____	-63.094	-63.268	-63.338	-63.163	-63.132	-63.202	-63.092	-63.123	-62.981	-62.982	-62.947	-63.025	-62.804	-62.852	-62.954	-62.883	-62.840	-62.881	-62.838	-62.917	-62.881	-62.918	-62.956	-62.842	-62.849	-62.987	-62.881	-62.847	-62.990	-62.849	-62.919	-62.882	143.076	143.299	143.365	143.400	143.325	143.365	143.434	143.469	143.431	143.327	143.394	143.223	143.246	143.215	143.330	143.147	143.211	143.352	143.350	143.398	143.432	143.365	143.257	143.396	143.364	143.365	143.467	143.433	143.154	143.398	143.259	143.401	113.850	113.875	113.889	113.825	113.826	113.844	113.797	113.802	113.760	113.776	113.754	113.805	113.728	113.748	113.766	113.769	113.745	113.738	113.724	113.743	113.726	113.748	113.777	113.718	113.725	113.772	113.721	113.715	113.804	113.720	113.764	113.731	2016_7_16_9_39_17
FLQS30DLGRXL____	-62.579	-62.721	-62.790	-62.614	-62.616	-62.651	-62.542	-62.576	-62.432	-62.432	-62.397	-62.475	-62.288	-62.337	-62.404	-62.331	-62.288	-62.366	-62.287	-62.369	-62.331	-62.369	-62.404	-62.290	-62.301	-62.439	-62.331	-62.298	-62.441	-62.300	-62.369	-62.333	143.215	143.428	143.498	143.533	143.461	143.496	143.566	143.603	143.566	143.461	143.530	143.357	143.386	143.353	143.461	143.283	143.346	143.492	143.486	143.531	143.567	143.497	143.392	143.532	143.495	143.496	143.602	143.566	143.287	143.530	143.392	143.532	113.608	113.625	113.638	113.573	113.585	113.591	113.544	113.550	113.508	113.523	113.501	113.553	113.485	113.507	113.514	113.515	113.491	113.496	113.470	113.491	113.473	113.496	113.523	113.465	113.474	113.520	113.468	113.462	113.551	113.468	113.512	113.479	2016_7_16_9_39_19
FLQS30GVGRX8____	-62.930	-63.073	-63.146	-62.968	-62.972	-63.004	-62.898	-62.933	-62.788	-62.786	-62.750	-62.827	-62.593	-62.687	-62.759	-62.683	-62.664	-62.720	-61.087	-62.725	-62.689	-62.722	-62.758	-62.647	-62.656	-62.792	-62.688	-62.655	-62.793	-62.653	-62.721	-62.690	143.216	143.429	143.497	143.533	143.462	143.498	143.568	143.604	143.566	143.461	143.533	143.358	143.348	143.355	143.462	143.285	143.316	143.494	143.501	143.531	143.566	143.499	143.393	143.532	143.497	143.499	143.601	143.566	143.288	143.532	143.394	143.532	113.644	113.661	113.675	113.610	113.622	113.628	113.582	113.588	113.545	113.560	113.537	113.589	113.512	113.542	113.551	113.551	113.540	113.533	112.982	113.529	113.512	113.533	113.561	113.503	113.511	113.556	113.507	113.501	113.588	113.505	113.548	113.517	2016_7_16_9_39_22
FLQS30KBGRX8____	-62.729	-62.907	-62.975	-62.795	-62.767	-62.867	-62.694	-62.757	-62.621	-62.621	-62.557	-62.655	-62.444	-62.519	-62.585	-62.484	-62.477	-62.551	-62.474	-62.549	-62.513	-62.550	-62.557	-62.450	-62.480	-62.619	-62.514	-62.479	-62.621	-62.450	-62.549	-62.484	143.146	143.405	143.470	143.469	143.394	143.434	143.502	143.541	143.504	143.398	143.468	143.294	143.318	143.289	143.400	143.215	143.283	143.428	143.424	143.469	143.505	143.434	143.325	143.466	143.435	143.434	143.540	143.504	143.224	143.466	143.329	143.468	113.803	113.824	113.837	113.777	113.779	113.806	113.739	113.754	113.714	113.729	113.698	113.756	113.681	113.711	113.717	113.710	113.698	113.701	113.676	113.695	113.677	113.700	113.719	113.662	113.676	113.723	113.673	113.666	113.755	113.662	113.715	113.673	2016_7_16_9_39_25
FLQS30LUGRXL	-62.665	-62.836	-62.905	-62.733	-62.702	-62.768	-62.629	-62.695	-62.561	-62.561	-62.527	-62.591	-62.384	-62.453	-62.522	-62.419	-62.418	-62.453	-62.475	-62.485	-62.423	-62.454	-62.489	-62.389	-62.416	-62.555	-62.451	-62.416	-62.526	-62.415	-62.453	-62.450	143.093	143.309	143.380	143.414	143.340	143.377	143.446	143.485	143.449	143.343	143.415	143.239	143.266	143.236	143.344	143.163	143.232	143.372	143.377	143.414	143.447	143.376	143.271	143.413	143.379	143.378	143.485	143.449	143.166	143.413	143.271	143.414	113.441	113.466	113.479	113.416	113.417	113.433	113.377	113.393	113.354	113.369	113.347	113.394	113.321	113.349	113.356	113.348	113.338	113.328	113.335	113.333	113.307	113.328	113.356	113.301	113.315	113.362	113.312	113.305	113.383	113.310	113.343	113.321	2016_7_16_9_39_27
FLQS31B0GRX2____	-62.404	-62.547	-62.616	-62.435	-62.437	-62.480	-62.363	-62.395	-62.265	-62.266	-62.237	-62.294	-62.091	-62.125	-62.224	-62.125	-62.124	-62.157	-62.122	-62.185	-62.155	-62.188	-62.193	-62.125	-62.117	-62.256	-62.155	-62.116	-62.259	-62.117	-62.189	-62.153	143.294	143.551	143.617	143.613	143.542	143.616	143.648	143.685	143.649	143.543	143.618	143.437	143.463	143.432	143.545	143.360	143.428	143.570	143.569	143.615	143.650	143.578	143.469	143.614	143.579	143.578	143.685	143.649	143.368	143.612	143.472	143.614	113.619	113.630	113.643	113.583	113.594	113.598	113.554	113.559	113.521	113.537	113.516	113.562	113.490	113.506	113.522	113.516	113.506	113.496	113.485	113.499	113.484	113.505	113.523	113.479	113.481	113.528	113.479	113.471	113.560	113.477	113.521	113.489	2016_7_16_9_39_31
FLQS31B2GRWM____	-61.875	-62.017	-62.081	-61.907	-61.908	-61.946	-61.837	-61.870	-61.741	-61.742	-61.713	-61.733	-61.564	-61.596	-61.696	-61.597	-61.600	-61.629	-61.597	-61.660	-61.627	-61.661	-61.663	-61.600	-61.591	-61.731	-61.626	-61.590	-61.733	-61.592	-61.662	-61.626	143.429	143.688	143.716	143.749	143.677	143.710	143.781	143.818	143.785	143.679	143.749	143.570	143.600	143.566	143.678	143.497	143.565	143.707	143.705	143.748	143.787	143.711	143.605	143.750	143.712	143.711	143.821	143.785	143.504	143.746	143.604	143.748	113.354	113.365	113.382	113.319	113.329	113.337	113.290	113.296	113.257	113.273	113.253	113.286	113.225	113.240	113.258	113.251	113.242	113.231	113.221	113.236	113.219	113.241	113.257	113.215	113.218	113.265	113.214	113.207	113.295	113.213	113.257	113.224	2016_7_16_9_39_33
