SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-29.380	-29.303	-29.354	-29.462	-29.390	-29.425	-29.424	-29.424	-29.356	-29.389	-29.495	-29.530	-29.356	-29.285	-29.218	-29.285	-29.356	-29.389	-29.354	-29.249	-29.301	-29.320	-29.319	-29.354	-29.356	-29.250	-29.320	-29.286	-29.356	-29.251	-29.426	-29.322	138.916	138.903	139.197	139.122	139.060	139.016	139.190	139.126	139.123	139.127	139.191	139.265	139.083	139.117	138.867	139.056	139.084	139.119	139.051	139.050	138.832	139.155	139.120	139.156	139.084	139.119	139.053	139.117	139.084	139.048	139.153	139.147	102.065	102.036	102.031	102.080	102.057	102.074	102.060	102.065	102.038	102.051	102.087	102.095	102.041	102.011	102.005	102.016	102.041	102.051	102.043	102.002	102.041	102.022	102.024	102.035	102.041	101.997	102.030	102.011	102.041	102.003	102.063	102.023	2016_7_16_9_42_29
FLNS32DNGRX5____	-29.308	-29.242	-29.295	-29.400	-29.328	-29.331	-29.363	-29.328	-29.294	-29.329	-29.433	-29.467	-29.294	-29.222	-29.116	-29.263	-29.260	-29.365	-29.296	-29.233	-29.249	-29.223	-29.261	-29.294	-29.260	-29.188	-29.261	-29.263	-29.260	-29.188	-29.364	-29.296	139.003	138.904	139.155	139.088	139.054	139.008	139.191	139.115	139.117	139.153	139.125	139.259	139.017	139.107	138.857	138.976	139.083	139.047	138.974	138.923	138.664	139.184	139.044	139.120	139.083	139.072	139.008	139.008	139.083	139.012	139.117	139.076	101.810	101.792	101.792	101.839	101.814	101.818	101.816	101.808	101.795	101.806	101.849	101.851	101.803	101.767	101.746	101.794	101.784	101.829	101.808	101.787	101.815	101.761	101.788	101.795	101.784	101.757	101.791	101.792	101.784	101.762	101.823	101.799	2016_7_16_9_42_32
FLNS32G4GRX5____	-29.361	-29.287	-29.334	-29.445	-29.374	-29.375	-29.410	-29.374	-29.341	-29.375	-29.479	-29.513	-29.339	-29.267	-29.167	-29.271	-29.304	-29.375	-29.305	-29.236	-29.291	-29.269	-29.270	-29.339	-29.304	-29.233	-29.271	-29.270	-29.304	-29.233	-29.410	-29.305	138.916	138.865	139.005	139.116	139.023	138.983	139.090	139.055	139.158	139.089	139.152	139.229	138.987	139.082	138.802	138.986	139.086	139.119	138.985	138.981	138.711	139.125	139.056	139.090	139.086	139.079	138.985	139.053	139.086	138.984	139.116	139.088	101.688	101.664	101.670	101.705	101.685	101.688	101.693	101.682	101.660	101.679	101.715	101.722	101.674	101.637	101.621	101.647	101.652	101.677	101.660	101.633	101.678	101.635	101.641	101.665	101.652	101.624	101.647	101.641	101.652	101.632	101.691	101.652	2016_7_16_9_42_36
FLQS30BYGRX8____	-29.769	-29.697	-29.747	-29.855	-29.783	-29.784	-29.818	-29.782	-29.749	-29.783	-29.888	-29.923	-29.713	-29.678	-29.574	-29.679	-29.714	-29.784	-29.712	-29.643	-29.697	-29.678	-29.678	-29.747	-29.714	-29.642	-29.679	-29.679	-29.714	-29.642	-29.818	-29.713	138.875	138.829	139.128	139.014	138.983	138.943	139.120	139.048	139.085	139.086	139.050	139.190	138.979	139.075	138.798	138.979	139.020	139.089	138.947	138.971	138.749	139.119	139.049	139.081	139.020	139.038	138.946	139.010	139.020	138.918	139.046	139.014	102.152	102.128	102.122	102.174	102.149	102.152	102.151	102.143	102.126	102.140	102.184	102.186	102.122	102.099	102.082	102.108	102.118	102.140	102.124	102.094	102.134	102.096	102.102	102.126	102.118	102.088	102.111	102.105	102.118	102.098	102.157	102.118	2016_7_16_9_42_39
FLQS30DLGRXL____	-29.247	-29.215	-29.257	-29.362	-29.292	-29.299	-29.332	-29.296	-29.262	-29.297	-29.368	-29.404	-29.257	-29.192	-29.091	-29.194	-29.228	-29.262	-29.229	-29.222	-29.215	-29.187	-29.187	-29.262	-29.228	-29.152	-29.195	-29.195	-29.228	-29.152	-29.327	-29.228	139.009	138.878	139.055	138.985	139.020	139.061	139.172	139.167	139.168	139.207	139.202	139.311	138.985	139.126	138.875	139.065	139.131	139.132	139.096	138.985	138.795	139.125	139.055	139.198	139.131	139.055	139.065	139.128	139.131	138.950	139.055	139.130	101.886	101.885	101.887	101.934	101.903	101.903	101.907	101.892	101.879	101.890	101.918	101.923	101.893	101.855	101.836	101.861	101.869	101.882	101.872	101.879	101.892	101.853	101.859	101.877	101.869	101.845	101.861	101.856	101.869	101.854	101.914	101.869	2016_7_16_9_42_48
FLQS30GVGRX8____	-29.432	-29.356	-29.405	-29.512	-29.441	-29.442	-29.477	-29.441	-29.407	-29.442	-29.546	-29.583	-29.408	-29.337	-29.233	-29.339	-29.374	-29.441	-29.371	-29.302	-29.357	-29.338	-29.338	-29.407	-29.374	-29.302	-29.339	-29.339	-29.374	-29.303	-29.479	-29.372	138.934	138.919	139.216	139.145	139.145	139.035	139.176	139.142	139.143	139.182	139.177	139.286	139.105	139.168	138.919	139.069	139.171	139.108	139.036	139.026	138.842	139.213	139.143	139.173	139.171	139.091	139.037	139.099	139.171	139.068	139.140	139.135	101.884	101.855	101.850	101.898	101.870	101.880	101.881	101.870	101.857	101.867	101.909	101.914	101.860	101.827	101.807	101.836	101.841	101.873	101.852	101.825	101.862	101.824	101.830	101.854	101.841	101.820	101.839	101.834	101.841	101.822	101.885	101.844	2016_7_16_9_42_51
FLQS30KBGRX8____	-29.351	-29.278	-29.327	-29.438	-29.327	-29.400	-29.362	-29.362	-29.330	-29.363	-29.470	-29.505	-29.294	-29.299	-29.154	-29.259	-29.294	-29.363	-29.330	-29.224	-29.281	-29.258	-29.259	-29.329	-29.294	-29.222	-29.259	-29.259	-29.294	-29.215	-29.399	-29.295	138.947	138.859	139.149	139.006	139.079	138.975	139.149	139.082	139.145	139.150	139.150	139.253	139.041	139.043	138.892	139.014	139.108	139.009	138.973	139.070	138.703	139.179	139.111	139.178	139.108	139.069	138.974	139.008	139.108	138.799	139.146	139.042	102.066	102.045	102.040	102.096	102.046	102.084	102.054	102.060	102.042	102.054	102.096	102.102	102.036	102.038	101.993	102.025	102.031	102.066	102.056	102.006	102.059	102.011	102.016	102.039	102.031	102.005	102.028	102.025	102.031	102.025	102.069	102.036	2016_7_16_9_42_53
FLQS31B0GRX2____	-29.072	-29.002	-29.037	-29.144	-29.073	-29.075	-29.107	-29.072	-29.038	-29.072	-29.178	-29.212	-29.037	-28.967	-28.862	-28.967	-29.002	-29.072	-29.002	-28.932	-29.002	-28.967	-28.967	-29.037	-29.002	-28.932	-28.967	-28.967	-29.002	-28.932	-29.107	-29.002	138.873	138.908	139.188	139.217	139.180	139.106	139.153	139.188	139.184	139.223	139.215	139.258	139.048	139.204	138.873	139.048	139.118	139.083	139.048	139.118	138.768	139.188	139.188	139.153	139.118	139.188	139.048	139.153	139.118	139.083	139.188	139.118	101.910	101.880	101.871	101.910	101.885	101.892	101.901	101.884	101.871	101.881	101.924	101.934	101.882	101.842	101.827	101.854	101.863	101.893	101.868	101.835	101.891	101.843	101.843	101.873	101.863	101.829	101.854	101.846	101.863	101.838	101.898	101.863	2016_7_16_9_42_56
FLQS30LUGRXL	-29.354	-29.289	-29.330	-29.439	-29.368	-29.370	-29.402	-29.366	-29.333	-29.367	-29.470	-29.508	-29.330	-29.260	-29.161	-29.266	-29.295	-29.365	-29.300	-29.229	-29.291	-29.264	-29.330	-29.330	-29.295	-29.225	-29.267	-29.265	-29.295	-29.229	-29.404	-29.299	138.962	138.790	139.072	139.126	139.062	138.987	139.163	139.125	139.127	139.166	139.037	139.271	138.932	139.072	138.874	139.051	139.072	139.037	139.020	139.049	138.713	139.159	139.072	139.107	139.072	139.072	139.049	139.082	139.072	138.987	139.124	139.118	101.718	101.707	101.700	101.738	101.715	101.723	101.721	101.709	101.696	101.706	101.758	101.753	101.711	101.672	101.649	101.676	101.686	101.716	101.692	101.662	101.714	101.667	101.700	101.697	101.686	101.658	101.677	101.673	101.686	101.667	101.724	101.684	2016_7_16_9_42_59
FLQS31B2GRWM____	-28.683	-28.610	-28.661	-28.755	-28.696	-28.697	-28.730	-28.685	-28.662	-28.696	-28.790	-28.835	-28.662	-28.590	-28.475	-28.594	-28.627	-28.685	-28.627	-28.556	-28.613	-28.591	-28.592	-28.660	-28.627	-28.554	-28.593	-28.593	-28.627	-28.557	-28.731	-28.626	139.098	139.009	139.361	139.193	139.228	139.184	139.300	139.193	139.291	139.328	139.228	139.406	139.220	139.251	138.948	139.218	139.287	139.088	139.216	139.216	138.925	139.358	139.289	139.324	139.287	139.280	139.189	139.251	139.287	139.157	139.265	139.259	101.670	101.649	101.641	101.691	101.665	101.669	101.673	101.663	101.646	101.657	101.702	101.705	101.652	101.621	101.600	101.625	101.633	101.672	101.639	101.611	101.657	101.613	101.619	101.643	101.633	101.605	101.627	101.623	101.633	101.616	101.676	101.635	2016_7_16_9_43_01
