SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-65.596	-65.453	-65.564	-65.313	-65.220	-65.351	-65.280	-65.383	-65.384	-65.320	-65.506	-65.324	-65.313	-65.421	-65.695	-65.277	-65.638	-65.394	-65.315	-65.393	-65.292	-65.279	-65.314	-65.147	-65.653	-65.313	-65.421	-65.592	-65.518	-65.376	-65.634	-65.341	131.378	131.203	131.344	131.207	131.200	131.065	131.207	131.064	131.104	130.970	131.183	131.177	131.207	131.101	131.269	131.135	131.143	131.181	131.064	131.179	130.968	131.240	131.137	131.028	131.201	131.101	130.860	131.306	131.133	131.235	131.142	131.270	116.656	116.637	116.650	116.587	116.555	116.625	116.575	116.636	116.630	116.630	116.658	116.596	116.587	116.643	116.709	116.586	116.711	116.620	116.612	116.620	116.621	116.569	116.599	116.559	116.707	116.605	116.685	116.667	116.671	116.604	116.710	116.586	2016_7_16_9_58_02
FLNS32DNGRX5____	-65.598	-65.456	-65.563	-65.314	-65.190	-65.357	-65.283	-65.388	-65.388	-65.327	-65.503	-65.327	-65.314	-65.423	-65.685	-65.284	-65.594	-65.396	-65.320	-65.396	-65.297	-65.275	-65.322	-65.154	-65.619	-65.322	-65.423	-65.586	-65.516	-65.369	-65.606	-65.336	131.395	131.172	131.356	131.219	131.214	131.035	131.219	131.072	131.104	130.970	131.195	131.185	131.219	131.113	131.246	131.106	131.158	131.185	131.034	131.184	130.974	131.250	131.105	131.003	131.180	131.070	130.864	131.281	131.148	131.210	131.159	131.242	116.434	116.424	116.429	116.366	116.323	116.413	116.355	116.417	116.411	116.414	116.436	116.376	116.366	116.422	116.491	116.375	116.474	116.400	116.400	116.400	116.402	116.346	116.388	116.347	116.479	116.394	116.466	116.450	116.448	116.386	116.478	116.369	2016_7_16_9_58_05
FLNS32G4GRX5____	-65.629	-65.453	-65.559	-65.307	-65.217	-65.351	-65.276	-65.381	-65.384	-65.321	-65.494	-65.356	-65.307	-65.418	-65.679	-65.274	-65.634	-65.392	-65.315	-65.423	-65.327	-65.268	-65.311	-65.182	-65.572	-65.311	-65.419	-65.541	-65.470	-65.365	-65.624	-65.327	131.411	131.178	131.370	131.188	131.182	131.040	131.189	131.047	131.084	130.979	131.206	131.158	131.188	131.081	131.298	131.117	131.133	131.160	131.044	131.159	130.945	131.216	131.115	131.007	131.230	131.081	130.842	131.338	131.161	131.213	131.172	131.253	116.292	116.272	116.275	116.219	116.188	116.260	116.208	116.269	116.264	116.260	116.281	116.241	116.219	116.276	116.330	116.219	116.342	116.253	116.247	116.264	116.268	116.200	116.233	116.206	116.304	116.239	116.318	116.274	116.280	116.235	116.332	116.214	2016_7_16_9_58_08
FLQS30BYGRX8____	-66.136	-65.993	-66.101	-65.820	-65.780	-65.893	-65.817	-65.926	-65.925	-65.859	-66.092	-65.912	-65.820	-65.961	-66.196	-65.820	-66.139	-65.935	-65.822	-65.934	-65.830	-65.825	-65.852	-65.741	-66.167	-65.850	-65.920	-66.131	-66.065	-65.880	-66.141	-65.882	131.191	131.014	131.157	131.018	131.014	130.875	131.018	130.878	130.914	130.779	131.032	131.024	131.018	130.913	131.082	130.950	130.999	131.030	130.874	131.023	130.780	131.049	130.946	130.838	131.012	130.911	130.673	131.118	130.942	131.044	130.993	131.079	116.807	116.788	116.801	116.727	116.714	116.778	116.726	116.789	116.782	116.783	116.820	116.758	116.727	116.795	116.847	116.739	116.842	116.765	116.753	116.766	116.773	116.723	116.751	116.731	116.849	116.756	116.823	116.818	116.826	116.744	116.844	116.738	2016_7_16_9_58_10
FLQS30DLGRXL____	-65.520	-65.374	-65.484	-65.233	-65.148	-65.272	-65.201	-65.303	-65.303	-65.237	-65.418	-65.240	-65.233	-65.339	-65.613	-65.200	-65.523	-65.349	-65.237	-65.346	-65.242	-65.203	-65.236	-65.110	-65.541	-65.235	-65.337	-65.507	-65.473	-65.287	-65.560	-65.227	131.450	131.234	131.411	131.279	131.235	131.136	131.235	131.137	131.175	131.040	131.252	131.246	131.279	131.172	131.302	131.207	131.214	131.252	131.135	131.248	131.040	131.311	131.207	131.062	131.235	131.131	130.935	131.335	131.204	131.263	131.216	131.343	116.498	116.485	116.493	116.428	116.406	116.466	116.424	116.477	116.470	116.471	116.497	116.436	116.428	116.484	116.557	116.429	116.541	116.473	116.454	116.473	116.473	116.412	116.441	116.422	116.543	116.454	116.524	116.514	116.525	116.449	116.553	116.415	2016_7_16_9_58_13
FLQS30GVGRX8____	-65.911	-65.740	-65.878	-65.632	-65.510	-65.673	-65.565	-65.669	-65.670	-65.639	-65.819	-65.644	-65.632	-65.740	-65.974	-65.597	-65.918	-65.713	-65.636	-65.710	-65.611	-65.596	-65.632	-65.470	-65.938	-65.631	-65.739	-65.871	-65.835	-65.695	-65.922	-65.627	131.404	131.225	131.370	131.233	131.226	131.087	131.231	131.089	131.132	130.998	131.207	131.203	131.233	131.077	131.298	131.158	131.210	131.210	131.090	131.205	130.994	131.262	131.157	131.056	131.228	131.122	130.892	131.335	131.159	131.259	131.208	131.300	116.561	116.533	116.556	116.494	116.452	116.533	116.471	116.532	116.524	116.537	116.564	116.503	116.494	116.559	116.602	116.494	116.598	116.526	116.520	116.526	116.528	116.476	116.507	116.468	116.602	116.513	116.591	116.559	116.578	116.511	116.599	116.480	2016_7_16_9_58_16
FLQS30KBGRX8____	-65.788	-65.642	-65.754	-65.500	-65.410	-65.544	-65.471	-65.576	-65.578	-65.510	-65.692	-65.514	-65.500	-65.613	-65.879	-65.469	-65.790	-65.585	-65.508	-65.580	-65.482	-65.463	-65.505	-65.341	-65.808	-65.506	-65.612	-65.775	-65.671	-65.523	-65.791	-65.527	131.447	131.265	131.410	131.272	131.222	131.128	131.273	131.128	131.160	131.028	131.248	131.236	131.272	131.166	131.295	131.201	131.208	131.240	131.129	131.235	131.023	131.303	131.202	131.086	131.269	131.123	130.919	131.327	131.198	131.261	131.250	131.290	116.726	116.707	116.721	116.656	116.634	116.697	116.646	116.708	116.703	116.702	116.727	116.668	116.656	116.714	116.784	116.658	116.769	116.691	116.684	116.691	116.693	116.638	116.670	116.633	116.764	116.684	116.757	116.742	116.729	116.666	116.762	116.663	2016_7_16_9_58_19
FLQS31B0GRX2____	-65.380	-65.238	-65.348	-65.096	-65.009	-65.137	-65.067	-65.172	-65.173	-65.141	-65.328	-65.146	-65.096	-65.211	-65.477	-65.067	-65.423	-65.216	-65.102	-65.215	-65.082	-65.062	-65.105	-65.007	-65.408	-65.104	-65.207	-65.372	-65.304	-65.196	-65.426	-65.127	131.582	131.356	131.546	131.409	131.402	131.262	131.364	131.222	131.296	131.162	131.380	131.370	131.409	131.257	131.433	131.292	131.344	131.374	131.219	131.371	131.158	131.439	131.292	131.189	131.404	131.257	131.054	131.464	131.334	131.391	131.345	131.431	116.508	116.498	116.503	116.439	116.410	116.479	116.437	116.498	116.485	116.498	116.525	116.464	116.439	116.506	116.568	116.449	116.565	116.487	116.474	116.487	116.478	116.422	116.462	116.446	116.549	116.468	116.540	116.526	116.525	116.477	116.565	116.446	2016_7_16_9_58_23
FLQS30LUGRXL	-65.665	-65.522	-65.633	-65.383	-65.296	-65.419	-65.352	-65.453	-65.452	-65.422	-65.612	-65.434	-65.383	-65.493	-65.758	-65.351	-65.670	-65.498	-65.385	-65.497	-65.394	-65.350	-65.387	-65.256	-65.695	-65.386	-65.486	-65.661	-65.587	-65.445	-65.671	-65.412	131.336	131.158	131.304	131.166	131.164	131.023	131.164	131.022	131.068	130.932	131.180	131.138	131.166	131.058	131.231	131.095	131.105	131.143	131.020	131.140	130.894	131.194	131.094	130.993	131.164	131.060	130.822	131.265	131.093	131.195	131.147	131.232	116.355	116.336	116.349	116.286	116.256	116.323	116.275	116.336	116.327	116.340	116.363	116.309	116.286	116.343	116.405	116.287	116.397	116.330	116.312	116.330	116.337	116.269	116.300	116.271	116.395	116.305	116.382	116.365	116.370	116.302	116.390	116.284	2016_7_16_9_58_26
FLQS31B2GRWM____	-64.901	-64.756	-64.865	-64.617	-64.492	-64.658	-64.585	-64.687	-64.688	-64.626	-64.804	-64.629	-64.617	-64.724	-64.962	-64.585	-64.899	-64.696	-64.623	-64.694	-64.594	-64.578	-64.621	-64.455	-64.892	-64.622	-64.722	-64.858	-64.783	-64.642	-64.906	-64.610	131.678	131.498	131.641	131.504	131.495	131.360	131.502	131.362	131.395	131.262	131.519	131.474	131.504	131.396	131.573	131.432	131.484	131.474	131.359	131.473	131.262	131.536	131.432	131.322	131.502	131.396	131.157	131.606	131.431	131.536	131.483	131.571	116.257	116.237	116.250	116.187	116.145	116.227	116.176	116.236	116.231	116.232	116.250	116.196	116.187	116.243	116.296	116.188	116.289	116.220	116.214	116.219	116.221	116.168	116.201	116.162	116.284	116.207	116.284	116.254	116.258	116.190	116.292	116.173	2016_7_16_9_58_28
