SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-67.104	-66.933	-66.992	-66.933	-67.070	-66.998	-66.995	-67.030	-67.001	-67.031	-66.994	-67.061	-66.994	-66.959	-66.996	-66.961	-66.961	-66.956	-67.009	-67.026	-67.139	-66.956	-67.033	-66.963	-67.031	-67.028	-67.064	-66.996	-67.102	-66.991	-67.041	-67.005	138.555	138.584	138.449	138.584	138.555	138.486	138.588	138.587	138.588	138.553	138.452	138.625	138.589	138.514	138.552	138.557	138.557	138.555	138.622	138.555	138.555	138.590	138.515	138.518	138.585	138.522	138.586	138.549	138.586	138.625	138.588	138.622	115.965	115.903	115.944	115.903	115.953	115.940	115.923	115.935	115.925	115.940	115.944	115.939	115.922	115.923	115.929	115.916	115.916	115.915	115.922	115.938	115.976	115.909	115.947	115.923	115.935	115.944	115.946	115.929	115.959	115.915	115.938	115.921	2016_7_16_10_08_04
FLNS32DNGRX5____	-67.138	-66.963	-67.033	-66.963	-67.092	-67.033	-67.033	-67.068	-67.020	-67.068	-67.033	-67.068	-67.033	-66.998	-67.017	-66.998	-66.998	-66.963	-67.021	-67.017	-67.160	-66.963	-67.068	-66.998	-67.050	-67.068	-67.103	-67.033	-67.138	-66.998	-67.060	-67.033	138.573	138.538	138.398	138.538	138.535	138.503	138.468	138.538	138.527	138.503	138.398	138.573	138.538	138.468	138.492	138.503	138.503	138.573	138.618	138.557	138.539	138.538	138.468	138.468	138.561	138.468	138.538	138.503	138.538	138.503	138.576	138.573	115.754	115.701	115.747	115.701	115.745	115.730	115.736	115.736	115.722	115.742	115.747	115.731	115.724	115.724	115.726	115.718	115.718	115.695	115.707	115.716	115.767	115.701	115.748	115.724	115.726	115.748	115.748	115.730	115.760	115.718	115.727	115.719	2016_7_16_10_08_06
FLNS32G4GRX5____	-67.053	-66.889	-66.959	-66.889	-67.018	-66.959	-66.948	-66.984	-66.950	-66.994	-66.959	-66.981	-66.959	-66.914	-66.949	-66.914	-66.914	-66.889	-66.952	-66.959	-67.099	-66.889	-66.984	-66.914	-66.983	-66.982	-67.029	-66.948	-67.064	-66.924	-66.986	-66.950	138.641	138.620	138.480	138.620	138.641	138.515	138.676	138.673	138.676	138.585	138.480	138.707	138.620	138.603	138.642	138.647	138.647	138.655	138.662	138.655	138.585	138.620	138.606	138.602	138.674	138.609	138.620	138.642	138.620	138.655	138.633	138.714	115.564	115.513	115.559	115.513	115.553	115.553	115.524	115.536	115.524	115.554	115.559	115.530	115.536	115.524	115.530	115.517	115.517	115.507	115.527	115.531	115.589	115.513	115.547	115.524	115.536	115.546	115.560	115.529	115.572	115.519	115.543	115.518	2016_7_16_10_08_09
FLQS30BYGRX8____	-67.537	-67.369	-67.438	-67.369	-67.502	-67.433	-67.436	-67.472	-67.432	-67.471	-67.436	-67.470	-67.436	-67.402	-67.436	-67.401	-67.401	-67.367	-67.431	-67.436	-67.572	-67.368	-67.469	-67.399	-67.470	-67.471	-67.504	-67.436	-67.540	-67.406	-67.465	-67.431	138.494	138.528	138.393	138.528	138.495	138.429	138.531	138.527	138.527	138.492	138.394	138.567	138.530	138.461	138.497	138.501	138.501	138.563	138.565	138.570	138.494	138.535	138.463	138.459	138.530	138.462	138.535	138.497	138.534	138.617	138.532	138.565	116.050	115.988	116.033	115.988	116.038	116.026	116.010	116.023	116.009	116.028	116.032	116.016	116.010	116.010	116.015	116.003	116.003	115.982	116.003	116.004	116.061	115.987	116.032	116.009	116.022	116.033	116.032	116.015	116.044	115.986	116.019	116.003	2016_7_16_10_08_12
FLQS30DLGRXL____	-67.038	-66.869	-66.932	-66.869	-67.001	-66.930	-66.934	-66.967	-66.933	-66.966	-66.929	-66.965	-66.932	-66.897	-66.934	-66.896	-66.896	-66.865	-66.937	-66.933	-67.069	-66.862	-66.970	-66.896	-66.969	-66.964	-67.001	-66.935	-67.037	-66.898	-66.970	-66.936	138.686	138.719	138.538	138.719	138.642	138.620	138.678	138.720	138.720	138.637	138.586	138.753	138.723	138.649	138.689	138.691	138.691	138.753	138.760	138.755	138.636	138.716	138.651	138.653	138.719	138.655	138.721	138.688	138.718	138.712	138.728	138.760	115.803	115.741	115.791	115.741	115.798	115.778	115.770	115.774	115.762	115.787	115.783	115.768	115.762	115.762	115.768	115.755	115.755	115.734	115.757	115.757	115.822	115.739	115.786	115.761	115.774	115.783	115.785	115.768	115.798	115.752	115.773	115.757	2016_7_16_10_08_15
FLQS30GVGRX8____	-67.320	-67.150	-67.222	-67.150	-67.286	-67.214	-67.222	-67.252	-67.215	-67.255	-67.220	-67.250	-67.219	-67.187	-67.219	-67.182	-67.182	-67.149	-67.215	-67.218	-67.356	-67.153	-67.226	-67.182	-67.255	-67.252	-67.288	-67.219	-67.322	-67.189	-67.248	-67.214	138.637	138.665	138.491	138.665	138.599	138.567	138.630	138.669	138.669	138.596	138.491	138.703	138.666	138.558	138.634	138.637	138.637	138.700	138.707	138.705	138.597	138.673	138.603	138.559	138.629	138.603	138.633	138.632	138.667	138.706	138.673	138.706	115.824	115.762	115.815	115.762	115.819	115.800	115.792	115.796	115.783	115.809	115.814	115.790	115.785	115.792	115.790	115.777	115.777	115.756	115.777	115.779	115.842	115.762	115.798	115.790	115.803	115.806	115.814	115.791	115.820	115.769	115.794	115.777	2016_7_16_10_08_17
FLQS30KBGRX8____	-67.190	-67.015	-67.095	-67.015	-67.155	-67.085	-67.091	-67.120	-67.085	-67.120	-67.085	-67.120	-67.085	-67.057	-67.085	-67.058	-67.058	-67.015	-67.087	-67.085	-67.225	-67.015	-67.120	-67.050	-67.120	-67.130	-67.155	-67.085	-67.198	-67.057	-67.123	-67.085	138.554	138.589	138.461	138.589	138.554	138.484	138.641	138.589	138.589	138.554	138.449	138.624	138.589	138.568	138.554	138.608	138.608	138.624	138.676	138.624	138.554	138.589	138.519	138.519	138.589	138.530	138.589	138.554	138.602	138.683	138.638	138.624	116.009	115.945	115.992	115.945	115.998	115.986	115.962	115.980	115.968	115.986	115.991	115.975	115.968	115.962	115.974	115.956	115.956	115.939	115.955	115.963	116.021	115.945	115.992	115.968	115.980	115.993	115.992	115.974	116.004	115.944	115.973	115.963	2016_7_16_10_08_20
FLQS30LUGRXL	-67.130	-66.955	-67.025	-66.955	-67.095	-67.025	-67.025	-67.060	-67.025	-67.060	-67.012	-67.060	-67.025	-66.990	-67.025	-66.990	-66.990	-66.955	-67.013	-67.025	-67.165	-66.955	-67.060	-66.990	-67.060	-67.060	-67.095	-67.025	-67.073	-66.990	-67.049	-67.025	138.512	138.547	138.407	138.547	138.512	138.442	138.547	138.547	138.547	138.512	138.455	138.582	138.547	138.477	138.512	138.512	138.512	138.582	138.636	138.582	138.512	138.547	138.477	138.477	138.547	138.477	138.547	138.512	138.545	138.582	138.601	138.582	115.648	115.584	115.630	115.584	115.636	115.624	115.607	115.619	115.607	115.624	115.617	115.613	115.607	115.607	115.613	115.601	115.601	115.578	115.589	115.601	115.660	115.584	115.630	115.607	115.619	115.630	115.631	115.613	115.623	115.590	115.606	115.601	2016_7_16_10_08_23
FLQS31B0GRX2____	-66.838	-66.663	-66.727	-66.663	-66.803	-66.731	-66.802	-66.837	-66.802	-66.837	-66.802	-66.763	-66.802	-66.767	-66.802	-66.767	-66.767	-66.662	-66.802	-66.802	-66.873	-66.732	-66.766	-66.700	-66.837	-66.763	-66.799	-66.732	-66.907	-66.696	-66.837	-66.738	138.773	138.810	138.684	138.810	138.775	138.714	138.803	138.803	138.803	138.768	138.663	138.845	138.803	138.733	138.768	138.768	138.768	138.843	138.838	138.838	138.775	138.803	138.743	138.747	138.803	138.745	138.811	138.698	138.803	138.853	138.803	138.845	115.804	115.739	115.781	115.739	115.792	115.778	115.787	115.799	115.787	115.804	115.809	115.767	115.787	115.786	115.793	115.781	115.781	115.733	115.781	115.781	115.815	115.763	115.784	115.761	115.799	115.783	115.785	115.780	115.822	115.743	115.799	115.759	2016_7_16_10_08_26
FLQS31B2GRWM____	-66.351	-66.164	-66.242	-66.164	-66.282	-66.248	-66.233	-66.241	-66.245	-66.277	-66.246	-66.273	-66.235	-66.204	-66.240	-66.203	-66.203	-66.164	-66.244	-66.240	-66.384	-66.130	-66.271	-66.212	-66.238	-66.280	-66.309	-66.236	-66.310	-66.168	-66.286	-66.246	138.881	138.850	138.762	138.850	138.869	138.748	138.905	138.903	138.906	138.867	138.712	138.930	138.904	138.838	138.819	138.883	138.883	138.950	138.897	138.884	138.882	138.922	138.836	138.841	138.901	138.789	138.903	138.823	138.918	138.913	138.857	138.947	115.555	115.497	115.538	115.497	115.534	115.542	115.512	115.515	115.516	115.533	115.547	115.521	115.513	115.513	115.528	115.505	115.505	115.481	115.517	115.517	115.566	115.474	115.536	115.515	115.514	115.546	115.538	115.526	115.535	115.489	115.537	115.509	2016_7_16_10_08_29
