SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-63.821	-63.789	-63.712	-63.795	-63.757	-63.717	-63.680	-63.752	-63.717	-63.752	-63.757	-63.713	-63.753	-63.713	-63.755	-63.713	-63.713	-63.680	-63.755	-63.761	-63.713	-63.678	-63.755	-63.797	-63.712	-63.712	-63.761	-63.712	-63.757	-63.761	-63.759	-63.680	-94.167	-94.168	-94.132	-94.247	-94.138	-94.174	-94.140	-94.169	-94.174	-94.169	-94.138	-94.169	-94.138	-94.171	-94.242	-94.171	-94.169	-94.175	-94.242	-94.214	-94.171	-94.212	-94.242	-94.211	-94.132	-94.132	-94.214	-94.132	-94.138	-94.214	-94.243	-94.175	235.668	235.682	235.704	235.702	235.687	235.714	235.719	235.698	235.714	235.698	235.687	235.714	235.689	235.714	235.717	235.714	235.714	235.729	235.717	235.707	235.714	235.741	235.717	235.691	235.704	235.704	235.707	235.704	235.687	235.707	235.716	235.729	2016_7_16_10_37_15
FLNS32DNGRX5____	-64.202	-64.130	-64.056	-64.094	-64.058	-64.058	-64.021	-64.094	-64.058	-64.094	-64.058	-64.056	-64.092	-64.059	-64.057	-64.059	-64.056	-64.021	-64.057	-64.059	-64.059	-64.021	-64.057	-64.095	-64.056	-64.056	-64.059	-64.056	-64.058	-64.059	-64.057	-64.021	-94.336	-94.329	-94.260	-94.329	-94.297	-94.329	-94.267	-94.293	-94.329	-94.293	-94.297	-94.296	-94.295	-94.330	-94.333	-94.330	-94.296	-94.301	-94.333	-94.298	-94.330	-94.367	-94.333	-94.297	-94.260	-94.260	-94.298	-94.260	-94.297	-94.298	-94.366	-94.301	236.038	236.066	236.077	236.081	236.087	236.096	236.094	236.071	236.096	236.071	236.087	236.087	236.072	236.096	236.098	236.096	236.087	236.103	236.098	236.087	236.096	236.122	236.098	236.071	236.077	236.077	236.087	236.077	236.087	236.087	236.107	236.103	2016_7_16_10_37_17
FLNS32G4GRX5____	-64.061	-64.029	-63.960	-63.992	-63.958	-63.958	-63.924	-63.994	-63.958	-63.994	-63.958	-63.959	-63.994	-63.960	-63.957	-63.960	-63.959	-63.922	-63.957	-63.957	-63.960	-63.922	-63.957	-63.994	-63.960	-63.960	-63.957	-63.960	-63.958	-63.957	-63.957	-63.922	-94.293	-94.293	-94.261	-94.330	-94.259	-94.294	-94.261	-94.290	-94.294	-94.290	-94.259	-94.293	-94.258	-94.291	-94.327	-94.291	-94.293	-94.292	-94.327	-94.296	-94.291	-94.327	-94.327	-94.294	-94.261	-94.261	-94.296	-94.261	-94.259	-94.296	-94.332	-94.292	235.568	235.581	235.601	235.607	235.601	235.611	235.616	235.595	235.611	235.595	235.601	235.611	235.586	235.609	235.621	235.609	235.611	235.625	235.621	235.612	235.609	235.636	235.621	235.596	235.601	235.601	235.612	235.601	235.601	235.612	235.623	235.625	2016_7_16_10_37_20
FLQS30BYGRX8____	-63.893	-63.861	-63.789	-63.826	-63.791	-63.791	-63.755	-63.866	-63.791	-63.866	-63.791	-63.790	-63.825	-63.788	-63.786	-63.788	-63.790	-63.753	-63.786	-63.790	-63.788	-63.752	-63.786	-63.866	-63.789	-63.789	-63.790	-63.789	-63.791	-63.790	-63.792	-63.753	-94.437	-94.436	-94.402	-94.471	-94.407	-94.438	-94.406	-94.473	-94.438	-94.473	-94.407	-94.434	-94.402	-94.434	-94.471	-94.434	-94.434	-94.437	-94.471	-94.475	-94.434	-94.472	-94.471	-94.441	-94.402	-94.402	-94.475	-94.402	-94.407	-94.475	-94.475	-94.437	235.642	235.655	235.675	235.679	235.676	235.684	235.690	235.663	235.684	235.663	235.676	235.684	235.660	235.685	235.696	235.685	235.684	235.700	235.696	235.695	235.685	235.710	235.696	235.654	235.675	235.675	235.695	235.675	235.676	235.695	235.695	235.700	2016_7_16_10_37_22
FLQS30DLGRXL____	-63.898	-63.908	-63.827	-63.870	-63.834	-63.834	-63.795	-63.869	-63.834	-63.869	-63.834	-63.829	-63.869	-63.829	-63.829	-63.829	-63.829	-63.795	-63.829	-63.835	-63.829	-63.754	-63.829	-63.871	-63.827	-63.827	-63.835	-63.827	-63.834	-63.835	-63.797	-63.795	-94.203	-94.205	-94.173	-94.240	-94.141	-94.207	-94.177	-94.204	-94.207	-94.204	-94.141	-94.208	-94.171	-94.206	-94.245	-94.206	-94.208	-94.210	-94.245	-94.208	-94.206	-94.248	-94.245	-94.208	-94.173	-94.173	-94.208	-94.173	-94.141	-94.208	-94.240	-94.210	235.555	235.551	235.576	235.577	235.564	235.583	235.590	235.567	235.583	235.567	235.564	235.585	235.558	235.584	235.595	235.584	235.585	235.600	235.595	235.582	235.584	235.628	235.595	235.567	235.576	235.576	235.582	235.576	235.564	235.582	235.607	235.600	2016_7_16_10_37_27
FLQS30GVGRX8____	-64.354	-64.322	-64.252	-64.289	-64.251	-64.250	-64.218	-64.288	-64.250	-64.288	-64.251	-64.251	-64.288	-64.253	-64.251	-64.253	-64.251	-64.219	-64.251	-64.253	-64.253	-64.217	-64.251	-64.288	-64.252	-64.252	-64.253	-64.252	-64.251	-64.253	-64.254	-64.219	-94.223	-94.220	-94.186	-94.304	-94.191	-94.223	-94.192	-94.220	-94.223	-94.220	-94.191	-94.219	-94.188	-94.261	-94.296	-94.261	-94.219	-94.262	-94.296	-94.270	-94.261	-94.296	-94.296	-94.226	-94.186	-94.186	-94.270	-94.186	-94.191	-94.270	-94.304	-94.262	235.352	235.364	235.384	235.401	235.386	235.395	235.399	235.378	235.395	235.378	235.386	235.394	235.369	235.404	235.415	235.404	235.394	235.419	235.415	235.407	235.404	235.429	235.415	235.380	235.384	235.384	235.407	235.384	235.386	235.407	235.416	235.419	2016_7_16_10_37_30
FLQS30KBGRX8____	-64.430	-64.397	-64.328	-64.362	-64.323	-64.327	-64.294	-64.363	-64.327	-64.363	-64.323	-64.327	-64.364	-64.327	-64.327	-64.327	-64.327	-64.289	-64.327	-64.327	-64.327	-64.289	-64.327	-64.364	-64.328	-64.328	-64.327	-64.328	-64.323	-64.327	-64.329	-64.289	-94.141	-94.141	-94.109	-94.187	-94.112	-94.145	-94.112	-94.145	-94.145	-94.145	-94.112	-94.145	-94.112	-94.144	-94.182	-94.144	-94.145	-94.146	-94.182	-94.151	-94.144	-94.180	-94.182	-94.151	-94.109	-94.109	-94.151	-94.109	-94.112	-94.151	-94.182	-94.146	235.381	235.394	235.414	235.422	235.417	235.424	235.429	235.409	235.424	235.409	235.417	235.424	235.400	235.424	235.435	235.424	235.424	235.440	235.435	235.426	235.424	235.450	235.435	235.410	235.414	235.414	235.426	235.414	235.417	235.426	235.434	235.440	2016_7_16_10_37_32
FLQS30LUGRXL	-63.818	-63.843	-63.714	-63.792	-63.756	-63.756	-63.719	-63.791	-63.756	-63.791	-63.756	-63.714	-63.750	-63.714	-63.751	-63.714	-63.714	-63.720	-63.751	-63.759	-63.714	-63.720	-63.751	-63.793	-63.714	-63.714	-63.759	-63.714	-63.756	-63.759	-63.760	-63.720	-94.201	-94.226	-94.171	-94.245	-94.174	-94.208	-94.177	-94.201	-94.208	-94.201	-94.174	-94.208	-94.168	-94.207	-94.246	-94.207	-94.208	-94.213	-94.246	-94.213	-94.207	-94.210	-94.246	-94.208	-94.171	-94.171	-94.213	-94.171	-94.174	-94.213	-94.245	-94.213	235.612	235.609	235.647	235.635	235.630	235.640	235.647	235.624	235.640	235.624	235.630	235.657	235.631	235.657	235.653	235.657	235.657	235.656	235.653	235.640	235.657	235.656	235.653	235.624	235.647	235.647	235.640	235.647	235.630	235.640	235.649	235.656	2016_7_16_10_37_35
FLQS31B0GRX2____	-64.431	-64.397	-64.323	-64.363	-64.327	-64.326	-64.292	-64.361	-64.326	-64.361	-64.327	-64.324	-64.361	-64.325	-64.323	-64.325	-64.324	-64.291	-64.323	-64.327	-64.325	-64.290	-64.323	-64.363	-64.323	-64.323	-64.327	-64.323	-64.327	-64.327	-64.329	-64.291	-94.087	-94.090	-94.055	-94.129	-94.057	-94.090	-94.062	-94.088	-94.090	-94.088	-94.057	-94.092	-94.056	-94.092	-94.127	-94.092	-94.092	-94.094	-94.127	-94.095	-94.092	-94.130	-94.127	-94.092	-94.055	-94.055	-94.095	-94.055	-94.057	-94.095	-94.130	-94.094	235.479	235.494	235.515	235.519	235.514	235.523	235.530	235.508	235.523	235.508	235.514	235.525	235.499	235.524	235.535	235.524	235.525	235.539	235.535	235.524	235.524	235.550	235.535	235.509	235.515	235.515	235.524	235.515	235.514	235.524	235.534	235.539	2016_7_16_10_37_37
FLQS31B2GRWM____	-64.274	-64.240	-64.122	-64.203	-64.167	-64.166	-64.130	-64.203	-64.166	-64.203	-64.167	-64.122	-64.202	-64.166	-64.159	-64.166	-64.122	-64.130	-64.159	-64.168	-64.166	-64.126	-64.159	-64.205	-64.122	-64.122	-64.168	-64.122	-64.167	-64.168	-64.168	-64.130	-93.946	-93.944	-93.913	-93.982	-93.914	-93.946	-93.918	-93.942	-93.946	-93.942	-93.914	-93.946	-93.909	-93.942	-93.979	-93.942	-93.946	-93.948	-93.979	-93.951	-93.942	-93.981	-93.979	-93.947	-93.913	-93.913	-93.951	-93.913	-93.914	-93.951	-93.985	-93.948	235.272	235.286	235.326	235.312	235.307	235.317	235.324	235.300	235.317	235.300	235.307	235.335	235.291	235.316	235.329	235.316	235.335	235.332	235.329	235.318	235.316	235.343	235.329	235.301	235.326	235.326	235.318	235.326	235.307	235.318	235.327	235.332	2016_7_16_10_37_40
