SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-62.558	-62.706	-62.777	-62.599	-62.603	-62.638	-62.530	-62.565	-62.430	-62.431	-62.396	-62.461	-62.269	-62.284	-62.389	-62.316	-62.303	-62.344	-62.253	-62.353	-62.320	-62.354	-62.388	-62.289	-62.286	-62.423	-62.320	-62.284	-62.424	-62.284	-62.354	-62.320	143.165	143.412	143.480	143.519	143.446	143.480	143.551	143.588	143.551	143.445	143.518	143.341	143.338	143.339	143.447	143.272	143.303	143.445	143.502	143.517	143.552	143.481	143.377	143.519	143.480	143.482	143.587	143.553	143.274	143.517	143.376	143.516	113.576	113.590	113.604	113.538	113.550	113.557	113.510	113.517	113.477	113.493	113.470	113.518	113.454	113.459	113.478	113.479	113.470	113.464	113.425	113.456	113.440	113.461	113.488	113.434	113.439	113.485	113.435	113.428	113.515	113.433	113.477	113.445	2016_7_16_9_29_46
FLNS32DNGRX5____	-63.007	-63.146	-63.214	-63.041	-63.041	-63.113	-62.969	-63.007	-62.863	-62.866	-62.834	-62.904	-62.723	-62.760	-62.830	-62.795	-62.757	-62.792	4.478	-62.794	-62.762	-62.797	-62.835	-62.724	-62.724	-62.864	-62.761	-62.723	-62.868	-62.725	-62.798	-62.759	143.081	143.298	143.366	143.400	143.330	143.365	143.435	143.469	143.432	143.328	143.395	143.222	143.250	143.221	143.332	143.151	143.214	143.358	149.236	143.401	143.432	143.366	143.256	143.398	143.365	143.367	143.467	143.436	143.155	143.398	143.258	143.402	113.814	113.829	113.841	113.778	113.789	113.808	113.749	113.757	113.714	113.730	113.710	113.759	113.694	113.710	113.718	113.733	113.710	113.701	88.328	113.695	113.680	113.702	113.731	113.672	113.677	113.724	113.675	113.666	113.756	113.673	113.718	113.683	2016_7_16_9_29_52
FLNS32G4GRX5____	-62.678	-62.847	-62.925	-62.747	-62.743	-62.753	-62.646	-62.714	-62.532	-62.532	-62.492	-62.602	-62.376	-62.427	-62.537	-62.421	-62.410	-62.457	-62.339	-62.472	-62.464	-62.472	-62.509	-62.383	-62.405	-62.541	-62.434	-62.403	-62.575	-62.404	-62.472	-62.437	143.212	143.395	143.495	143.534	143.426	143.495	143.563	143.602	143.559	143.455	143.493	143.322	143.344	143.313	143.465	143.242	143.309	143.452	143.436	143.529	143.566	143.497	143.388	143.491	143.495	143.495	143.597	143.563	143.287	143.529	143.390	143.531	113.567	113.597	113.609	113.544	113.558	113.551	113.505	113.522	113.468	113.483	113.464	113.526	113.447	113.468	113.483	113.477	113.463	113.458	113.421	113.452	113.444	113.457	113.485	113.427	113.434	113.480	113.429	113.424	113.522	113.429	113.472	113.440	2016_7_16_9_30_15
FLQS30BYGRX8____	-62.950	-63.131	-63.203	-63.026	-63.021	-63.063	-62.955	-62.988	-62.810	-62.851	-62.777	-62.880	-62.662	-62.708	-62.816	-62.703	-62.698	-62.738	-62.697	-62.780	-62.706	-62.780	-62.808	-62.669	-62.703	-62.849	-62.706	-62.709	-62.840	-62.678	-62.742	-62.747	143.097	143.351	143.417	143.454	143.348	143.417	143.486	143.523	143.451	143.381	143.417	143.243	143.268	143.235	143.382	143.165	143.233	143.375	143.373	143.452	143.450	143.418	143.278	143.415	143.383	143.417	143.485	143.486	143.171	143.449	143.276	143.452	113.704	113.727	113.742	113.677	113.691	113.695	113.649	113.654	113.605	113.629	113.599	113.659	113.583	113.603	113.617	113.611	113.600	113.592	113.579	113.595	113.571	113.600	113.630	113.563	113.579	113.623	113.565	113.566	113.657	113.562	113.608	113.584	2016_7_16_9_30_24
FLQS30DLGRXL____	-62.790	-62.928	-62.994	-62.822	-62.824	-62.863	-62.747	-62.783	-62.648	-62.651	-62.619	-62.682	-62.511	-62.546	-62.610	-62.546	-62.545	-62.578	-62.542	-62.572	-62.542	-62.575	-62.613	-62.508	-62.503	-62.644	-62.543	-62.503	-62.646	-62.504	-62.577	-62.537	143.164	143.383	143.453	143.483	143.412	143.447	143.520	143.554	143.518	143.414	143.483	143.307	143.334	143.303	143.416	143.232	143.299	143.442	143.439	143.486	143.520	143.450	143.340	143.483	143.450	143.450	143.555	143.520	143.238	143.483	143.341	143.487	113.568	113.582	113.594	113.532	113.543	113.551	113.502	113.508	113.469	113.485	113.464	113.511	113.450	113.466	113.471	113.476	113.466	113.456	113.445	113.448	113.433	113.454	113.483	113.427	113.430	113.477	113.428	113.420	113.509	113.425	113.471	113.436	2016_7_16_9_32_17
FLQS30GVGRX8____	-62.720	-62.865	-62.938	-62.761	-62.762	-62.826	-62.719	-62.751	-62.579	-62.579	-62.546	-62.649	-62.431	-62.478	-62.550	-62.473	-62.466	-62.508	-62.462	-62.543	-62.508	-62.512	-62.548	-62.438	-62.445	-62.582	-62.508	-62.443	-62.616	-62.442	-62.512	-62.478	143.091	143.305	143.376	143.409	143.338	143.378	143.448	143.483	143.445	143.340	143.412	143.239	143.264	143.230	143.339	143.160	143.228	143.370	143.369	143.413	143.449	143.376	143.271	143.410	143.374	143.376	143.484	143.444	143.168	143.410	143.271	143.410	113.560	113.577	113.591	113.527	113.537	113.553	113.507	113.512	113.460	113.476	113.454	113.514	113.437	113.458	113.466	113.467	113.454	113.448	113.432	113.453	113.436	113.448	113.475	113.418	113.426	113.472	113.431	113.415	113.513	113.420	113.463	113.432	2016_7_16_9_32_20
FLQS30KBGRX8____	-62.576	-62.722	-62.791	-62.618	-62.619	-62.654	-62.547	-62.580	-62.444	-62.444	-62.402	-62.479	-62.291	-62.300	-62.409	-62.331	-62.292	-62.365	-62.291	-62.371	-62.335	-62.372	-62.401	-62.292	-62.303	-62.442	-62.329	-62.293	-62.444	-62.304	-62.373	-62.336	143.169	143.419	143.487	143.522	143.451	143.486	143.555	143.592	143.555	143.451	143.489	143.347	143.339	143.303	143.451	143.237	143.300	143.447	143.441	143.522	143.558	143.486	143.345	143.487	143.487	143.486	143.558	143.522	143.278	143.521	143.380	143.522	113.620	113.632	113.645	113.582	113.592	113.599	113.553	113.559	113.519	113.534	113.514	113.561	113.499	113.507	113.522	113.527	113.505	113.508	113.484	113.499	113.482	113.505	113.535	113.477	113.481	113.528	113.479	113.473	113.559	113.477	113.520	113.487	2016_7_16_9_32_23
FLQS30LUGRXL	-62.635	-62.783	-62.819	-62.680	-62.680	-62.714	-62.607	-62.641	-62.509	-62.507	-62.465	-62.538	-62.350	-62.391	-62.469	-62.389	-62.384	-62.423	-62.383	-62.430	-62.400	-62.431	-62.459	-62.355	-62.363	-62.501	-62.400	-62.360	-62.495	-62.361	-62.431	-62.398	143.177	143.425	143.491	143.529	143.458	143.493	143.563	143.599	143.562	143.457	143.497	143.354	143.348	143.315	143.458	143.245	143.313	143.455	143.453	143.529	143.563	143.493	143.353	143.496	143.493	143.493	143.598	143.564	143.249	143.528	143.387	143.528	113.496	113.509	113.511	113.459	113.470	113.476	113.430	113.436	113.397	113.412	113.392	113.437	113.375	113.394	113.399	113.403	113.392	113.384	113.371	113.376	113.360	113.381	113.411	113.355	113.358	113.405	113.356	113.347	113.438	113.353	113.397	113.365	2016_7_16_9_32_26
FLQS31B0GRX2____	-62.503	-62.647	-62.716	-62.542	-62.543	-62.580	-62.463	-62.497	-62.375	-62.367	-62.342	-62.401	-62.223	-62.258	-62.333	-62.259	-62.257	-62.292	-62.256	-62.295	-62.264	-62.289	-62.326	-62.224	-62.227	-62.358	-62.291	-62.218	-62.390	-62.226	-62.291	-62.253	143.177	143.430	143.498	143.532	143.462	143.496	143.532	143.568	143.567	143.427	143.533	143.357	143.348	143.317	143.462	143.246	143.313	143.456	143.454	143.534	143.568	143.461	143.355	143.498	143.498	143.462	143.570	143.532	143.252	143.531	143.355	143.497	113.469	113.481	113.494	113.430	113.441	113.448	113.404	113.410	113.369	113.387	113.363	113.409	113.350	113.366	113.370	113.377	113.367	113.358	113.346	113.347	113.332	113.356	113.384	113.329	113.329	113.379	113.341	113.322	113.420	113.324	113.372	113.338	2016_7_16_9_32_29
FLQS31B2GRWM____	-62.675	-62.810	-62.880	-62.743	-62.744	-62.780	-62.637	-62.670	-62.542	-62.542	-62.543	-62.602	-62.424	-62.430	-62.497	-62.430	-62.432	-62.463	-62.430	-62.494	-62.461	-62.462	-62.528	-62.400	-62.425	-62.531	-62.461	-62.424	-62.568	-62.426	-62.462	-62.459	143.080	143.259	143.366	143.401	143.331	143.365	143.433	143.469	143.434	143.329	143.401	143.225	143.216	143.220	143.330	143.149	143.216	143.359	143.356	143.403	143.437	143.364	143.220	143.400	143.366	143.364	143.472	143.437	143.157	143.400	143.257	143.402	113.599	113.618	113.626	113.574	113.585	113.592	113.534	113.540	113.502	113.518	113.507	113.553	113.495	113.496	113.502	113.506	113.497	113.487	113.476	113.491	113.475	113.486	113.529	113.460	113.473	113.509	113.469	113.462	113.551	113.468	113.501	113.479	2016_7_16_9_32_32
