SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-35.986	-35.889	-35.853	-35.853	-35.853	-35.889	-35.808	-35.894	-35.773	-35.853	-35.847	-35.853	-35.773	-35.928	-35.809	-35.773	-35.810	-35.818	-35.808	-35.808	-35.894	-35.773	-35.845	-35.855	-35.894	-35.854	-35.930	-35.810	-35.894	-35.893	-35.800	-35.887	139.978	140.024	140.060	140.060	140.060	140.094	140.022	140.057	140.020	140.060	139.988	140.060	140.057	140.092	140.057	140.056	139.951	140.059	140.092	140.092	139.994	140.056	140.058	139.988	139.994	139.987	140.021	140.058	139.994	139.994	139.996	140.059	104.390	104.348	104.331	104.331	104.331	104.342	104.318	104.347	104.305	104.331	104.336	104.331	104.301	104.357	104.315	104.301	104.325	104.318	104.311	104.311	104.353	104.301	104.328	104.339	104.353	104.339	104.364	104.315	104.353	104.353	104.317	104.344	2016_7_16_9_44_00
FLNS32DNGRX5____	-36.273	-36.177	-36.141	-36.141	-36.141	-36.141	-36.094	-36.179	-36.060	-36.141	-36.132	-36.141	-36.059	-36.215	-36.095	-36.059	-36.095	-36.106	-36.132	-36.132	-36.142	-36.059	-36.131	-36.143	-36.142	-36.142	-36.180	-36.095	-36.142	-36.142	-36.046	-36.178	139.998	140.037	140.072	140.072	140.072	140.108	140.035	140.068	140.037	140.072	140.002	140.072	140.075	140.105	140.072	140.070	139.965	140.072	140.108	140.108	140.037	140.070	140.072	140.001	140.037	140.000	140.032	140.070	140.037	140.036	140.044	140.077	104.573	104.532	104.515	104.515	104.515	104.511	104.501	104.530	104.487	104.515	104.518	104.515	104.483	104.540	104.497	104.484	104.508	104.502	104.508	104.508	104.519	104.484	104.511	104.523	104.519	104.522	104.534	104.498	104.519	104.519	104.481	104.529	2016_7_16_9_44_03
FLNS32G4GRX5____	-36.187	-36.098	-36.063	-36.063	-36.063	-36.063	-36.025	-36.103	-35.990	-36.063	-36.062	-36.063	-35.990	-36.138	-36.026	-35.991	-36.027	-36.026	-36.025	-36.025	-36.063	-35.991	-36.061	-36.064	-36.063	-36.065	-36.103	-36.026	-36.063	-36.064	-35.978	-36.099	140.045	140.122	140.155	140.155	140.155	140.191	140.121	140.155	140.123	140.155	140.088	140.155	140.160	140.189	140.157	140.157	140.052	140.155	140.189	140.189	140.119	140.157	140.158	140.084	140.119	140.086	140.119	140.157	140.119	140.120	140.120	140.159	104.419	104.377	104.360	104.360	104.360	104.356	104.349	104.375	104.335	104.360	104.366	104.360	104.332	104.385	104.346	104.332	104.356	104.346	104.342	104.342	104.364	104.332	104.359	104.367	104.364	104.368	104.379	104.346	104.364	104.364	104.331	104.374	2016_7_16_9_44_06
FLQS30BYGRX8____	-36.287	-36.186	-36.151	-36.151	-36.151	-36.189	-36.105	-36.191	-36.068	-36.151	-36.143	-36.151	-36.068	-36.227	-36.105	-36.070	-36.106	-36.116	-36.106	-36.106	-36.189	-36.070	-36.141	-36.189	-36.189	-36.189	-36.191	-36.146	-36.189	-36.151	-36.061	-36.225	139.916	139.959	139.994	139.994	139.994	140.028	139.960	139.991	139.958	139.994	139.926	139.994	139.997	140.027	139.997	139.994	139.890	139.996	140.031	140.031	139.958	139.994	139.994	139.922	139.958	139.923	139.955	139.996	139.958	139.959	139.964	139.996	104.498	104.455	104.438	104.438	104.438	104.449	104.424	104.454	104.410	104.438	104.442	104.438	104.406	104.464	104.421	104.407	104.432	104.425	104.417	104.417	104.457	104.407	104.435	104.460	104.457	104.460	104.457	104.436	104.457	104.442	104.407	104.467	2016_7_16_9_44_09
FLQS30DLGRXL____	-36.134	-36.037	-36.000	-36.000	-36.000	-36.000	-35.958	-36.043	-35.923	-36.000	-35.993	-36.000	-35.921	-36.077	-35.958	-35.921	-35.959	-35.966	-35.957	-35.957	-36.001	-35.921	-35.993	-36.001	-36.001	-36.001	-36.042	-35.959	-36.001	-36.002	-35.911	-36.038	140.058	140.100	140.101	140.101	140.101	140.137	140.100	140.135	140.099	140.101	140.064	140.101	140.135	140.169	140.134	140.132	140.029	140.136	140.169	140.169	140.067	140.132	140.134	140.063	140.067	140.030	140.099	140.134	140.067	140.066	140.071	140.135	104.353	104.312	104.297	104.297	104.297	104.294	104.281	104.310	104.268	104.297	104.298	104.297	104.264	104.320	104.278	104.264	104.289	104.281	104.274	104.274	104.301	104.264	104.291	104.302	104.301	104.305	104.314	104.278	104.301	104.301	104.266	104.309	2016_7_16_9_44_29
FLQS30GVGRX8____	-36.106	-36.006	-35.971	-35.971	-35.971	-35.970	-35.929	-36.011	-35.894	-35.971	-35.925	-35.971	-35.894	-36.046	-35.931	-35.894	-35.892	-35.939	-35.931	-35.931	-35.972	-35.894	-35.925	-35.971	-35.972	-35.930	-35.971	-35.932	-35.972	-35.972	-35.848	-36.008	139.911	139.914	139.952	139.952	139.952	139.987	139.952	139.950	139.953	139.952	139.917	139.952	139.991	139.987	139.989	139.987	139.882	139.989	140.022	140.022	139.915	139.987	139.956	139.888	139.915	139.917	139.950	139.988	139.915	139.916	139.922	139.990	104.361	104.322	104.305	104.305	104.305	104.301	104.289	104.321	104.276	104.305	104.291	104.305	104.272	104.331	104.286	104.272	104.282	104.289	104.283	104.283	104.309	104.272	104.287	104.311	104.309	104.293	104.305	104.287	104.309	104.309	104.261	104.316	2016_7_16_9_44_32
FLQS30KBGRX8____	-35.972	-35.883	-35.847	-35.847	-35.847	-35.847	-35.800	-35.886	-35.728	-35.847	-35.839	-35.847	-35.727	-35.922	-35.800	-35.728	-35.800	-35.813	-35.798	-35.798	-35.848	-35.728	-35.835	-35.848	-35.848	-35.847	-35.886	-35.800	-35.848	-35.848	-35.751	-35.884	140.008	140.051	140.085	140.085	140.085	140.121	140.049	140.085	140.052	140.085	140.016	140.085	140.089	140.122	140.084	140.086	139.984	140.083	140.122	140.122	140.050	140.086	140.090	140.014	140.050	140.014	140.049	140.084	140.050	140.050	140.057	140.089	104.420	104.381	104.364	104.364	104.364	104.361	104.349	104.379	104.322	104.364	104.368	104.364	104.317	104.389	104.346	104.318	104.356	104.351	104.342	104.342	104.368	104.318	104.359	104.371	104.368	104.371	104.383	104.346	104.368	104.368	104.330	104.378	2016_7_16_9_44_35
FLQS30LUGRXL	-35.940	-35.850	-35.777	-35.777	-35.777	-35.815	-35.733	-35.817	-35.697	-35.777	-35.771	-35.777	-35.698	-35.854	-35.735	-35.698	-35.735	-35.777	-35.735	-35.735	-35.772	-35.698	-35.768	-35.777	-35.772	-35.776	-35.819	-35.734	-35.772	-35.777	-35.679	-35.851	140.055	140.128	140.157	140.157	140.157	140.195	140.129	140.158	140.132	140.157	140.093	140.157	140.170	140.195	140.166	140.165	140.060	140.160	140.196	140.196	140.086	140.165	140.125	140.088	140.086	140.090	140.122	140.165	140.086	140.121	140.124	140.167	104.260	104.219	104.188	104.188	104.188	104.199	104.174	104.203	104.160	104.188	104.192	104.188	104.156	104.214	104.171	104.157	104.181	104.188	104.168	104.168	104.193	104.157	104.188	104.195	104.193	104.194	104.207	104.171	104.193	104.191	104.154	104.215	2016_7_16_9_44_38
FLQS31B0GRX2____	-35.952	-35.866	-35.829	-35.829	-35.829	-35.830	-35.800	-35.867	-35.765	-35.829	-35.835	-35.829	-35.759	-35.867	-35.796	-35.765	-35.800	-35.791	-35.800	-35.800	-35.831	-35.765	-35.832	-35.833	-35.831	-35.833	-35.868	-35.800	-35.831	-35.830	-35.765	-35.871	140.094	140.133	140.167	140.167	140.167	140.204	140.114	140.164	140.114	140.167	140.079	140.167	140.177	140.197	140.175	140.149	140.044	140.167	140.184	140.184	140.133	140.149	140.173	140.099	140.133	140.100	140.129	140.149	140.133	140.130	140.114	140.176	104.279	104.242	104.225	104.225	104.225	104.221	104.219	104.240	104.205	104.225	104.236	104.225	104.197	104.236	104.211	104.202	104.226	104.210	104.212	104.212	104.229	104.202	104.225	104.233	104.229	104.233	104.243	104.215	104.229	104.228	104.205	104.240	2016_7_16_9_44_42
FLQS31B2GRWM____	-36.141	-36.046	-36.011	-36.011	-36.011	-36.010	-35.964	-36.049	-35.928	-36.011	-36.002	-36.011	-35.928	-36.085	-35.965	-35.928	-35.967	-35.976	-35.966	-35.966	-36.011	-35.928	-36.001	-36.012	-36.011	-36.011	-36.048	-35.965	-36.011	-36.011	-35.918	-36.046	140.002	140.043	140.076	140.076	140.076	140.111	140.045	140.077	140.046	140.076	140.009	140.076	140.083	140.112	140.081	140.080	139.975	140.077	140.115	140.115	140.043	140.080	140.078	140.007	140.043	140.009	140.041	140.080	140.043	140.041	140.047	140.081	104.418	104.378	104.361	104.361	104.361	104.357	104.346	104.375	104.332	104.361	104.364	104.361	104.328	104.386	104.343	104.329	104.354	104.347	104.340	104.340	104.364	104.329	104.357	104.368	104.364	104.368	104.379	104.343	104.364	104.364	104.328	104.374	2016_7_16_9_44_45
