SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-30.562	-30.500	-30.497	-30.270	-30.497	-30.499	-30.569	-30.465	-30.569	-30.533	-30.498	-30.498	-30.392	-30.566	-30.671	-30.640	-30.497	-30.533	-30.603	-30.605	-30.279	-30.533	-30.604	-30.530	-30.448	-30.499	-30.525	-30.243	-30.489	-30.531	-30.603	-30.638	131.208	131.392	131.251	131.202	131.251	131.184	131.428	131.462	131.217	131.253	131.325	131.462	131.356	131.287	131.427	131.251	131.324	131.357	131.460	131.393	131.416	131.392	131.358	131.288	131.307	131.394	131.484	131.415	131.514	131.392	131.287	131.426	103.085	103.041	103.054	102.964	103.054	103.061	103.066	103.020	103.087	103.068	103.047	103.034	103.000	103.079	103.109	103.113	103.047	103.058	103.077	103.085	102.947	103.055	103.088	103.064	103.028	103.041	103.043	102.933	103.025	103.054	103.094	103.095	2016_7_16_9_54_23
FLNS32DNGRX5____	-30.739	-30.673	-30.705	-30.468	-30.703	-30.706	-30.771	-30.643	-30.776	-30.711	-30.674	-30.671	-30.567	-30.740	-30.881	-30.849	-30.671	-30.707	-30.776	-30.811	-30.451	-30.710	-30.811	-30.709	-30.654	-30.669	-30.691	-30.420	-30.689	-30.706	-30.776	-30.811	131.279	131.472	131.361	131.311	131.362	131.295	131.509	131.571	131.294	131.365	131.435	131.543	131.433	131.398	131.537	131.364	131.432	131.467	131.572	131.473	131.492	131.505	131.469	131.401	131.414	131.473	131.566	131.491	131.598	131.468	131.364	131.537	103.226	103.180	103.204	103.111	103.203	103.210	103.217	103.158	103.240	103.206	103.183	103.172	103.140	103.214	103.259	103.263	103.183	103.194	103.213	103.236	103.086	103.192	103.237	103.201	103.177	103.178	103.178	103.073	103.174	103.194	103.233	103.230	2016_7_16_9_54_26
FLNS32G4GRX5____	-30.664	-30.602	-30.603	-30.392	-30.631	-30.602	-30.700	-30.573	-30.673	-30.637	-30.602	-30.601	-30.493	-30.670	-30.774	-30.776	-30.598	-30.636	-30.708	-30.710	-30.376	-30.639	-30.739	-30.635	-30.580	-30.599	-30.621	-30.349	-30.583	-30.634	-30.706	-30.740	131.365	131.558	131.448	131.396	131.447	131.380	131.592	131.657	131.376	131.450	131.521	131.660	131.550	131.482	131.623	131.450	131.516	131.555	131.658	131.589	131.575	131.590	131.554	131.487	131.500	131.559	131.684	131.574	131.719	131.586	131.446	131.621	103.069	103.025	103.036	102.954	103.048	103.043	103.062	103.004	103.072	103.050	103.029	103.015	102.981	103.061	103.090	103.108	103.027	103.040	103.059	103.067	102.930	103.038	103.082	103.046	103.022	103.024	103.021	102.919	103.002	103.036	103.079	103.076	2016_7_16_9_54_29
FLQS30BYGRX8____	-30.858	-30.800	-30.798	-30.570	-30.795	-30.797	-30.868	-30.764	-30.866	-30.830	-30.797	-30.802	-30.693	-30.867	-30.968	-30.938	-30.799	-30.830	-30.903	-30.900	-30.541	-30.833	-30.906	-30.831	-30.743	-30.803	-30.788	-30.547	-30.787	-30.829	-30.903	-30.937	131.107	131.321	131.182	131.133	131.182	131.114	131.357	131.394	131.148	131.184	131.252	131.392	131.287	131.218	131.360	131.184	131.252	131.288	131.392	131.321	131.350	131.322	131.288	131.217	131.238	131.323	131.415	131.313	131.418	131.325	131.219	131.357	103.204	103.159	103.171	103.082	103.170	103.178	103.183	103.136	103.203	103.184	103.164	103.153	103.117	103.196	103.224	103.229	103.165	103.174	103.194	103.200	103.049	103.172	103.206	103.182	103.143	103.160	103.145	103.055	103.144	103.170	103.211	103.212	2016_7_16_9_54_32
FLQS30DLGRXL____	-30.705	-30.612	-30.616	-30.408	-30.640	-30.640	-30.707	-30.609	-30.683	-30.676	-30.611	-30.638	-30.505	-30.705	-30.815	-30.781	-30.636	-30.671	-30.745	-30.746	-30.389	-30.674	-30.747	-30.647	-30.591	-30.609	-30.631	-30.359	-30.627	-30.646	-30.744	-30.780	131.245	131.463	131.321	131.270	131.321	131.253	131.497	131.530	131.286	131.323	131.394	131.532	131.424	131.357	131.496	131.322	131.392	131.426	131.530	131.462	131.455	131.462	131.427	131.358	131.375	131.463	131.554	131.482	131.586	131.459	131.355	131.495	103.054	102.995	103.010	102.929	103.020	103.027	103.031	102.987	103.041	103.035	103.001	102.999	102.954	103.043	103.076	103.078	103.011	103.022	103.043	103.050	102.903	103.020	103.054	103.019	102.994	102.994	102.994	102.888	102.989	103.009	103.060	103.061	2016_7_16_9_54_35
FLQS30GVGRX8____	-30.624	-30.564	-30.563	-30.333	-30.563	-30.564	-30.634	-30.531	-30.636	-30.599	-30.562	-30.568	-30.461	-30.632	-30.739	-30.705	-30.563	-30.597	-30.670	-30.669	-30.340	-30.600	-30.672	-30.599	-30.511	-30.535	-30.555	-30.308	-30.558	-30.601	-30.668	-30.704	131.096	131.312	131.141	131.124	131.141	131.070	131.350	131.387	131.105	131.142	131.242	131.384	131.246	131.175	131.350	131.142	131.211	131.280	131.351	131.312	131.303	131.314	131.245	131.176	131.229	131.314	131.405	131.304	131.408	131.283	131.209	131.315	103.039	102.994	103.010	102.916	103.010	103.017	103.019	102.973	103.043	103.024	103.000	102.988	102.957	103.035	103.062	103.069	103.003	103.010	103.034	103.037	102.902	103.008	103.045	103.021	102.979	102.981	102.981	102.888	102.982	103.012	103.047	103.051	2016_7_16_9_54_37
FLQS30KBGRX8____	-30.448	-30.386	-30.386	-30.155	-30.381	-30.383	-30.455	-30.351	-30.457	-30.417	-30.385	-30.386	-30.278	-30.454	-30.556	-30.525	-30.383	-30.420	-30.491	-30.489	-30.165	-30.423	-30.493	-30.421	-30.365	-30.386	-30.408	-30.130	-30.408	-30.417	-30.490	-30.525	131.217	131.397	131.256	131.239	131.258	131.188	131.432	131.469	131.223	131.258	131.328	131.468	131.360	131.292	131.434	131.257	131.327	131.362	131.467	131.397	131.421	131.397	131.362	131.293	131.310	131.398	131.488	131.421	131.520	131.397	131.293	131.433	103.074	103.031	103.045	102.951	103.043	103.050	103.056	103.010	103.078	103.057	103.038	103.025	102.990	103.070	103.098	103.102	103.037	103.049	103.068	103.074	102.938	103.047	103.079	103.056	103.031	103.031	103.032	102.923	103.029	103.044	103.085	103.085	2016_7_16_9_54_40
FLQS30LUGRXL	-30.321	-30.296	-30.293	-30.059	-30.291	-30.290	-30.363	-30.260	-30.362	-30.327	-30.291	-30.293	-30.221	-30.360	-30.464	-30.434	-30.291	-30.326	-30.399	-30.398	-30.072	-30.330	-30.399	-30.326	-30.239	-30.293	-30.280	-30.037	-30.283	-30.327	-30.398	-30.431	131.311	131.523	131.381	131.334	131.384	131.285	131.558	131.565	131.319	131.385	131.455	131.594	131.458	131.419	131.528	131.383	131.454	131.489	131.593	131.493	131.519	131.524	131.458	131.419	131.439	131.524	131.582	131.519	131.616	131.495	131.418	131.527	102.870	102.840	102.852	102.760	102.851	102.860	102.864	102.821	102.887	102.866	102.844	102.832	102.815	102.876	102.909	102.910	102.845	102.855	102.876	102.885	102.747	102.854	102.889	102.862	102.824	102.839	102.828	102.733	102.826	102.855	102.892	102.895	2016_7_16_9_54_43
FLQS31B0GRX2____	-30.461	-30.434	-30.429	-30.204	-30.430	-30.432	-30.502	-30.397	-30.506	-30.467	-30.430	-30.434	-30.323	-30.502	-30.572	-30.574	-30.432	-30.466	-30.538	-30.538	-30.175	-30.468	-30.541	-30.469	-30.377	-30.433	-30.459	-30.146	-30.422	-30.463	-30.539	-30.573	131.187	131.400	131.261	131.212	131.261	131.192	131.436	131.474	131.227	131.262	131.332	131.471	131.365	131.297	131.438	131.261	131.331	131.367	131.471	131.400	131.426	131.401	131.367	131.296	131.350	131.402	131.494	131.426	131.527	131.402	131.296	131.434	102.958	102.926	102.938	102.849	102.938	102.946	102.951	102.904	102.973	102.953	102.931	102.920	102.884	102.964	102.980	102.998	102.932	102.943	102.963	102.969	102.817	102.941	102.974	102.951	102.908	102.926	102.928	102.805	102.909	102.938	102.980	102.981	2016_7_16_9_54_46
FLQS31B2GRWM____	-30.688	-30.629	-30.656	-30.428	-30.655	-30.657	-30.726	-30.595	-30.729	-30.692	-30.654	-30.656	-30.554	-30.723	-30.829	-30.798	-30.623	-30.691	-30.761	-30.764	-30.406	-30.689	-30.765	-30.689	-30.607	-30.654	-30.649	-30.375	-30.646	-30.659	-30.762	-30.762	131.283	131.470	131.327	131.308	131.327	131.260	131.501	131.536	131.293	131.329	131.400	131.539	131.433	131.363	131.501	131.326	131.399	131.464	131.536	131.467	131.491	131.469	131.433	131.364	131.413	131.470	131.559	131.491	131.591	131.466	131.362	131.502	103.100	103.058	103.083	102.990	103.082	103.090	103.095	103.038	103.117	103.098	103.075	103.062	103.031	103.107	103.138	103.142	103.062	103.084	103.106	103.114	102.964	103.083	103.118	103.093	103.054	103.068	103.058	102.951	103.053	103.071	103.123	103.110	2016_7_16_9_54_49
