SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-66.926	-66.821	-66.746	-66.856	-66.892	-66.929	-66.824	-66.818	-66.788	-66.891	-66.925	-66.821	-66.710	-66.925	-66.816	-66.895	-66.822	-66.856	-66.816	-66.787	-66.820	-66.859	-66.856	-66.748	-66.823	-66.742	-66.715	-66.712	-66.680	-66.646	-66.749	-66.716	144.027	144.026	144.020	144.096	144.101	144.058	144.056	144.116	144.025	144.060	144.024	143.956	144.097	144.063	144.050	144.029	144.061	144.026	144.089	144.084	144.148	144.059	144.130	144.190	144.329	144.248	144.296	144.194	144.260	144.230	144.200	144.384	114.896	114.862	114.838	114.862	114.874	114.892	114.858	114.847	114.851	114.879	114.896	114.872	114.814	114.890	114.856	114.885	114.857	114.873	114.850	114.842	114.843	114.869	114.857	114.813	114.816	114.802	114.786	114.801	114.780	114.774	114.812	114.773	2016_7_16_10_16_56
FLNS32DNGRX5____	-67.391	-67.288	-67.213	-67.321	-67.358	-67.392	-67.290	-67.321	-67.253	-67.356	-67.391	-67.287	-67.176	-67.391	-67.318	-67.392	-67.287	-67.320	-67.283	-67.255	-67.286	-67.324	-67.322	-67.216	-67.288	-67.213	-67.184	-67.182	-67.202	-67.112	-67.219	-67.183	143.940	143.936	143.938	144.012	144.014	143.975	143.967	144.035	143.939	143.975	143.937	143.867	144.013	143.975	143.967	143.940	143.973	143.940	144.001	144.006	144.073	143.973	144.044	144.161	144.283	144.170	144.248	144.200	144.196	144.182	144.140	144.305	115.136	115.103	115.078	115.102	115.114	115.131	115.099	115.098	115.091	115.119	115.136	115.113	115.054	115.131	115.108	115.136	115.097	115.113	115.091	115.081	115.081	115.109	115.097	115.045	115.050	115.042	115.021	115.028	115.035	115.008	115.049	115.012	2016_7_16_10_17_01
FLNS32G4GRX5____	-67.089	-66.984	-66.914	-67.020	-67.055	-67.092	-66.986	-67.018	-66.949	-67.054	-67.088	-66.986	-66.878	-67.088	-67.016	-67.090	-66.986	-67.019	-66.982	-66.951	-66.984	-67.022	-67.020	-66.914	-66.988	-66.912	-66.882	-66.879	-66.850	-66.812	-66.915	-66.881	143.969	143.972	143.967	144.042	144.040	144.000	144.007	144.070	143.971	144.005	143.968	143.904	144.042	144.004	144.004	143.969	144.007	143.975	144.032	144.035	144.106	144.004	144.075	144.181	144.298	144.211	144.260	144.221	144.226	144.200	144.172	144.320	114.916	114.881	114.859	114.882	114.894	114.912	114.876	114.877	114.870	114.899	114.916	114.892	114.836	114.910	114.887	114.916	114.876	114.892	114.871	114.860	114.860	114.889	114.877	114.826	114.833	114.821	114.804	114.809	114.799	114.790	114.828	114.794	2016_7_16_10_17_04
FLQS30BYGRX8____	-67.382	-67.280	-67.203	-67.313	-67.350	-67.385	-67.281	-67.310	-67.245	-67.348	-67.382	-67.279	-67.168	-67.382	-67.309	-67.384	-67.278	-67.313	-67.273	-67.244	-67.276	-67.316	-67.313	-67.207	-67.280	-67.204	-67.175	-67.172	-67.141	-67.106	-67.207	-67.177	143.949	143.950	143.952	144.019	144.020	143.981	143.977	144.043	143.947	143.983	143.946	143.882	144.026	143.984	143.973	143.949	143.985	143.950	144.012	144.007	144.077	143.983	144.052	144.138	144.259	144.182	144.222	144.178	144.193	144.160	144.138	144.301	115.043	115.010	114.984	115.010	115.022	115.039	115.006	115.005	114.999	115.027	115.044	115.020	114.961	115.038	115.016	115.044	115.004	115.020	114.998	114.989	114.989	115.016	115.005	114.957	114.963	114.950	114.934	114.940	114.927	114.921	114.957	114.922	2016_7_16_10_18_32
FLQS30DLGRXL____	-67.219	-67.131	-67.042	-67.166	-67.201	-67.236	-67.131	-67.166	-67.096	-67.201	-67.236	-67.131	-67.026	-67.236	-67.166	-67.236	-67.131	-67.166	-67.131	-67.096	-67.131	-67.154	-67.166	-67.061	-67.131	-67.039	-67.026	-67.012	-66.991	-66.956	-67.061	-67.017	144.081	144.034	144.087	144.104	144.104	144.069	144.069	144.139	144.034	144.069	143.964	143.964	144.104	144.069	144.069	144.034	144.069	144.034	144.104	144.104	144.174	144.076	144.139	144.244	144.349	144.314	144.314	144.318	144.279	144.244	144.244	144.400	114.897	114.876	114.838	114.877	114.888	114.905	114.871	114.871	114.864	114.893	114.921	114.887	114.831	114.905	114.882	114.910	114.871	114.887	114.865	114.854	114.855	114.877	114.871	114.821	114.828	114.803	114.799	114.794	114.793	114.787	114.821	114.783	2016_7_16_10_18_35
FLQS30GVGRX8____	-67.085	-66.981	-66.912	-67.017	-67.051	-67.087	-66.981	-67.082	-66.946	-67.050	-67.084	-66.980	-66.877	-67.085	-67.015	-67.085	-66.980	-67.015	-66.982	-66.948	-67.047	-67.017	-67.017	-66.914	-66.986	-66.915	-66.879	-66.880	-66.847	-66.809	-66.913	-66.880	143.892	143.895	143.894	143.963	143.963	143.920	143.927	143.929	143.893	143.928	143.890	143.822	143.968	143.928	143.931	143.891	143.933	143.896	143.963	143.959	143.964	143.921	143.997	144.100	144.202	144.138	144.170	144.138	144.136	144.101	144.101	144.241	114.886	114.852	114.830	114.854	114.865	114.883	114.847	114.880	114.841	114.870	114.887	114.863	114.807	114.881	114.858	114.887	114.846	114.863	114.842	114.832	114.863	114.860	114.848	114.799	114.807	114.793	114.777	114.782	114.772	114.765	114.798	114.767	2016_7_16_10_18_38
FLQS30KBGRX8____	-66.871	-66.767	-66.698	-66.802	-66.839	-66.872	-66.768	-66.773	-66.731	-66.836	-66.840	-66.766	-66.661	-66.839	-66.771	-66.839	-66.766	-66.769	-66.768	-66.735	-66.768	-66.804	-66.802	-66.700	-66.770	-66.664	-66.662	-66.663	-66.626	-66.591	-66.698	-66.661	144.022	144.026	144.030	144.095	144.096	144.058	144.054	144.143	144.024	144.058	144.032	143.954	144.104	144.070	144.077	144.031	144.060	144.070	144.096	144.098	144.166	144.055	144.129	144.246	144.348	144.273	144.312	144.282	144.279	144.245	144.244	144.383	114.916	114.882	114.859	114.883	114.894	114.911	114.878	114.866	114.870	114.900	114.905	114.892	114.835	114.899	114.875	114.905	114.876	114.876	114.871	114.860	114.861	114.889	114.878	114.826	114.834	114.811	114.804	114.809	114.797	114.791	114.826	114.793	2016_7_16_10_18_40
FLQS30LUGRXL	-66.947	-66.843	-66.774	-66.880	-66.918	-66.949	-66.846	-66.880	-66.806	-66.912	-66.947	-66.845	-66.737	-66.946	-66.878	-66.947	-66.845	-66.877	-66.843	-66.812	-66.844	-66.882	-66.880	-66.771	-66.846	-66.770	-66.737	-66.735	-66.738	-66.667	-66.838	-66.739	144.033	144.063	144.069	144.127	144.099	144.068	144.088	144.137	144.060	144.097	144.034	143.997	144.140	144.071	144.063	144.036	144.100	144.035	144.133	144.131	144.202	144.092	144.162	144.229	144.344	144.290	144.317	144.273	144.279	144.280	144.245	144.424	114.797	114.759	114.735	114.761	114.778	114.793	114.756	114.760	114.747	114.776	114.797	114.769	114.712	114.791	114.770	114.797	114.754	114.774	114.748	114.738	114.738	114.767	114.756	114.710	114.717	114.700	114.686	114.691	114.692	114.668	114.730	114.670	2016_7_16_10_18_43
FLQS31B0GRX2____	-66.940	-66.835	-66.762	-66.870	-66.915	-66.950	-66.845	-66.866	-66.810	-66.904	-66.950	-66.834	-66.724	-66.950	-66.880	-66.950	-66.836	-66.868	-66.832	-66.810	-66.834	-66.872	-66.870	-66.765	-66.841	-66.756	-66.732	-66.740	-66.698	-66.661	-66.765	-66.740	144.024	144.025	144.030	144.095	144.104	144.069	144.069	144.126	144.034	144.061	144.034	143.959	144.103	144.069	144.069	144.034	144.062	144.027	144.089	144.104	144.159	144.057	144.128	144.216	144.341	144.272	144.306	144.279	144.275	144.248	144.215	144.384	114.814	114.780	114.755	114.780	114.794	114.811	114.776	114.774	114.770	114.797	114.816	114.789	114.731	114.811	114.788	114.816	114.774	114.790	114.769	114.760	114.759	114.787	114.775	114.728	114.734	114.716	114.703	114.710	114.697	114.689	114.728	114.694	2016_7_16_10_18_46
FLQS31B2GRWM____	-67.159	-67.058	-66.981	-67.092	-67.128	-67.165	-67.059	-67.088	-66.992	-67.147	-67.128	-67.055	-66.946	-67.161	-67.112	-67.132	-67.077	-67.090	-67.077	-67.022	-67.056	-67.095	-67.092	-66.983	-67.022	-66.973	-66.950	-66.946	-66.918	-66.884	-66.984	-66.951	143.953	143.950	143.950	144.025	144.026	143.987	143.983	144.044	143.954	143.925	143.955	143.879	144.022	143.985	143.995	143.955	143.925	143.951	144.030	144.010	144.079	143.987	144.057	144.119	144.265	144.173	144.218	144.160	144.186	144.161	144.125	144.305	114.954	114.922	114.896	114.921	114.933	114.951	114.917	114.917	114.899	114.954	114.944	114.932	114.874	114.950	114.932	114.945	114.932	114.932	114.916	114.901	114.901	114.928	114.916	114.871	114.862	114.860	114.846	114.853	114.840	114.833	114.871	114.833	2016_7_16_10_18_49
