SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-23.378	-23.244	-23.307	-23.339	-23.424	-23.394	-23.384	-23.349	-23.383	-23.320	-23.346	-23.381	-23.285	-23.314	-23.315	-23.315	-23.284	-23.349	-23.286	-23.316	-23.381	-23.351	-23.381	-23.318	-23.283	-23.345	-23.348	-23.339	-23.281	-23.280	-23.280	-23.315	-138.436	-138.527	-138.576	-138.437	-138.613	-138.550	-138.536	-138.535	-138.543	-138.507	-138.468	-138.432	-138.511	-138.507	-138.467	-138.467	-138.436	-138.466	-138.476	-138.430	-138.432	-138.395	-138.432	-138.367	-138.403	-138.433	-138.473	-138.367	-138.430	-138.466	-138.398	-138.447	260.078	260.138	260.116	260.094	260.071	260.079	260.082	260.096	260.083	260.106	260.093	260.076	260.120	260.108	260.105	260.105	260.116	260.092	260.118	260.102	260.076	260.086	260.076	260.097	260.114	260.091	260.092	260.089	260.117	260.119	260.115	260.104	2016_7_16_10_48_45
FLNS32DNGRX5____	-23.125	-23.017	-23.084	-23.083	-23.227	-23.162	-23.125	-23.089	-23.125	-23.090	-23.100	-23.126	-23.065	-23.055	-23.055	-23.055	-23.055	-23.089	-23.058	-23.055	-23.126	-23.090	-23.126	-23.085	-23.050	-23.100	-23.100	-23.092	-23.022	-23.021	-23.019	-23.055	-138.435	-138.520	-138.572	-138.434	-138.610	-138.542	-138.534	-138.532	-138.548	-138.508	-138.495	-138.432	-138.530	-138.510	-138.466	-138.466	-138.433	-138.465	-138.480	-138.429	-138.432	-138.394	-138.432	-138.366	-138.399	-138.460	-138.495	-138.325	-138.404	-138.468	-138.397	-138.477	260.180	260.229	260.205	260.196	260.150	260.172	260.186	260.200	260.187	260.199	260.194	260.179	260.210	260.213	260.210	260.210	260.208	260.196	260.210	260.207	260.179	260.191	260.179	260.191	260.207	260.191	260.194	260.185	260.219	260.224	260.219	260.210	2016_7_16_10_48_48
FLNS32G4GRX5____	-23.196	-23.102	-23.127	-23.156	-23.269	-23.233	-23.197	-23.166	-23.197	-23.162	-23.170	-23.191	-23.132	-23.127	-23.127	-23.127	-23.127	-23.161	-23.130	-23.127	-23.191	-23.161	-23.191	-23.156	-23.121	-23.170	-23.160	-23.156	-23.091	-23.092	-23.090	-23.127	-138.517	-138.608	-138.657	-138.516	-138.695	-138.652	-138.619	-138.620	-138.629	-138.588	-138.565	-138.516	-138.594	-138.590	-138.552	-138.552	-138.515	-138.552	-138.560	-138.514	-138.516	-138.480	-138.516	-138.446	-138.482	-138.530	-138.555	-138.446	-138.513	-138.549	-138.480	-138.557	260.161	260.204	260.198	260.176	260.143	260.155	260.167	260.179	260.168	260.179	260.174	260.162	260.191	260.193	260.190	260.190	260.188	260.177	260.190	260.188	260.162	260.172	260.162	260.172	260.188	260.172	260.178	260.172	260.202	260.204	260.201	260.191	2016_7_16_10_48_51
FLQS30BYGRX8____	-23.239	-23.100	-23.169	-23.210	-23.309	-23.275	-23.207	-23.172	-23.208	-23.172	-23.208	-23.244	-23.169	-23.137	-23.138	-23.138	-23.165	-23.202	-23.138	-23.169	-23.244	-23.206	-23.244	-23.174	-23.139	-23.177	-23.174	-23.212	-23.102	-23.103	-23.102	-23.137	-138.436	-138.522	-138.574	-138.398	-138.610	-138.546	-138.535	-138.534	-138.545	-138.505	-138.470	-138.433	-138.510	-138.506	-138.469	-138.469	-138.434	-138.465	-138.475	-138.430	-138.433	-138.373	-138.433	-138.367	-138.401	-138.435	-138.449	-138.328	-138.431	-138.468	-138.397	-138.444	260.130	260.192	260.167	260.139	260.113	260.122	260.149	260.163	260.150	260.161	260.144	260.128	260.163	260.175	260.173	260.173	260.159	260.147	260.173	260.158	260.128	260.139	260.128	260.151	260.167	260.155	260.157	260.133	260.184	260.187	260.182	260.171	2016_7_16_10_48_54
FLQS30DLGRXL____	-23.272	-23.163	-23.221	-23.261	-23.344	-23.307	-23.271	-23.236	-23.272	-23.236	-23.239	-23.272	-23.203	-23.201	-23.201	-23.201	-23.203	-23.236	-23.202	-23.201	-23.272	-23.236	-23.272	-23.232	-23.199	-23.238	-23.237	-23.233	-23.167	-23.167	-23.165	-23.200	-138.377	-138.472	-138.551	-138.377	-138.569	-138.518	-138.487	-138.485	-138.502	-138.464	-138.422	-138.386	-138.469	-138.465	-138.418	-138.418	-138.379	-138.419	-138.433	-138.382	-138.386	-138.346	-138.386	-138.309	-138.345	-138.387	-138.432	-138.308	-138.381	-138.419	-138.347	-138.429	260.113	260.163	260.144	260.117	260.096	260.108	260.120	260.134	260.121	260.133	260.129	260.113	260.146	260.147	260.144	260.144	260.140	260.130	260.145	260.141	260.113	260.125	260.113	260.124	260.140	260.127	260.130	260.123	260.155	260.158	260.153	260.145	2016_7_16_10_48_56
FLQS30GVGRX8____	-23.107	-23.006	-23.050	-23.080	-23.186	-23.150	-23.115	-23.050	-23.116	-23.081	-23.084	-23.118	-23.044	-23.046	-23.045	-23.045	-23.046	-23.081	-23.044	-23.046	-23.118	-23.051	-23.118	-23.080	-23.044	-23.084	-23.082	-23.081	-22.982	-22.981	-23.011	-23.045	-138.423	-138.510	-138.528	-138.387	-138.575	-138.530	-138.497	-138.497	-138.509	-138.473	-138.431	-138.397	-138.475	-138.473	-138.429	-138.429	-138.389	-138.429	-138.439	-138.394	-138.397	-138.357	-138.397	-138.319	-138.354	-138.397	-138.440	-138.317	-138.394	-138.430	-138.359	-138.436	260.190	260.236	260.220	260.198	260.168	260.180	260.191	260.218	260.192	260.204	260.200	260.184	260.219	260.218	260.215	260.215	260.212	260.201	260.216	260.213	260.184	260.208	260.184	260.194	260.211	260.198	260.201	260.193	260.238	260.241	260.224	260.216	2016_7_16_10_48_59
FLQS30KBGRX8____	-23.478	-23.371	-23.413	-23.443	-23.547	-23.510	-23.474	-23.439	-23.474	-23.439	-23.443	-23.477	-23.405	-23.485	-23.404	-23.404	-23.406	-23.439	-23.404	-23.371	-23.477	-23.438	-23.477	-23.440	-23.402	-23.443	-23.442	-23.443	-23.369	-23.370	-23.367	-23.485	-138.311	-138.406	-138.453	-138.311	-138.499	-138.451	-138.419	-138.419	-138.431	-138.420	-138.355	-138.344	-138.427	-138.390	-138.351	-138.351	-138.312	-138.353	-138.362	-138.314	-138.344	-138.279	-138.344	-138.243	-138.312	-138.320	-138.362	-138.241	-138.315	-138.352	-138.280	-138.355	260.021	260.070	260.057	260.035	260.006	260.017	260.030	260.044	260.031	260.044	260.038	260.024	260.058	260.023	260.053	260.053	260.050	260.039	260.054	260.064	260.024	260.035	260.024	260.032	260.052	260.036	260.039	260.030	260.065	260.067	260.063	260.021	2016_7_16_10_49_02
FLQS30LUGRXL	-23.433	-23.323	-23.398	-23.394	-23.500	-23.496	-23.427	-23.420	-23.458	-23.423	-23.393	-23.460	-23.388	-23.357	-23.356	-23.356	-23.391	-23.424	-23.388	-23.357	-23.460	-23.424	-23.460	-23.395	-23.359	-23.428	-23.392	-23.397	-23.323	-23.322	-23.321	-23.357	-138.470	-138.593	-138.609	-138.469	-138.651	-138.615	-138.582	-138.600	-138.583	-138.544	-138.516	-138.501	-138.575	-138.545	-138.514	-138.514	-138.470	-138.514	-138.514	-138.478	-138.501	-138.443	-138.501	-138.437	-138.473	-138.480	-138.512	-138.399	-138.478	-138.513	-138.444	-138.509	260.050	260.103	260.073	260.066	260.035	260.035	260.060	260.064	260.047	260.059	260.069	260.041	260.075	260.085	260.084	260.084	260.067	260.056	260.071	260.081	260.041	260.052	260.041	260.063	260.080	260.053	260.069	260.060	260.095	260.097	260.093	260.083	2016_7_16_10_49_05
FLQS31B0GRX2____	-23.394	-23.289	-23.329	-23.359	-23.468	-23.432	-23.395	-23.380	-23.396	-23.360	-23.365	-23.415	-23.345	-23.291	-23.291	-23.291	-23.324	-23.363	-23.326	-23.325	-23.415	-23.380	-23.415	-23.358	-23.293	-23.450	-23.362	-23.360	-23.310	-23.310	-23.310	-23.325	-138.454	-138.547	-138.595	-138.454	-138.640	-138.594	-138.563	-138.635	-138.574	-138.533	-138.499	-138.530	-138.600	-138.533	-138.497	-138.497	-138.454	-138.497	-138.506	-138.461	-138.530	-138.495	-138.530	-138.386	-138.422	-138.460	-138.503	-138.384	-138.530	-138.565	-138.495	-138.500	260.068	260.117	260.104	260.083	260.052	260.063	260.076	260.086	260.076	260.088	260.083	260.065	260.098	260.115	260.113	260.113	260.097	260.084	260.099	260.097	260.065	260.077	260.065	260.078	260.107	260.046	260.085	260.077	260.107	260.110	260.105	260.099	2016_7_16_10_49_07
FLQS31B2GRWM____	-23.007	-22.889	-22.901	-22.998	-23.066	-23.028	-22.992	-22.958	-22.993	-22.958	-22.964	-22.996	-22.925	-22.922	-22.922	-22.922	-22.930	-22.959	-22.924	-22.922	-22.996	-22.957	-22.996	-22.960	-22.925	-22.964	-22.960	-22.968	-22.887	-22.888	-22.887	-22.922	-138.472	-138.595	-138.614	-138.470	-138.654	-138.640	-138.606	-138.583	-138.585	-138.546	-138.519	-138.506	-138.553	-138.576	-138.517	-138.517	-138.471	-138.517	-138.516	-138.481	-138.506	-138.445	-138.506	-138.440	-138.474	-138.484	-138.516	-138.401	-138.503	-138.540	-138.445	-138.511	260.237	260.293	260.289	260.241	260.226	260.240	260.252	260.264	260.250	260.262	260.258	260.244	260.276	260.278	260.275	260.275	260.268	260.260	260.274	260.272	260.244	260.256	260.244	260.254	260.271	260.255	260.259	260.248	260.287	260.289	260.284	260.274	2016_7_16_10_49_10
