SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-54.539	-54.681	-54.716	-54.609	-54.506	-54.575	-54.541	-54.641	-54.470	-54.819	-54.479	-54.583	-54.367	-54.305	-53.963	-53.998	-53.214	-53.648	-53.718	-53.963	-53.613	-54.403	-53.508	-53.578	-53.601	-53.543	-53.462	-53.461	-53.403	-53.613	-53.683	-53.753	-131.419	-131.386	-131.346	-131.492	-131.524	-131.630	-131.699	-131.838	-131.383	-131.556	-131.806	-131.838	-131.979	-131.911	-132.050	-132.015	-132.334	-132.155	-131.735	-132.365	-132.400	-131.523	-132.470	-132.435	-132.394	-132.540	-132.571	-132.676	-132.680	-132.400	-132.260	-132.400	247.752	247.694	247.675	247.737	247.780	247.771	247.794	247.778	247.772	247.669	247.834	247.800	247.902	247.914	248.063	248.044	248.384	248.196	248.106	248.110	248.246	247.818	248.295	248.264	248.249	248.293	248.328	248.344	248.366	248.246	248.199	248.194	2016_7_16_10_51_17
FLNS32DNGRX5____	-54.281	-54.423	-54.457	-54.386	-54.284	-54.317	-54.283	-54.388	-54.213	-54.562	-54.218	-54.322	-54.109	-54.043	-53.691	-53.727	-52.992	-53.376	-53.445	-53.690	-53.339	-54.144	-53.239	-53.258	-53.341	-53.270	-53.199	-53.200	-53.130	-53.341	-53.412	-53.480	-131.628	-131.596	-131.553	-131.703	-131.731	-131.840	-131.910	-132.016	-131.590	-131.764	-132.014	-132.051	-132.188	-132.119	-132.255	-132.224	-132.543	-132.370	-131.944	-132.578	-132.611	-131.731	-132.681	-132.648	-132.607	-132.753	-132.787	-132.893	-132.897	-132.615	-132.475	-132.613	247.888	247.831	247.811	247.861	247.903	247.907	247.931	247.908	247.908	247.805	247.971	247.938	248.038	248.052	248.203	248.185	248.507	248.338	248.248	248.252	248.388	247.955	248.435	248.423	248.387	248.434	248.466	248.481	248.508	248.388	248.340	248.335	2016_7_16_10_51_20
FLNS32G4GRX5____	-54.300	-54.444	-54.477	-54.408	-54.304	-54.339	-54.339	-54.412	-54.231	-54.585	-54.235	-54.337	-54.167	-54.058	-53.712	-53.781	-53.011	-53.395	-53.463	-53.714	-53.360	-54.163	-53.254	-53.314	-53.361	-53.291	-53.219	-53.218	-53.148	-53.360	-53.431	-53.500	-131.519	-131.518	-131.478	-131.622	-131.659	-131.765	-131.830	-131.940	-131.484	-131.691	-131.940	-131.973	-132.114	-132.007	-132.188	-132.149	-132.469	-132.301	-131.878	-132.499	-132.541	-131.657	-132.612	-132.568	-132.545	-132.682	-132.720	-132.821	-132.823	-132.543	-132.402	-132.543	247.895	247.842	247.823	247.871	247.915	247.918	247.929	247.918	247.916	247.816	247.984	247.951	248.036	248.060	248.216	248.184	248.519	248.351	248.262	248.262	248.400	247.968	248.450	248.421	248.400	248.447	248.479	248.495	248.521	248.400	248.353	248.349	2016_7_16_10_51_23
FLQS30BYGRX8____	-54.416	-54.558	-54.626	-54.521	-54.419	-54.454	-54.418	-54.526	-54.347	-54.699	-54.350	-54.454	-54.247	-54.172	-53.826	-53.862	-53.129	-53.513	-53.578	-53.826	-53.479	-54.278	-53.374	-53.395	-53.478	-53.410	-53.341	-53.340	-53.270	-53.480	-53.547	-53.618	-131.506	-131.473	-131.433	-131.579	-131.611	-131.718	-131.786	-131.892	-131.469	-131.642	-131.893	-131.927	-132.068	-131.996	-132.141	-132.108	-132.421	-132.252	-131.831	-132.452	-132.491	-131.611	-132.561	-132.526	-132.491	-132.631	-132.663	-132.771	-132.774	-132.494	-132.352	-132.493	247.330	247.272	247.240	247.302	247.345	247.348	247.372	247.348	247.350	247.246	247.414	247.380	247.479	247.496	247.646	247.628	247.948	247.779	247.691	247.693	247.828	247.397	247.877	247.865	247.828	247.875	247.905	247.922	247.948	247.828	247.782	247.777	2016_7_16_10_51_26
FLQS30DLGRXL____	-54.303	-54.484	-54.481	-54.448	-54.346	-54.379	-54.344	-54.451	-54.274	-54.623	-54.274	-54.378	-54.175	-54.100	-53.751	-53.787	-53.053	-53.438	-53.505	-53.750	-53.401	-54.204	-53.298	-53.320	-53.401	-53.331	-53.262	-53.260	-53.191	-53.404	-53.472	-53.540	-131.512	-131.479	-131.440	-131.585	-131.617	-131.723	-131.792	-131.899	-131.476	-131.648	-131.898	-131.932	-132.074	-132.003	-132.144	-132.109	-132.419	-132.256	-131.832	-132.457	-132.494	-131.616	-132.565	-132.527	-132.493	-132.634	-132.667	-132.773	-132.777	-132.496	-132.354	-132.494	247.378	247.305	247.300	247.335	247.378	247.382	247.405	247.382	247.383	247.280	247.448	247.414	247.511	247.528	247.679	247.661	247.981	247.813	247.724	247.727	247.862	247.430	247.911	247.898	247.862	247.909	247.940	247.956	247.982	247.862	247.815	247.811	2016_7_16_10_51_29
FLQS30GVGRX8____	-54.134	-54.275	-54.309	-54.238	-54.136	-54.170	-54.134	-54.241	-54.064	-54.413	-54.066	-54.170	-53.960	-53.891	-53.544	-53.577	-52.844	-53.227	-53.296	-53.541	-53.190	-53.993	-53.087	-53.109	-53.191	-53.122	-53.054	-53.054	-52.983	-53.192	-53.261	-53.330	-131.448	-131.414	-131.375	-131.519	-131.551	-131.659	-131.728	-131.833	-131.411	-131.584	-131.832	-131.867	-132.009	-131.934	-132.074	-132.041	-132.359	-132.185	-131.762	-132.391	-132.422	-131.549	-132.495	-132.461	-132.420	-132.564	-132.596	-132.706	-132.706	-132.425	-132.285	-132.425	247.393	247.335	247.317	247.365	247.408	247.412	247.436	247.413	247.413	247.310	247.477	247.444	247.543	247.558	247.709	247.691	248.012	247.843	247.754	247.757	247.892	247.461	247.942	247.928	247.892	247.939	247.969	247.986	248.012	247.892	247.845	247.841	2016_7_16_10_51_31
FLQS30KBGRX8____	-54.497	-54.641	-54.712	-54.641	-54.501	-54.537	-54.500	-54.610	-54.429	-54.817	-54.431	-54.532	-54.329	-54.253	-53.907	-53.941	-53.246	-53.631	-53.659	-53.906	-53.593	-54.361	-53.450	-53.512	-53.594	-53.526	-53.420	-53.416	-53.352	-53.555	-53.624	-53.693	-131.306	-131.312	-131.271	-131.414	-131.412	-131.520	-131.624	-131.699	-131.271	-131.479	-131.696	-131.766	-131.872	-131.796	-131.941	-131.944	-132.255	-132.084	-131.665	-132.294	-132.322	-131.415	-132.400	-132.358	-132.321	-132.463	-132.502	-132.608	-132.577	-132.330	-132.189	-132.332	247.174	247.122	247.089	247.137	247.189	247.193	247.222	247.193	247.194	247.082	247.259	247.232	247.324	247.341	247.491	247.479	247.785	247.616	247.541	247.545	247.666	247.242	247.730	247.701	247.665	247.712	247.757	247.774	247.794	247.681	247.634	247.630	2016_7_16_10_51_35
FLQS30LUGRXL	-54.643	-54.787	-54.822	-54.751	-54.649	-54.683	-54.651	-54.759	-54.577	-54.929	-54.612	-54.682	-54.478	-54.401	-54.053	-54.090	-53.398	-53.741	-53.807	-54.059	-53.706	-54.507	-53.601	-53.663	-53.708	-53.676	-53.571	-53.605	-53.536	-53.705	-53.811	-53.844	-131.487	-131.456	-131.381	-131.561	-131.592	-131.700	-131.736	-131.842	-131.418	-131.590	-131.873	-131.874	-132.016	-131.944	-132.124	-132.088	-132.403	-132.237	-131.816	-132.401	-132.475	-131.560	-132.547	-132.507	-132.479	-132.610	-132.651	-132.751	-132.755	-132.479	-132.334	-132.479	247.220	247.161	247.137	247.191	247.234	247.238	247.255	247.232	247.234	247.130	247.291	247.265	247.362	247.380	247.537	247.517	247.822	247.670	247.581	247.577	247.719	247.282	247.769	247.740	247.719	247.750	247.795	247.798	247.824	247.719	247.658	247.668	2016_7_16_10_51_38
FLQS31B0GRX2____	-54.421	-54.562	-54.596	-54.525	-54.423	-54.458	-54.421	-54.530	-54.353	-54.702	-54.354	-54.456	-54.252	-54.176	-53.827	-53.864	-53.129	-53.513	-53.583	-53.826	-53.478	-54.281	-53.372	-53.430	-53.479	-53.407	-53.340	-53.342	-53.268	-53.478	-53.547	-53.615	-131.562	-131.532	-131.489	-131.637	-131.666	-131.778	-131.847	-131.955	-131.526	-131.699	-131.947	-131.984	-132.123	-132.049	-132.196	-132.164	-132.476	-132.306	-131.888	-132.513	-132.548	-131.669	-132.616	-132.579	-132.544	-132.686	-132.718	-132.789	-132.828	-132.551	-132.409	-132.551	247.263	247.206	247.187	247.236	247.278	247.283	247.307	247.283	247.283	247.179	247.347	247.315	247.412	247.429	247.581	247.562	247.882	247.714	247.625	247.629	247.763	247.331	247.813	247.786	247.762	247.810	247.840	247.850	247.883	247.764	247.717	247.713	2016_7_16_10_51_41
FLQS31B2GRWM____	-54.075	-54.181	-54.254	-54.143	-54.079	-54.115	-54.041	-54.187	-53.966	-54.321	-53.971	-54.105	-53.906	-53.829	-53.484	-53.520	-52.792	-53.171	-53.239	-53.485	-53.139	-53.938	-53.035	-53.093	-53.139	-53.070	-53.001	-53.001	-52.931	-53.134	-53.203	-53.278	-131.549	-131.484	-131.476	-131.589	-131.654	-131.728	-131.799	-131.937	-131.482	-131.656	-131.906	-131.970	-132.114	-132.007	-132.184	-132.154	-132.427	-132.298	-131.878	-132.499	-132.497	-131.623	-132.567	-132.529	-132.501	-132.637	-132.673	-132.779	-132.781	-132.535	-132.394	-132.501	247.412	247.363	247.334	247.393	247.427	247.425	247.463	247.430	247.442	247.337	247.505	247.465	247.561	247.574	247.729	247.711	248.023	247.863	247.774	247.776	247.905	247.475	247.954	247.926	247.905	247.951	247.982	247.998	248.024	247.912	247.865	247.853	2016_7_16_10_51_44
