SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-63.784	-63.634	-63.776	-63.857	-63.750	-63.710	-63.818	-63.753	-63.771	-63.636	-63.808	-63.639	-63.720	-63.713	-63.750	-63.775	-63.749	-63.854	-63.751	-64.333	-63.774	-63.824	-64.087	-64.087	-63.752	-63.783	-63.749	-63.754	-63.802	-64.015	-63.704	-63.702	-120.247	-119.934	-119.727	-119.796	-119.725	-119.788	-119.829	-119.620	-120.206	-120.243	-120.242	-119.689	-119.692	-119.830	-119.793	-120.286	-119.760	-119.689	-119.728	-120.085	-120.243	-119.795	-120.187	-120.145	-119.866	-119.794	-119.758	-119.796	-119.774	-120.110	-120.174	-120.213	242.347	242.341	242.247	242.231	242.256	242.284	242.252	242.234	242.344	242.401	242.337	242.291	242.261	242.291	242.270	242.358	242.264	242.210	242.256	242.111	242.350	242.243	242.222	242.214	242.283	242.257	242.263	242.269	242.247	242.234	242.362	242.371	2016_7_16_10_53_37
FLNS32DNGRX5____	-63.541	-63.388	-63.567	-63.644	-63.571	-63.490	-63.573	-63.506	-63.530	-63.422	-63.566	-63.393	-63.473	-63.500	-63.537	-63.562	-63.504	-63.640	-63.537	-64.123	-63.529	-63.610	-63.872	-63.872	-63.541	-63.573	-63.537	-63.541	-63.590	-63.807	-63.493	-63.488	-120.482	-120.162	-119.960	-120.061	-119.990	-120.090	-120.060	-119.854	-120.440	-120.469	-120.472	-119.924	-119.924	-120.096	-120.062	-120.539	-119.991	-119.955	-119.995	-120.315	-120.471	-120.061	-120.449	-120.414	-120.127	-120.061	-120.026	-120.026	-120.035	-120.342	-120.403	-120.442	242.530	242.524	242.418	242.409	242.422	242.472	242.435	242.420	242.526	242.572	242.519	242.476	242.446	242.470	242.449	242.534	242.448	242.390	242.436	242.281	242.533	242.422	242.401	242.394	242.461	242.435	242.442	242.440	242.424	242.404	242.533	242.542	2016_7_16_10_53_40
FLNS32G4GRX5____	-63.532	-63.379	-63.550	-63.597	-63.529	-63.489	-63.564	-63.492	-63.522	-63.413	-63.549	-63.393	-63.460	-63.464	-63.495	-63.551	-63.498	-63.599	-63.499	-64.074	-63.518	-63.564	-63.866	-63.866	-63.493	-63.526	-63.500	-63.528	-63.539	-63.794	-63.484	-63.479	-120.405	-120.046	-119.882	-119.950	-119.877	-119.978	-119.980	-119.775	-120.363	-120.392	-120.395	-119.847	-119.845	-119.987	-119.948	-120.460	-119.914	-119.844	-119.881	-120.233	-120.390	-119.949	-120.334	-120.301	-120.016	-119.949	-119.915	-119.948	-119.925	-120.264	-120.327	-120.363	242.511	242.497	242.401	242.397	242.408	242.443	242.415	242.402	242.506	242.553	242.503	242.453	242.428	242.454	242.435	242.515	242.427	242.375	242.420	242.276	242.513	242.409	242.373	242.366	242.449	242.424	242.426	242.423	242.414	242.386	242.514	242.523	2016_7_16_10_53_43
FLQS30BYGRX8____	-63.525	-63.319	-63.486	-63.533	-63.525	-63.425	-63.536	-63.490	-63.525	-63.420	-63.486	-63.326	-63.455	-63.402	-63.430	-63.490	-63.471	-63.533	-63.474	-64.048	-63.455	-63.500	-63.806	-63.806	-63.426	-63.459	-63.470	-63.525	-63.507	-63.735	-63.422	-63.420	-120.330	-120.018	-119.812	-119.882	-119.805	-119.909	-119.909	-119.700	-120.295	-120.330	-120.327	-119.779	-119.840	-119.919	-119.882	-120.400	-119.841	-119.774	-119.810	-120.160	-120.330	-119.880	-120.263	-120.233	-119.949	-119.880	-119.842	-119.875	-119.853	-120.193	-120.258	-120.297	242.506	242.522	242.419	242.415	242.403	242.461	242.419	242.395	242.500	242.546	242.520	242.472	242.436	242.471	242.453	242.533	242.430	242.394	242.423	242.278	242.532	242.427	242.389	242.383	242.468	242.442	242.431	242.417	242.419	242.401	242.531	242.539	2016_7_16_10_53_46
FLQS30DLGRXL____	-63.530	-63.381	-63.552	-63.600	-63.530	-63.491	-63.565	-63.492	-63.518	-63.408	-63.547	-63.393	-63.459	-63.464	-63.496	-63.547	-63.498	-63.598	-63.501	-64.107	-63.514	-63.567	-63.862	-63.865	-63.492	-63.527	-63.494	-63.526	-63.538	-63.795	-63.479	-63.476	-120.338	-119.985	-119.817	-119.885	-119.812	-119.911	-119.917	-119.710	-120.297	-120.329	-120.327	-119.782	-119.783	-119.921	-119.884	-120.397	-119.848	-119.779	-119.817	-120.168	-120.326	-119.885	-120.270	-120.234	-119.953	-119.883	-119.848	-119.883	-119.859	-120.199	-120.261	-120.299	242.506	242.492	242.395	242.391	242.402	242.436	242.410	242.397	242.502	242.550	242.498	242.448	242.423	242.449	242.429	242.511	242.421	242.371	242.414	242.258	242.510	242.403	242.369	242.361	242.445	242.418	242.423	242.418	242.409	242.380	242.510	242.519	2016_7_16_10_53_48
FLQS30GVGRX8____	-63.322	-63.178	-63.346	-63.426	-63.354	-63.315	-63.394	-63.317	-63.346	-63.211	-63.382	-63.219	-63.285	-63.295	-63.325	-63.383	-63.362	-63.425	-63.328	-63.935	-63.349	-63.390	-63.663	-63.656	-63.285	-63.349	-63.360	-63.351	-63.366	-63.586	-63.310	-63.275	-120.322	-119.979	-119.766	-119.834	-119.798	-119.897	-119.901	-119.695	-120.280	-120.287	-120.316	-119.766	-119.766	-119.872	-119.835	-120.383	-119.834	-119.763	-119.801	-120.150	-120.314	-119.868	-120.225	-120.220	-119.909	-119.866	-119.833	-119.867	-119.844	-120.182	-120.242	-120.256	242.020	242.006	241.901	241.885	241.905	241.939	241.910	241.898	242.003	242.055	241.996	241.949	241.924	241.942	241.923	242.009	241.909	241.872	241.915	241.758	242.008	241.905	241.874	241.875	241.953	241.920	241.910	241.919	241.910	241.894	242.009	242.025	2016_7_16_10_53_52
FLQS30KBGRX8____	-63.580	-63.400	-63.572	-63.644	-63.579	-63.506	-63.617	-63.577	-63.571	-63.432	-63.570	-63.406	-63.514	-63.515	-63.548	-63.571	-63.549	-63.652	-63.546	-64.129	-63.568	-63.618	-63.883	-63.884	-63.510	-63.575	-63.548	-63.581	-63.591	-63.812	-63.527	-63.498	-120.235	-119.889	-119.682	-119.783	-119.711	-119.776	-119.781	-119.609	-120.164	-120.200	-120.199	-119.648	-119.644	-119.787	-119.747	-120.268	-119.714	-119.642	-119.717	-119.994	-120.227	-119.748	-120.137	-120.102	-119.821	-119.782	-119.715	-119.745	-119.760	-120.063	-120.157	-120.169	241.793	241.792	241.687	241.680	241.690	241.730	241.690	241.671	241.783	241.841	241.790	241.742	241.701	241.729	241.709	241.803	241.702	241.649	241.703	241.542	241.796	241.683	241.661	241.654	241.737	241.705	241.702	241.696	241.695	241.673	241.797	241.811	2016_7_16_10_53_55
FLQS30LUGRXL	-63.678	-63.530	-63.702	-63.748	-63.711	-63.635	-63.714	-63.675	-63.698	-63.558	-63.701	-63.537	-63.640	-63.611	-63.644	-63.701	-63.679	-63.781	-63.680	-64.258	-63.669	-63.748	-64.016	-64.017	-63.674	-63.710	-63.679	-63.676	-63.723	-63.945	-63.631	-63.632	-120.330	-119.980	-119.809	-119.880	-119.803	-119.905	-119.910	-119.702	-120.288	-120.322	-120.324	-119.772	-119.771	-119.914	-119.878	-120.393	-119.840	-119.770	-119.807	-120.161	-120.324	-119.876	-120.266	-120.228	-119.946	-119.875	-119.840	-119.877	-119.851	-120.191	-120.256	-120.296	242.449	242.436	242.338	242.335	242.333	242.382	242.353	242.327	242.434	242.492	242.440	242.392	242.353	242.393	242.373	242.453	242.352	242.301	242.346	242.201	242.452	242.334	242.311	242.303	242.375	242.348	242.352	242.361	242.338	242.323	242.452	242.460	2016_7_16_10_53_58
FLQS31B0GRX2____	-63.544	-63.394	-63.567	-63.614	-63.581	-63.535	-63.616	-63.546	-63.569	-63.434	-63.567	-63.435	-63.513	-63.509	-63.546	-63.569	-63.543	-63.650	-63.545	-64.126	-63.537	-63.616	-63.881	-63.877	-63.511	-63.577	-63.542	-63.578	-63.593	-63.805	-63.499	-63.492	-120.398	-120.049	-119.875	-119.945	-119.870	-119.969	-119.978	-119.769	-120.355	-120.363	-120.394	-119.838	-119.839	-119.978	-119.942	-120.463	-119.907	-119.836	-119.875	-120.232	-120.395	-119.941	-120.332	-120.293	-120.017	-119.942	-119.905	-119.941	-119.919	-120.255	-120.320	-120.364	242.513	242.500	242.401	242.397	242.395	242.432	242.403	242.388	242.495	242.547	242.503	242.443	242.414	242.443	242.422	242.516	242.416	242.363	242.409	242.264	242.515	242.396	242.374	242.368	242.450	242.410	242.416	242.410	242.400	242.387	242.514	242.525	2016_7_16_10_54_00
FLQS31B2GRWM____	-63.264	-63.117	-63.290	-63.365	-63.294	-63.222	-63.332	-63.259	-63.256	-63.148	-63.290	-63.155	-63.226	-63.197	-63.262	-63.288	-63.266	-63.364	-63.266	-63.848	-63.255	-63.300	-63.604	-63.602	-63.228	-63.295	-63.262	-63.261	-63.308	-63.533	-63.216	-63.216	-120.395	-120.047	-119.876	-119.941	-119.869	-119.971	-119.972	-119.767	-120.356	-120.357	-120.359	-119.839	-119.837	-119.980	-119.940	-120.426	-119.907	-119.835	-119.876	-120.191	-120.358	-119.942	-120.329	-120.295	-120.012	-119.940	-119.906	-119.942	-119.918	-120.223	-120.318	-120.360	242.038	242.024	241.926	241.911	241.923	241.970	241.929	241.916	242.033	242.073	242.021	241.969	241.942	241.981	241.949	242.035	241.941	241.890	241.935	241.780	242.033	241.935	241.898	241.892	241.976	241.937	241.942	241.949	241.927	241.903	242.040	242.048	2016_7_16_10_54_03
