SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	-0.043	0.003	-0.003	0.017	-0.138	-0.061	-0.060	0.001	-0.061	-0.010	-0.005	-0.113	-0.061	-0.043	-0.002	-0.113	-0.043	-0.061	-0.113	-0.113	-0.043	-0.043	0.073	0.062	0.041	-0.043	-0.061	-0.121	0.002	0.002	-0.060	-0.113	-0.217	-0.265	-0.275	-0.275	-0.319	-0.344	-0.319	-0.268	-0.275	-0.319	-0.198	-0.319	-0.275	-0.319	-0.395	-0.319	-0.275	-0.275	-0.275	-0.319	-0.210	-0.406	-0.275	-0.331	-0.319	-0.352	-0.394	-0.275	-0.273	-0.152	-0.218	-0.265	-0.204	-0.142	-0.166	-0.163	-0.067	0.013	0.013	-0.141	0.026	-0.121	-0.141	-0.227	-0.009	-0.001	-0.135	-0.082	-0.136	0.031	0.020	0.025	-0.205	-0.021	-0.195	-0.168	-0.134	-0.023	-0.105	-0.082	-0.142	-0.145	-0.113	-0.106	-0.041	-0.291	-0.095	2016_7_16_9_13_41
FLNS32DNGRX5____	-0.503	-0.555	-0.492	-0.503	-0.503	-0.429	-0.578	-0.555	-0.555	-0.634	-0.583	-0.474	-0.482	-0.555	-0.503	-0.440	-0.503	-0.491	-0.555	-0.561	-0.637	-0.555	-0.503	-0.503	-0.503	-0.648	-0.555	-0.648	-0.491	-0.492	-0.437	-0.639	-0.719	-0.719	-0.719	-0.719	-0.719	-0.661	-0.637	-0.719	-0.719	-0.840	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	-0.651	-0.840	-0.719	-0.719	-0.633	-0.719	-0.719	-0.719	-0.719	-0.719	-0.719	0.422	0.426	0.415	0.426	0.298	0.375	0.447	0.422	0.348	0.480	0.465	0.374	0.393	0.356	0.415	0.390	0.291	0.383	0.539	0.476	0.492	0.494	0.361	0.289	0.393	0.480	0.508	0.521	0.422	0.415	0.401	0.468	-0.533	-0.717	0.418	2016_7_16_9_13_44
FLNS32G4GRX5____	-0.202	-0.148	-0.140	-0.267	-0.149	-0.136	-0.274	-0.195	-0.149	-0.271	-0.024	-0.154	-0.019	-0.213	-0.016	-0.015	-0.140	-0.189	-0.136	-0.076	-0.144	-0.139	-0.140	-0.138	-0.179	-0.082	-0.202	-0.085	-0.263	-0.129	-0.136	-0.140	-0.558	-0.501	-0.565	-0.501	-0.625	-0.501	-0.558	-0.501	-0.443	-0.629	-0.433	-0.501	-0.443	-0.501	-0.625	-0.370	-0.501	-0.501	-0.380	-0.501	-0.501	-0.435	-0.433	-0.433	-0.501	-0.562	-0.624	-0.423	-0.501	-0.501	-0.501	-0.375	0.296	0.285	0.400	0.344	0.272	0.254	0.348	0.280	0.404	0.331	0.205	0.285	0.190	0.315	0.207	0.198	0.261	0.275	0.257	0.232	0.272	0.261	0.261	0.260	0.261	0.237	0.299	0.234	0.323	0.250	0.143	0.158	-0.147	-0.498	0.269	2016_7_16_9_13_47
FLQS30BYGRX8____	-0.559	-0.515	-0.443	-0.443	-0.506	-0.432	-0.443	-0.443	-0.498	-0.337	-0.514	-0.443	-0.443	-0.583	-0.310	-0.372	-0.432	-0.432	-0.506	-0.443	-0.370	-0.443	-0.443	-0.443	-0.309	-0.497	-0.498	-0.548	-0.374	-0.367	-0.349	-0.529	0.091	0.076	0.091	0.163	0.091	0.091	0.097	0.076	0.091	0.023	0.152	0.023	-0.025	-0.044	0.023	-0.054	0.076	0.109	0.076	0.109	0.097	0.076	0.210	0.158	0.023	0.076	0.091	0.097	0.091	0.139	0.023	0.076	0.181	0.163	0.192	-0.012	0.165	0.100	0.116	0.176	0.144	0.089	0.150	0.226	0.231	0.190	0.055	0.088	0.100	0.116	0.168	-0.006	0.069	0.227	0.033	0.116	0.087	0.140	0.138	0.152	0.098	0.078	0.049	0.128	-0.446	0.078	0.123	2016_7_16_9_13_50
FLQS30DLGRXL____	-0.059	0.054	0.175	0.054	0.054	0.076	0.055	0.061	0.177	0.054	0.054	0.061	0.054	-0.004	0.173	0.054	0.054	0.054	0.054	0.126	-0.020	0.114	-0.000	0.054	0.055	0.124	0.061	-0.004	0.124	0.125	0.113	0.054	-0.554	-0.592	-0.554	-0.606	-0.618	-0.556	-0.541	-0.547	-0.592	-0.623	-0.538	-0.592	-0.556	-0.729	-0.547	-0.592	-0.690	-0.656	-0.592	-0.592	-0.552	-0.605	-0.552	-0.666	-0.556	-0.592	-0.538	-0.624	-0.538	-0.556	-0.612	-0.592	-0.069	-0.241	-0.162	-0.210	-0.015	-0.146	-0.125	-0.231	-0.188	-0.033	-0.121	-0.031	-0.041	-0.089	-0.181	-0.121	0.003	-0.202	-0.032	-0.167	-0.071	-0.150	-0.098	-0.121	-0.053	-0.163	-0.127	-0.093	-0.177	-0.170	-0.149	-0.121	0.068	-0.589	-0.122	2016_7_16_9_13_53
FLQS30GVGRX8____	-0.536	-0.475	-0.389	-0.401	-0.330	-0.393	-0.401	-0.401	-0.451	-0.469	-0.319	-0.401	-0.401	-0.338	-0.393	-0.401	-0.451	-0.534	-0.526	-0.401	-0.479	-0.463	-0.328	-0.401	-0.454	-0.451	-0.395	-0.451	-0.321	-0.401	-0.525	-0.342	0.213	0.143	0.219	0.082	0.213	0.150	0.213	0.213	0.337	0.077	0.219	0.150	0.258	0.213	0.213	0.150	0.213	0.258	0.150	0.219	0.216	0.213	0.219	0.213	0.213	0.332	0.219	0.219	0.213	0.216	0.213	0.219	0.226	0.192	0.129	0.161	0.110	0.141	0.066	0.230	0.174	0.191	0.092	0.161	0.071	0.124	0.141	0.161	0.242	0.216	0.217	0.288	0.191	0.191	0.131	0.045	0.197	0.241	0.138	0.161	0.122	0.048	0.233	0.125	-0.419	0.206	0.161	2016_7_16_9_13_56
FLQS30KBGRX8____	-0.001	-0.011	-0.079	-0.011	0.099	-0.019	0.052	-0.006	-0.011	-0.021	-0.079	-0.021	0.053	0.108	-0.025	-0.025	-0.078	-0.011	0.110	-0.025	-0.001	-0.021	0.101	-0.004	-0.067	-0.067	-0.025	0.022	0.059	-0.006	0.094	0.041	-0.477	-0.477	-0.543	-0.422	-0.477	-0.342	-0.422	-0.412	-0.485	-0.563	-0.477	-0.480	-0.424	-0.424	-0.424	-0.553	-0.477	-0.424	-0.424	-0.557	-0.422	-0.424	-0.412	-0.424	-0.487	-0.424	-0.477	-0.422	-0.412	-0.424	-0.534	-0.337	-0.023	-0.237	-0.070	-0.108	-0.159	-0.107	-0.153	-0.032	-0.012	0.020	-0.065	-0.100	-0.150	-0.176	-0.096	-0.096	-0.068	-0.117	-0.169	-0.104	-0.125	-0.100	-0.162	-0.112	-0.079	-0.090	-0.090	-0.104	-0.167	-0.120	-0.153	-0.136	0.004	-0.453	-0.108	2016_7_16_9_13_59
FLQS30LUGRXL	-0.123	-0.102	-0.110	-0.174	-0.230	-0.161	-0.045	-0.102	-0.002	-0.108	-0.108	-0.050	-0.196	-0.061	-0.017	-0.045	-0.110	-0.102	-0.080	-0.124	-0.041	-0.102	0.027	-0.080	-0.201	-0.175	-0.120	-0.102	-0.039	-0.054	-0.080	-0.046	-0.927	-0.927	-0.927	-0.845	-0.996	-0.927	-0.861	-0.974	-0.927	-0.927	-0.927	-0.850	-0.996	-0.927	-0.927	-0.927	-0.988	-0.927	-0.927	-0.974	-0.852	-0.974	-0.861	-0.974	-0.927	-0.927	-0.861	-0.927	-0.927	-0.861	-0.843	-0.861	0.183	0.136	0.177	0.194	0.225	0.184	0.121	0.203	0.124	0.157	0.263	0.133	0.237	0.156	0.148	0.114	0.168	0.157	0.151	0.200	0.129	0.073	0.087	0.151	0.193	0.196	0.168	0.168	0.113	0.151	0.156	0.122	-0.096	-0.919	0.161	2016_7_16_9_14_02
FLQS31B0GRX2____	-0.402	-0.234	-0.287	-0.353	-0.162	-0.159	-0.296	-0.284	-0.285	-0.229	-0.211	-0.284	-0.412	-0.159	-0.284	-0.147	-0.284	-0.236	-0.362	-0.287	-0.284	-0.299	-0.409	-0.339	-0.423	-0.286	-0.419	-0.236	-0.284	-0.179	-0.284	-0.284	0.016	-0.108	0.040	0.016	0.016	0.040	0.016	0.134	0.016	-0.112	0.010	-0.099	0.016	0.016	0.010	0.071	-0.112	0.071	0.040	-0.046	0.016	0.010	0.071	0.134	0.071	0.142	0.010	0.016	0.152	0.146	-0.057	0.016	-0.013	-0.083	-0.074	-0.025	-0.132	-0.148	-0.046	-0.186	-0.063	-0.086	-0.119	-0.143	0.011	-0.134	0.051	-0.161	-0.150	-0.080	-0.026	-0.060	-0.139	-0.037	-0.004	-0.040	0.032	-0.067	0.001	-0.080	-0.069	-0.120	0.026	-0.211	-0.284	0.024	-0.074	2016_7_16_9_14_05
FLQS31B2GRWM____	-0.486	-0.622	-0.435	-0.577	-0.493	-0.549	-0.485	-0.362	-0.409	-0.445	-0.365	-0.551	-0.372	-0.504	-0.485	-0.414	-0.445	-0.485	-0.491	-0.441	-0.618	-0.517	-0.560	-0.486	-0.512	-0.424	-0.557	-0.614	-0.500	-0.423	-0.491	-0.417	-0.284	-0.284	-0.284	-0.348	-0.217	-0.284	-0.284	-0.270	-0.279	-0.412	-0.276	-0.205	-0.146	-0.284	-0.284	-0.284	-0.411	-0.263	-0.363	-0.284	-0.279	-0.284	-0.284	-0.152	-0.408	-0.348	-0.284	-0.145	-0.284	-0.214	-0.348	-0.205	0.163	0.235	0.152	0.249	0.171	0.210	0.159	0.110	0.115	0.155	0.111	0.199	0.110	0.192	0.100	0.121	0.156	0.029	0.176	0.138	0.234	0.207	0.213	0.254	0.187	0.142	0.212	0.227	0.183	0.137	0.176	0.134	-0.486	-0.281	0.167	2016_7_16_9_14_07
