SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	0.041	0.075	0.035	0.038	0.038	0.072	0.037	0.070	0.037	0.035	0.037	0.038	0.036	0.036	0.072	0.035	0.073	0.035	0.068	0.036	0.032	0.070	0.070	0.037	0.073	0.038	0.068	0.035	0.073	0.036	0.072	0.037	-0.020	-0.063	-0.101	-0.102	-0.036	-0.064	-0.098	-0.104	-0.098	0.001	-0.101	-0.067	-0.092	-0.074	-0.106	-0.068	-0.029	-0.135	-0.137	-0.073	-0.075	-0.026	-0.062	-0.065	-0.029	-0.079	-0.140	-0.167	-0.029	-0.128	-0.099	-0.092	-0.165	-0.175	-0.156	-0.157	-0.163	-0.173	-0.157	-0.170	-0.156	-0.164	-0.156	-0.160	-0.156	-0.159	-0.170	-0.159	-0.176	-0.152	-0.165	-0.158	-0.157	-0.177	-0.173	-0.160	-0.176	-0.159	-0.166	-0.150	-0.176	-0.154	-0.170	-0.158	0.050	-0.080	-0.163	2016_7_16_9_42_29
FLNS32DNGRX5____	-0.321	-0.274	-0.273	-0.276	-0.319	-0.316	-0.276	-0.276	-0.277	-0.276	-0.277	-0.250	-0.277	-0.278	-0.278	-0.240	-0.276	-0.238	-0.275	-0.231	-0.357	-0.277	-0.240	-0.276	-0.276	-0.278	-0.242	-0.239	-0.276	-0.278	-0.318	-0.240	-0.164	-0.074	-0.039	-0.065	-0.178	-0.132	-0.071	-0.098	-0.097	-0.066	-0.004	-0.138	0.000	-0.031	-0.024	0.036	-0.003	-0.035	-0.030	0.051	-0.001	-0.070	0.002	-0.002	-0.003	-0.030	0.002	0.081	-0.003	-0.032	-0.039	0.004	0.284	0.258	0.254	0.258	0.284	0.280	0.258	0.261	0.261	0.257	0.253	0.254	0.253	0.256	0.256	0.235	0.253	0.240	0.254	0.230	0.284	0.259	0.238	0.252	0.253	0.255	0.239	0.231	0.253	0.256	0.285	0.238	-0.275	-0.039	0.256	2016_7_16_9_42_32
FLNS32G4GRX5____	-0.165	-0.250	-0.205	-0.167	-0.167	-0.201	-0.167	-0.199	-0.164	-0.198	-0.200	-0.170	-0.168	-0.202	-0.201	-0.166	-0.167	-0.201	-0.200	-0.199	-0.162	-0.204	-0.164	-0.166	-0.167	-0.206	-0.200	-0.166	-0.167	-0.168	-0.200	-0.167	0.116	0.023	0.192	0.074	0.069	0.036	0.106	0.171	0.067	0.176	0.010	0.104	0.164	0.098	0.128	0.130	0.070	-0.033	0.166	0.167	0.148	0.208	0.019	0.104	0.070	0.095	0.067	0.131	0.070	0.095	0.041	0.067	0.232	0.272	0.241	0.236	0.236	0.253	0.233	0.240	0.236	0.240	0.254	0.235	0.229	0.248	0.245	0.231	0.236	0.258	0.242	0.241	0.228	0.239	0.239	0.233	0.236	0.265	0.250	0.231	0.236	0.235	0.252	0.236	-0.184	0.098	0.241	2016_7_16_9_42_36
FLQS30BYGRX8____	0.176	0.177	0.175	0.178	0.178	0.178	0.177	0.176	0.177	0.177	0.177	0.178	0.142	0.132	0.181	0.177	0.178	0.179	0.176	0.179	0.182	0.178	0.178	0.177	0.178	0.177	0.177	0.177	0.178	0.177	0.177	0.176	-0.042	-0.094	-0.055	-0.018	-0.018	-0.050	-0.060	-0.080	-0.114	-0.024	-0.020	-0.054	-0.080	-0.052	-0.051	-0.082	-0.026	-0.161	-0.024	-0.018	-0.013	-0.024	-0.055	-0.024	-0.026	-0.054	-0.023	-0.019	-0.026	-0.022	-0.052	-0.053	-0.160	-0.157	-0.159	-0.163	-0.163	-0.160	-0.159	-0.157	-0.154	-0.162	-0.162	-0.160	-0.144	-0.127	-0.162	-0.158	-0.162	-0.151	-0.162	-0.163	-0.165	-0.163	-0.160	-0.162	-0.162	-0.159	-0.162	-0.162	-0.162	-0.162	-0.160	-0.159	0.175	-0.047	-0.159	2016_7_16_9_42_39
FLQS30DLGRXL____	-0.201	-0.162	-0.171	-0.170	-0.169	-0.163	-0.165	-0.163	-0.164	-0.163	-0.198	-0.197	-0.171	-0.165	-0.161	-0.163	-0.164	-0.197	-0.164	-0.144	-0.160	-0.206	-0.169	-0.164	-0.164	-0.169	-0.197	-0.200	-0.164	-0.170	-0.170	-0.164	-0.077	-0.074	0.003	0.003	0.117	-0.032	-0.032	-0.032	-0.031	-0.036	-0.033	-0.038	0.114	-0.028	0.003	-0.002	-0.029	-0.032	-0.036	-0.061	-0.029	0.078	0.075	-0.029	-0.029	0.039	-0.038	0.003	-0.029	0.112	0.081	-0.031	-0.032	-0.049	-0.067	-0.064	-0.061	-0.052	-0.051	-0.051	-0.051	-0.051	-0.037	-0.038	-0.061	-0.051	-0.055	-0.054	-0.052	-0.038	-0.051	-0.057	-0.053	-0.044	-0.058	-0.052	-0.052	-0.055	-0.037	-0.040	-0.052	-0.061	-0.058	-0.051	-0.172	-0.004	-0.051	2016_7_16_9_42_48
FLQS30GVGRX8____	0.013	0.010	0.010	0.010	0.011	0.010	0.012	0.012	0.011	0.012	0.012	0.012	0.013	0.013	0.010	0.012	0.012	0.011	0.011	0.009	0.013	0.012	0.012	0.011	0.012	0.010	0.012	0.012	0.012	0.013	0.012	0.011	-0.081	-0.118	-0.153	-0.087	-0.189	-0.148	-0.079	-0.115	-0.046	-0.046	-0.085	-0.086	-0.151	-0.122	-0.156	-0.113	-0.119	-0.115	-0.053	-0.076	-0.122	-0.123	-0.088	-0.085	-0.119	-0.077	-0.053	-0.045	-0.119	-0.117	-0.083	-0.084	-0.031	-0.026	-0.024	-0.029	-0.021	-0.025	-0.030	-0.027	-0.033	-0.033	-0.031	-0.030	-0.025	-0.027	-0.024	-0.028	-0.027	-0.027	-0.033	-0.030	-0.027	-0.027	-0.030	-0.029	-0.027	-0.031	-0.033	-0.034	-0.027	-0.028	-0.030	-0.030	0.011	-0.102	-0.029	2016_7_16_9_42_51
FLQS30KBGRX8____	0.046	0.046	0.048	0.052	0.011	0.082	0.011	0.047	0.049	0.047	0.049	0.048	0.012	0.088	0.047	0.010	0.047	0.048	0.083	0.010	0.047	0.047	0.047	0.047	0.047	0.047	0.046	-0.006	0.047	0.039	0.048	0.049	-0.036	-0.040	-0.035	-0.007	-0.071	-0.038	0.027	0.020	-0.040	-0.009	-0.011	-0.008	-0.035	0.025	-0.044	-0.012	-0.007	0.093	0.060	-0.077	0.033	-0.036	-0.007	-0.068	-0.007	0.025	0.031	-0.059	-0.007	-0.007	-0.043	0.094	-0.143	-0.143	-0.144	-0.160	-0.127	-0.158	-0.135	-0.149	-0.145	-0.146	-0.146	-0.147	-0.130	-0.165	-0.143	-0.132	-0.147	-0.155	-0.166	-0.126	-0.149	-0.144	-0.146	-0.142	-0.147	-0.148	-0.149	-0.121	-0.147	-0.158	-0.144	-0.155	0.043	-0.009	-0.145	2016_7_16_9_42_53
FLQS31B0GRX2____	-0.231	-0.229	-0.243	-0.244	-0.287	-0.285	-0.244	-0.288	-0.243	-0.288	-0.243	-0.245	-0.218	-0.218	-0.283	-0.243	-0.243	-0.288	-0.288	-0.288	-0.230	-0.244	-0.243	-0.288	-0.243	-0.288	-0.288	-0.288	-0.243	-0.244	-0.243	-0.244	0.073	-0.048	0.033	-0.098	-0.066	-0.147	0.032	-0.054	-0.098	-0.124	-0.066	-0.002	-0.054	-0.054	0.021	-0.034	-0.037	-0.124	-0.054	-0.124	0.013	0.027	-0.078	-0.054	-0.037	-0.124	-0.054	-0.054	-0.037	-0.075	-0.076	-0.010	-0.115	-0.107	-0.108	-0.096	-0.063	-0.076	-0.107	-0.082	-0.097	-0.076	-0.100	-0.105	-0.110	-0.098	-0.090	-0.102	-0.102	-0.077	-0.082	-0.077	-0.111	-0.107	-0.099	-0.082	-0.102	-0.077	-0.082	-0.071	-0.102	-0.098	-0.098	-0.104	-0.257	-0.049	-0.094	2016_7_16_9_42_56
FLQS30LUGRXL	0.131	0.095	0.126	0.086	0.155	0.131	0.130	0.094	0.130	0.129	0.082	0.130	0.127	0.126	0.088	0.088	0.152	0.082	0.087	0.086	0.135	0.086	0.152	0.128	0.152	0.128	0.089	0.087	0.152	0.086	0.096	0.156	-0.005	0.109	-0.024	-0.061	-0.032	0.032	0.033	0.034	-0.031	-0.000	0.063	0.001	0.095	0.046	-0.124	-0.126	-0.077	-0.077	-0.095	-0.124	0.039	-0.024	-0.007	0.082	-0.077	0.043	-0.124	-0.122	-0.077	-0.097	-0.002	-0.053	0.026	0.031	0.014	0.049	0.020	0.023	0.023	0.038	0.029	0.027	0.040	0.027	0.020	0.024	0.054	0.054	0.024	0.052	0.051	0.054	0.021	0.045	0.018	0.020	0.024	0.024	0.053	0.054	0.024	0.052	0.041	0.020	0.116	-0.024	0.034	2016_7_16_9_42_59
FLQS31B2GRWM____	-0.829	-0.875	-0.829	-0.804	-0.825	-0.826	-0.830	-0.837	-0.827	-0.827	-0.802	-0.792	-0.827	-0.827	-0.837	-0.823	-0.827	-0.838	-0.828	-0.826	-0.788	-0.828	-0.827	-0.827	-0.827	-0.829	-0.824	-0.824	-0.827	-0.826	-0.828	-0.793	-0.237	-0.249	-0.195	-0.129	-0.231	-0.259	-0.132	-0.129	-0.198	-0.231	-0.126	-0.167	-0.196	-0.198	-0.203	-0.203	-0.226	-0.098	-0.196	-0.203	-0.196	-0.196	-0.197	-0.196	-0.226	-0.198	-0.198	-0.203	-0.226	-0.234	-0.201	-0.129	0.272	0.291	0.267	0.252	0.269	0.272	0.262	0.266	0.267	0.270	0.251	0.250	0.267	0.267	0.273	0.280	0.269	0.263	0.267	0.280	0.252	0.267	0.267	0.267	0.269	0.268	0.278	0.279	0.269	0.270	0.268	0.248	-0.825	-0.194	0.267	2016_7_16_9_43_01
