SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	0.131	0.096	0.042	0.095	0.095	0.099	0.097	0.101	0.100	0.097	0.102	0.102	0.094	0.137	0.103	0.137	0.100	0.102	0.169	0.137	0.097	0.095	0.102	0.104	0.134	0.102	0.143	0.042	0.099	0.176	0.102	0.094	0.024	0.019	0.016	0.018	0.018	0.022	0.071	0.029	0.032	0.031	0.019	0.019	-0.009	0.028	0.013	0.028	0.032	0.016	0.007	0.030	0.031	-0.009	0.032	0.020	-0.040	0.019	0.025	0.018	0.092	0.017	0.031	-0.009	-0.205	-0.190	-0.168	-0.190	-0.190	-0.192	-0.194	-0.193	-0.192	-0.191	-0.192	-0.192	-0.188	-0.208	-0.192	-0.208	-0.192	-0.193	-0.219	-0.208	-0.191	-0.188	-0.194	-0.194	-0.202	-0.192	-0.210	-0.169	-0.196	-0.223	-0.194	-0.188	0.107	0.021	-0.195	2016_7_16_9_47_49
FLNS32DNGRX5____	-0.220	-0.224	-0.258	-0.226	-0.226	-0.221	-0.270	-0.265	-0.262	-0.262	-0.262	-0.262	-0.181	-0.261	-0.263	-0.261	-0.262	-0.262	-0.266	-0.263	-0.262	-0.218	-0.266	-0.226	-0.260	-0.262	-0.226	-0.262	-0.216	-0.224	-0.226	-0.181	-0.007	-0.064	-0.011	-0.060	-0.060	-0.007	-0.058	-0.069	-0.010	-0.012	-0.070	-0.070	0.061	-0.002	-0.069	-0.002	-0.010	-0.009	-0.019	-0.069	-0.012	0.053	-0.067	-0.004	-0.008	-0.070	-0.063	-0.072	0.068	-0.057	-0.003	0.061	0.232	0.237	0.248	0.238	0.238	0.232	0.256	0.254	0.249	0.249	0.253	0.253	0.212	0.248	0.253	0.248	0.249	0.249	0.251	0.253	0.249	0.227	0.255	0.235	0.248	0.253	0.238	0.254	0.225	0.237	0.234	0.212	-0.244	-0.025	0.243	2016_7_16_9_47_52
FLNS32G4GRX5____	-0.182	-0.184	-0.182	-0.183	-0.183	-0.182	-0.183	-0.187	-0.217	-0.185	-0.187	-0.187	-0.180	-0.186	-0.188	-0.186	-0.217	-0.189	-0.181	-0.187	-0.185	-0.179	-0.187	-0.187	-0.220	-0.187	-0.185	-0.215	-0.182	-0.182	-0.187	-0.180	0.047	-0.009	0.017	-0.008	-0.008	0.013	0.020	0.020	0.077	0.018	0.020	0.020	0.050	0.014	0.020	0.014	0.077	0.019	0.052	0.021	0.018	0.047	-0.029	0.019	0.046	0.020	-0.012	-0.012	-0.013	0.014	0.018	0.050	0.246	0.251	0.248	0.251	0.251	0.249	0.249	0.250	0.259	0.250	0.251	0.251	0.246	0.250	0.251	0.250	0.259	0.251	0.246	0.250	0.250	0.246	0.253	0.250	0.261	0.251	0.251	0.264	0.250	0.248	0.251	0.246	-0.189	0.021	0.251	2016_7_16_9_47_55
FLQS30BYGRX8____	0.138	0.172	0.136	0.137	0.137	0.136	0.092	0.136	0.140	0.137	0.140	0.140	0.167	0.137	0.101	0.137	0.140	0.137	0.133	0.141	0.137	0.137	0.104	0.071	0.134	0.140	0.169	0.137	0.164	0.168	0.133	0.167	-0.037	-0.038	-0.067	-0.033	-0.033	0.008	-0.094	-0.076	0.046	-0.019	-0.005	-0.005	-0.031	-0.023	-0.002	-0.023	0.046	-0.011	-0.083	0.031	-0.019	-0.034	-0.040	0.029	-0.031	-0.005	-0.034	-0.085	-0.112	-0.029	-0.040	-0.031	-0.147	-0.161	-0.145	-0.147	-0.147	-0.149	-0.125	-0.143	-0.153	-0.148	-0.150	-0.150	-0.159	-0.148	-0.135	-0.148	-0.153	-0.149	-0.142	-0.153	-0.148	-0.148	-0.133	-0.125	-0.146	-0.150	-0.160	-0.144	-0.153	-0.160	-0.146	-0.159	0.137	-0.028	-0.148	2016_7_16_9_47_58
FLQS30DLGRXL____	-0.145	-0.147	-0.176	-0.149	-0.149	-0.147	-0.147	-0.146	-0.184	-0.182	-0.183	-0.183	-0.146	-0.217	-0.184	-0.217	-0.184	-0.183	-0.146	-0.183	-0.182	-0.147	-0.183	-0.148	-0.149	-0.183	-0.148	-0.144	-0.147	-0.147	-0.218	-0.146	0.038	0.013	-0.030	0.012	0.012	0.018	0.040	0.045	0.017	0.011	0.008	0.008	0.043	0.013	0.005	0.013	0.017	0.006	0.044	0.009	0.011	0.011	0.014	0.047	0.048	0.008	0.012	0.037	0.013	0.047	0.010	0.043	-0.063	-0.060	-0.046	-0.060	-0.060	-0.060	-0.062	-0.063	-0.045	-0.046	-0.045	-0.045	-0.063	-0.031	-0.044	-0.031	-0.045	-0.045	-0.063	-0.045	-0.046	-0.061	-0.046	-0.062	-0.062	-0.045	-0.060	-0.063	-0.060	-0.063	-0.031	-0.063	-0.167	0.020	-0.053	2016_7_16_9_48_02
FLQS30GVGRX8____	-0.031	-0.034	-0.073	-0.034	-0.034	-0.035	-0.036	-0.073	-0.110	0.004	-0.034	-0.034	-0.030	-0.103	-0.103	-0.103	-0.110	-0.036	-0.030	-0.036	0.004	-0.030	-0.078	-0.036	-0.107	-0.034	-0.034	-0.033	-0.033	-0.036	-0.074	-0.030	-0.073	-0.073	-0.070	-0.069	-0.069	-0.066	-0.073	0.009	-0.207	-0.159	-0.071	-0.071	-0.032	-0.038	-0.035	-0.038	-0.207	-0.074	-0.032	-0.068	-0.159	-0.036	-0.212	-0.072	-0.130	-0.071	-0.071	-0.071	-0.074	-0.074	-0.003	-0.032	-0.016	-0.014	0.002	-0.014	-0.014	-0.015	-0.013	-0.004	0.025	-0.023	-0.014	-0.014	-0.019	0.011	0.011	0.011	0.025	-0.013	-0.018	-0.014	-0.023	-0.018	0.013	-0.014	0.019	-0.014	-0.014	-0.014	-0.015	-0.013	-0.002	-0.019	-0.050	-0.079	-0.007	2016_7_16_9_48_04
FLQS30KBGRX8____	0.033	-0.003	-0.037	-0.002	-0.002	0.033	0.000	-0.002	0.033	0.034	0.034	0.034	0.032	0.033	0.035	0.033	0.033	0.035	-0.001	0.035	0.034	0.031	-0.001	-0.001	-0.001	0.034	0.000	-0.000	-0.001	0.031	0.034	0.032	-0.049	-0.088	-0.058	-0.051	-0.051	-0.049	-0.018	-0.050	-0.049	-0.051	-0.048	-0.048	-0.049	-0.011	-0.010	-0.011	-0.049	-0.012	-0.019	-0.011	-0.051	-0.050	-0.087	-0.053	-0.050	-0.048	-0.050	-0.050	-0.050	-0.082	-0.085	-0.049	-0.139	-0.121	-0.109	-0.124	-0.124	-0.139	-0.128	-0.124	-0.139	-0.138	-0.139	-0.139	-0.138	-0.141	-0.142	-0.141	-0.139	-0.142	-0.127	-0.141	-0.138	-0.138	-0.122	-0.124	-0.124	-0.139	-0.125	-0.125	-0.125	-0.136	-0.136	-0.138	0.018	-0.047	-0.133	2016_7_16_9_48_07
FLQS30LUGRXL	0.122	0.154	0.124	0.124	0.124	0.158	0.155	0.160	0.192	0.159	0.160	0.160	0.160	0.158	0.160	0.158	0.192	0.156	0.196	0.160	0.159	0.155	0.159	0.160	0.161	0.160	0.192	0.180	0.124	0.192	0.192	0.160	-0.028	-0.093	-0.027	-0.029	-0.029	-0.057	-0.092	-0.058	-0.008	-0.058	-0.022	-0.022	-0.023	-0.060	-0.023	-0.060	-0.008	-0.095	-0.014	-0.020	-0.058	-0.064	-0.060	-0.022	-0.021	-0.022	-0.056	-0.125	-0.027	-0.052	-0.056	-0.023	0.030	0.022	0.030	0.029	0.029	0.018	0.021	0.017	0.001	0.018	0.015	0.015	0.015	0.018	0.015	0.018	0.001	0.021	-0.000	0.015	0.018	0.020	0.018	0.015	0.015	0.015	0.004	0.014	0.030	0.004	0.004	0.015	0.160	-0.044	0.016	2016_7_16_9_48_12
FLQS31B0GRX2____	-0.242	-0.288	-0.375	-0.211	-0.211	-0.287	-0.210	-0.289	-0.327	-0.290	-0.327	-0.327	-0.288	-0.290	-0.290	-0.290	-0.327	-0.289	-0.209	-0.328	-0.290	-0.289	-0.289	-0.325	-0.290	-0.327	-0.291	-0.285	-0.291	-0.289	-0.253	-0.288	0.014	-0.058	-0.102	-0.019	-0.019	-0.015	-0.014	-0.021	-0.064	-0.020	-0.066	-0.066	-0.057	-0.020	-0.057	-0.020	-0.064	-0.056	-0.004	-0.106	-0.020	-0.059	-0.020	-0.023	-0.060	-0.066	-0.097	-0.055	-0.097	-0.020	-0.012	-0.057	-0.105	-0.081	-0.043	-0.114	-0.114	-0.084	-0.116	-0.084	-0.065	-0.083	-0.065	-0.065	-0.081	-0.083	-0.081	-0.083	-0.065	-0.081	-0.117	-0.062	-0.083	-0.080	-0.083	-0.068	-0.080	-0.065	-0.077	-0.082	-0.078	-0.083	-0.098	-0.081	-0.288	-0.044	-0.082	2016_7_16_9_48_15
FLQS31B2GRWM____	-0.843	-0.843	-0.841	-0.889	-0.889	-0.885	-0.888	-0.848	-0.849	-0.849	-0.929	-0.929	-0.883	-0.929	-0.850	-0.929	-0.849	-0.851	-0.885	-0.849	-0.849	-0.839	-0.850	-0.813	-0.845	-0.929	-0.845	-0.844	-0.889	-0.884	-0.848	-0.883	-0.150	-0.152	-0.149	-0.193	-0.193	-0.148	-0.192	-0.144	-0.141	-0.142	-0.197	-0.197	-0.158	-0.185	-0.151	-0.185	-0.141	-0.151	-0.155	-0.146	-0.142	-0.099	-0.147	-0.147	-0.090	-0.197	-0.151	-0.154	-0.191	-0.117	-0.099	-0.158	0.273	0.273	0.272	0.293	0.293	0.290	0.293	0.275	0.275	0.275	0.310	0.310	0.290	0.309	0.275	0.309	0.275	0.276	0.290	0.275	0.275	0.268	0.275	0.261	0.270	0.310	0.274	0.274	0.295	0.287	0.271	0.290	-0.870	-0.155	0.284	2016_7_16_9_48_26
