SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	0.042	0.073	0.071	0.071	0.074	0.076	0.076	0.073	0.077	0.073	0.045	0.046	0.044	0.079	0.073	0.075	0.077	0.075	0.046	0.074	0.044	0.046	0.077	0.048	0.073	0.047	0.042	0.044	0.076	0.042	0.075	0.073	-0.017	-0.047	-0.049	-0.049	-0.052	-0.014	-0.049	-0.049	-0.017	-0.051	-0.048	-0.050	-0.050	-0.049	-0.017	-0.051	-0.048	-0.052	-0.052	-0.047	-0.012	-0.051	-0.049	-0.050	-0.048	-0.049	-0.019	-0.013	-0.021	-0.049	-0.050	-0.049	-0.166	-0.176	-0.175	-0.175	-0.176	-0.180	-0.178	-0.176	-0.181	-0.176	-0.164	-0.164	-0.164	-0.178	-0.179	-0.176	-0.177	-0.177	-0.165	-0.176	-0.168	-0.165	-0.177	-0.165	-0.176	-0.165	-0.166	-0.167	-0.180	-0.163	-0.177	-0.176	0.063	-0.041	-0.173	2016_7_16_9_55_30
FLNS32DNGRX5____	-0.207	-0.206	-0.238	-0.205	-0.236	-0.206	-0.238	-0.207	-0.238	-0.208	-0.207	-0.204	-0.205	-0.210	-0.243	-0.242	-0.208	-0.208	-0.208	-0.240	-0.207	-0.209	-0.240	-0.209	-0.236	-0.203	-0.202	-0.205	-0.204	-0.170	-0.207	-0.208	-0.016	-0.044	-0.012	-0.009	-0.012	0.022	-0.012	0.018	-0.047	-0.012	-0.013	-0.012	-0.045	0.020	-0.014	-0.011	-0.012	-0.012	0.020	-0.043	-0.012	0.020	0.021	-0.011	-0.012	-0.042	-0.010	-0.012	-0.011	-0.012	-0.011	0.020	0.231	0.233	0.243	0.230	0.243	0.226	0.243	0.227	0.247	0.231	0.229	0.229	0.233	0.228	0.245	0.245	0.231	0.230	0.228	0.246	0.230	0.228	0.241	0.231	0.242	0.231	0.228	0.229	0.229	0.215	0.230	0.227	-0.215	-0.010	0.233	2016_7_16_9_55_34
FLNS32G4GRX5____	-0.198	-0.199	-0.202	-0.202	-0.235	-0.172	-0.203	-0.175	-0.204	-0.203	-0.204	-0.173	-0.200	-0.177	-0.204	-0.207	-0.175	-0.175	-0.173	-0.204	-0.199	-0.176	-0.233	-0.203	-0.202	-0.199	-0.198	-0.200	-0.167	-0.171	-0.175	-0.174	-0.020	-0.055	-0.023	-0.024	-0.026	0.017	-0.057	-0.024	-0.062	-0.024	-0.024	-0.024	-0.027	-0.025	-0.023	-0.026	-0.028	-0.024	-0.023	-0.024	-0.024	-0.024	-0.024	-0.023	-0.023	-0.054	-0.023	-0.062	-0.024	-0.025	-0.060	-0.025	0.260	0.264	0.262	0.262	0.276	0.246	0.265	0.251	0.266	0.263	0.263	0.250	0.262	0.252	0.263	0.265	0.251	0.251	0.249	0.263	0.261	0.252	0.275	0.263	0.262	0.264	0.260	0.265	0.248	0.250	0.255	0.250	-0.193	-0.029	0.259	2016_7_16_9_55_36
FLQS30BYGRX8____	0.135	0.130	0.130	0.129	0.131	0.130	0.131	0.134	0.134	0.130	0.132	0.130	0.134	0.130	0.132	0.131	0.131	0.132	0.134	0.132	0.163	0.132	0.130	0.131	0.132	0.129	0.132	0.096	0.131	0.135	0.129	0.131	-0.040	-0.007	-0.006	-0.038	-0.004	-0.003	-0.006	-0.005	-0.004	-0.004	-0.005	-0.005	-0.005	-0.003	-0.003	-0.003	-0.004	-0.004	-0.003	-0.005	-0.003	-0.004	-0.005	-0.005	-0.003	-0.004	-0.003	-0.039	-0.033	-0.004	-0.003	-0.003	-0.146	-0.147	-0.148	-0.144	-0.148	-0.147	-0.148	-0.150	-0.149	-0.148	-0.149	-0.147	-0.150	-0.148	-0.149	-0.148	-0.148	-0.149	-0.150	-0.149	-0.161	-0.149	-0.147	-0.148	-0.149	-0.147	-0.148	-0.130	-0.145	-0.150	-0.147	-0.148	0.131	-0.008	-0.148	2016_7_16_9_55_39
FLQS30DLGRXL____	-0.180	-0.150	-0.156	-0.144	-0.183	-0.181	-0.175	-0.149	-0.152	-0.154	-0.151	-0.145	-0.119	-0.181	-0.184	-0.181	-0.178	-0.177	-0.148	-0.183	-0.152	-0.179	-0.182	-0.153	-0.150	-0.146	-0.149	-0.154	-0.143	-0.116	-0.145	-0.146	0.010	0.009	0.008	0.008	0.006	0.044	0.005	0.003	0.043	0.007	0.009	0.043	0.005	0.044	0.003	0.005	0.007	0.004	0.003	0.008	0.016	0.007	0.007	0.008	0.008	0.007	0.006	0.043	-0.000	0.038	0.040	0.042	-0.045	-0.057	-0.055	-0.059	-0.043	-0.047	-0.046	-0.057	-0.060	-0.055	-0.056	-0.062	-0.070	-0.048	-0.042	-0.044	-0.046	-0.046	-0.058	-0.044	-0.057	-0.045	-0.044	-0.056	-0.057	-0.058	-0.057	-0.059	-0.059	-0.074	-0.062	-0.062	-0.159	0.015	-0.054	2016_7_16_9_55_42
FLQS30GVGRX8____	0.114	0.145	0.144	0.142	0.141	0.143	0.142	0.142	0.144	0.144	0.143	0.143	0.143	0.144	0.146	0.148	0.145	0.145	0.145	0.144	0.111	0.141	0.112	0.144	0.140	0.172	0.143	0.114	0.142	0.109	0.147	0.113	-0.066	-0.031	-0.063	-0.063	-0.062	-0.064	-0.030	-0.029	-0.063	-0.062	-0.033	-0.029	-0.062	-0.063	-0.030	-0.062	-0.064	-0.030	-0.062	-0.030	-0.062	-0.029	-0.064	-0.064	-0.063	-0.031	-0.035	-0.062	-0.065	-0.063	-0.030	-0.062	-0.074	-0.089	-0.085	-0.085	-0.085	-0.085	-0.088	-0.088	-0.086	-0.087	-0.088	-0.089	-0.086	-0.086	-0.090	-0.087	-0.086	-0.090	-0.086	-0.089	-0.072	-0.088	-0.072	-0.086	-0.085	-0.101	-0.088	-0.074	-0.085	-0.071	-0.090	-0.073	0.139	-0.051	-0.085	2016_7_16_9_55_45
FLQS30KBGRX8____	0.005	0.008	0.007	0.038	0.038	0.038	0.038	0.005	0.038	0.037	0.035	0.037	0.009	0.037	0.039	0.039	0.038	0.035	0.035	0.039	0.003	0.033	0.037	0.033	0.008	0.006	0.007	0.007	0.007	0.004	0.034	-0.000	-0.010	-0.041	-0.042	-0.011	-0.040	-0.041	-0.041	-0.039	-0.011	-0.041	-0.040	-0.012	-0.042	-0.042	-0.040	-0.042	-0.039	-0.014	-0.041	-0.041	-0.008	-0.041	-0.042	-0.040	-0.045	-0.041	-0.011	-0.009	-0.012	-0.042	-0.042	-0.040	-0.130	-0.128	-0.127	-0.143	-0.140	-0.140	-0.141	-0.127	-0.142	-0.140	-0.139	-0.142	-0.128	-0.139	-0.141	-0.141	-0.140	-0.141	-0.139	-0.140	-0.129	-0.138	-0.140	-0.138	-0.127	-0.127	-0.130	-0.130	-0.130	-0.126	-0.138	-0.125	0.024	-0.033	-0.135	2016_7_16_9_55_48
FLQS30LUGRXL	0.146	0.143	0.144	0.146	0.143	0.146	0.143	0.142	0.146	0.142	0.143	0.143	0.111	0.144	0.147	0.143	0.143	0.142	0.143	0.143	0.139	0.143	0.144	0.115	0.144	0.143	0.148	0.113	0.177	0.143	0.144	0.144	0.053	0.050	0.050	0.050	0.050	0.052	0.048	0.020	0.021	0.051	0.051	0.051	0.020	0.050	0.020	0.050	0.050	0.049	0.049	0.020	0.017	0.051	0.019	0.050	0.050	0.050	0.019	0.017	0.050	0.020	0.050	0.019	0.011	0.014	0.013	0.013	0.014	0.012	0.013	0.017	0.015	0.014	0.013	0.014	0.030	0.013	0.015	0.013	0.014	0.014	0.014	0.017	0.018	0.014	0.016	0.025	0.013	0.014	0.015	0.029	0.000	0.016	0.013	0.016	0.142	0.040	0.015	2016_7_16_9_55_51
FLQS31B0GRX2____	-0.226	-0.267	-0.264	-0.234	-0.266	-0.265	-0.266	-0.263	-0.236	-0.235	-0.235	-0.265	-0.262	-0.233	-0.197	-0.265	-0.264	-0.265	-0.234	-0.266	-0.234	-0.265	-0.268	-0.235	-0.233	-0.265	-0.268	-0.235	-0.231	-0.262	-0.235	-0.264	-0.098	-0.065	-0.066	-0.096	-0.066	-0.065	-0.067	-0.063	-0.064	-0.065	-0.064	-0.065	-0.064	-0.064	-0.064	-0.067	-0.066	-0.066	-0.066	-0.066	-0.062	-0.066	-0.065	-0.066	-0.063	-0.066	-0.064	-0.027	-0.063	-0.065	-0.066	-0.066	-0.098	-0.084	-0.085	-0.095	-0.084	-0.084	-0.084	-0.086	-0.097	-0.097	-0.098	-0.084	-0.086	-0.099	-0.113	-0.084	-0.085	-0.084	-0.097	-0.085	-0.098	-0.084	-0.084	-0.097	-0.098	-0.084	-0.083	-0.100	-0.100	-0.086	-0.097	-0.085	-0.250	-0.066	-0.091	2016_7_16_9_55_54
FLQS31B2GRWM____	-0.732	-0.737	-0.767	-0.766	-0.764	-0.763	-0.766	-0.737	-0.765	-0.763	-0.765	-0.762	-0.799	-0.764	-0.764	-0.764	-0.735	-0.766	-0.763	-0.766	-0.768	-0.765	-0.768	-0.766	-0.767	-0.762	-0.768	-0.768	-0.766	-0.732	-0.727	-0.731	-0.153	-0.178	-0.180	-0.149	-0.180	-0.150	-0.182	-0.180	-0.152	-0.151	-0.179	-0.179	-0.151	-0.151	-0.153	-0.181	-0.178	-0.149	-0.153	-0.152	-0.150	-0.179	-0.180	-0.179	-0.150	-0.179	-0.152	-0.149	-0.149	-0.152	-0.153	-0.150	0.242	0.246	0.259	0.256	0.258	0.255	0.259	0.247	0.257	0.255	0.258	0.256	0.270	0.255	0.255	0.258	0.245	0.256	0.255	0.256	0.257	0.258	0.260	0.258	0.256	0.256	0.257	0.257	0.255	0.242	0.240	0.241	-0.759	-0.163	0.254	2016_7_16_9_55_57
