SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	0.090	0.090	0.092	0.091	0.125	0.091	0.090	0.087	0.086	0.088	0.087	0.088	0.091	0.089	0.091	0.089	0.120	0.088	0.090	0.087	0.091	0.094	0.089	0.093	0.120	0.090	0.088	0.086	0.084	0.089	0.089	0.124	0.013	0.013	0.012	0.011	0.013	0.012	0.009	0.015	0.011	0.008	0.010	0.011	0.011	0.013	-0.031	0.011	0.011	0.011	0.011	0.008	0.011	0.009	0.008	0.014	0.010	0.010	0.009	0.010	0.009	0.012	0.013	0.012	-0.184	-0.185	-0.184	-0.184	-0.196	-0.185	-0.183	-0.183	-0.183	-0.182	-0.182	-0.184	-0.184	-0.184	-0.177	-0.183	-0.194	-0.184	-0.184	-0.183	-0.184	-0.185	-0.183	-0.185	-0.195	-0.184	-0.183	-0.182	-0.181	-0.184	-0.183	-0.197	0.093	0.010	-0.185	2016_7_16_9_58_02
FLNS32DNGRX5____	-0.341	-0.341	-0.337	-0.336	-0.341	-0.337	-0.339	-0.344	-0.345	-0.376	-0.347	-0.346	-0.336	-0.345	-0.351	-0.341	-0.353	-0.381	-0.340	-0.379	-0.344	-0.344	-0.340	-0.338	-0.348	-0.339	-0.342	-0.350	-0.351	-0.382	-0.343	-0.350	-0.080	-0.083	-0.122	-0.079	-0.121	-0.085	-0.077	-0.081	-0.080	-0.115	-0.082	-0.084	-0.079	-0.124	-0.087	-0.081	-0.081	-0.119	-0.086	-0.121	-0.085	-0.125	-0.082	-0.086	-0.086	-0.082	-0.081	-0.086	-0.127	-0.088	-0.040	-0.087	0.276	0.277	0.282	0.274	0.284	0.276	0.275	0.278	0.279	0.295	0.279	0.279	0.274	0.286	0.280	0.277	0.281	0.297	0.277	0.297	0.279	0.286	0.277	0.277	0.280	0.277	0.277	0.280	0.289	0.293	0.270	0.281	-0.348	-0.091	0.281	2016_7_16_9_58_05
FLNS32G4GRX5____	-0.014	-0.056	-0.047	-0.055	-0.021	-0.053	-0.052	-0.054	-0.021	-0.057	-0.025	-0.026	-0.055	-0.048	-0.030	-0.054	-0.012	-0.053	-0.051	-0.023	-0.020	-0.055	-0.054	-0.017	-0.097	-0.052	-0.056	-0.066	-0.096	-0.027	-0.031	-0.029	-0.068	-0.018	-0.066	-0.018	-0.021	-0.021	-0.020	-0.022	-0.025	-0.061	-0.014	-0.024	-0.018	-0.019	-0.062	-0.020	-0.022	0.015	-0.019	-0.026	-0.021	-0.018	-0.018	-0.021	-0.061	-0.020	-0.027	-0.062	-0.067	-0.017	-0.018	-0.018	0.193	0.198	0.204	0.199	0.188	0.199	0.198	0.199	0.188	0.207	0.188	0.190	0.199	0.197	0.197	0.199	0.185	0.192	0.197	0.189	0.187	0.199	0.198	0.187	0.221	0.198	0.201	0.211	0.222	0.188	0.191	0.190	-0.044	-0.029	0.197	2016_7_16_9_58_08
FLQS30BYGRX8____	0.116	0.118	0.115	0.088	0.128	0.125	0.153	0.117	0.116	0.112	0.117	0.117	0.088	0.118	0.076	0.157	0.112	0.074	0.086	0.112	0.114	0.125	0.113	0.133	0.120	0.113	0.075	0.110	0.121	0.080	0.071	0.157	0.115	0.079	0.078	0.077	0.075	0.080	0.076	0.077	0.076	0.068	0.075	0.040	0.077	0.075	0.073	0.074	0.071	0.072	0.077	0.079	0.035	0.074	0.077	0.080	0.074	0.078	0.108	0.075	0.072	0.079	0.075	0.077	-0.155	-0.149	-0.148	-0.138	-0.152	-0.152	-0.161	-0.149	-0.148	-0.146	-0.149	-0.142	-0.138	-0.149	-0.134	-0.162	-0.146	-0.132	-0.138	-0.147	-0.141	-0.151	-0.147	-0.155	-0.149	-0.147	-0.140	-0.146	-0.149	-0.136	-0.133	-0.162	0.112	0.076	-0.147	2016_7_16_9_58_10
FLQS30DLGRXL____	-0.262	-0.268	-0.260	-0.264	-0.235	-0.264	-0.230	-0.267	-0.270	-0.269	-0.274	-0.273	-0.264	-0.263	-0.233	-0.227	-0.267	-0.233	-0.266	-0.236	-0.235	-0.265	-0.230	-0.231	-0.267	-0.231	-0.266	-0.236	-0.231	-0.237	-0.233	-0.302	-0.056	-0.055	-0.090	-0.055	-0.021	-0.061	-0.013	-0.058	-0.063	-0.069	-0.054	-0.064	-0.055	-0.055	-0.016	-0.055	-0.054	-0.066	-0.093	-0.069	-0.069	-0.056	-0.057	-0.023	-0.021	-0.058	-0.067	-0.012	-0.060	-0.056	-0.061	-0.097	-0.017	-0.015	-0.012	-0.017	-0.033	-0.015	-0.035	-0.015	-0.012	-0.012	-0.013	-0.012	-0.017	-0.017	-0.035	-0.030	-0.016	-0.025	-0.009	-0.024	-0.024	-0.016	-0.028	-0.033	-0.021	-0.027	-0.013	-0.034	-0.027	-0.025	-0.026	0.004	-0.253	-0.055	-0.020	2016_7_16_9_58_13
FLQS30GVGRX8____	0.133	0.105	0.134	0.145	0.139	0.145	0.107	0.141	0.101	0.134	0.138	0.133	0.145	0.141	0.106	0.138	0.138	0.099	0.181	0.095	0.132	0.142	0.138	0.107	0.137	0.138	0.134	0.101	0.096	0.181	0.146	0.154	-0.086	-0.131	-0.130	-0.133	-0.131	-0.133	-0.133	-0.129	-0.133	-0.103	-0.092	-0.130	-0.133	-0.082	-0.131	-0.132	-0.129	-0.133	-0.132	-0.131	-0.132	-0.133	-0.131	-0.130	-0.127	-0.129	-0.141	-0.129	-0.128	-0.129	-0.133	-0.131	-0.064	-0.046	-0.057	-0.060	-0.058	-0.059	-0.047	-0.059	-0.044	-0.061	-0.065	-0.056	-0.060	-0.068	-0.047	-0.057	-0.058	-0.044	-0.073	-0.043	-0.055	-0.059	-0.058	-0.047	-0.059	-0.058	-0.055	-0.045	-0.044	-0.073	-0.060	-0.063	0.132	-0.126	-0.056	2016_7_16_9_58_16
FLQS30KBGRX8____	0.234	0.201	0.235	0.196	0.234	0.202	0.201	0.202	0.201	0.201	0.196	0.199	0.196	0.201	0.231	0.199	0.198	0.203	0.238	0.198	0.202	0.235	0.199	0.207	0.196	0.200	0.201	0.231	0.200	0.196	0.200	0.198	0.005	0.009	0.006	0.007	0.054	0.010	0.006	0.010	-0.015	0.014	0.007	0.016	0.007	0.008	0.049	0.007	0.051	0.012	0.007	0.016	0.020	0.009	0.006	0.018	0.007	0.052	0.013	0.055	0.010	0.049	-0.030	0.016	-0.210	-0.200	-0.212	-0.198	-0.220	-0.201	-0.200	-0.201	-0.196	-0.201	-0.198	-0.201	-0.198	-0.200	-0.217	-0.199	-0.207	-0.201	-0.213	-0.200	-0.202	-0.212	-0.199	-0.204	-0.198	-0.207	-0.201	-0.218	-0.200	-0.205	-0.193	-0.201	0.207	0.016	-0.204	2016_7_16_9_58_19
FLQS31B0GRX2____	-0.134	-0.132	-0.132	-0.134	-0.130	-0.132	-0.130	-0.131	-0.129	-0.096	-0.091	-0.097	-0.134	-0.128	-0.127	-0.129	-0.093	-0.094	-0.133	-0.127	-0.161	-0.131	-0.130	-0.093	-0.131	-0.130	-0.132	-0.130	-0.129	-0.094	-0.092	-0.130	-0.129	-0.128	-0.172	-0.171	-0.173	-0.132	-0.130	-0.129	-0.161	-0.161	-0.129	-0.161	-0.171	-0.129	-0.131	-0.128	-0.129	-0.127	-0.127	-0.165	-0.195	-0.173	-0.128	-0.132	-0.129	-0.128	-0.128	-0.127	-0.128	-0.128	-0.129	-0.128	-0.131	-0.132	-0.124	-0.124	-0.126	-0.132	-0.133	-0.132	-0.127	-0.139	-0.146	-0.139	-0.124	-0.134	-0.134	-0.133	-0.146	-0.146	-0.132	-0.127	-0.111	-0.125	-0.133	-0.145	-0.133	-0.133	-0.132	-0.133	-0.133	-0.145	-0.145	-0.133	-0.122	-0.142	-0.133	2016_7_16_9_58_23
FLQS30LUGRXL	-0.002	-0.038	-0.035	-0.043	-0.003	-0.000	-0.039	-0.007	-0.007	-0.015	-0.005	-0.008	-0.043	-0.041	-0.040	-0.040	-0.042	-0.010	-0.044	-0.015	-0.013	-0.041	-0.003	-0.005	0.003	-0.042	-0.043	0.003	-0.046	-0.001	-0.040	-0.044	0.122	0.081	0.074	0.031	0.118	0.076	0.030	0.078	0.110	0.109	0.075	0.110	0.031	0.073	0.074	0.073	0.117	0.107	0.075	0.072	0.146	0.029	0.072	0.074	0.115	0.075	0.112	0.071	0.072	0.069	0.074	0.072	0.057	0.077	0.077	0.087	0.058	0.065	0.086	0.066	0.061	0.064	0.067	0.061	0.087	0.079	0.079	0.079	0.072	0.062	0.080	0.070	0.057	0.087	0.066	0.067	0.057	0.080	0.073	0.065	0.081	0.066	0.078	0.081	-0.023	0.082	0.072	2016_7_16_9_58_26
FLQS31B2GRWM____	-0.762	-0.763	-0.762	-0.763	-0.765	-0.725	-0.762	-0.760	-0.761	-0.762	-0.764	-0.761	-0.763	-0.761	-0.762	-0.762	-0.758	-0.760	-0.759	-0.763	-0.762	-0.768	-0.763	-0.764	-0.796	-0.760	-0.762	-0.762	-0.798	-0.766	-0.764	-0.764	-0.356	-0.353	-0.353	-0.356	-0.352	-0.354	-0.390	-0.352	-0.357	-0.356	-0.392	-0.357	-0.356	-0.355	-0.358	-0.391	-0.397	-0.355	-0.352	-0.356	-0.357	-0.391	-0.392	-0.350	-0.355	-0.352	-0.392	-0.353	-0.356	-0.355	-0.393	-0.354	0.252	0.253	0.253	0.254	0.254	0.240	0.259	0.252	0.253	0.254	0.260	0.254	0.254	0.253	0.253	0.260	0.259	0.252	0.252	0.254	0.254	0.261	0.260	0.253	0.264	0.253	0.260	0.252	0.266	0.255	0.260	0.254	-0.763	-0.364	0.255	2016_7_16_9_58_28
