SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	-0.753	-0.693	-0.730	-0.606	-0.730	-0.768	-0.573	-0.625	-0.818	-0.730	-0.617	-0.820	-0.696	-0.750	-0.730	-0.696	-0.696	-0.682	-0.758	-0.764	-0.688	-0.730	-0.696	-0.730	-0.696	-0.560	-0.693	-0.776	-0.620	-0.639	-0.630	-0.634	-0.072	-0.146	-0.146	0.001	-0.086	-0.072	-0.002	-0.068	-0.086	-0.054	-0.190	-0.015	-0.207	-0.086	-0.146	-0.086	-0.201	-0.086	-0.146	-0.072	-0.072	-0.072	0.003	-0.086	-0.202	-0.068	-0.086	-0.086	-0.203	-0.072	-0.086	-0.072	-0.328	-0.234	-0.338	-0.314	-0.377	-0.400	-0.301	-0.313	-0.356	-0.357	-0.292	-0.400	-0.402	-0.381	-0.372	-0.379	-0.323	-0.309	-0.356	-0.342	-0.337	-0.289	-0.269	-0.382	-0.387	-0.315	-0.357	-0.371	-0.292	-0.338	-0.333	-0.341	-0.698	-0.096	-0.340	2016_7_16_10_25_59
FLNS32DNGRX5____	-0.549	-0.541	-0.365	-0.511	-0.623	-0.564	-0.511	-0.511	-0.498	-0.551	-0.511	-0.354	-0.541	-0.618	-0.511	-0.363	-0.371	-0.616	-0.498	-0.376	-0.453	-0.420	-0.498	-0.511	-0.478	-0.435	-0.541	-0.498	-0.511	-0.492	-0.492	-0.487	-0.789	-0.789	-0.784	-0.784	-0.800	-0.737	-0.706	-0.671	-0.858	-0.793	-0.784	-0.784	-0.919	-0.784	-0.788	-0.726	-0.656	-0.910	-0.790	-0.849	-0.788	-0.791	-0.790	-0.665	-0.708	-0.789	-0.664	-0.917	-0.853	-0.784	-0.799	-0.799	-0.033	-0.052	-0.013	0.048	-0.088	-0.072	-0.162	-0.059	-0.100	-0.058	0.034	0.054	-0.145	-0.052	-0.111	0.009	-0.004	-0.068	-0.037	0.021	-0.018	-0.005	0.083	-0.160	-0.040	-0.012	-0.072	-0.115	-0.129	0.051	-0.033	0.008	-0.494	-0.783	-0.042	2016_7_16_10_26_02
FLNS32G4GRX5____	-0.612	-0.606	-0.556	-0.645	-0.558	-0.484	-0.428	-0.481	-0.497	-0.511	-0.558	-0.426	-0.635	-0.558	-0.575	-0.564	-0.556	-0.604	-0.681	-0.564	-0.549	-0.499	-0.575	-0.604	-0.496	-0.564	-0.485	-0.575	-0.674	-0.621	-0.425	-0.433	-0.145	-0.121	-0.138	-0.165	-0.150	-0.021	-0.073	-0.202	-0.165	-0.138	-0.190	-0.145	-0.204	-0.190	-0.209	-0.006	-0.138	-0.104	-0.209	-0.153	-0.267	-0.073	-0.165	-0.138	-0.117	-0.153	-0.008	-0.273	-0.157	-0.165	-0.057	-0.141	-0.172	-0.208	-0.224	-0.177	-0.185	-0.173	-0.143	-0.146	-0.219	-0.195	-0.202	-0.132	-0.210	-0.101	-0.184	-0.293	-0.211	-0.211	-0.228	-0.187	-0.165	-0.171	-0.246	-0.329	-0.163	-0.225	-0.174	-0.269	-0.232	-0.209	-0.144	-0.135	-0.550	-0.143	-0.196	2016_7_16_10_26_05
FLQS30BYGRX8____	-0.649	-0.815	-0.819	-0.745	-0.775	-0.745	-0.850	-0.637	-0.826	-0.705	-0.828	-0.646	-0.644	-0.646	-0.826	-0.718	-0.775	-0.890	-0.707	-0.775	-0.745	-0.745	-0.791	-0.745	-0.775	-0.848	-0.843	-0.890	-0.660	-0.901	-0.775	-0.738	0.077	0.020	0.020	0.143	0.020	0.020	0.079	0.020	-0.052	-0.044	0.106	0.009	0.144	0.019	-0.047	0.077	0.020	-0.110	0.020	-0.096	-0.044	-0.067	0.020	0.150	0.020	0.019	0.139	0.020	0.020	0.020	-0.064	-0.068	-0.339	-0.436	-0.401	-0.319	-0.334	-0.326	-0.421	-0.306	-0.395	-0.346	-0.416	-0.330	-0.347	-0.331	-0.395	-0.421	-0.330	-0.412	-0.380	-0.421	-0.361	-0.467	-0.390	-0.321	-0.407	-0.413	-0.427	-0.394	-0.362	-0.408	-0.429	-0.355	-0.765	0.019	-0.379	2016_7_16_10_26_07
FLQS30DLGRXL____	0.097	0.044	0.044	0.011	0.044	0.135	0.044	0.060	-0.048	-0.098	-0.083	0.113	0.044	-0.045	-0.055	0.044	-0.061	-0.050	0.066	0.019	0.138	0.044	-0.021	0.077	-0.102	-0.053	0.019	0.060	0.044	0.015	0.132	0.044	-0.775	-0.755	-0.763	-0.775	-0.638	-0.753	-0.696	-0.775	-0.765	-0.775	-0.775	-0.690	-0.708	-0.890	-0.818	-0.828	-0.762	-0.765	-0.775	-0.715	-0.647	-0.775	-0.764	-0.775	-0.698	-0.713	-0.775	-0.820	-0.762	-0.811	-0.755	-0.811	0.154	0.224	0.224	0.145	0.203	0.192	0.257	0.255	0.120	0.129	0.134	0.175	0.056	0.139	0.125	0.087	0.114	0.143	0.192	0.140	0.179	0.190	0.130	0.197	0.089	0.111	0.255	0.172	0.179	0.152	0.192	0.279	0.022	-0.759	0.167	2016_7_16_10_26_10
FLQS30GVGRX8____	-0.351	-0.314	-0.423	-0.290	-0.290	-0.314	-0.303	-0.204	-0.290	-0.290	-0.303	-0.389	-0.404	-0.290	-0.290	-0.296	-0.357	-0.198	-0.296	-0.295	-0.291	-0.222	-0.235	-0.195	-0.290	-0.290	-0.168	-0.407	-0.229	-0.290	-0.228	-0.175	0.572	0.509	0.645	0.524	0.395	0.430	0.446	0.524	0.598	0.492	0.572	0.524	0.453	0.455	0.509	0.636	0.510	0.509	0.451	0.572	0.524	0.454	0.626	0.663	0.524	0.583	0.628	0.457	0.524	0.491	0.625	0.582	-0.473	-0.449	-0.513	-0.393	-0.506	-0.453	-0.563	-0.443	-0.376	-0.371	-0.453	-0.460	-0.477	-0.432	-0.439	-0.584	-0.466	-0.400	-0.434	-0.450	-0.474	-0.403	-0.433	-0.421	-0.508	-0.379	-0.405	-0.479	-0.416	-0.514	-0.430	-0.402	-0.288	0.532	-0.450	2016_7_16_10_26_12
FLQS30KBGRX8____	-0.699	-0.566	-0.705	-0.580	-0.583	-0.587	-0.574	-0.579	-0.635	-0.526	-0.587	-0.703	-0.694	-0.574	-0.577	-0.566	-0.587	-0.583	-0.522	-0.706	-0.483	-0.506	-0.456	-0.699	-0.574	-0.466	-0.707	-0.587	-0.630	-0.627	-0.577	-0.579	-0.417	-0.386	-0.344	-0.371	-0.412	-0.295	-0.347	-0.373	-0.373	-0.336	-0.358	-0.294	-0.358	-0.371	-0.469	-0.386	-0.336	-0.396	-0.411	-0.371	-0.352	-0.403	-0.373	-0.386	-0.276	-0.344	-0.371	-0.401	-0.386	-0.297	-0.415	-0.238	-0.258	-0.104	-0.271	-0.257	-0.212	-0.298	-0.217	-0.217	-0.216	-0.199	-0.201	-0.278	-0.265	-0.193	-0.124	-0.174	-0.244	-0.138	-0.187	-0.267	-0.178	-0.181	-0.196	-0.238	-0.225	-0.173	-0.245	-0.215	-0.190	-0.246	-0.209	-0.235	-0.594	-0.364	-0.214	2016_7_16_10_26_15
FLQS30LUGRXL	-1.113	-1.178	-1.076	-1.148	-1.178	-1.172	-1.178	-1.236	-1.177	-1.143	-1.178	-1.227	-1.174	-1.235	-1.178	-1.277	-1.238	-1.112	-1.227	-1.069	-1.230	-1.287	-1.178	-1.160	-1.178	-1.299	-1.171	-1.297	-1.300	-1.296	-1.177	-1.298	-0.699	-0.579	-0.704	-0.563	-0.618	-0.690	-0.618	-0.618	-0.645	-0.618	-0.559	-0.636	-0.695	-0.637	-0.688	-0.690	-0.579	-0.635	-0.579	-0.568	-0.633	-0.618	-0.618	-0.561	-0.618	-0.639	-0.618	-0.618	-0.700	-0.618	-0.562	-0.630	-0.251	-0.251	-0.236	-0.283	-0.382	-0.277	-0.262	-0.353	-0.285	-0.274	-0.296	-0.307	-0.277	-0.310	-0.421	-0.318	-0.319	-0.258	-0.305	-0.251	-0.306	-0.305	-0.267	-0.287	-0.247	-0.334	-0.244	-0.361	-0.326	-0.306	-0.295	-0.335	-1.200	-0.626	-0.298	2016_7_16_10_26_18
FLQS31B0GRX2____	0.343	0.334	0.463	0.479	0.295	0.362	0.359	0.437	0.231	0.470	0.359	0.345	0.345	0.334	0.362	0.475	0.362	0.295	0.401	0.334	0.466	0.294	0.247	0.408	0.286	0.295	0.334	0.260	0.362	0.362	0.362	0.472	-0.077	-0.015	0.069	0.004	-0.152	-0.015	-0.015	-0.066	-0.057	0.067	-0.138	-0.079	-0.015	-0.076	-0.066	0.011	-0.076	0.043	-0.079	-0.066	0.052	0.039	0.051	-0.057	-0.079	-0.079	-0.057	-0.057	-0.057	-0.138	-0.011	0.106	0.245	0.233	0.273	0.289	0.110	0.315	0.121	0.282	0.219	0.276	0.260	0.167	0.263	0.148	0.180	0.286	0.252	0.208	0.269	0.159	0.276	0.208	0.188	0.268	0.271	0.105	0.137	0.230	0.346	0.207	0.314	0.271	0.360	-0.034	0.231	2016_7_16_10_26_20
FLQS31B2GRWM____	0.721	0.685	0.749	0.685	0.593	0.685	0.571	0.636	0.533	0.778	0.659	0.776	0.655	0.587	0.601	0.616	0.602	0.706	0.655	0.636	0.777	0.545	0.779	0.781	0.701	0.705	0.685	0.595	0.701	0.685	0.588	0.716	-0.551	-0.521	-0.603	-0.562	-0.575	-0.553	-0.556	-0.498	-0.623	-0.438	-0.679	-0.556	-0.562	-0.562	-0.665	-0.669	-0.556	-0.562	-0.554	-0.575	-0.556	-0.495	-0.612	-0.492	-0.524	-0.617	-0.482	-0.621	-0.556	-0.443	-0.620	-0.551	0.332	0.390	0.350	0.350	0.315	0.402	0.242	0.290	0.265	0.339	0.325	0.355	0.307	0.304	0.299	0.306	0.283	0.326	0.305	0.300	0.331	0.252	0.364	0.346	0.422	0.335	0.366	0.290	0.349	0.365	0.287	0.305	0.668	-0.562	0.325	2016_7_16_10_26_23
