SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	-0.153	-0.117	-0.077	-0.077	-0.195	-0.109	-0.118	-0.118	-0.119	-0.108	-0.120	-0.077	-0.119	-0.117	-0.117	-0.077	-0.078	-0.075	-0.077	-0.121	-0.122	-0.120	-0.118	-0.074	-0.118	-0.109	-0.118	-0.113	-0.117	-0.195	-0.120	-0.118	0.011	0.056	0.056	0.056	0.012	0.014	0.056	0.056	0.055	0.011	0.055	0.056	0.056	0.055	0.012	0.056	0.053	0.055	0.056	0.054	0.054	0.053	0.056	0.055	0.055	0.014	0.055	0.011	0.056	0.012	0.055	0.055	-0.607	-0.598	-0.583	-0.583	-0.623	-0.591	-0.598	-0.598	-0.599	-0.590	-0.599	-0.583	-0.598	-0.597	-0.594	-0.583	-0.583	-0.581	-0.583	-0.600	-0.600	-0.599	-0.599	-0.581	-0.598	-0.591	-0.598	-0.592	-0.597	-0.623	-0.599	-0.598	-0.113	0.045	-0.595	2016_7_16_10_30_32
FLNS32DNGRX5____	0.018	0.028	0.015	0.015	0.025	0.020	0.059	0.059	0.016	0.056	0.103	0.015	0.067	0.068	0.021	0.015	0.063	0.025	0.015	0.021	0.060	0.061	0.103	0.026	0.025	0.020	0.063	0.058	0.106	0.025	0.023	0.063	0.035	0.036	0.034	0.034	0.035	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.036	0.034	0.031	0.035	0.034	0.033	0.032	0.035	0.034	0.035	0.035	0.034	0.033	0.034	0.033	0.035	0.032	0.033	-0.359	-0.356	-0.361	-0.361	-0.358	-0.359	-0.344	-0.344	-0.361	-0.345	-0.328	-0.361	-0.342	-0.341	-0.359	-0.361	-0.342	-0.358	-0.361	-0.359	-0.344	-0.344	-0.327	-0.357	-0.358	-0.359	-0.343	-0.344	-0.327	-0.358	-0.359	-0.343	0.042	0.034	-0.351	2016_7_16_10_30_36
FLNS32G4GRX5____	0.062	0.054	0.063	0.063	0.145	0.059	0.092	0.092	0.064	0.089	0.048	0.063	0.019	0.102	0.062	0.063	0.053	0.095	0.063	0.064	0.061	0.060	0.055	0.100	0.104	0.059	0.063	0.053	0.050	0.145	0.096	0.063	-0.004	0.037	-0.002	-0.002	-0.004	-0.002	0.039	0.039	-0.002	0.038	0.040	-0.002	-0.000	-0.004	-0.000	-0.002	0.037	0.039	-0.002	-0.002	-0.001	-0.006	0.038	-0.003	-0.004	-0.002	-0.000	0.035	0.038	-0.004	0.040	-0.000	-0.536	-0.544	-0.537	-0.537	-0.505	-0.538	-0.530	-0.530	-0.536	-0.530	-0.547	-0.537	-0.553	-0.521	-0.537	-0.537	-0.544	-0.528	-0.537	-0.536	-0.537	-0.537	-0.543	-0.522	-0.521	-0.538	-0.536	-0.544	-0.545	-0.505	-0.528	-0.536	0.073	0.012	-0.534	2016_7_16_10_30_38
FLQS30BYGRX8____	-0.198	-0.108	-0.208	-0.208	-0.111	-0.151	-0.145	-0.145	-0.243	-0.191	-0.190	-0.208	-0.155	-0.149	-0.155	-0.208	-0.257	-0.200	-0.208	-0.153	-0.241	-0.235	-0.149	-0.208	-0.149	-0.151	-0.155	-0.203	-0.153	-0.111	-0.196	-0.155	0.066	0.106	0.108	0.108	0.102	0.064	0.064	0.064	0.068	0.020	0.023	0.108	0.062	0.065	0.063	0.108	0.108	0.065	0.108	0.063	0.023	0.024	0.065	0.106	0.061	0.064	0.064	0.063	0.062	0.102	0.067	0.064	-0.623	-0.593	-0.631	-0.631	-0.594	-0.605	-0.603	-0.603	-0.641	-0.616	-0.616	-0.631	-0.607	-0.604	-0.606	-0.631	-0.651	-0.624	-0.631	-0.606	-0.636	-0.633	-0.604	-0.631	-0.605	-0.605	-0.606	-0.625	-0.606	-0.594	-0.623	-0.606	-0.178	0.072	-0.616	2016_7_16_10_30_42
FLQS30DLGRXL____	-0.043	-0.041	-0.041	-0.041	-0.045	-0.038	-0.001	-0.001	0.001	-0.048	-0.043	-0.041	-0.003	-0.033	-0.001	-0.041	-0.045	-0.004	-0.041	-0.001	-0.045	-0.001	-0.003	0.006	-0.001	-0.038	0.042	-0.001	-0.003	-0.045	-0.006	0.042	-0.019	-0.066	-0.025	-0.025	-0.061	-0.063	-0.023	-0.023	-0.025	-0.023	-0.024	-0.025	-0.026	-0.061	-0.066	-0.025	-0.062	-0.024	-0.025	-0.021	-0.018	-0.023	-0.022	-0.023	-0.021	-0.063	-0.025	-0.023	-0.022	-0.061	-0.026	-0.025	0.183	0.188	0.183	0.183	0.185	0.190	0.199	0.199	0.199	0.181	0.183	0.183	0.198	0.191	0.203	0.183	0.186	0.198	0.183	0.199	0.182	0.199	0.197	0.202	0.199	0.190	0.216	0.199	0.198	0.185	0.197	0.216	-0.019	-0.033	0.193	2016_7_16_10_30_46
FLQS30GVGRX8____	0.609	0.564	0.610	0.610	0.611	0.570	0.566	0.566	0.611	0.520	0.611	0.610	0.615	0.570	0.573	0.610	0.571	0.570	0.610	0.648	0.606	0.529	0.565	0.570	0.570	0.570	0.567	0.601	0.610	0.611	0.617	0.567	-0.064	-0.064	-0.063	-0.063	-0.021	-0.108	-0.062	-0.062	-0.019	-0.062	-0.106	-0.063	-0.020	-0.065	-0.105	-0.063	-0.106	-0.019	-0.063	-0.064	-0.062	-0.063	-0.063	-0.108	-0.106	-0.108	-0.064	-0.064	-0.063	-0.021	-0.063	-0.064	0.784	0.767	0.784	0.784	0.780	0.773	0.767	0.767	0.780	0.750	0.789	0.784	0.782	0.769	0.775	0.784	0.774	0.764	0.784	0.799	0.783	0.753	0.767	0.774	0.774	0.773	0.767	0.781	0.784	0.780	0.787	0.767	0.588	-0.066	0.776	2016_7_16_10_30_50
FLQS30KBGRX8____	0.027	-0.011	-0.013	-0.013	-0.057	-0.013	-0.015	-0.015	-0.015	0.027	-0.014	-0.013	-0.050	-0.016	-0.011	-0.013	-0.014	-0.014	-0.013	-0.008	-0.015	-0.056	-0.053	-0.017	-0.014	-0.013	-0.008	-0.011	-0.055	-0.057	-0.015	-0.008	0.002	0.040	0.006	0.006	0.003	0.003	0.004	0.004	0.004	0.001	0.004	0.006	0.006	0.003	0.003	0.006	0.042	0.004	0.006	0.004	0.005	0.005	0.005	0.003	0.002	0.003	0.008	0.004	0.002	0.003	0.005	0.008	-0.020	-0.039	-0.036	-0.036	-0.053	-0.036	-0.036	-0.036	-0.036	-0.020	-0.037	-0.036	-0.050	-0.037	-0.035	-0.036	-0.040	-0.036	-0.036	-0.034	-0.037	-0.053	-0.051	-0.038	-0.036	-0.036	-0.035	-0.035	-0.052	-0.053	-0.036	-0.035	-0.018	0.007	-0.038	2016_7_16_10_30_52
FLQS30LUGRXL	-0.288	-0.326	-0.277	-0.277	-0.319	-0.287	-0.356	-0.356	-0.278	-0.282	-0.320	-0.277	-0.281	-0.240	-0.292	-0.277	-0.273	-0.289	-0.277	-0.290	-0.330	-0.278	-0.290	-0.283	-0.237	-0.287	-0.321	-0.326	-0.322	-0.319	-0.275	-0.321	0.010	-0.031	-0.030	-0.030	-0.028	0.013	-0.071	-0.071	-0.031	-0.033	-0.030	-0.030	0.011	-0.030	0.010	-0.030	-0.031	0.009	-0.030	0.012	0.008	-0.033	0.009	-0.028	-0.030	0.013	-0.030	-0.031	-0.030	-0.028	-0.028	-0.030	0.362	0.352	0.371	0.371	0.354	0.363	0.345	0.345	0.370	0.370	0.354	0.371	0.365	0.385	0.361	0.371	0.373	0.362	0.371	0.362	0.347	0.371	0.361	0.368	0.386	0.363	0.354	0.352	0.354	0.354	0.371	0.354	-0.295	-0.021	0.363	2016_7_16_10_30_56
FLQS31B0GRX2____	0.235	0.300	0.291	0.291	0.287	0.339	0.290	0.290	0.344	0.343	0.297	0.291	0.294	0.297	0.289	0.291	0.346	0.206	0.291	0.337	0.338	0.338	0.293	0.249	0.288	0.339	0.299	0.295	0.299	0.287	0.299	0.299	-0.077	-0.117	-0.040	-0.040	-0.076	-0.078	-0.117	-0.117	-0.116	-0.118	-0.119	-0.040	-0.118	-0.113	-0.118	-0.040	-0.119	-0.115	-0.040	-0.077	-0.076	-0.077	-0.120	-0.076	-0.078	-0.078	-0.119	-0.118	-0.117	-0.076	-0.119	-0.119	0.655	0.684	0.673	0.673	0.676	0.695	0.681	0.681	0.701	0.701	0.683	0.673	0.682	0.682	0.680	0.673	0.703	0.648	0.673	0.694	0.695	0.695	0.682	0.661	0.676	0.695	0.684	0.682	0.684	0.676	0.685	0.684	0.299	-0.093	0.682	2016_7_16_10_30_59
FLQS31B2GRWM____	0.811	0.850	0.853	0.853	0.811	0.848	0.852	0.852	0.848	0.822	0.855	0.853	0.844	0.818	0.846	0.853	0.853	0.888	0.853	0.823	0.807	0.860	0.850	0.895	0.821	0.848	0.809	0.861	0.853	0.811	0.809	0.809	-0.203	-0.204	-0.203	-0.203	-0.202	-0.162	-0.165	-0.165	-0.165	-0.204	-0.205	-0.203	-0.164	-0.202	-0.163	-0.203	-0.203	-0.164	-0.203	-0.200	-0.163	-0.202	-0.204	-0.163	-0.202	-0.162	-0.200	-0.203	-0.204	-0.202	-0.206	-0.200	0.480	0.495	0.497	0.497	0.480	0.490	0.492	0.492	0.490	0.484	0.497	0.497	0.489	0.482	0.489	0.497	0.496	0.506	0.497	0.485	0.474	0.499	0.495	0.509	0.484	0.490	0.479	0.499	0.496	0.480	0.480	0.479	0.841	-0.191	0.491	2016_7_16_10_31_02
